0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0.002 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 -2.17896 -2.09002 -2.00107 -1.91212 -1.82318 -1.73328 -1.64434 -1.55539 -1.46644 -1.3775 -1.28855 -1.1996 -1.11065 -1.02076 -0.931815 -0.842869 -0.753922 -0.664975 -0.576028 -0.487082 -0.398135 -0.309188 -0.219295 -0.130348 -0.0414017 0.0475451 -0.0475451 0.0414017 0.130348 0.219295 0.309188 0.398135 0.487082 0.576028 0.664975 0.753922 0.842869 0.931815 1.02076 1.11065 1.1996 1.28855 1.3775 1.46644 1.55539 1.64434 1.73328 1.82318 1.91212 2.00107 2.09002 2.17896 
0.004 0 -1.5 0 0 -1 0 -0.5 -1 -1 -1 -0.5 0 -0.5 0 -1.5 -1 -1 0 0 -0.5 -0.5 -0.5 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0.5 0.5 0.5 0 0.5 0.5 0.5 0 0 0 0 -0.5 0 -0.5 0 -4.30999 -4.13405 -3.95811 -3.78218 -3.60624 -3.42843 -3.2525 -3.07656 -2.90062 -2.72469 -2.54875 -2.37281 -2.19688 -2.01907 -1.84313 -1.66719 -1.49126 -1.31532 -1.13938 -0.963447 -0.787511 -0.611574 -0.433766 -0.257829 -0.0818925 0.0940442 -0.0940442 0.0818925 0.257829 0.433766 0.611574 0.787511 0.963447 1.13938 1.31532 1.49126 1.66719 1.84313 2.01907 2.19688 2.37281 2.54875 2.72469 2.90062 3.07656 3.2525 3.42843 3.60624 3.78218 3.95811 4.13405 4.30999 
0.006 0 -4 -2.5 -1.5 -2.5 -2.5 -2.5 -2 -2.5 -3 -0.5 0 0.5 0 -2.5 -2 -1.5 0 -1 -1 -1 -1 -0.5 -0.5 -0.5 0 0.5 0 0 0 0.5 0 0.5 0.5 0.5 0 0 0.5 0.5 1.5 1 2 1 2.5 0 0 0 1.5 0.5 1 1 1.5 -6.39413 -6.13312 -5.8721 -5.61109 -5.35008 -5.08629 -4.82528 -4.56426 -4.30325 -4.04224 -3.78122 -3.52021 -3.2592 -2.99541 -2.7344 -2.47338 -2.21237 -1.95136 -1.69035 -1.42933 -1.16832 -0.907308 -0.643518 -0.382505 -0.121493 0.13952 -0.13952 0.121493 0.382505 0.643518 0.907308 1.16832 1.42933 1.69035 1.95136 2.21237 2.47338 2.7344 2.99541 3.2592 3.52021 3.78122 4.04224 4.30325 4.56426 4.82528 5.08629 5.35008 5.61109 5.8721 6.13312 6.39413 
0.008 -5 -8 -5.5 -4 -5.5 -4.5 -4.5 -4.5 -6 -6 -4 -3 -3.5 -2.5 -4 -3.5 -3 -0.5 -1.5 -2 -1.5 -1.5 -1 -0.5 0 0 0 0 0 0 0.5 1 0.5 1 1 0 1 2 2 2.5 1.5 3.5 3 4 1.5 1 1 2.5 1 2.5 3 4 -8.43242 -8.0882 -7.74399 -7.39977 -7.05555 -6.70767 -6.36346 -6.01924 -5.67502 -5.3308 -4.98659 -4.64237 -4.29815 -3.95027 -3.60606 -3.26184 -2.91762 -2.5734 -2.22919 -1.88497 -1.54075 -1.19653 -0.848656 -0.504439 -0.160221 0.183996 -0.183996 0.160221 0.504439 0.848656 1.19653 1.54075 1.88497 2.22919 2.5734 2.91762 3.26184 3.60606 3.95027 4.29815 4.64237 4.98659 5.3308 5.67502 6.01924 6.36346 6.70767 7.05555 7.39977 7.74399 8.0882 8.43242 
0.01 -8.5 -9.5 -7.5 -8 -7.5 -7 -7 -7 -8 -8 -7 -6 -5.5 -5 -6 -4.5 -4 -3.5 -3 -3.5 -2.5 -2.5 -1 -0.5 0 0 0 0 0 0 1.5 2 2 1.5 2.5 1.5 2 3.5 3.5 5 3.5 6 5 6.5 3 3 2.5 5 3.5 5 5.5 7 -10.4259 -10.0003 -9.57469 -9.1491 -8.7235 -8.29339 -7.86779 -7.4422 -7.01661 -6.59102 -6.16543 -5.73984 -5.31425 -4.88413 -4.45854 -4.03295 -3.60736 -3.18176 -2.75617 -2.33058 -1.90499 -1.4794 -1.04928 -0.623689 -0.198098 0.227493 -0.227493 0.198098 0.623689 1.04928 1.4794 1.90499 2.33058 2.75617 3.18176 3.60736 4.03295 4.45854 4.88413 5.31425 5.73984 6.16543 6.59102 7.01661 7.4422 7.86779 8.29339 8.7235 9.1491 9.57469 10.0003 10.4259 
0.012 -12 -10.5 -10 -10 -9.5 -9.5 -9 -8.5 -10 -9.5 -9 -8.5 -9 -7 -6.5 -6 -6 -5 -4 -3.5 -3 -3.5 -2 -1.5 -0.5 0 0.5 0 0.5 0 2 2.5 3 3 3.5 2.5 4.5 5.5 6 7 5.5 8.5 7.5 9.5 6.5 6 6 8.5 6.5 9 9.5 11 -12.3755 -11.8703 -11.3651 -10.8599 -10.3548 -9.84421 -9.33904 -8.83386 -8.32869 -7.82351 -7.31834 -6.81316 -6.30799 -5.79744 -5.29226 -4.78709 -4.28192 -3.77674 -3.27157 -2.76639 -2.26122 -1.75604 -1.24549 -0.740317 -0.235142 0.270033 -0.270033 0.235142 0.740317 1.24549 1.75604 2.26122 2.76639 3.27157 3.77674 4.28192 4.78709 5.29226 5.79744 6.30799 6.81316 7.31834 7.82351 8.32869 8.83386 9.33904 9.84421 10.3548 10.8599 11.3651 11.8703 12.3755 
0.014 -13.5 -12 -11 -12 -10 -10 -9.5 -9 -9.5 -9.5 -11.5 -10.5 -10 -9.5 -7.5 -7.5 -6.5 -7 -5.5 -4.5 -3.5 -3.5 -2 -1 -0.5 0 0 0.5 0.5 0 3 4 4.5 4 5.5 5 7.5 7.5 7.5 9.5 7.5 10.5 10 12 9.5 10 9.5 11.5 11.5 13 13 15 -14.2822 -13.6992 -13.1161 -12.5331 -11.9501 -11.3609 -10.7779 -10.1949 -9.6119 -9.02889 -8.44588 -7.86288 -7.27987 -6.69066 -6.10765 -5.52464 -4.94163 -4.35863 -3.77562 -3.19261 -2.6096 -2.0266 -1.43739 -0.854378 -0.27137 0.311638 -0.311638 0.27137 0.854378 1.43739 2.0266 2.6096 3.19261 3.77562 4.35863 4.94163 5.52464 6.10765 6.69066 7.27987 7.86288 8.44588 9.02889 9.6119 10.1949 10.7779 11.3609 11.9501 12.5331 13.1161 13.6992 14.2822 
0.016 -12.5 -12 -12.5 -11.5 -11 -11 -10 -10 -10.5 -10.5 -10 -9.5 -9.5 -8.5 -8.5 -7 -7 -7.5 -5.5 -5 -4 -3.5 -2 -1.5 -0.5 0 0.5 0 0.5 1 3.5 5 5.5 6.5 7.5 6.5 10 9 9 10.5 10 11.5 11.5 13.5 12 14 13.5 14 15 16 15.5 18 -16.1469 -15.4878 -14.8287 -14.1695 -13.5104 -12.8443 -12.1851 -11.526 -10.8669 -10.2078 -9.54862 -8.88949 -8.23037 -7.56423 -6.9051 -6.24597 -5.58684 -4.92771 -4.26858 -3.60946 -2.95033 -2.2912 -1.62506 -0.96593 -0.306802 0.352327 -0.352327 0.306802 0.96593 1.62506 2.2912 2.95033 3.60946 4.26858 4.92771 5.58684 6.24597 6.9051 7.56423 8.23037 8.88949 9.54862 10.2078 10.8669 11.526 12.1851 12.8443 13.5104 14.1695 14.8287 15.4878 16.1469 
0.018 -14 -14 -12.5 -12.5 -13 -12.5 -12.5 -11.5 -11.5 -11.5 -10 -10.5 -9.5 -9 -9 -9 -7.5 -7 -6.5 -5.5 -5 -3.5 -2 -1.5 -0.5 0 0 0.5 1.5 1.5 4.5 6 6.5 7 8 9 11 9.5 10 11.5 11 13 12.5 13.5 14.5 16 17 16 18 18 17.5 18.5 -17.9706 -17.2371 -16.5035 -15.7699 -15.0364 -14.295 -13.5614 -12.8278 -12.0943 -11.3607 -10.6271 -9.89353 -9.15995 -8.41857 -7.685 -6.95143 -6.21785 -5.48428 -4.7507 -4.01713 -3.28355 -2.54998 -1.8086 -1.07503 -0.341454 0.392121 -0.392121 0.341454 1.07503 1.8086 2.54998 3.28355 4.01713 4.7507 5.48428 6.21785 6.95143 7.685 8.41857 9.15995 9.89353 10.6271 11.3607 12.0943 12.8278 13.5614 14.295 15.0364 15.7699 16.5035 17.2371 17.9706 
