time(us),speed(um/sec),reference current(mA),current(mA)
5568,0,353,0
7616,0,363,52
9792,0,373,260
12032,8028,326,260
14592,14040,292,338
17280,6696,355,312
19840,14040,312,312
22528,20088,277,312
25216,20088,285,260
27840,20574,288,312
30528,26784,251,208
33216,26784,257,234
35904,33480,214,208
38528,34290,212,312
41216,26784,271,234
43904,26784,276,260
46528,34290,228,286
49216,26784,286,312
51904,26784,292,286
54592,26784,298,312
57216,20574,349,286
59904,20088,360,364
62592,26784,319,312
65280,33480,276,286
67904,27432,324,286
70592,26784,334,338
73280,26784,340,286
75904,27432,341,338
78592,26784,351,364
81280,33480,309,364
83968,26784,362,286
86592,34290,313,338
89280,26784,371,338
91968,26784,377,338
94592,27432,378,416
97280,33480,340,390
99968,40176,296,364
102656,26784,395,286
105408,32670,358,312
108160,39204,316,312
110912,45738,271,312
113664,39204,319,234
116480,38340,329,286
119232,45738,278,312
121984,39204,326,286
124736,39204,329,234
127488,39204,332,312
130304,44730,295,260
133056,39204,336,338
135808,32670,386,364
138560,32670,391,364
141312,45738,300,364
144128,38340,355,364
146880,39204,352,364
149632,39204,355,256
152384,52272,263,312
155136,52272,262,260
157952,44730,316,286
160704,45738,310,260
163456,45738,312,338
166208,45738,313,260
168960,45738,314,338
171776,44730,322,390
174528,52272,269,390
177280,52272,268,312
180032,39204,363,286
182848,38340,372,338
185600,45738,321,416
188352,45738,322,338
191104,52272,276,390
193856,45738,323,312
196672,44730,331,364
199424,45738,325,312
202176,45738,326,364
204928,52272,280,390
207680,45738,327,286
210496,44730,335,286
213248,39204,377,312
216000,39204,379,364
218752,52272,287,338
221504,45738,334,338
224320,51120,296,286
227072,45738,335,312
229824,45738,336,312
232576,52272,290,312
235328,45738,337,286
238144,44730,345,312
240896,52272,292,286
243648,52272,291,312
246400,45738,338,260
249216,38340,393,364
251968,45738,342,256
254720,52272,296,364
257472,52272,295,338
260224,45738,342,208
263040,44730,350,338
265792,45738,345,312
268544,45738,346,338
271296,45738,347,312
274048,52272,300,312
276864,51120,308,286
279616,52272,300,390
282368,45738,346,286
285120,45738,347,260
287936,51120,309,338
290688,58806,253,338
293440,45738,346,286
296192,39204,395,312
298944,45738,350,364
301760,57510,265,364
304512,45738,349,364
307264,39204,398,338
310016,45738,353,390
312832,57510,268,364
315584,45738,352,312
318336,39204,401,286
321088,58806,261,390
323840,52272,306,286
326656,44730,360,312
329408,45738,354,390
332160,52272,308,364
334912,52272,308,364
337728,38340,408,312
340480,52272,310,416
343232,52272,309,338
345984,58806,261,338
348800,44730,361,390
351552,45738,355,338
354304,58806,262,364
357056,58806,259,312
359808,52272,304,338
362624,51120,312,312
365376,52272,304,312
368128,52272,303,364
370944,44730,357,390
373696,58806,256,364
376448,52272,302,208
379200,45738,348,364
381952,45738,349,338
384768,51120,312,338
387520,52272,303,312
390272,52272,302,338
393024,45738,349,338
395840,44730,358,390
398592,45738,352,416
401344,45738,353,312
404096,52272,306,364
406848,45738,353,312
409664,44730,362,312
412416,52272,308,364
415168,45738,355,312
417920,39204,404,338
420672,45738,359,256
423488,51120,321,390
426240,52272,312,338
428992,52272,312,312
431744,45738,359,312
434560,51120,321,256
437312,45738,359,312
440064,52272,313,364
442816,52272,313,286
445632,57510,274,234
448384,52272,310,0
450944,49140,332,338
453760,51120,318,312
456512,58806,262,312
459264,52272,307,364
462016,45738,354,390
464832,51120,316,390
467584,58806,260,364
470336,52272,305,312
473088,52272,304,338
475904,51120,312,364
478656,52272,304,312
481408,45738,350,338
484160,45738,351,338
486976,51120,313,390
489728,52272,305,364
492480,52272,304,390
495232,45738,351,364
498048,44730,360,364
500800,45738,354,338
503552,52272,307,364
506304,45738,354,256
509056,45738,355,338
511872,44730,364,312
514624,45738,358,338
517376,45738,359,312
520128,45738,360,338
522880,45738,361,390
525696,51120,323,390
528448,52272,314,338
531200,52272,314,338
533952,52272,313,260
536768,51120,321,286
539520,58806,265,312
542272,52272,310,234
545024,52272,309,256
547840,44730,364,208
550592,52272,310,338
553344,58806,262,312
556096,52272,307,256
558912,51120,315,256
561664,45738,354,312
564416,58806,260,364
567168,58806,258,286
569984,51120,311,260
572736,52272,303,256
575488,58806,255,260
578240,52272,300,312
581056,44730,354,260
583808,52272,301,286
586560,58806,253,338
589312,52272,298,260
592128,38340,398,286
594880,45738,348,338
597632,58806,254,390
600384,52272,299,234
603200,38340,400,312
605952,45738,349,338
608704,58806,255,338
611456,52272,301,286
614208,45738,347,260
617024,44730,356,286
619776,52272,302,338
622528,45738,349,312
625280,45738,350,338
628032,45738,351,338
630848,51120,313,312
633600,52272,305,312
636352,52272,304,312
639104,52272,304,286
641920,51120,311,338
644672,58806,255,338
