time(s),reference current(A),current(A),cart position(m),pendulum angle(rad)
0.00768,0.0,0.533,0.0,-3.14159265
0.0112,0.117,0.532,0.0,-3.14159265
0.01504,0.235,0.534,0.0,-3.14159265
0.018816,0.333,0.54,0.0,-3.14159265
0.022656,0.45,0.544,1.8e-05,-3.14159265
0.02656,0.568,0.547,5.4e-05,-3.14159265
0.0304,0.696,0.552,0.000108,-3.14080725184
0.034432,0.803,0.555,0.000216,-3.14080725184
0.0384,0.921,0.558,0.000342,-3.14080725184
0.042368,1.039,0.562,0.000522,-3.14002185367
0.046464,1.176,0.565,0.000774,-3.13923645551
0.050496,1.284,0.572,0.001116,-3.13845105735
0.054656,1.382,0.574,0.00153,-3.13766565919
0.058816,1.48,0.578,0.00207,-3.13609486286
0.062976,1.627,0.581,0.002736,-3.1353094647
0.067136,1.715,0.582,0.003528,-3.13295327021
0.071296,1.803,0.59,0.004446,-3.13138247389
0.075456,1.911,0.591,0.005526,-3.12824088124
0.079552,1.98,0.597,0.006768,-3.12509928859
0.083712,2.058,0.597,0.008154,-3.12117229778
0.087872,2.127,0.595,0.009702,-3.11881610329
0.092032,2.215,0.603,0.011412,-3.11410371431
0.096256,2.264,0.605,0.013374,-3.10939132534
0.100544,2.323,0.607,0.015516,-3.10546433453
0.104832,2.372,0.608,0.017874,-3.09996654739
0.109184,2.421,0.612,0.020484,-3.09446876025
0.113536,2.45,0.62,0.02331,-3.08818557495
0.117824,2.47,0.613,0.026352,-3.07954619516
0.122176,2.49,0.617,0.029592,-3.07326300986
0.126528,2.49,0.62,0.033084,-3.06540902824
0.130816,2.49,0.616,0.03681,-3.05676964845
0.135168,2.48,0.616,0.040752,-3.04891566683
0.13952,2.46,0.618,0.04491,-3.03792009255
0.143808,2.441,0.618,0.049284,-3.03006611093
0.14816,2.392,0.618,0.053892,-3.01985593481
0.152512,2.362,0.616,0.058734,-3.00728956421
0.1568,2.303,0.615,0.063756,-2.9970793881
0.161152,2.245,0.613,0.068994,-2.98608381383
0.165504,2.166,0.607,0.07443,-2.97430284139
0.169792,2.088,0.604,0.080064,-2.96173647079
0.174144,2.0,0.608,0.08586,-2.94759930386
0.178496,1.911,0.608,0.091818,-2.93817452591
0.182848,1.823,0.599,0.09792,-2.92403735899
0.187136,1.696,0.59,0.104202,-2.90832939574
0.191552,1.578,0.595,0.1107,-2.89733382146
0.195968,1.46,0.592,0.117306,-2.88162585821
0.200384,1.333,0.575,0.124038,-2.86905948761
0.2048,1.196,0.584,0.130842,-2.85570771885
0.209216,1.039,0.57,0.137718,-2.84157055193
0.213632,0.921,0.573,0.144666,-2.827433385
0.217984,0.754,0.562,0.151488,-2.81408161624
0.222336,0.598,0.561,0.158364,-2.80072984747
0.226624,0.45,0.555,0.165204,-2.78502188423
0.230976,0.303,0.54,0.172008,-2.77402630995
0.235328,0.147,0.548,0.178794,-2.76067454119
0.23968,0.0,0.535,0.185526,-2.7457519761
