time(us),reference current(mA),current(mA),cart position(um),pendulum angle(mdeg)

7680,0,533,0,-180000

11200,117,532,0,-180000

15040,235,534,0,-180000

18816,333,540,0,-180000

22656,450,544,18,-180000

26560,568,547,54,-180000

30400,696,552,108,-179955

34432,803,555,216,-179955

38400,921,558,342,-179955

42368,1039,562,522,-179910

46464,1176,565,774,-179865

50496,1284,572,1116,-179820

54656,1382,574,1530,-179775

58816,1480,578,2070,-179685

62976,1627,581,2736,-179640

67136,1715,582,3528,-179505

71296,1803,590,4446,-179415

75456,1911,591,5526,-179235

79552,1980,597,6768,-179055

83712,2058,597,8154,-178830

87872,2127,595,9702,-178695

92032,2215,603,11412,-178425

96256,2264,605,13374,-178155

100544,2323,607,15516,-177930

104832,2372,608,17874,-177615

109184,2421,612,20484,-177300

113536,2450,620,23310,-176940

117824,2470,613,26352,-176445

122176,2490,617,29592,-176085

126528,2490,620,33084,-175635

130816,2490,616,36810,-175140

135168,2480,616,40752,-174690

139520,2460,618,44910,-174060

143808,2441,618,49284,-173610

148160,2392,618,53892,-173025

152512,2362,616,58734,-172305

156800,2303,615,63756,-171720

161152,2245,613,68994,-171090

165504,2166,607,74430,-170415

169792,2088,604,80064,-169695

174144,2000,608,85860,-168885

178496,1911,608,91818,-168345

182848,1823,599,97920,-167535

187136,1696,590,104202,-166635

191552,1578,595,110700,-166005

195968,1460,592,117306,-165105

200384,1333,575,124038,-164385

204800,1196,584,130842,-163620

209216,1039,570,137718,-162810

213632,921,573,144666,-162000

217984,754,562,151488,-161235

222336,598,561,158364,-160470

226624,450,555,165204,-159570

230976,303,540,172008,-158940

235328,147,548,178794,-158175

239680,0,535,185526,-157320

243840,-147,535,191880,-156735

248256,-333,535,198558,-156105

252672,-450,519,205128,-155250

257088,-666,526,211572,-154710

261504,-774,512,217854,-154080

265920,-950,503,223956,-153495

270336,-1088,500,229896,-152865

274816,-1225,499,235728,-152280

279360,-1382,495,241272,-151875

283840,-1509,493,246618,-151335

288320,-1647,485,251712,-151020

292864,-1764,481,256518,-150660

297344,-1892,481,261018,-150300

301888,-1980,474,265194,-150075

306368,-2088,474,269064,-149805

310848,-2186,469,272610,-149625

315392,-2264,256,275814,-149535

319872,-2323,464,278640,-149490

324416,-2392,459,281106,-149400

328896,-2431,462,283230,-149535

333376,-2460,454,284976,-149580

337920,-2490,455,286380,-149715

342400,-2490,456,287352,-149985

346944,-2490,457,287964,-150210

351424,-2480,457,288252,-150525

355904,-2450,456,288234,-150840

360448,-2401,461,287838,-151290

364928,-2352,458,287154,-151740

369408,-2294,462,286218,-152190

373952,-2215,256,284994,-152820

378432,-2127,464,283482,-153405

382976,-2019,470,281736,-153990

387456,-1931,472,279738,-154710

391936,-1803,476,277524,-155475

396480,-1676,474,275130,-156195

400960,-1529,484,272556,-156960

405504,-1411,488,269748,-157860

409984,-1225,493,266814,-158715

414464,-1088,497,263808,-159525

419008,-892,498,260604,-160560

423424,-754,506,257418,-161280

427840,-568,511,254178,-162180

432256,-392,518,250830,-163305

436672,-235,522,247518,-164070

441088,-29,529,244206,-164925

445440,147,531,240912,-165915

449792,303,539,237726,-166815

454080,480,544,234630,-167670

458432,666,548,231552,-168795

462784,803,554,228618,-169605

467072,1009,558,225810,-170370

471488,1147,565,223110,-171315

475904,1303,567,220590,-172350

480320,1480,574,218250,-173025

484736,1607,580,216198,-173790

489152,1764,585,214326,-174645

493568,1892,589,212760,-175500

497984,2000,590,211500,-176220

502400,2107,596,210474,-176985

506880,2196,600,209844,-177435

511296,2284,602,209520,-177975

515712,2352,606,209448,-178695

520128,2411,512,209772,-179190

524544,2450,614,210402,-179550

528960,2480,613,211230,-180135

533376,2490,610,212346,-180540

537792,2490,613,213804,-180810

542208,2480,618,215424,-181260

546624,2450,611,217314,-181575

551040,2401,614,219510,-181710

555456,2352,612,221904,-182070

559872,2284,606,224532,-182295

564288,2196,606,227484,-182385

568704,2107,605,230544,-182610

573120,1970,604,233838,-182745

577536,1872,594,237402,-182700

581952,1696,595,241056,-182835

586368,1578,512,244872,-183015

590784,1431,588,248904,-182880

595200,1254,581,253026,-182925

599616,1088,573,257184,-183015

604032,892,567,261522,-182925

608384,725,566,265824,-182835

612736,539,559,270090,-182925

617024,333,554,274446,-182835

621376,147,551,278802,-182745

625728,-29,537,283050,-182790

630016,-235,533,287334,-182745

634496,-421,524,291600,-182655

638912,-666,519,295722,-182700

643328,-833,511,299718,-182790

647744,-980,507,303606,-182700

652160,-1176,504,307314,-182790

656640,-1362,494,310842,-182925

661184,-1529,488,314136,-182970

665664,-1676,487,317214,-183105

670144,-1843,481,320022,-183285

674688,-1950,474,322524,-183465

679168,-2088,468,324720,-183735

683712,-2186,471,326592,-184005

688192,-2294,467,328158,-184410

692672,-2362,460,329382,-184725

697216,-2431,461,330192,-185085

701696,-2460,459,330714,-185535

706240,-2490,457,330840,-186075

710720,-2500,460,330624,-186570

715200,-2480,455,330102,-187200

719744,-2460,456,329238,-187875

724224,-2401,456,328104,-188415

728768,-2352,460,326736,-189180

733248,-2264,464,325062,-189900

737728,-2166,460,323136,-190575

742272,-2058,474,321030,-191385

746752,-1931,470,318672,-192330

751296,-1784,479,316116,-193005

755776,-1627,473,313398,-193815

760256,-1460,483,310518,-194625

764800,-1303,490,307494,-195480

769280,-1068,493,304362,-196470

773824,-892,501,301158,-197325

778240,-696,507,297954,-198045

782656,-480,510,294714,-198855

787072,-235,519,291510,-199845

791488,-58,529,288324,-200565

795840,147,531,285228,-201330

800128,392,534,282222,-202050

804480,539,545,279324,-202950

808832,754,550,276534,-203535

813120,980,556,273924,-204210

817472,1176,559,271458,-204840

821888,1333,571,269154,-205605

826304,1529,573,267066,-206235

830720,1696,583,265248,-206640

835136,1872,579,263664,-207180

839552,1980,591,262386,-207675

843968,2127,595,261414,-208125

848384,2225,598,260730,-208485

852800,2303,606,260406,-208845

857216,2392,609,260352,-209160

861632,2441,606,260604,-209385

866048,2480,613,261162,-209565

870464,2490,613,261972,-209700

874880,2490,614,263124,-209790

879360,2470,616,264492,-209835

883776,2431,616,266130,-209880

888192,2362,616,268092,-209835

892608,2284,607,270234,-209790

897024,2156,607,272682,-209655

901440,2058,603,275346,-209475

