time(s),reference current(A),current(A),cart position(m),pendulum angle(rad)
0.00768,0.0,0.534,0.0,-3.14159265
0.0112,0.117,0.534,0.0,-3.14159265
0.01504,0.235,0.532,1.8e-05,-3.14159265
0.01888,0.333,0.541,3.6e-05,-3.14159265
0.022784,0.45,0.544,5.4e-05,-3.14159265
0.026688,0.568,0.547,0.000108,-3.14159265
0.030656,0.696,0.551,0.000198,-3.14080725184
0.034688,0.803,0.555,0.000324,-3.14080725184
0.038656,0.921,0.557,0.000486,-3.14002185367
0.042624,1.039,0.563,0.00072,-3.13923645551
0.04672,1.176,0.567,0.001044,-3.13845105735
0.05088,1.284,0.569,0.00144,-3.13766565919
0.054976,1.411,0.574,0.001944,-3.13688026102
0.059136,1.509,0.579,0.002556,-3.1353094647
0.063296,1.627,0.585,0.003258,-3.13373866837
0.067456,1.715,0.586,0.004122,-3.13138247389
0.071616,1.803,0.592,0.00513,-3.1290262794
0.075776,1.911,0.59,0.006228,-3.12667008491
0.079936,2.0,0.595,0.007506,-3.12431389043
0.084096,2.078,0.603,0.009,-3.11803070513
0.088192,2.137,0.597,0.010638,-3.1164599088
0.09248,2.215,0.604,0.012366,-3.11488911248
0.096704,2.264,0.607,0.014436,-3.10782052901
0.100928,2.343,0.606,0.016704,-3.10075194555
0.10528,2.382,0.612,0.019062,-3.09918114923
0.109632,2.421,0.613,0.021798,-3.08975637128
0.11392,2.45,0.619,0.024696,-3.08268778781
0.118272,2.47,0.615,0.027756,-3.078760797
0.122624,2.49,0.619,0.031104,-3.07169221354
0.126912,2.5,0.617,0.034668,-3.06069663926
0.131264,2.49,0.619,0.03843,-3.05441345396
0.135616,2.48,0.619,0.042426,-3.04420327785
0.139904,2.46,0.615,0.046692,-3.03399310174
0.144256,2.431,0.616,0.051156,-3.02535372195
0.148608,2.392,0.613,0.055764,-3.01671434216
0.152896,2.362,0.512,0.060678,-3.00414797156
0.157248,2.294,0.613,0.065826,-2.99236699913
0.1616,2.245,0.61,0.071064,-2.98137142485
0.165888,2.166,0.608,0.076572,-2.96959045241
0.17024,2.078,0.608,0.082278,-2.95545328549
0.174592,2.0,0.609,0.088092,-2.94524310938
0.178944,1.892,0.602,0.094104,-2.93346213694
0.183232,1.803,0.595,0.100278,-2.91853957185
0.187648,1.696,0.597,0.106704,-2.90597320125
0.192064,1.558,0.597,0.113292,-2.89262143249
0.19648,1.46,0.58,0.119934,-2.8776988674
0.200896,1.333,0.59,0.12672,-2.86199090415
0.205312,1.176,0.575,0.133578,-2.85099532987
0.209728,1.039,0.577,0.140508,-2.8337165703
0.214144,0.892,0.57,0.147492,-2.82193559786
0.218496,0.754,0.565,0.15435,-2.8085838291
0.222848,0.598,0.563,0.161262,-2.79209046769
0.227136,0.421,0.551,0.168174,-2.78030949525
0.231488,0.303,0.547,0.175014,-2.76617232833
0.23584,0.147,0.535,0.181854,-2.75517675405
0.240192,-0.029,0.539,0.188622,-2.74261038345
0.24448,-0.176,0.532,0.1953,-2.73004401285
0.248896,-0.333,0.527,0.202032,-2.71826304041
0.253312,-0.509,0.525,0.208638,-2.70569666981
0.257728,-0.666,0.513,0.2151,-2.69391569738
0.262144,-0.833,0.512,0.221436,-2.68370552126
0.266624,-0.95,0.508,0.227574,-2.67113915066
0.27104,-1.117,0.503,0.23355,-2.66092897455
0.27552,-1.284,0.494,0.239436,-2.65386039109
0.28,-1.431,0.49,0.245016,-2.64443561314
0.284544,-1.529,0.486,0.250362,-2.63658163151
0.289024,-1.676,0.484,0.255474,-2.62872764989
0.293568,-1.803,0.481,0.260298,-2.62322986275
0.298048,-1.931,0.476,0.264798,-2.61694667745
0.302528,-2.0,0.468,0.268992,-2.6138050848
