time(us),reference current(mA),current(mA),cart position(um),pendulum angle(mdeg)
7680,0,534,0,-180000
11200,117,534,0,-180000
15040,235,532,18,-180000
18880,333,541,36,-180000
22784,450,544,54,-180000
26688,568,547,108,-180000
30656,696,551,198,-179955
34688,803,555,324,-179955
38656,921,557,486,-179910
42624,1039,563,720,-179865
46720,1176,567,1044,-179820
50880,1284,569,1440,-179775
54976,1411,574,1944,-179730
59136,1509,579,2556,-179640
63296,1627,585,3258,-179550
67456,1715,586,4122,-179415
71616,1803,592,5130,-179280
75776,1911,590,6228,-179145
79936,2000,595,7506,-179010
84096,2078,603,9000,-178650
88192,2137,597,10638,-178560
92480,2215,604,12366,-178470
96704,2264,607,14436,-178065
100928,2343,606,16704,-177660
105280,2382,612,19062,-177570
109632,2421,613,21798,-177030
113920,2450,619,24696,-176625
118272,2470,615,27756,-176400
122624,2490,619,31104,-175995
126912,2500,617,34668,-175365
131264,2490,619,38430,-175005
135616,2480,619,42426,-174420
139904,2460,615,46692,-173835
144256,2431,616,51156,-173340
148608,2392,613,55764,-172845
152896,2362,512,60678,-172125
157248,2294,613,65826,-171450
161600,2245,610,71064,-170820
165888,2166,608,76572,-170145
170240,2078,608,82278,-169335
174592,2000,609,88092,-168750
178944,1892,602,94104,-168075
183232,1803,595,100278,-167220
187648,1696,597,106704,-166500
192064,1558,597,113292,-165735
196480,1460,580,119934,-164880
200896,1333,590,126720,-163980
205312,1176,575,133578,-163350
209728,1039,577,140508,-162360
214144,892,570,147492,-161685
218496,754,565,154350,-160920
222848,598,563,161262,-159975
227136,421,551,168174,-159300
231488,303,547,175014,-158490
235840,147,535,181854,-157860
240192,-29,539,188622,-157140
244480,-176,532,195300,-156420
248896,-333,527,202032,-155745
253312,-509,525,208638,-155025
257728,-666,513,215100,-154350
262144,-833,512,221436,-153765
266624,-950,508,227574,-153045
271040,-1117,503,233550,-152460
275520,-1284,494,239436,-152055
280000,-1431,490,245016,-151515
284544,-1529,486,250362,-151065
289024,-1676,484,255474,-150615
293568,-1803,481,260298,-150300
298048,-1931,476,264798,-149940
302528,-2000,468,268992,-149760
307072,-2127,463,272862,-149535
311552,-2196,465,276408,-149310
316032,-2284,466,279576,-149220
320576,-2343,460,282420,-149175
325056,-2392,461,284886,-149175
329600,-2431,458,287010,-149175
334080,-2470,456,288720,-149310
338560,-2490,456,290070,-149445
343104,-2500,454,291114,-149715
347584,-2490,457,291726,-149895
352128,-2470,457,291942,-150255
356608,-2450,461,291852,-150660
361088,-2392,459,291402,-151020
365632,-2352,461,290628,-151605
370112,-2284,463,289602,-152055
374656,-2215,465,288270,-152640
379136,-2107,467,286686,-153405
383616,-2019,473,284868,-153900
388160,-1911,473,282816,-154575
392640,-1803,476,280476,-155340
397184,-1647,478,277992,-156240
401664,-1529,487,275310,-156870
406144,-1362,488,272448,-157725
410688,-1225,493,269460,-158535
415168,-1039,493,266310,-159435
419712,-892,502,263070,-160380
424128,-725,506,259776,-161280
428544,-539,507,256464,-162180
432960,-362,517,253080,-163305
437376,-176,525,249678,-164070
441792,-29,528,246294,-165015
446144,176,531,242964,-165960
450432,333,539,239724,-166905
454784,480,543,236520,-167805
459136,696,546,233406,-168705
463424,862,555,230436,-169650
467776,1009,560,227574,-170685
472192,1196,564,224838,-171360
476608,1333,569,222264,-172305
481024,1509,576,219906,-173160
485440,1627,579,217818,-173970
489856,1764,583,215892,-174960
494272,1911,588,214344,-175545
498688,2000,594,212994,-176445
503104,2127,595,211950,-177030
507520,2215,601,211302,-177570
511936,2303,604,210852,-178290
516352,2362,607,210816,-178875
520768,2411,610,211104,-179370
525184,2460,610,211644,-179865
529600,2480,616,212508,-180360
534080,2490,615,213624,-180675
538496,2490,614,215028,-181080
542912,2470,615,216666,-181530
547328,2441,611,218574,-181800
551744,2401,613,220770,-182070
556160,2343,608,223164,-182295
560576,2264,613,225846,-182520
564992,2166,609,228744,-182745
569408,2078,608,231822,-182880
573824,1970,602,235188,-182970
578240,1843,595,238662,-183060
582656,1696,593,242370,-183195
587072,1529,591,246222,-183150
591488,1411,587,250200,-183240
595904,1254,581,254322,-183240
600320,1039,573,258516,-183195
604736,892,568,262854,-183195
609088,696,562,267120,-183195
613376,509,557,271404,-183105
617728,333,552,275742,-183105
622080,117,546,280044,-183105
626432,-88,539,284310,-183060
630720,-235,534,288558,-183105
635136,-450,525,292788,-183015
639552,-666,517,296946,-182970
643968,-862,510,300942,-183015
648448,-1039,511,304758,-183060
652928,-1225,503,308520,-183105
657408,-1382,493,312048,-183195
661952,-1558,486,315342,-183285
666432,-1696,487,318384,-183465
670912,-1872,479,321138,-183600
675456,-1980,256,323586,-183825
679936,-2107,472,325764,-184050
684480,-2215,467,327546,-184455
688960,-2303,464,329040,-184680
693440,-2372,462,330210,-185085
697984,-2431,459,330966,-185490
702464,-2470,458,331398,-185940
707008,-2490,455,331506,-186480
711488,-2490,454,331272,-187020
716032,-2480,458,330714,-187605
720512,-2450,459,329868,-188235
724992,-2392,456,328752,-188865
729536,-2343,463,327366,-189495
734016,-2245,463,325692,-190260
738560,-2156,467,323784,-191025
743040,-2019,472,321696,-191745
747520,-1911,472,319374,-192555
752064,-1745,475,316836,-193500
756544,-1607,479,314136,-194130
761088,-1411,256,311310,-194985
765568,-1254,493,308340,-195885
770048,-1039,496,305262,-196650
774592,-862,502,302148,-197550
779008,-627,510,298998,-198360
783424,-421,512,295848,-199260
787840,-235,522,292716,-199935
792256,0,526,289584,-200790
796416,176,536,286722,-201510
800768,392,539,283788,-202365
805120,598,542,280980,-202995
809408,803,551,278280,-203850
813760,980,557,275724,-204390
818112,1196,565,273366,-204975
822528,1382,570,271134,-205650
826944,1578,576,269136,-206235
831360,1715,583,267444,-206730
835776,1872,588,265950,-207270
840192,2019,593,264762,-207765
844608,2127,597,263934,-208080
849024,2245,602,263358,-208530
853440,2323,602,263178,-208845
857856,2392,609,263304,-209025
862272,2450,611,263718,-209250
866688,2480,615,264456,-209520
871104,2490,616,265446,-209565
875520,2490,613,266742,-209655
879936,2460,612,268290,-209700
884352,2421,615,270090,-209655
888768,2362,611,272142,-209655
893184,2254,614,274464,-209565
897600,2156,608,277020,-209385
902016,2019,607,279810,-209250
906432,1911,600,282780,-209115
910848,1764,593,286020,-208800
915264,1578,594,289404,-208485
919680,1411,585,292914,-208260
924096,1196,577,296604,-207855
928512,1009,571,300438,-207495
932928,754,570,304308,-207225
937280,539,561,308178,-206820
941632,362,551,312120,-206370
945920,117,543,316062,-206010
950272,-117,535,319968,-205605
954688,-303,531,323910,-205110
959104,-568,527,327798,-204750
963520,-774,517,331560,-204165
967936,-1009,505,335232,-203805
972480,-1196,501,338832,-203310
976960,-1431,497,342216,-202950
981504,-1578,487,345402,-202545
985984,-1784,483,348372,-202140
990464,-1931,479,351072,-201780
995008,-2078,472,353484,-201375
999488,-2196,467,355590,-201105
1004032,-2303,466,357426,-200790
1008640,-2382,462,358956,-200520
1013184,-2450,457,360072,-200340
1017792,-2480,455,360882,-200160
1022400,-2500,455,361350,-199890
1027008,-2480,458,361458,-199845
1031616,-2450,459,361188,-199755
1036224,-2392,459,360666,-199620
1040832,-2313,460,359838,-199620
1045440,-2196,463,358668,-199575
1049984,-2058,468,357354,-199620
1054592,-1931,475,355770,-199620
1059200,-1745,471,353934,-199665
1063808,-1578,480,351918,-199755
1068416,-1362,487,349794,-199755
1073024,-1117,495,347472,-199845
1077632,-921,499,345042,-199935
1082112,-666,506,342612,-199980
1086656,-450,512,340128,-200025
1091136,-176,523,337626,-200160
1095680,29,528,335160,-200205
1100032,333,533,332820,-200160
1104448,509,542,330516,-200250
1108864,754,548,328302,-200295
1113280,1009,556,326268,-200160
1117824,1196,564,324342,-200160
1122304,1431,570,322614,-200025
1126848,1627,574,321174,-199890
1131328,1823,585,319932,-199800
1135872,1970,586,319050,-199530
1140352,2127,595,318420,-199215
1144896,2225,598,318132,-198900
1149376,2352,605,318150,-198495
1153920,2431,611,318492,-198135
1158400,2470,611,319104,-197775
1162944,2490,616,319986,-197190
1167424,2490,618,321228,-196650
1171968,2460,615,322722,-196065
1176448,2401,612,324468,-195525
1180992,2313,616,326556,-194760
1185472,2225,609,328878,-193905
1190016,2078,611,331416,-193410
1194560,1950,600,334242,-192555
1199040,1745,599,337266,-191700
1203584,1558,591,340470,-190755
1208064,1362,581,343836,-189990
1212608,1147,579,347364,-189135
1217088,862,577,350964,-188100
1221504,666,558,354636,-187335
1225920,362,549,358326,-186390
1230400,147,548,361998,-185355
1234816,-88,512,365706,-184545
1239232,-362,529,369360,-183600
1243776,-598,518,372960,-182745
1248256,-892,514,376452,-181845
1252800,-1088,506,379818,-180900
1257408,-1362,497,383004,-179910
1261952,-1578,490,385956,-179190
1266560,-1784,483,388674,-178245
1271168,-1970,483,391068,-177570
1275776,-2088,473,393174,-176715
1280384,-2254,468,394884,-176175
1284992,-2362,463,396270,-175590
1289600,-2431,462,397314,-174915
1294208,-2480,458,397908,-174330
1298816,-2490,459,398142,-173970
1303360,-2480,456,398016,-173475
1307968,-2441,453,397548,-173025
1312576,-2372,459,396738,-172755
1317184,-2254,463,395604,-172395
1321792,-2156,466,394218,-172170
1326400,-1980,470,392526,-171990
1331008,-1784,476,390618,-171810
1335616,-1607,482,388494,-171630
1340224,-1362,484,386136,-171495
1344768,-1147,491,383652,-171495
1349376,-862,501,381042,-171360
1353920,-598,507,378360,-171315
1358400,-362,516,375642,-171225
1362944,-58,521,372870,-171180
1367360,205,530,370206,-171180
1371776,421,543,367578,-171090
1376256,754,544,365040,-171090
