time(s),reference current(A),current(A),cart position(m),pendulum angle(rad)
0.00768,0.0,0.534,0.0,-3.14159265
0.0112,0.117,0.532,0.0,-3.14159265
0.01504,0.235,0.538,0.0,-3.14159265
0.018816,0.333,0.543,1.8e-05,-3.14080725184
0.02272,0.45,0.543,3.6e-05,-3.14080725184
0.026624,0.568,0.547,9e-05,-3.14080725184
0.030528,0.696,0.548,0.000162,-3.14080725184
0.034496,0.803,0.556,0.00027,-3.14002185367
0.038464,0.921,0.559,0.000414,-3.13923645551
0.042496,1.039,0.562,0.000648,-3.13923645551
0.046528,1.176,0.567,0.000936,-3.13845105735
0.050624,1.284,0.571,0.00135,-3.13688026102
0.05472,1.382,0.576,0.001854,-3.13609486286
0.05888,1.48,0.577,0.002484,-3.13452406654
0.06304,1.627,0.582,0.003204,-3.13295327021
0.0672,1.715,0.586,0.004068,-3.13138247389
0.07136,1.803,0.587,0.00504,-3.12824088124
0.07552,1.911,0.592,0.006174,-3.12588468675
0.07968,1.98,0.598,0.007452,-3.12352849226
0.08384,2.058,0.599,0.008874,-3.12038689961
0.088,2.137,0.604,0.010476,-3.1164599088
0.092224,2.215,0.605,0.012312,-3.11096212166
0.096448,2.264,0.607,0.014256,-3.10782052901
0.100672,2.323,0.612,0.016416,-3.10310814004
0.105024,2.382,0.613,0.0189,-3.09525415841
0.109376,2.421,0.621,0.021528,-3.09054176944
0.113664,2.45,0.617,0.024336,-3.0850439823
0.118016,2.47,0.623,0.02745,-3.07640460251
0.122368,2.49,0.62,0.030762,-3.06933601905
0.126656,2.49,0.613,0.034236,-3.06305283375
0.131008,2.49,0.613,0.037998,-3.05441345396
0.13536,2.48,0.622,0.04194,-3.04263248153
0.139648,2.46,0.62,0.046134,-3.03634929623
0.144,2.431,0.62,0.050526,-3.02613912011
0.148352,2.392,0.621,0.055152,-3.01514354584
0.15264,2.362,0.621,0.059994,-3.00493336973
0.156992,2.294,0.618,0.065052,-2.99236699913
0.161344,2.245,0.616,0.070308,-2.98215682301
0.165696,2.166,0.617,0.075744,-2.97037585057
0.169984,2.078,0.611,0.08136,-2.9593802763
0.174336,2.0,0.603,0.087174,-2.94602850754
0.178688,1.911,0.6,0.093168,-2.93346213694
0.182976,1.803,0.605,0.09927,-2.91853957185
0.187328,1.696,0.6,0.105498,-2.90754399757
0.191744,1.578,0.587,0.112032,-2.89183603433
0.19616,1.46,0.594,0.118638,-2.88005506189
0.200576,1.333,0.584,0.125334,-2.86434709864
0.204992,1.176,0.578,0.132156,-2.85178072804
0.209408,1.039,0.578,0.139032,-2.83607276479
0.213824,0.921,0.566,0.145944,-2.82429179235
0.218176,0.754,0.57,0.152802,-2.81094002359
0.222464,0.598,0.556,0.159624,-2.79758825482
0.226816,0.45,0.558,0.166464,-2.78423648606
0.231168,0.303,0.549,0.173304,-2.77009931914
0.23552,0.147,0.543,0.180072,-2.75753294854
0.239808,0.0,0.544,0.186768,-2.74418117977
0.243968,-0.176,0.53,0.193158,-2.7331856055
0.248384,-0.333,0.528,0.199854,-2.71904843858
0.2528,-0.45,0.529,0.206406,-2.70883826246
0.257216,-0.666,0.514,0.21285,-2.69784268819
0.261632,-0.774,0.512,0.219132,-2.68684711391
0.266112,-0.95,0.513,0.225252,-2.6766369378
0.270528,-1.088,0.501,0.23121,-2.66564136353
0.275008,-1.284,0.494,0.237006,-2.65700198374
0.279488,-1.382,0.256,0.242568,-2.64757720579
0.284032,-1.529,0.489,0.247914,-2.64050862233
0.288512,-1.647,0.49,0.253008,-2.6326546407
0.292992,-1.803,0.484,0.257796,-2.6263714554
0.297536,-1.892,0.476,0.262296,-2.62087366826
0.302016,-2.0,0.471,0.266472,-2.61694667745
0.30656,-2.088,0.466,0.270324,-2.61223428848
0.31104,-2.196,0.465,0.273852,-2.60987809399
0.31552,-2.264,0.466,0.27702,-2.6075218995
0.320064,-2.343,0.463,0.279846,-2.60673650134
0.324544,-2.392,0.46,0.282294,-2.60673650134
0.329088,-2.431,0.458,0.284382,-2.60673650134
0.333568,-2.46,0.459,0.286092,-2.60909269583
0.338048,-2.49,0.462,0.287424,-2.61144889031
0.342592,-2.49,0.459,0.288432,-2.61459048296
0.347072,-2.49,0.456,0.289026,-2.6200882701
0.351616,-2.48,0.457,0.289224,-2.62558605724
0.356096,-2.45,0.457,0.289098,-2.63186924254
0.360576,-2.401,0.46,0.28863,-2.63972322416
0.36512,-2.352,0.462,0.287874,-2.64993340028
0.3696,-2.294,0.463,0.286812,-2.65700198374
0.374144,-2.215,0.465,0.28548,-2.66721215985
0.378624,-2.127,0.466,0.283878,-2.67899313229
0.383104,-2.019,0.471,0.282078,-2.68998870656
0.387648,-1.931,0.473,0.280044,-2.70098428084
0.392128,-1.803,0.472,0.27774,-2.71355065144
0.396672,-1.676,0.481,0.275238,-2.72768781836
0.401152,-1.529,0.487,0.272574,-2.74339578161
0.405632,-1.411,0.489,0.269748,-2.75517675405
0.410176,-1.225,0.493,0.266742,-2.77009931914
0.414656,-1.088,0.496,0.26361,-2.78502188423
0.419136,-0.892,0.503,0.26037,-2.80072984747
0.423616,-0.754,0.509,0.257112,-2.81722320889
0.428032,-0.539,0.507,0.253782,-2.83293117214
0.432448,-0.392,0.517,0.250398,-2.84942453355
0.436864,-0.235,0.52,0.247014,-2.86827408945
0.44128,-0.029,0.527,0.243612,-2.88162585821
0.445632,0.147,0.532,0.2403,-2.89811921963
0.44992,0.333,0.535,0.237006,-2.91461258104
0.454272,0.48,0.542,0.233802,-2.93032054429
0.458624,0.666,0.547,0.230688,-2.94602850754
0.462912,0.862,0.553,0.227646,-2.9656634616
0.467264,1.009,0.559,0.224784,-2.9782298322
0.47168,1.147,0.564,0.222012,-2.99629398994
0.476096,1.333,0.568,0.219438,-3.00886036054
0.480512,1.48,0.574,0.217062,-3.02378292562
0.484928,1.627,0.58,0.214902,-3.03792009255
0.489344,1.764,0.583,0.213048,-3.05205725948
0.49376,1.892,0.59,0.211446,-3.06855062089
0.498176,2.0,0.594,0.210114,-3.07954619516
0.502592,2.107,0.599,0.209088,-3.0913271676
0.507008,2.215,0.6,0.20835,-3.10232274188
0.511424,2.284,0.606,0.208044,-3.11174751983
0.51584,2.352,0.609,0.208008,-3.12117229778
0.520256,2.411,0.608,0.20826,-3.13216787205
0.524672,2.45,0.611,0.208872,-3.13923645551
0.529088,2.48,0.613,0.209736,-3.14709043714
0.533504,2.49,0.615,0.210852,-3.15494441876
0.53792,2.49,0.617,0.212256,-3.16122760406
0.542336,2.48,0.618,0.213876,-3.16829618753
0.546816,2.45,0.613,0.215766,-3.1730085765
0.551232,2.401,0.61,0.217962,-3.17693556731
0.555648,2.352,0.613,0.220356,-3.18321875261
