time(us),reference current(mA),current(mA),cart position(um),pendulum angle(mdeg)
7680,0,534,0,-180000
11200,117,532,0,-180000
15040,235,538,0,-180000
18816,333,543,18,-179955
22720,450,543,36,-179955
26624,568,547,90,-179955
30528,696,548,162,-179955
34496,803,556,270,-179910
38464,921,559,414,-179865
42496,1039,562,648,-179865
46528,1176,567,936,-179820
50624,1284,571,1350,-179730
54720,1382,576,1854,-179685
58880,1480,577,2484,-179595
63040,1627,582,3204,-179505
67200,1715,586,4068,-179415
71360,1803,587,5040,-179235
75520,1911,592,6174,-179100
79680,1980,598,7452,-178965
83840,2058,599,8874,-178785
88000,2137,604,10476,-178560
92224,2215,605,12312,-178245
96448,2264,607,14256,-178065
100672,2323,612,16416,-177795
105024,2382,613,18900,-177345
109376,2421,621,21528,-177075
113664,2450,617,24336,-176760
118016,2470,623,27450,-176265
122368,2490,620,30762,-175860
126656,2490,613,34236,-175500
131008,2490,613,37998,-175005
135360,2480,622,41940,-174330
139648,2460,620,46134,-173970
144000,2431,620,50526,-173385
148352,2392,621,55152,-172755
152640,2362,621,59994,-172170
156992,2294,618,65052,-171450
161344,2245,616,70308,-170865
165696,2166,617,75744,-170190
169984,2078,611,81360,-169560
174336,2000,603,87174,-168795
178688,1911,600,93168,-168075
182976,1803,605,99270,-167220
187328,1696,600,105498,-166590
191744,1578,587,112032,-165690
196160,1460,594,118638,-165015
200576,1333,584,125334,-164115
204992,1176,578,132156,-163395
209408,1039,578,139032,-162495
213824,921,566,145944,-161820
218176,754,570,152802,-161055
222464,598,556,159624,-160290
226816,450,558,166464,-159525
231168,303,549,173304,-158715
235520,147,543,180072,-157995
239808,0,544,186768,-157230
243968,-176,530,193158,-156600
248384,-333,528,199854,-155790
252800,-450,529,206406,-155205
257216,-666,514,212850,-154575
261632,-774,512,219132,-153945
266112,-950,513,225252,-153360
270528,-1088,501,231210,-152730
275008,-1284,494,237006,-152235
279488,-1382,256,242568,-151695
284032,-1529,489,247914,-151290
288512,-1647,490,253008,-150840
292992,-1803,484,257796,-150480
297536,-1892,476,262296,-150165
302016,-2000,471,266472,-149940
306560,-2088,466,270324,-149670
311040,-2196,465,273852,-149535
315520,-2264,466,277020,-149400
320064,-2343,463,279846,-149355
324544,-2392,460,282294,-149355
329088,-2431,458,284382,-149355
333568,-2460,459,286092,-149490
338048,-2490,462,287424,-149625
342592,-2490,459,288432,-149805
347072,-2490,456,289026,-150120
351616,-2480,457,289224,-150435
356096,-2450,457,289098,-150795
360576,-2401,460,288630,-151245
365120,-2352,462,287874,-151830
369600,-2294,463,286812,-152235
374144,-2215,465,285480,-152820
378624,-2127,466,283878,-153495
383104,-2019,471,282078,-154125
387648,-1931,473,280044,-154755
392128,-1803,472,277740,-155475
396672,-1676,481,275238,-156285
401152,-1529,487,272574,-157185
405632,-1411,489,269748,-157860
410176,-1225,493,266742,-158715
414656,-1088,496,263610,-159570
419136,-892,503,260370,-160470
423616,-754,509,257112,-161415
428032,-539,507,253782,-162315
432448,-392,517,250398,-163260
436864,-235,520,247014,-164340
