time(s),reference current(A),current(A),cart position(m),pendulum angle(rad)
0.00768,0.0,0.156,0.0,-3.14159265
0.0112,0.117,-0.026,0.0,-3.14159265
0.01504,0.235,-0.104,0.0,-3.14159265
0.01888,0.333,0.156,1.8e-05,-3.14159265
0.022784,0.45,0.286,3.6e-05,-3.14159265
0.026688,0.568,0.26,7.2e-05,-3.14159265
0.030592,0.696,0.312,0.000144,-3.14080725184
0.03456,0.803,0.572,0.000252,-3.14080725184
0.038592,0.921,0.598,0.000414,-3.14002185367
0.04256,1.039,0.416,0.00063,-3.14002185367
0.046592,1.176,0.728,0.000918,-3.13923645551
0.050688,1.284,0.858,0.001278,-3.13845105735
0.054848,1.382,0.858,0.001746,-3.13688026102
0.059008,1.509,0.754,0.002322,-3.1353094647
0.063168,1.627,0.962,0.00297,-3.1353094647
0.067264,1.715,1.04,0.003762,-3.13216787205
0.071552,1.803,1.04,0.004716,-3.12981167756
0.075776,1.911,0.91,0.005814,-3.12824088124
0.079936,2.0,1.326,0.00702,-3.12509928859
0.08416,2.078,1.04,0.008442,-3.12117229778
0.088384,2.137,1.3,0.010062,-3.11724530696
0.092736,2.215,1.404,0.011826,-3.11410371431
0.097024,2.284,1.534,0.013824,-3.1101767235
0.101376,2.343,1.43,0.016038,-3.10467893636
0.105792,2.382,1.17,0.018468,-3.09839575106
0.110208,2.431,1.274,0.02115,-3.09289796393
0.114624,2.45,1.3,0.02403,-3.08582938046
0.11904,2.48,1.586,0.027126,-3.078760797
0.123456,2.49,1.508,0.030474,-3.07169221354
0.127872,2.5,1.508,0.034002,-3.06305283375
0.132288,2.49,1.508,0.037764,-3.05598425029
0.136704,2.48,1.612,0.041814,-3.04498867601
0.14112,2.45,1.638,0.046044,-3.03713469439
0.145536,2.431,1.43,0.050544,-3.02535372195
0.149952,2.382,1.716,0.055242,-3.01671434216
0.154368,2.343,1.69,0.060156,-3.00571876789
0.158784,2.284,1.3,0.065304,-2.99472319361
0.1632,2.196,1.612,0.07065,-2.98372761934
0.167616,2.137,1.378,0.076176,-2.9719466469
0.172032,2.039,1.196,0.0819,-2.95859487814
0.176448,1.97,1.326,0.087786,-2.94602850754
0.180864,1.872,1.404,0.093834,-2.93346213694
0.18528,1.745,1.222,0.100062,-2.91775417369
0.18976,1.627,1.066,0.106506,-2.90675859941
0.194304,1.509,1.17,0.113094,-2.89340683065
0.198784,1.382,0.988,0.119808,-2.87848426556
0.2032,1.225,0.858,0.126468,-2.8651324968
0.207616,1.088,0.858,0.1332,-2.85178072804
0.212032,0.95,0.598,0.140004,-2.83764356111
0.216384,0.803,0.546,0.146718,-2.82193559786
0.220736,0.696,0.442,0.153414,-2.81094002359
0.225024,0.48,0.624,0.160146,-2.79837365299
0.229376,0.362,0.286,0.16686,-2.78423648606
0.233728,0.205,0.156,0.173556,-2.76931392098
0.238016,0.029,0.156,0.180162,-2.75910374486
0.242304,-0.117,0.052,0.186588,-2.74653737426
0.246656,-0.235,-0.026,0.193086,-2.73554179999
0.251072,-0.421,-0.13,0.199584,-2.72297542939
0.255552,-0.568,-0.364,0.206082,-2.71197985511
0.260032,-0.754,-0.286,0.212418,-2.70098428084
0.264576,-0.892,-0.598,0.218592,-2.68763251207
0.269056,-1.068,-0.65,0.224568,-2.67977853045
0.273664,-1.196,-0.702,0.230454,-2.6703537525
0.278272,-1.362,-0.78,0.236106,-2.66249977088
0.282816,-1.48,-0.832,0.241506,-2.65228959476
0.287424,-1.627,-0.936,0.246636,-2.64600640946
0.292032,-1.764,-0.962,0.251442,-2.63972322416
0.296576,-1.872,-1.222,0.255978,-2.63422543703
0.301248,-1.98,-1.222,0.260262,-2.62951304805
0.30592,-2.088,-1.404,0.264222,-2.62480065907
0.310656,-2.186,-1.456,0.267822,-2.62165906642
0.315328,-2.264,-1.3,0.271026,-2.6200882701
0.32,-2.343,-1.404,0.27387,-2.61930287194
0.324672,-2.392,-1.456,0.2763,-2.61851747377
0.329344,-2.431,-1.482,0.278388,-2.6200882701
0.334016,-2.47,-1.404,0.280008,-2.62244446459
0.338688,-2.49,-1.378,0.281286,-2.62480065907
0.34336,-2.5,-1.456,0.282186,-2.62872764989
0.348032,-2.49,-1.536,0.282636,-2.63501083519
0.352704,-2.47,-1.43,0.282726,-2.64129402049
0.357376,-2.441,-1.404,0.282456,-2.64836260395
0.362048,-2.392,-1.196,0.281844,-2.65543118741
0.36672,-2.343,-1.586,0.280926,-2.6640705672
0.371392,-2.264,-1.066,0.279684,-2.67349534515
0.376064,-2.166,-1.248,0.278172,-2.68449091942
0.380736,-2.088,-1.326,0.276408,-2.69627189186
0.385408,-1.98,-0.91,0.274392,-2.7080528643
0.390016,-1.843,-1.222,0.272142,-2.7206192349
0.394688,-1.745,-0.858,0.269658,-2.73475640182
0.399296,-1.578,-0.962,0.26703,-2.74810817059
0.403904,-1.46,-0.728,0.264204,-2.76224533751
0.408448,-1.303,-0.884,0.261216,-2.77795330076
0.413056,-1.117,-0.676,0.258102,-2.79523206034
0.417664,-0.98,-0.676,0.254862,-2.81094002359
0.422144,-0.774,-0.364,0.251586,-2.82429179235
0.426688,-0.627,-0.364,0.24822,-2.84078515376
0.431168,-0.421,-0.39,0.244836,-2.85649311701
0.435648,-0.274,-0.234,0.24138,-2.87298647843
0.440192,-0.058,-0.026,0.237942,-2.88947983984
0.44448,0.088,0.026,0.234648,-2.90518780309
0.448704,0.235,-0.026,0.231516,-2.92403735899
0.452992,0.45,0.0,0.228312,-2.93738912775
0.457152,0.598,0.286,0.225324,-2.95231169284
0.461504,0.774,0.312,0.222318,-2.96801965609
0.465856,0.921,0.598,0.21942,-2.98686921199
0.470144,1.117,0.494,0.216702,-2.99865018443
0.47456,1.284,0.676,0.21411,-3.01357274951
0.478976,1.431,0.78,0.21168,-3.03006611093
0.483392,1.578,1.014,0.209502,-3.04498867601
0.487936,1.715,0.78,0.20754,-3.05676964845
0.492352,1.843,1.066,0.20583,-3.07326300986
0.496832,1.97,1.066,0.204408,-3.08347318597
0.501312,2.078,1.352,0.203274,-3.0976103529
0.505856,2.166,1.43,0.202428,-3.10860592718
0.510336,2.264,1.482,0.20196,-3.11960150145
0.51488,2.323,1.456,0.201816,-3.12824088124
0.51936,2.392,1.404,0.201924,-3.13923645551
0.52384,2.441,1.482,0.20241,-3.14709043714
0.528384,2.48,1.82,0.203148,-3.1541590206
0.532864,2.49,1.534,0.204138,-3.16436919671
0.537344,2.49,1.742,0.205434,-3.16908158569
0.541888,2.48,1.56,0.207018,-3.17457937283
0.546368,2.45,1.456,0.2088,-3.18243335445
0.550848,2.411,1.378,0.210888,-3.1855749471
0.555392,2.352,1.508,0.213246,-3.19028733607
0.559872,2.284,1.69,0.215784,-3.19657052137
0.564352,2.196,1.534,0.218664,-3.19657052137
0.568896,2.107,1.638,0.221688,-3.19971211402
0.573376,1.97,1.404,0.224892,-3.204424503
0.577856,1.872,1.17,0.228402,-3.20285370668
0.5824,1.696,1.274,0.232038,-3.204424503
0.58688,1.578,1.04,0.2358,-3.20756609565
0.591424,1.411,1.066,0.239778,-3.20678069749
0.595904,1.254,1.014,0.243882,-3.20520990116
0.600384,1.039,0.702,0.24804,-3.20835149381
0.6048,0.892,0.624,0.252234,-3.20599529933
0.609152,0.696,0.52,0.256428,-3.20520990116
0.613504,0.509,0.546,0.260622,-3.20599529933
0.617792,0.333,0.39,0.264852,-3.204424503
0.622144,0.117,0.182,0.269082,-3.20285370668
0.626496,-0.088,0.078,0.273258,-3.20363910484
0.63072,-0.235,-0.026,0.27729,-3.20285370668
0.635136,-0.45,-0.13,0.28143,-3.20128291035
0.63968,-0.666,-0.234,0.285534,-3.20363910484
0.64416,-0.862,-0.494,0.28953,-3.20206830851
0.648704,-1.039,-0.728,0.293364,-3.20128291035
0.653248,-1.225,-0.915,0.297054,-3.20363910484
0.657856,-1.382,-0.65,0.300546,-3.204424503
0.662464,-1.558,-0.962,0.30384,-3.20520990116
0.667008,-1.745,-1.118,0.30681,-3.20913689198
0.67168,-1.872,-1.066,0.30951,-3.21149308646
0.676352,-2.019,-1.3,0.312012,-3.21384928095
0.681088,-2.137,-1.196,0.314082,-3.22091786441
0.68576,-2.225,-1.508,0.31581,-3.22563025339
0.690432,-2.323,-1.482,0.317214,-3.23034264236
0.695104,-2.392,-1.378,0.318204,-3.23741122583
0.699776,-2.441,-1.536,0.318852,-3.24683600377
0.704448,-2.48,-1.508,0.319104,-3.25311918907
0.70912,-2.49,-1.3,0.319014,-3.26254396703
0.713792,-2.49,-1.56,0.318582,-3.27432493946
0.718464,-2.47,-1.196,0.317898,-3.28296431925
0.723136,-2.421,-1.326,0.31689,-3.29317449536
0.727808,-2.372,-1.56,0.315558,-3.30652626412
0.73248,-2.284,-1.17,0.313992,-3.31909263473
0.737152,-2.166,-1.196,0.312174,-3.330088209
0.741824,-2.078,-1.482,0.310086,-3.34343997776
0.746496,-1.931,-0.884,0.307818,-3.35757714469
0.751104,-1.784,-1.43,0.305334,-3.37014351529
0.755776,-1.627,-1.17,0.302634,-3.38585147854
0.760448,-1.46,-0.754,0.299826,-3.40155944179
0.765056,-1.254,-0.91,0.29691,-3.41491121055
0.769664,-1.068,-0.702,0.29385,-3.4306191738
0.774208,-0.862,-0.884,0.290772,-3.44240014624
0.778752,-0.696,-0.442,0.287694,-3.455751915
0.783232,-0.421,-0.39,0.284526,-3.47145987825
0.787776,-0.235,-0.13,0.281412,-3.48481164701
0.792256,0.0,-0.026,0.278352,-3.49737801761
0.796416,0.176,0.026,0.275526,-3.50994438821
0.80064,0.392,0.13,0.272718,-3.52251075881
0.804992,0.598,0.208,0.270018,-3.53350633309
0.809344,0.803,0.442,0.26739,-3.54607270369
0.813696,0.98,0.494,0.264924,-3.55942447245
0.817984,1.196,0.234,0.262638,-3.56727845408
0.8224,1.382,0.468,0.260496,-3.57827402835
0.826816,1.529,0.91,0.258588,-3.58848420446
0.831232,1.715,0.858,0.256932,-3.59790898241
0.835648,1.872,1.092,0.25551,-3.6065483622
0.840192,2.019,1.274,0.254412,-3.61440234383
