time(us),reference current(mA),current(mA),cart position(um),pendulum angle(mdeg)

7680,0,156,0,-180000

11200,117,-26,0,-180000

15040,235,-104,0,-180000

18880,333,156,18,-180000

22784,450,286,36,-180000

26688,568,260,72,-180000

30592,696,312,144,-179955

34560,803,572,252,-179955

38592,921,598,414,-179910

42560,1039,416,630,-179910

46592,1176,728,918,-179865

50688,1284,858,1278,-179820

54848,1382,858,1746,-179730

59008,1509,754,2322,-179640

63168,1627,962,2970,-179640

67264,1715,1040,3762,-179460

71552,1803,1040,4716,-179325

75776,1911,910,5814,-179235

79936,2000,1326,7020,-179055

84160,2078,1040,8442,-178830

88384,2137,1300,10062,-178605

92736,2215,1404,11826,-178425

97024,2284,1534,13824,-178200

101376,2343,1430,16038,-177885

105792,2382,1170,18468,-177525

110208,2431,1274,21150,-177210

114624,2450,1300,24030,-176805

119040,2480,1586,27126,-176400

123456,2490,1508,30474,-175995

127872,2500,1508,34002,-175500

132288,2490,1508,37764,-175095

136704,2480,1612,41814,-174465

141120,2450,1638,46044,-174015

145536,2431,1430,50544,-173340

149952,2382,1716,55242,-172845

154368,2343,1690,60156,-172215

158784,2284,1300,65304,-171585

163200,2196,1612,70650,-170955

167616,2137,1378,76176,-170280

172032,2039,1196,81900,-169515

176448,1970,1326,87786,-168795

180864,1872,1404,93834,-168075

185280,1745,1222,100062,-167175

189760,1627,1066,106506,-166545

194304,1509,1170,113094,-165780

198784,1382,988,119808,-164925

203200,1225,858,126468,-164160

207616,1088,858,133200,-163395

212032,950,598,140004,-162585

216384,803,546,146718,-161685

220736,696,442,153414,-161055

225024,480,624,160146,-160335

229376,362,286,166860,-159525

233728,205,156,173556,-158670

238016,29,156,180162,-158085

242304,-117,52,186588,-157365

246656,-235,-26,193086,-156735

251072,-421,-130,199584,-156015

255552,-568,-364,206082,-155385

260032,-754,-286,212418,-154755

264576,-892,-598,218592,-153990

269056,-1068,-650,224568,-153540

273664,-1196,-702,230454,-153000

278272,-1362,-780,236106,-152550

282816,-1480,-832,241506,-151965

287424,-1627,-936,246636,-151605

292032,-1764,-962,251442,-151245

296576,-1872,-1222,255978,-150930

301248,-1980,-1222,260262,-150660

305920,-2088,-1404,264222,-150390

310656,-2186,-1456,267822,-150210

315328,-2264,-1300,271026,-150120

320000,-2343,-1404,273870,-150075

324672,-2392,-1456,276300,-150030

329344,-2431,-1482,278388,-150120

334016,-2470,-1404,280008,-150255

338688,-2490,-1378,281286,-150390

343360,-2500,-1456,282186,-150615

348032,-2490,-1536,282636,-150975

352704,-2470,-1430,282726,-151335

357376,-2441,-1404,282456,-151740

362048,-2392,-1196,281844,-152145

366720,-2343,-1586,280926,-152640

371392,-2264,-1066,279684,-153180

376064,-2166,-1248,278172,-153810

380736,-2088,-1326,276408,-154485

385408,-1980,-910,274392,-155160

390016,-1843,-1222,272142,-155880

394688,-1745,-858,269658,-156690

399296,-1578,-962,267030,-157455

403904,-1460,-728,264204,-158265

408448,-1303,-884,261216,-159165

413056,-1117,-676,258102,-160155

417664,-980,-676,254862,-161055

422144,-774,-364,251586,-161820

426688,-627,-364,248220,-162765

431168,-421,-390,244836,-163665

435648,-274,-234,241380,-164610

440192,-58,-26,237942,-165555

444480,88,26,234648,-166455

448704,235,-26,231516,-167535

452992,450,0,228312,-168300

457152,598,286,225324,-169155

461504,774,312,222318,-170055

465856,921,598,219420,-171135

470144,1117,494,216702,-171810

474560,1284,676,214110,-172665

478976,1431,780,211680,-173610

483392,1578,1014,209502,-174465

487936,1715,780,207540,-175140

492352,1843,1066,205830,-176085

496832,1970,1066,204408,-176670

501312,2078,1352,203274,-177480

505856,2166,1430,202428,-178110

510336,2264,1482,201960,-178740

514880,2323,1456,201816,-179235

519360,2392,1404,201924,-179865

523840,2441,1482,202410,-180315

528384,2480,1820,203148,-180720

532864,2490,1534,204138,-181305

537344,2490,1742,205434,-181575

541888,2480,1560,207018,-181890

546368,2450,1456,208800,-182340

550848,2411,1378,210888,-182520

555392,2352,1508,213246,-182790

559872,2284,1690,215784,-183150

564352,2196,1534,218664,-183150

568896,2107,1638,221688,-183330

573376,1970,1404,224892,-183600

577856,1872,1170,228402,-183510

582400,1696,1274,232038,-183600

586880,1578,1040,235800,-183780

591424,1411,1066,239778,-183735

595904,1254,1014,243882,-183645

600384,1039,702,248040,-183825

604800,892,624,252234,-183690

609152,696,520,256428,-183645

613504,509,546,260622,-183690

617792,333,390,264852,-183600

622144,117,182,269082,-183510

626496,-88,78,273258,-183555

630720,-235,-26,277290,-183510

635136,-450,-130,281430,-183420

639680,-666,-234,285534,-183555

644160,-862,-494,289530,-183465

648704,-1039,-728,293364,-183420

653248,-1225,-915,297054,-183555

657856,-1382,-650,300546,-183600

662464,-1558,-962,303840,-183645

667008,-1745,-1118,306810,-183870

671680,-1872,-1066,309510,-184005

676352,-2019,-1300,312012,-184140

681088,-2137,-1196,314082,-184545

685760,-2225,-1508,315810,-184815

690432,-2323,-1482,317214,-185085

695104,-2392,-1378,318204,-185490

699776,-2441,-1536,318852,-186030

704448,-2480,-1508,319104,-186390

709120,-2490,-1300,319014,-186930

713792,-2490,-1560,318582,-187605

718464,-2470,-1196,317898,-188100

723136,-2421,-1326,316890,-188685

727808,-2372,-1560,315558,-189450

732480,-2284,-1170,313992,-190170

737152,-2166,-1196,312174,-190800

741824,-2078,-1482,310086,-191565

746496,-1931,-884,307818,-192375

751104,-1784,-1430,305334,-193095

755776,-1627,-1170,302634,-193995

760448,-1460,-754,299826,-194895

765056,-1254,-910,296910,-195660

769664,-1068,-702,293850,-196560

774208,-862,-884,290772,-197235

778752,-696,-442,287694,-198000

783232,-421,-390,284526,-198900

787776,-235,-130,281412,-199665

792256,0,-26,278352,-200385

796416,176,26,275526,-201105

800640,392,130,272718,-201825

804992,598,208,270018,-202455

809344,803,442,267390,-203175

813696,980,494,264924,-203940

817984,1196,234,262638,-204390

822400,1382,468,260496,-205020

826816,1529,910,258588,-205605

831232,1715,858,256932,-206145

835648,1872,1092,255510,-206640

840192,2019,1274,254412,-207090

844672,2127,1378,253602,-207405

849152,2245,1222,253116,-207765

853696,2323,1456,252954,-208035

858176,2401,1326,253080,-208260

862656,2450,1482,253584,-208440

867200,2490,1378,254304,-208665

871680,2490,1378,255366,-208665

876224,2480,1612,256680,-208710

880704,2460,1638,258264,-208845

885184,2392,1742,260190,-208665

889728,2343,1560,262278,-208620

894208,2245,1586,264672,-208530

