time(s),reference current(A),current(A),cart position(m),pendulum angle(rad)
0.00768,0.0,0.026,0.0,-3.14159265
0.011136,0.117,0.052,0.0,-3.14159265
0.014848,0.205,0.026,0.0,-3.14159265
0.01856,0.333,0.13,0.0,-3.14159265
0.0224,0.45,0.312,1.8e-05,-3.14159265
0.026304,0.568,0.39,3.6e-05,-3.14159265
0.030208,0.696,0.39,9e-05,-3.14080725184
0.034048,0.803,0.364,0.00018,-3.14080725184
0.03808,0.921,0.416,0.000306,-3.14080725184
0.042048,1.039,0.624,0.000468,-3.14002185367
0.04608,1.176,0.65,0.00072,-3.14002185367
0.050176,1.284,0.65,0.001026,-3.13845105735
0.054336,1.382,0.806,0.00144,-3.13845105735
0.058496,1.48,0.91,0.001962,-3.13688026102
0.062656,1.607,0.78,0.002592,-3.1353094647
0.066752,1.696,0.936,0.00333,-3.13373866837
0.070912,1.803,0.962,0.00423,-3.13059707572
0.075072,1.911,1.17,0.005238,-3.1290262794
0.079296,1.98,1.248,0.006444,-3.12667008491
0.083584,2.058,1.222,0.00783,-3.12195769594
0.087808,2.127,1.508,0.009378,-3.11881610329
0.092032,2.215,1.248,0.011088,-3.1164599088
0.096384,2.264,1.222,0.013014,-3.11253291799
0.100672,2.323,1.508,0.015192,-3.10546433453
0.105088,2.382,1.352,0.017586,-3.09996654739
0.109504,2.421,1.28,0.02016,-3.09682495474
0.11392,2.45,1.43,0.02304,-3.08661477862
0.118336,2.47,1.534,0.026118,-3.08111699149
0.122752,2.49,1.898,0.02934,-3.07561920435
0.127168,2.5,1.612,0.032868,-3.06540902824
0.131584,2.49,1.482,0.036612,-3.05755504661
0.136,2.48,1.69,0.040536,-3.04970106499
0.140416,2.46,1.612,0.044766,-3.04027628704
0.144832,2.431,1.404,0.049176,-3.02928071276
0.149248,2.392,1.56,0.05382,-3.02064133297
0.153664,2.352,1.404,0.058698,-3.00886036054
0.15808,2.284,1.56,0.063774,-2.99786478626
0.162496,2.225,1.56,0.069048,-2.98686921199
0.166912,2.137,1.274,0.074538,-2.97508823955
0.171328,2.058,1.378,0.080208,-2.96173647079
0.175744,1.98,1.274,0.086022,-2.94995549835
0.18016,1.872,1.43,0.092016,-2.93738912775
0.184576,1.764,1.274,0.09819,-2.92089576634
0.188992,1.627,1.144,0.10449,-2.91068559022
0.193536,1.529,1.092,0.110988,-2.89733382146
0.198016,1.382,1.014,0.11763,-2.88319665454
0.20256,1.284,0.858,0.124362,-2.86984488578
0.206976,1.088,0.936,0.13104,-2.85570771885
0.211392,0.98,0.512,0.13779,-2.84235595009
0.21568,0.833,0.676,0.144432,-2.82821878316
0.220032,0.696,0.624,0.15111,-2.8148670144
0.224384,0.539,0.416,0.157806,-2.8023006438
0.228672,0.392,0.39,0.164484,-2.78816347687
0.233024,0.205,0.338,0.171126,-2.77402630995
0.237376,0.058,-0.078,0.177696,-2.76381613384
0.2416,-0.088,0.078,0.184104,-2.75124976324
0.245888,-0.205,0.026,0.190422,-2.73789799447
0.250176,-0.392,-0.234,0.196758,-2.7269024202
0.25472,-0.539,-0.364,0.20322,-2.71747764225
0.2592,-0.725,-0.234,0.209538,-2.70569666981
0.26368,-0.862,-0.78,0.215694,-2.6954864937
0.268224,-1.039,-0.52,0.221652,-2.68527631759
0.272768,-1.176,-0.494,0.22752,-2.67585153964
0.277376,-1.333,-0.676,0.23319,-2.66642676169
0.281984,-1.48,-0.988,0.23859,-2.6577873819
0.286592,-1.607,-1.092,0.243666,-2.64993340028
0.291264,-1.745,-0.962,0.24858,-2.64365021498
0.295808,-1.843,-1.456,0.253116,-2.638937826
0.30048,-1.97,-1.092,0.257418,-2.63422543703
0.305152,-2.078,-1.144,0.261342,-2.62951304805
0.309824,-2.156,-1.352,0.264942,-2.62715685356
0.31456,-2.245,-1.326,0.2682,-2.62401526091
0.319232,-2.323,-1.508,0.271062,-2.62322986275
0.323904,-2.372,-1.456,0.273546,-2.62401526091
0.328576,-2.431,-1.456,0.275598,-2.62401526091
0.333248,-2.46,-1.378,0.277326,-2.6263714554
0.33792,-2.49,-1.56,0.278586,-2.62872764989
0.342592,-2.49,-1.638,0.27945,-2.63344003886
0.347264,-2.49,-1.586,0.279972,-2.63815242784
0.351936,-2.47,-1.43,0.280116,-2.64443561314
0.356608,-2.45,-1.482,0.279846,-2.6515041966
0.36128,-2.392,-1.17,0.27927,-2.65857278006
0.365952,-2.343,-1.144,0.278406,-2.66878295618
0.370624,-2.284,-1.404,0.2772,-2.67742233596
0.375296,-2.196,-1.404,0.275706,-2.68684711391
0.379968,-2.088,-1.196,0.273996,-2.69862808635
0.38464,-2.0,-1.248,0.271944,-2.71040905879
0.389312,-1.892,-1.118,0.269712,-2.72297542939
0.393984,-1.745,-0.988,0.267246,-2.73632719815
0.398592,-1.627,-0.728,0.264582,-2.75124976324
0.4032,-1.46,-0.962,0.261756,-2.76538693016
0.407808,-1.333,-0.702,0.258804,-2.78030949525
0.412352,-1.147,-0.676,0.255636,-2.7960174585
0.41696,-0.98,-0.65,0.25236,-2.81094002359
0.42144,-0.833,-0.416,0.249102,-2.82586258868
0.425984,-0.627,-0.442,0.245682,-2.84549754274
0.430464,-0.45,-0.26,0.242244,-2.8588493115
0.435008,-0.274,-0.286,0.238788,-2.87534267291
0.439488,-0.117,-0.104,0.235278,-2.89497762698
0.443968,0.088,-0.104,0.231858,-2.91147098839
0.44832,0.235,0.078,0.228546,-2.92403735899
0.452544,0.421,-0.078,0.225378,-2.9405307204
0.456896,0.568,0.26,0.222246,-2.95623868365
0.461248,0.774,0.208,0.219204,-2.97116124874
0.4656,0.921,0.494,0.216288,-2.98686921199
0.469888,1.088,0.598,0.213516,-3.00414797156
0.474304,1.284,0.728,0.210888,-3.01985593481
0.47872,1.411,0.728,0.208458,-3.03242230541
0.483136,1.578,0.962,0.20619,-3.05048646315
0.487552,1.696,0.962,0.204228,-3.06148203743
0.491968,1.843,0.91,0.2025,-3.07326300986
0.496384,1.97,1.024,0.201006,-3.08740017679
0.500928,2.078,1.274,0.199836,-3.09996654739
0.505408,2.166,1.404,0.198954,-3.11174751983
0.509888,2.254,1.248,0.198414,-3.12195769594
0.514432,2.323,1.404,0.198198,-3.13138247389
0.518912,2.392,1.664,0.198288,-3.14237804816
0.523392,2.441,1.43,0.19872,-3.15101742795
0.527936,2.48,1.274,0.199422,-3.15808601141
0.532416,2.49,1.69,0.200376,-3.1667253912
0.53696,2.49,1.56,0.201636,-3.17457937283
0.54144,2.48,1.482,0.203184,-3.17850636364
0.54592,2.45,1.56,0.204966,-3.18636034526
0.550464,2.411,1.534,0.207036,-3.19028733607
0.554944,2.352,1.69,0.20934,-3.19499972505
0.559424,2.284,1.768,0.211914,-3.19892671586
0.563968,2.196,1.508,0.214722,-3.20049751219
0.568448,2.107,1.482,0.217764,-3.20285370668
0.572928,1.97,1.456,0.220986,-3.20599529933
0.577472,1.872,1.17,0.224424,-3.20678069749
0.581952,1.696,1.17,0.228078,-3.20835149381
0.586432,1.578,1.144,0.231822,-3.20992229014
0.590976,1.411,1.092,0.235764,-3.20913689198
0.595456,1.254,0.728,0.239832,-3.20913689198
0.599872,1.088,0.806,0.243918,-3.20992229014
0.604288,0.892,0.728,0.248112,-3.20835149381
0.60864,0.725,0.728,0.252252,-3.20835149381
0.612992,0.509,0.546,0.256446,-3.20835149381
0.61728,0.333,0.338,0.260676,-3.20599529933
0.621632,0.147,0.26,0.26487,-3.20599529933
0.625984,-0.088,0.13,0.269046,-3.20520990116
0.630272,-0.235,-0.13,0.273186,-3.20520990116
0.634816,-0.421,-0.104,0.277398,-3.20363910484
0.639296,-0.666,-0.338,0.28152,-3.20363910484
0.64384,-0.833,-0.338,0.28548,-3.20363910484
0.64832,-1.039,-0.65,0.289278,-3.20363910484
0.652928,-1.225,-0.754,0.293004,-3.20520990116
0.657472,-1.382,-0.754,0.296514,-3.20520990116
0.66208,-1.558,-0.884,0.299736,-3.20678069749
0.666688,-1.696,-1.04,0.302706,-3.2107076883
0.67136,-1.872,-1.066,0.305478,-3.21227848463
