time(us),reference current(mA),current(mA),cart position(um),pendulum angle(mdeg)

7680,0,26,0,-180000

11136,117,52,0,-180000

14848,205,26,0,-180000

18560,333,130,0,-180000

22400,450,312,18,-180000

26304,568,390,36,-180000

30208,696,390,90,-179955

34048,803,364,180,-179955

38080,921,416,306,-179955

42048,1039,624,468,-179910

46080,1176,650,720,-179910

50176,1284,650,1026,-179820

54336,1382,806,1440,-179820

58496,1480,910,1962,-179730

62656,1607,780,2592,-179640

66752,1696,936,3330,-179550

70912,1803,962,4230,-179370

75072,1911,1170,5238,-179280

79296,1980,1248,6444,-179145

83584,2058,1222,7830,-178875

87808,2127,1508,9378,-178695

92032,2215,1248,11088,-178560

96384,2264,1222,13014,-178335

100672,2323,1508,15192,-177930

105088,2382,1352,17586,-177615

109504,2421,1280,20160,-177435

113920,2450,1430,23040,-176850

118336,2470,1534,26118,-176535

122752,2490,1898,29340,-176220

127168,2500,1612,32868,-175635

131584,2490,1482,36612,-175185

136000,2480,1690,40536,-174735

140416,2460,1612,44766,-174195

144832,2431,1404,49176,-173565

149248,2392,1560,53820,-173070

153664,2352,1404,58698,-172395

158080,2284,1560,63774,-171765

162496,2225,1560,69048,-171135

166912,2137,1274,74538,-170460

171328,2058,1378,80208,-169695

175744,1980,1274,86022,-169020

180160,1872,1430,92016,-168300

184576,1764,1274,98190,-167355

188992,1627,1144,104490,-166770

193536,1529,1092,110988,-166005

198016,1382,1014,117630,-165195

202560,1284,858,124362,-164430

206976,1088,936,131040,-163620

211392,980,512,137790,-162855

215680,833,676,144432,-162045

220032,696,624,151110,-161280

224384,539,416,157806,-160560

228672,392,390,164484,-159750

233024,205,338,171126,-158940

237376,58,-78,177696,-158355

241600,-88,78,184104,-157635

245888,-205,26,190422,-156870

250176,-392,-234,196758,-156240

254720,-539,-364,203220,-155700

259200,-725,-234,209538,-155025

263680,-862,-780,215694,-154440

268224,-1039,-520,221652,-153855

272768,-1176,-494,227520,-153315

277376,-1333,-676,233190,-152775

281984,-1480,-988,238590,-152280

286592,-1607,-1092,243666,-151830

291264,-1745,-962,248580,-151470

295808,-1843,-1456,253116,-151200

300480,-1970,-1092,257418,-150930

305152,-2078,-1144,261342,-150660

309824,-2156,-1352,264942,-150525

314560,-2245,-1326,268200,-150345

319232,-2323,-1508,271062,-150300

323904,-2372,-1456,273546,-150345

328576,-2431,-1456,275598,-150345

333248,-2460,-1378,277326,-150480

337920,-2490,-1560,278586,-150615

342592,-2490,-1638,279450,-150885

347264,-2490,-1586,279972,-151155

351936,-2470,-1430,280116,-151515

356608,-2450,-1482,279846,-151920

361280,-2392,-1170,279270,-152325

365952,-2343,-1144,278406,-152910

370624,-2284,-1404,277200,-153405

375296,-2196,-1404,275706,-153945

379968,-2088,-1196,273996,-154620

384640,-2000,-1248,271944,-155295

389312,-1892,-1118,269712,-156015

393984,-1745,-988,267246,-156780

398592,-1627,-728,264582,-157635

403200,-1460,-962,261756,-158445

407808,-1333,-702,258804,-159300

412352,-1147,-676,255636,-160200

416960,-980,-650,252360,-161055

421440,-833,-416,249102,-161910

425984,-627,-442,245682,-163035

430464,-450,-260,242244,-163800

435008,-274,-286,238788,-164745

439488,-117,-104,235278,-165870

443968,88,-104,231858,-166815

448320,235,78,228546,-167535

452544,421,-78,225378,-168480

456896,568,260,222246,-169380

461248,774,208,219204,-170235

465600,921,494,216288,-171135

469888,1088,598,213516,-172125

474304,1284,728,210888,-173025

478720,1411,728,208458,-173745

483136,1578,962,206190,-174780

487552,1696,962,204228,-175410

491968,1843,910,202500,-176085

496384,1970,1024,201006,-176895

500928,2078,1274,199836,-177615

505408,2166,1404,198954,-178290

509888,2254,1248,198414,-178875

514432,2323,1404,198198,-179415

518912,2392,1664,198288,-180045

523392,2441,1430,198720,-180540

527936,2480,1274,199422,-180945

532416,2490,1690,200376,-181440

536960,2490,1560,201636,-181890

541440,2480,1482,203184,-182115

545920,2450,1560,204966,-182565

550464,2411,1534,207036,-182790

554944,2352,1690,209340,-183060

559424,2284,1768,211914,-183285

563968,2196,1508,214722,-183375

568448,2107,1482,217764,-183510

572928,1970,1456,220986,-183690

577472,1872,1170,224424,-183735

581952,1696,1170,228078,-183825

586432,1578,1144,231822,-183915

590976,1411,1092,235764,-183870

595456,1254,728,239832,-183870

599872,1088,806,243918,-183915

604288,892,728,248112,-183825

608640,725,728,252252,-183825

612992,509,546,256446,-183825

617280,333,338,260676,-183690

621632,147,260,264870,-183690

625984,-88,130,269046,-183645

630272,-235,-130,273186,-183645

634816,-421,-104,277398,-183555

639296,-666,-338,281520,-183555

643840,-833,-338,285480,-183555

648320,-1039,-650,289278,-183555

652928,-1225,-754,293004,-183645

657472,-1382,-754,296514,-183645

662080,-1558,-884,299736,-183735

666688,-1696,-1040,302706,-183960

671360,-1872,-1066,305478,-184050

676032,-2019,-1248,307926,-184230

680704,-2107,-1274,310014,-184500

685376,-2225,-1300,311778,-184815

690048,-2323,-1274,313164,-185085

694720,-2382,-1248,314226,-185490

699392,-2441,-1326,314892,-185940

704064,-2480,-1456,315162,-186435

708736,-2490,-1508,315126,-186930

713472,-2490,-1560,314730,-187470

718144,-2470,-1378,314010,-188055

722816,-2431,-1456,313002,-188640

727488,-2372,-1300,311724,-189360

732160,-2284,-1274,310104,-190035

736832,-2196,-1092,308286,-190665

741504,-2078,-1014,306234,-191475

746176,-1931,-1144,303876,-192330

750848,-1803,-988,301410,-193095

755456,-1627,-1144,298746,-193950

760128,-1460,-1014,295866,-194625

764800,-1303,-806,292932,-195435

769408,-1068,-768,289854,-196290

773952,-862,-624,286704,-197100

778496,-696,-598,283644,-197820

782976,-421,-520,280476,-198675

787456,-235,-208,277326,-199620

792000,0,-182,274230,-200205

796224,176,-52,271368,-200970

800576,392,78,268506,-201870

804800,539,234,265806,-202320

809152,803,390,263160,-202995

813504,980,468,260676,-203850

817792,1176,650,258354,-204300

822208,1382,780,256194,-204750

826624,1529,936,254214,-205470

831040,1715,962,252522,-206010

835456,1872,1014,251100,-206370

840000,2019,1274,249912,-206910

844480,2127,1144,249048,-207225

849024,2245,1352,248526,-207585

853504,2323,1378,248328,-207855

857984,2401,1352,248472,-208035

862528,2450,1586,248904,-208260

867008,2490,1560,249642,-208440

871488,2490,1638,250704,-208440

876032,2480,1612,252018,-208575

880512,2460,1404,253602,-208575

884992,2392,1638,255474,-208440

889536,2343,1430,257580,-208440

894016,2245,1352,259974,-208305

898496,2137,1560,262620,-208080

903040,2000,1378,265446,-207990

907520,1872,1024,268542,-207720

912064,1696,1196,271800,-207405

916544,1529,1092,275238,-207135

921024,1333,884,278820,-206775

925440,1147,988,282510,-206325

929856,950,728,286272,-206010

934208,725,728,290016,-205695

938560,509,364,293868,-205245

942848,303,286,297756,-204750

947200,58,104,301608,-204435

951488,-147,-130,305352,-203940

955968,-421,-182,309348,-203490

960448,-598,-494,313236,-202995

964992,-862,-364,316980,-202455

969472,-1068,-546,320652,-202050

974080,-1284,-728,324180,-201690

978688,-1460,-806,327492,-201150

983232,-1676,-1014,330606,-200790

987904,-1823,-1092,333540,-200385

992576,-1980,-1170,336168,-199845

997312,-2137,-1326,338472,-199620

1001984,-2264,-1586,340506,-199350

1006720,-2352,-1378,342162,-198945

1011520,-2421,-1612,343494,-198720

1016256,-2470,-1248,344448,-198450

1021056,-2490,-1430,344970,-198270

1025792,-2490,-1536,345096,-198180

1030592,-2460,-1482,344862,-198000

1035328,-2392,-1326,344286,-197910

1040128,-2313,-1300,343368,-197955

1044864,-2225,-1040,342198,-197910

1049664,-2088,-1066,340776,-197865

1054464,-1931,-1144,339048,-198045

1059200,-1745,-988,337122,-198000

1063872,-1578,-988,335052,-198000

1068544,-1362,-832,332784,-198225

1073280,-1117,-806,330372,-198225

1077952,-862,-884,327888,-198315

1082560,-666,-624,325350,-198405

1087168,-392,-286,322794,-198495

1091712,-176,-312,320238,-198495

1096320,88,-130,317682,-198630

1100800,333,-26,315288,-198630

1105216,568,208,312984,-198630

1109632,803,364,310806,-198675

1114048,1039,234,308736,-198630

1118592,1254,676,306846,-198585

1123072,1480,624,305136,-198540

1127616,1676,1014,303678,-198270

1132160,1872,1118,302508,-198180

1136768,2000,1170,301590,-198000

1141376,2156,1248,301032,-197640

1145984,2284,1300,300816,-197370

1150592,2372,1404,300906,-197010

1155200,2441,1456,301392,-196560

1159744,2480,1352,302094,-196155

1164352,2500,1430,303210,-195615

1168960,2480,1612,304542,-195030

1173568,2450,1560,306180,-194490

1178176,2372,1586,308142,-193815

1182784,2294,1586,310302,-193050

1187328,2156,1482,312804,-192420

1191936,2000,1024,315450,-191700

1196544,1872,1170,318420,-190710

1201152,1676,1092,321516,-190080

1205760,1480,1196,324792,-189135

1210368,1225,884,328284,-188280

1214848,1039,1014,331740,-187515

1219456,774,390,335448,-186525

1223872,539,468,339066,-185625

1228288,274,416,342630,-184635

1232704,29,208,346284,-183825

1237056,-274,52,349794,-182970

1241536,-480,-52,353286,-181980

1246016,-774,-260,356760,-181215

