time(s),reference current(A),current(A),cart position(m),pendulum angle(rad)
0.00768,0.0,0.0,0.0,-3.14159265
0.011008,0.117,0.0,0.0,-3.14159265
0.014656,0.205,0.0,0.0,-3.14159265
0.018304,0.333,0.0,0.0,-3.14159265
0.021952,0.45,0.0,0.0,-3.14159265
0.0256,0.539,0.0,0.0,-3.14159265
0.029248,0.666,0.0,0.0,-3.14159265
0.032896,0.754,0.0,0.0,-3.14159265
0.036544,0.862,0.0,0.0,-3.14159265
0.040192,0.98,0.0,0.0,-3.14159265
0.04384,1.068,0.0,0.0,-3.14159265
0.047552,1.196,0.0,0.0,-3.14159265
0.051264,1.303,0.0,0.0,-3.14159265
0.054976,1.411,1.144,5.4e-05,-3.14080725184
0.059072,1.509,1.274,0.000252,-3.13923645551
0.063232,1.627,1.3,0.000468,-3.14002185367
0.067328,1.715,1.404,0.000864,-3.14002185367
0.071488,1.803,1.508,0.00144,-3.13766565919
0.075776,1.911,1.534,0.002106,-3.13609486286
0.08,2.0,1.664,0.00297,-3.1353094647
0.084224,2.078,1.794,0.003996,-3.13059707572
0.088448,2.137,1.898,0.00522,-3.12824088124
0.092672,2.215,1.95,0.006588,-3.12667008491
0.09696,2.284,1.95,0.008136,-3.12195769594
0.101184,2.343,2.106,0.009972,-3.1164599088
0.105536,2.382,1.872,0.011952,-3.11410371431
0.109952,2.431,2.184,0.014184,-3.10860592718
0.114368,2.45,2.028,0.016758,-3.10075194555
0.118784,2.47,2.262,0.019404,-3.09682495474
0.1232,2.49,2.158,0.022356,-3.09054176944
0.127616,2.5,2.314,0.025542,-3.08111699149
0.132032,2.49,2.314,0.028926,-3.07404840802
0.136448,2.48,2.262,0.032562,-3.06776522273
0.140864,2.46,2.236,0.036414,-3.05676964845
0.14528,2.431,2.34,0.040518,-3.04813026866
0.149696,2.392,2.288,0.044784,-3.04027628704
0.154112,2.343,2.158,0.04932,-3.02692451827
0.158528,2.284,2.21,0.05409,-3.01828513849
0.162944,2.196,2.184,0.059004,-3.00728956421
0.16736,2.137,2.028,0.064152,-2.99629398994
0.171776,2.058,2.054,0.069552,-2.98372761934
0.176192,1.97,1.82,0.075042,-2.97430284139
0.180608,1.872,1.742,0.080712,-2.96173647079
0.185024,1.745,1.56,0.08658,-2.94524310938
0.18944,1.627,1.716,0.092556,-2.93503293326
0.193856,1.529,1.534,0.098676,-2.92246656266
0.198272,1.382,1.3,0.104886,-2.90675859941
0.202752,1.284,1.326,0.111294,-2.89576302514
0.207296,1.088,1.274,0.11781,-2.88241125638
0.211776,0.98,0.884,0.124362,-2.86827408945
0.216128,0.803,0.962,0.130752,-2.85492232069
0.220416,0.696,0.78,0.137124,-2.84314134825
0.224768,0.539,0.468,0.143514,-2.83057497765
0.22912,0.362,0.624,0.14994,-2.81643781073
0.233408,0.205,0.468,0.156294,-2.80465683829
0.23776,0.058,0.078,0.16263,-2.79287586585
0.24192,-0.117,0.078,0.16866,-2.77795330076
0.246272,-0.235,0.0,0.174816,-2.76695772649
0.250496,-0.392,-0.104,0.180792,-2.7583183467
0.25504,-0.568,-0.468,0.187002,-2.74653737426
0.25952,-0.725,-0.468,0.193032,-2.73475640182
0.264,-0.892,-0.624,0.198936,-2.72376082755
0.268544,-1.039,-0.702,0.204624,-2.71669224409
0.273088,-1.196,-1.04,0.210222,-2.70648206798
0.277824,-1.333,-1.092,0.215694,-2.69705729003
0.282496,-1.48,-1.196,0.220896,-2.68998870656
0.287168,-1.627,-1.222,0.22581,-2.68213472494
0.29184,-1.745,-1.404,0.230472,-2.67506614147
0.296512,-1.872,-1.508,0.234774,-2.66956835434
0.301184,-1.98,-1.638,0.238752,-2.66485596536
0.305856,-2.078,-1.404,0.242388,-2.66092897455
0.310528,-2.186,-1.742,0.245682,-2.6577873819
0.3152,-2.264,-1.82,0.248616,-2.65621658558
0.319872,-2.323,-1.846,0.251136,-2.65543118741
0.324544,-2.392,-1.898,0.253314,-2.65543118741
0.329216,-2.431,-1.924,0.255096,-2.65700198374
0.333888,-2.46,-2.028,0.256482,-2.65857278006
0.33856,-2.49,-1.924,0.257508,-2.66171437271
0.343232,-2.5,-1.872,0.258084,-2.66642676169
0.347904,-2.49,-2.106,0.258282,-2.67270994699
0.352576,-2.47,-1.976,0.25812,-2.67899313229
0.357248,-2.441,-1.872,0.25758,-2.68527631759
0.36192,-2.392,-1.846,0.256734,-2.69313029921
0.366592,-2.343,-1.95,0.255564,-2.701769679
0.371264,-2.264,-1.69,0.254106,-2.71197985511
0.375936,-2.166,-1.768,0.252342,-2.72297542939
0.380672,-2.088,-1.508,0.250308,-2.7331856055
0.385344,-1.98,-1.664,0.24804,-2.7457519761
0.390016,-1.843,-1.43,0.24552,-2.75910374486
0.394688,-1.745,-1.482,0.242784,-2.77245551363
0.39936,-1.578,-1.326,0.239832,-2.78580728239
0.404032,-1.431,-1.144,0.236682,-2.80072984747
0.408704,-1.303,-1.118,0.233388,-2.81565241256
0.413376,-1.117,-0.962,0.229968,-2.8337165703
0.417984,-0.95,-0.832,0.226458,-2.84942453355
0.422464,-0.774,-0.754,0.222948,-2.86277630231
0.426944,-0.568,-0.624,0.219384,-2.8776988674
0.431488,-0.421,-0.364,0.21573,-2.89497762698
0.435968,-0.235,-0.26,0.212112,-2.91147098839
0.440512,-0.058,-0.156,0.208494,-2.9279643498
0.444928,0.147,0.0,0.20493,-2.94367231305
0.449088,0.303,0.13,0.201672,-2.9593802763
0.453376,0.45,0.26,0.198324,-2.97430284139
0.457728,0.598,0.364,0.195048,-2.99315239729
0.46208,0.803,0.39,0.191916,-3.00571876789
0.466432,0.98,0.65,0.188892,-3.02299752746
0.47072,1.117,0.754,0.185994,-3.03634929623
0.475136,1.303,0.884,0.183258,-3.05284265764
0.479552,1.431,1.04,0.180702,-3.06462363008
0.484096,1.607,1.118,0.178326,-3.078760797
0.488576,1.715,1.3,0.176202,-3.09211256576
0.493056,1.892,1.404,0.174348,-3.10467893636
0.4976,1.98,1.456,0.1728,-3.11803070513
0.50208,2.107,1.69,0.17154,-3.12981167756
0.50656,2.196,1.794,0.170658,-3.13923645551
0.511104,2.284,1.898,0.170028,-3.15101742795
0.515584,2.352,1.898,0.169758,-3.1604422059
0.520064,2.411,2.002,0.169866,-3.16751078936
0.524608,2.45,2.08,0.170118,-3.17850636364
0.529088,2.48,2.028,0.170766,-3.18478954894
0.533632,2.49,2.236,0.171702,-3.18950193791
0.538112,2.49,2.262,0.172854,-3.19735591954
0.542592,2.48,2.158,0.174348,-3.20285370668
0.547136,2.441,2.21,0.176058,-3.20678069749
0.551616,2.401,2.34,0.178128,-3.20992229014
0.556096,2.343,2.054,0.18036,-3.21542007728
0.56064,2.264,2.184,0.182862,-3.2169908736
0.56512,2.166,2.08,0.185706,-3.21856166993
0.5696,2.078,1.872,0.188604,-3.22248866074
0.574144,1.95,1.846,0.191862,-3.22248866074
0.578624,1.843,1.742,0.195282,-3.22248866074
0.583104,1.676,1.586,0.19881,-3.22405945706
0.587648,1.529,1.482,0.202644,-3.22405945706
0.592128,1.362,1.326,0.206514,-3.22248866074
0.596608,1.196,1.144,0.210546,-3.22170326258
0.601152,1.009,0.962,0.214722,-3.22091786441
0.605568,0.862,0.884,0.218826,-3.21856166993
0.60992,0.627,0.78,0.222984,-3.21777627176
0.614208,0.45,0.65,0.227124,-3.21620547544
0.61856,0.303,0.442,0.2313,-3.21384928095
0.622912,0.058,0.234,0.235476,-3.21227848463
0.627136,-0.117,0.0,0.239472,-3.21149308646
0.631424,-0.303,-0.156,0.243468,-3.20913689198
0.635904,-0.45,-0.208,0.247608,-3.20835149381
0.640384,-0.696,-0.26,0.251604,-3.20756609565
0.644928,-0.892,-0.52,0.255528,-3.20599529933
0.649408,-1.068,-0.754,0.259272,-3.20599529933
0.654016,-1.284,-0.832,0.262854,-3.20520990116
0.658624,-1.431,-0.962,0.266274,-3.20599529933
0.663168,-1.607,-1.196,0.269406,-3.20599529933
0.66784,-1.745,-1.508,0.27234,-3.20678069749
0.672512,-1.911,-1.378,0.274986,-3.20992229014
0.677184,-2.039,-1.586,0.277308,-3.21149308646
0.68192,-2.166,-1.638,0.27927,-3.21542007728
0.686592,-2.254,-1.846,0.280926,-3.22013246625
0.691264,-2.343,-1.794,0.282204,-3.22484485523
0.695936,-2.411,-1.898,0.28305,-3.23034264236
0.700608,-2.45,-1.924,0.283572,-3.23819662399
0.70528,-2.48,-1.898,0.283716,-3.24605060561
0.709952,-2.5,-2.054,0.283464,-3.25311918907
0.714624,-2.49,-1.95,0.282906,-3.26175856886
0.719296,-2.46,-1.872,0.282024,-3.27196874498
0.723968,-2.401,-1.898,0.280836,-3.28374971741
0.72864,-2.352,-1.846,0.27936,-3.29160369904
0.733312,-2.264,-1.82,0.277614,-3.30417006964
0.737984,-2.156,-1.768,0.27558,-3.31830723656
0.742656,-2.058,-1.638,0.273366,-3.32773201451
0.747328,-1.911,-1.586,0.270882,-3.34029838511
0.752,-1.745,-1.404,0.2682,-3.35443555204
0.756672,-1.607,-1.274,0.265338,-3.36700192264
0.761408,-1.411,-1.196,0.262332,-3.38113908956
0.76608,-1.196,-0.91,0.259182,-3.39606165465
0.770624,-1.039,-0.936,0.255978,-3.40862802525
