time(us),reference current(mA),current(mA),cart position(um),pendulum angle(mdeg)

7680,0,0,0,-180000

11008,117,0,0,-180000

14656,205,0,0,-180000

18304,333,0,0,-180000

21952,450,0,0,-180000

25600,539,0,0,-180000

29248,666,0,0,-180000

32896,754,0,0,-180000

36544,862,0,0,-180000

40192,980,0,0,-180000

43840,1068,0,0,-180000

47552,1196,0,0,-180000

51264,1303,0,0,-180000

54976,1411,1144,54,-179955

59072,1509,1274,252,-179865

63232,1627,1300,468,-179910

67328,1715,1404,864,-179910

71488,1803,1508,1440,-179775

75776,1911,1534,2106,-179685

80000,2000,1664,2970,-179640

84224,2078,1794,3996,-179370

88448,2137,1898,5220,-179235

92672,2215,1950,6588,-179145

96960,2284,1950,8136,-178875

101184,2343,2106,9972,-178560

105536,2382,1872,11952,-178425

109952,2431,2184,14184,-178110

114368,2450,2028,16758,-177660

118784,2470,2262,19404,-177435

123200,2490,2158,22356,-177075

127616,2500,2314,25542,-176535

132032,2490,2314,28926,-176130

136448,2480,2262,32562,-175770

140864,2460,2236,36414,-175140

145280,2431,2340,40518,-174645

149696,2392,2288,44784,-174195

154112,2343,2158,49320,-173430

158528,2284,2210,54090,-172935

162944,2196,2184,59004,-172305

167360,2137,2028,64152,-171675

171776,2058,2054,69552,-170955

176192,1970,1820,75042,-170415

180608,1872,1742,80712,-169695

185024,1745,1560,86580,-168750

189440,1627,1716,92556,-168165

193856,1529,1534,98676,-167445

198272,1382,1300,104886,-166545

202752,1284,1326,111294,-165915

207296,1088,1274,117810,-165150

211776,980,884,124362,-164340

216128,803,962,130752,-163575

220416,696,780,137124,-162900

224768,539,468,143514,-162180

229120,362,624,149940,-161370

233408,205,468,156294,-160695

237760,58,78,162630,-160020

241920,-117,78,168660,-159165

246272,-235,0,174816,-158535

250496,-392,-104,180792,-158040

255040,-568,-468,187002,-157365

259520,-725,-468,193032,-156690

264000,-892,-624,198936,-156060

268544,-1039,-702,204624,-155655

273088,-1196,-1040,210222,-155070

277824,-1333,-1092,215694,-154530

282496,-1480,-1196,220896,-154125

287168,-1627,-1222,225810,-153675

291840,-1745,-1404,230472,-153270

296512,-1872,-1508,234774,-152955

301184,-1980,-1638,238752,-152685

305856,-2078,-1404,242388,-152460

310528,-2186,-1742,245682,-152280

315200,-2264,-1820,248616,-152190

319872,-2323,-1846,251136,-152145

324544,-2392,-1898,253314,-152145

329216,-2431,-1924,255096,-152235

333888,-2460,-2028,256482,-152325

338560,-2490,-1924,257508,-152505

343232,-2500,-1872,258084,-152775

347904,-2490,-2106,258282,-153135

352576,-2470,-1976,258120,-153495

357248,-2441,-1872,257580,-153855

361920,-2392,-1846,256734,-154305

366592,-2343,-1950,255564,-154800

371264,-2264,-1690,254106,-155385

375936,-2166,-1768,252342,-156015

380672,-2088,-1508,250308,-156600

385344,-1980,-1664,248040,-157320

390016,-1843,-1430,245520,-158085

394688,-1745,-1482,242784,-158850

399360,-1578,-1326,239832,-159615

404032,-1431,-1144,236682,-160470

408704,-1303,-1118,233388,-161325

413376,-1117,-962,229968,-162360

417984,-950,-832,226458,-163260

422464,-774,-754,222948,-164025

426944,-568,-624,219384,-164880

431488,-421,-364,215730,-165870

435968,-235,-260,212112,-166815

440512,-58,-156,208494,-167760

444928,147,0,204930,-168660

449088,303,130,201672,-169560

453376,450,260,198324,-170415

457728,598,364,195048,-171495

462080,803,390,191916,-172215

466432,980,650,188892,-173205

470720,1117,754,185994,-173970

475136,1303,884,183258,-174915

479552,1431,1040,180702,-175590

484096,1607,1118,178326,-176400

488576,1715,1300,176202,-177165

493056,1892,1404,174348,-177885

497600,1980,1456,172800,-178650

502080,2107,1690,171540,-179325

506560,2196,1794,170658,-179865

511104,2284,1898,170028,-180540

515584,2352,1898,169758,-181080

520064,2411,2002,169866,-181485

524608,2450,2080,170118,-182115

529088,2480,2028,170766,-182475

