time(us),reference current(mA),current(mA),cart position(um),pendulum angle(mdeg)

7680,0,0,0,-180000

11008,117,0,0,-180000

14656,205,0,0,-180000

18304,333,0,0,-180000

21952,450,0,0,-180000

25600,539,0,0,-180000

29248,666,0,0,-180000

32896,754,0,0,-180000

36544,862,0,0,-180000

40192,980,0,0,-180000

43840,1068,0,0,-180000

47552,1196,0,0,-180000

51264,1303,0,0,-180000

54976,1411,0,0,-180000

58688,1480,0,0,-180000

62464,1607,0,0,-180000

66176,1696,0,0,-180000

69888,1764,0,0,-180000

73600,1872,0,0,-180000

77376,1950,0,0,-180000

81088,2019,0,0,-180000

84800,2078,0,0,-180000

88512,2137,0,0,-180000

92288,2215,0,0,-180000

96000,2264,0,0,-180000

99712,2303,0,0,-180000

103424,2362,0,0,-180000

107264,2392,0,0,-180000

111104,2431,0,0,-180000

114880,2450,0,0,-180000

118720,2470,0,0,-180000

122560,2490,0,0,-180000

126400,2490,0,0,-180000

130176,2490,0,0,-180000

134016,2490,0,0,-180000

137856,2480,0,0,-180000

141696,2450,0,0,-180000

145472,2431,0,0,-180000

149312,2392,0,0,-180000

153152,2352,0,0,-180000

156928,2294,0,0,-180000

160768,2254,0,0,-180000

164608,2186,0,0,-180000

168448,2107,0,0,-180000

172224,2039,0,0,-180000

176064,1970,0,0,-180000

179904,1892,0,0,-180000

183680,1803,0,0,-180000

187520,1696,0,0,-180000

191360,1578,0,0,-180000

195200,1480,0,0,-180000

198976,1362,0,0,-180000

202816,1284,0,0,-180000

206656,1147,0,0,-180000

210496,1009,0,0,-180000

214272,892,0,0,-180000

218048,754,0,0,-180000

221760,627,0,0,-180000

225472,480,0,0,-180000

229248,362,0,0,-180000

232960,205,0,0,-180000

236736,117,0,0,-180000

240448,-29,0,0,-180000

244224,-176,0,0,-180000

248000,-333,0,0,-180000

251840,-421,0,0,-180000

255680,-568,0,0,-180000

259520,-725,0,0,-180000

263296,-862,-546,0,-180000

267392,-1009,-768,0,-180000

271552,-1117,-650,0,-180000

275712,-1284,-806,0,-180000

279872,-1382,-936,0,-180000

284032,-1529,-962,0,-180000

288192,-1647,-1092,0,-180000

292480,-1764,-1280,0,-180000

296704,-1872,-1248,0,-180000

300992,-1980,-1430,0,-180000

305216,-2078,-1482,0,-180000

309440,-2156,-1456,0,-180000

313728,-2225,-1586,0,-180000

317952,-2303,-1664,0,-180000

322240,-2362,-1690,0,-180000

326464,-2411,-1846,0,-180000

330688,-2441,-1898,0,-180000

334976,-2480,-1872,0,-180000

339200,-2490,-1950,0,-180000

343488,-2500,-1768,0,-180000

347712,-2490,-2002,0,-180000

351936,-2470,-1924,0,-180000

356224,-2450,-1898,0,-180000

360448,-2401,-1898,0,-180000

364736,-2372,-1794,0,-180000

368960,-2294,-1872,0,-180000

373248,-2225,-1768,0,-180000

377472,-2156,-1768,0,-180000

381696,-2078,-1612,0,-180000

385984,-1950,-1638,0,-180000

390208,-1843,-1534,0,-180000

394496,-1745,-1534,0,-180000

398720,-1627,-1352,0,-180000

402944,-1460,-1326,0,-180000

407232,-1333,-1196,0,-180000

411456,-1196,-1040,0,-180000

415744,-1039,-936,0,-180000

419904,-892,-780,0,-180000

423936,-725,-702,0,-180000

428032,-539,-650,0,-180000

432128,-392,-468,0,-180000

436224,-235,-312,0,-180000

440256,-58,-156,0,-180000

444288,88,0,0,-180000

447936,235,52,0,-180000

451776,362,156,0,-180000

455680,539,260,0,-180000

459584,696,416,0,-180000

463488,862,598,0,-180000

467392,1009,702,0,-180000

471360,1147,780,0,-180000

475392,1303,1014,0,-180000

479424,1431,1118,0,-180000

483520,1578,1196,0,-180000

487616,1696,1326,0,-180000

491648,1823,1456,0,-180000

495744,1931,1560,0,-180000

499840,2039,1664,0,-180000

503936,2137,1742,0,-180000

507968,2225,1898,0,-180000

512064,2303,2028,0,-180000

