time(s),reference current(A),current(A),cart position(m),pendulum angle(rad)
0.00768,0.0,-0.598,0.0,-3.14159265
0.011264,0.117,-0.598,0.0,-3.14159265
0.015168,0.235,-0.494,0.0,-3.14159265
0.019072,0.362,-0.52,0.0,-3.14159265
0.022976,0.48,-0.416,0.0,-3.14159265
0.02688,0.568,-0.338,0.0,-3.14159265
0.030784,0.696,-0.26,0.0,-3.14159265
0.034688,0.803,-0.182,0.0,-3.14159265
0.038592,0.921,0.078,0.0,-3.14159265
0.042304,1.039,0.0,0.0,-3.14159265
0.046016,1.176,0.026,0.0,-3.14159265
0.049856,1.254,0.078,0.0,-3.14159265
0.053632,1.362,0.312,0.0,-3.14159265
0.057536,1.46,0.338,0.0,-3.14159265
0.06144,1.558,0.312,0.0,-3.14159265
0.065344,1.676,0.312,0.0,-3.14159265
0.069248,1.764,0.468,0.0,-3.14159265
0.073152,1.872,0.39,0.0,-3.14159265
0.077056,1.95,0.65,0.0,-3.14159265
0.080896,2.0,0.598,0.0,-3.14159265
0.0848,2.078,0.702,0.0,-3.14159265
0.088704,2.137,0.624,0.0,-3.14159265
0.092608,2.215,0.936,0.0,-3.14159265
0.096512,2.264,0.858,0.0,-3.14159265
0.100416,2.323,0.728,0.0,-3.14159265
0.104384,2.372,0.91,0.0,-3.14159265
0.108416,2.411,0.832,0.0,-3.14159265
0.112384,2.441,0.78,0.0,-3.14159265
0.116352,2.46,0.884,0.0,-3.14159265
0.120384,2.48,0.988,0.0,-3.14159265
0.124352,2.49,0.988,0.0,-3.14159265
0.128384,2.49,1.066,0.0,-3.14159265
0.132416,2.49,1.118,0.0,-3.14159265
0.136512,2.48,0.858,0.0,-3.14159265
0.14048,2.46,0.858,0.0,-3.14159265
0.144512,2.431,0.91,0.0,-3.14159265
0.14848,2.392,0.702,0.0,-3.14159265
0.152448,2.362,0.806,0.0,-3.14159265
0.15648,2.303,0.988,0.0,-3.14159265
0.160448,2.254,0.832,0.0,-3.14159265
0.16448,2.186,0.858,0.0,-3.14159265
0.168448,2.107,0.65,0.0,-3.14159265
0.172416,2.039,0.676,0.0,-3.14159265
0.176448,1.97,0.754,0.0,-3.14159265
0.180416,1.872,0.52,0.0,-3.14159265
0.184384,1.764,0.676,0.0,-3.14159265
0.188416,1.676,0.468,0.0,-3.14159265
0.192384,1.558,0.39,0.0,-3.14159265
0.196416,1.46,0.312,0.0,-3.14159265
0.200384,1.333,0.312,0.0,-3.14159265
0.204352,1.196,0.182,0.0,-3.14159265
0.208384,1.068,0.13,0.0,-3.14159265
0.212352,0.95,0.0,0.0,-3.14159265
0.216128,0.803,-0.104,0.0,-3.14159265
0.220096,0.696,-0.026,0.0,-3.14159265
0.224,0.539,-0.052,0.0,-3.14159265
0.227904,0.421,-0.234,0.0,-3.14159265
0.231872,0.303,-0.364,0.0,-3.14159265
0.235904,0.147,-0.468,0.0,-3.14159265
0.239872,0.0,-0.494,0.0,-3.14159265
0.243712,-0.147,-0.572,0.0,-3.14159265
0.247808,-0.303,-0.572,0.0,-3.14159265
0.25184,-0.421,-0.728,0.0,-3.14159265
0.255936,-0.598,-0.832,0.0,-3.14159265
0.260032,-0.754,-0.91,0.0,-3.14159265
0.264128,-0.892,-0.884,0.0,-3.14159265
0.26816,-1.039,-1.014,0.0,-3.14159265
0.272448,-1.176,-1.222,0.0,-3.14159265
0.276672,-1.303,-1.274,0.0,-3.14159265
0.280896,-1.431,-1.248,0.0,-3.14159265
0.285184,-1.558,-1.3,0.0,-3.14159265
0.289408,-1.676,-1.534,0.0,-3.14159265
0.293696,-1.803,-1.586,0.0,-3.14159265
0.29792,-1.931,-1.56,0.0,-3.14159265
0.302208,-2.0,-1.742,0.0,-3.14159265
0.306432,-2.088,-1.794,0.0,-3.14159265
0.310656,-2.186,-1.846,0.0,-3.14159265
0.314944,-2.264,-1.898,0.0,-3.14159265
0.319168,-2.323,-1.898,0.0,-3.14159265
0.323456,-2.372,-2.002,0.0,-3.14159265
0.32768,-2.421,-1.924,0.0,-3.14159265
0.331904,-2.45,-2.08,0.0,-3.14159265
0.336192,-2.48,-2.08,0.0,-3.14159265
0.340416,-2.49,-2.048,0.0,-3.14159265
0.344704,-2.49,-2.21,0.0,-3.14159265
0.348928,-2.49,-2.028,0.0,-3.14159265
0.353152,-2.47,-1.898,0.0,-3.14159265
0.35744,-2.441,-2.054,0.0,-3.14159265
0.361664,-2.392,-2.028,0.0,-3.14159265
0.365952,-2.343,-2.132,0.0,-3.14159265
0.370176,-2.284,-2.048,0.0,-3.14159265
0.3744,-2.215,-1.924,0.0,-3.14159265
0.378688,-2.127,-1.924,0.0,-3.14159265
0.382912,-2.019,-1.898,0.0,-3.14159265
0.3872,-1.931,-1.768,0.0,-3.14159265
0.391424,-1.823,-1.82,0.0,-3.14159265
0.395648,-1.696,-1.534,0.0,-3.14159265
0.399936,-1.558,-1.664,0.0,-3.14159265
0.40416,-1.431,-1.56,0.0,-3.14159265
0.408448,-1.303,-1.43,0.0,-3.14159265
0.412672,-1.147,-1.404,0.0,-3.14159265
0.41696,-0.98,-1.274,0.0,-3.14159265
0.42112,-0.833,-1.248,0.0,-3.14159265
0.42528,-0.666,-1.118,0.0,-3.14159265
0.42944,-0.509,-1.144,0.0,-3.14159265
0.4336,-0.362,-0.78,0.0,-3.14159265
0.437696,-0.176,-0.936,0.0,-3.14159265
0.441728,-0.029,-0.78,0.0,-3.14159265
0.44576,0.147,-0.702,0.0,-3.14159265
0.449728,0.303,-0.572,0.0,-3.14159265
0.45376,0.45,-0.39,0.0,-3.14159265
0.457728,0.598,-0.364,0.0,-3.14159265
0.461696,0.774,-0.182,0.0,-3.14159265
0.465728,0.921,-0.208,0.0,-3.14159265
0.469696,1.088,-0.052,0.0,-3.14159265
0.473664,1.225,-0.026,0.0,-3.14159265
0.477696,1.382,0.182,0.0,-3.14159265
0.481664,1.509,0.39,0.0,-3.14159265
0.485696,1.627,0.312,0.0,-3.14159265
0.489664,1.764,0.416,0.0,-3.14159265
0.493632,1.892,0.442,0.0,-3.14159265
0.497664,1.98,0.494,0.0,-3.14159265
0.501632,2.078,0.494,0.0,-3.14159265
0.505664,2.166,0.78,0.0,-3.14159265
0.509632,2.254,0.858,0.0,-3.14159265
0.5136,2.313,0.728,0.0,-3.14159265
0.517632,2.382,0.832,0.0,-3.14159265
0.5216,2.421,0.78,0.0,-3.14159265
0.525632,2.46,0.858,0.0,-3.14159265
0.5296,2.48,1.04,0.0,-3.14159265
0.533696,2.49,0.988,0.0,-3.14159265
0.537664,2.49,1.024,0.0,-3.14159265
0.54176,2.48,0.754,0.0,-3.14159265
0.545728,2.46,0.858,0.0,-3.14159265
0.54976,2.431,0.832,0.0,-3.14159265
0.553728,2.382,0.728,0.0,-3.14159265
0.557696,2.313,0.65,0.0,-3.14159265
0.561728,2.254,0.702,0.0,-3.14159265
0.565696,2.166,0.754,0.0,-3.14159265
0.569728,2.078,0.754,0.0,-3.14159265
0.573696,1.97,0.702,0.0,-3.14159265
0.577664,1.872,0.624,0.0,-3.14159265
0.581696,1.745,0.494,0.0,-3.14159265
0.585664,1.607,0.546,0.0,-3.14159265
0.589632,1.48,0.494,0.0,-3.14159265
0.593664,1.333,0.39,0.0,-3.14159265
0.597632,1.176,0.26,0.0,-3.14159265
0.601664,1.009,0.208,0.0,-3.14159265
0.605632,0.862,0.052,0.0,-3.14159265
0.609472,0.696,-0.078,0.0,-3.14159265
0.613376,0.509,-0.182,0.0,-3.14159265
0.617344,0.333,-0.26,0.0,-3.14159265
0.621376,0.147,-0.364,0.0,-3.14159265
0.625344,-0.029,-0.494,0.0,-3.14159265
0.629312,-0.205,-0.546,0.0,-3.14159265
0.633408,-0.392,-0.728,0.0,-3.14159265
0.637504,-0.539,-0.858,0.0,-3.14159265
0.6416,-0.725,-0.884,0.0,-3.14159265
0.645632,-0.892,-1.04,0.0,-3.14159265
0.649856,-1.068,-1.118,0.0,-3.14159265
0.65408,-1.284,-1.28,0.0,-3.14159265
0.658304,-1.431,-1.352,0.0,-3.14159265
0.662592,-1.558,-1.534,0.0,-3.14159265
0.666816,-1.696,-1.482,0.0,-3.14159265
0.671104,-1.872,-1.482,0.0,-3.14159265
0.675328,-1.98,-1.794,0.0,-3.14159265
0.679552,-2.088,-1.69,0.0,-3.14159265
0.68384,-2.186,-2.048,0.0,-3.14159265
0.688064,-2.294,-1.976,0.0,-3.14159265
0.692352,-2.362,-1.768,0.0,-3.14159265
0.696576,-2.411,-2.054,0.0,-3.14159265
0.700864,-2.45,-1.95,0.0,-3.14159265
0.705088,-2.48,-1.924,0.0,-3.14159265
0.709312,-2.49,-2.106,0.0,-3.14159265
0.7136,-2.49,-1.976,0.0,-3.14159265
0.717824,-2.47,-2.132,0.0,-3.14159265
0.722112,-2.431,-2.054,0.0,-3.14159265
0.726336,-2.382,-2.08,0.0,-3.14159265
0.73056,-2.313,-1.95,0.0,-3.14159265
0.734848,-2.245,-2.002,0.0,-3.14159265
0.739072,-2.127,-1.69,0.0,-3.14159265
0.74336,-2.019,-1.898,0.0,-3.14159265
0.747584,-1.911,-1.742,0.0,-3.14159265
0.751872,-1.784,-1.768,0.0,-3.14159265
0.756096,-1.607,-1.586,0.0,-3.14159265
0.76032,-1.46,-1.404,0.0,-3.14159265
0.764608,-1.303,-1.534,0.0,-3.14159265
0.768832,-1.117,-1.404,0.0,-3.14159265
0.77312,-0.892,-1.248,0.0,-3.14159265
0.77728,-0.725,-1.04,0.0,-3.14159265
0.78144,-0.539,-1.04,0.0,-3.14159265
0.7856,-0.333,-0.832,0.0,-3.14159265
0.789696,-0.147,-0.832,0.0,-3.14159265
0.793728,0.058,-0.572,0.0,-3.14159265
0.797696,0.235,-0.468,0.0,-3.14159265
0.801664,0.421,-0.416,0.0,-3.14159265
0.805632,0.598,-0.512,0.0,-3.14159265
0.809664,0.803,-0.286,0.0,-3.14159265
0.813632,0.98,-0.078,0.0,-3.14159265
0.817536,1.176,-0.026,0.0,-3.14159265
0.821504,1.333,0.052,0.0,-3.14159265
0.825472,1.48,0.13,0.0,-3.14159265
0.82944,1.647,0.156,0.0,-3.14159265
0.833408,1.803,0.442,0.0,-3.14159265
0.83744,1.931,0.546,0.0,-3.14159265
0.841408,2.039,0.494,0.0,-3.14159265
0.845376,2.156,0.624,0.0,-3.14159265
0.849408,2.245,0.806,0.0,-3.14159265
0.853376,2.323,0.832,0.0,-3.14159265
0.857408,2.392,0.78,0.0,-3.14159265
0.861376,2.441,0.884,0.0,-3.14159265
0.865344,2.47,0.728,0.0,-3.14159265
0.869376,2.49,0.936,0.0,-3.14159265
0.873344,2.49,0.754,0.0,-3.14159265
0.877376,2.48,0.936,0.0,-3.14159265
0.881344,2.45,1.014,0.0,-3.14159265
0.88544,2.392,0.91,0.0,-3.14159265
0.889408,2.343,1.092,0.0,-3.14159265
0.893504,2.254,0.806,0.0,-3.14159265
0.897472,2.156,0.728,0.0,-3.14159265
0.901504,2.058,0.728,0.0,-3.14159265
0.905472,1.95,0.572,0.0,-3.14159265
0.90944,1.803,0.52,0.0,-3.14159265
0.913472,1.647,0.364,0.0,-3.14159265
0.91744,1.48,0.442,0.0,-3.14159265
0.921472,1.333,0.208,0.0,-3.14159265
0.92544,1.147,0.13,0.0,-3.14159265
0.929408,0.95,0.104,0.0,-3.14159265
0.933312,0.754,-0.104,0.0,-3.14159265
0.937344,0.539,-0.13,0.0,-3.14159265
0.941312,0.362,-0.26,0.0,-3.14159265
0.945344,0.147,-0.364,0.0,-3.14159265
0.949312,-0.058,-0.512,0.0,-3.14159265
0.95328,-0.274,-0.676,0.0,-3.14159265
0.957376,-0.45,-0.702,0.0,-3.14159265
0.961472,-0.666,-0.884,0.0,-3.14159265
0.965568,-0.862,-0.962,0.0,-3.14159265
0.969664,-1.068,-1.014,0.0,-3.14159265
0.973888,-1.254,-1.3,0.0,-3.14159265
0.978112,-1.46,-1.43,0.0,-3.14159265
0.9824,-1.627,-1.456,0.0,-3.14159265
0.986624,-1.784,-1.534,0.0,-3.14159265
