time(us),reference current(mA),current(mA),cart position(um),pendulum angle(mdeg)

7680,0,-598,0,-180000

11264,117,-598,0,-180000

15168,235,-494,0,-180000

19072,362,-520,0,-180000

22976,480,-416,0,-180000

26880,568,-338,0,-180000

30784,696,-260,0,-180000

34688,803,-182,0,-180000

38592,921,78,0,-180000

42304,1039,0,0,-180000

46016,1176,26,0,-180000

49856,1254,78,0,-180000

53632,1362,312,0,-180000

57536,1460,338,0,-180000

61440,1558,312,0,-180000

65344,1676,312,0,-180000

69248,1764,468,0,-180000

73152,1872,390,0,-180000

77056,1950,650,0,-180000

80896,2000,598,0,-180000

84800,2078,702,0,-180000

88704,2137,624,0,-180000

92608,2215,936,0,-180000

96512,2264,858,0,-180000

100416,2323,728,0,-180000

104384,2372,910,0,-180000

108416,2411,832,0,-180000

112384,2441,780,0,-180000

116352,2460,884,0,-180000

120384,2480,988,0,-180000

124352,2490,988,0,-180000

128384,2490,1066,0,-180000

132416,2490,1118,0,-180000

136512,2480,858,0,-180000

140480,2460,858,0,-180000

144512,2431,910,0,-180000

148480,2392,702,0,-180000

152448,2362,806,0,-180000

156480,2303,988,0,-180000

160448,2254,832,0,-180000

164480,2186,858,0,-180000

168448,2107,650,0,-180000

172416,2039,676,0,-180000

176448,1970,754,0,-180000

180416,1872,520,0,-180000

184384,1764,676,0,-180000

188416,1676,468,0,-180000

192384,1558,390,0,-180000

196416,1460,312,0,-180000

200384,1333,312,0,-180000

204352,1196,182,0,-180000

208384,1068,130,0,-180000

212352,950,0,0,-180000

216128,803,-104,0,-180000

220096,696,-26,0,-180000

224000,539,-52,0,-180000

227904,421,-234,0,-180000

231872,303,-364,0,-180000

235904,147,-468,0,-180000

239872,0,-494,0,-180000

243712,-147,-572,0,-180000

247808,-303,-572,0,-180000

251840,-421,-728,0,-180000

255936,-598,-832,0,-180000

260032,-754,-910,0,-180000

264128,-892,-884,0,-180000

268160,-1039,-1014,0,-180000

272448,-1176,-1222,0,-180000

276672,-1303,-1274,0,-180000

280896,-1431,-1248,0,-180000

285184,-1558,-1300,0,-180000

289408,-1676,-1534,0,-180000

293696,-1803,-1586,0,-180000

297920,-1931,-1560,0,-180000

302208,-2000,-1742,0,-180000

306432,-2088,-1794,0,-180000

310656,-2186,-1846,0,-180000

314944,-2264,-1898,0,-180000

319168,-2323,-1898,0,-180000

323456,-2372,-2002,0,-180000

327680,-2421,-1924,0,-180000

331904,-2450,-2080,0,-180000

336192,-2480,-2080,0,-180000

340416,-2490,-2048,0,-180000

344704,-2490,-2210,0,-180000

348928,-2490,-2028,0,-180000

353152,-2470,-1898,0,-180000

357440,-2441,-2054,0,-180000

361664,-2392,-2028,0,-180000

365952,-2343,-2132,0,-180000

370176,-2284,-2048,0,-180000

374400,-2215,-1924,0,-180000

378688,-2127,-1924,0,-180000

382912,-2019,-1898,0,-180000

387200,-1931,-1768,0,-180000

391424,-1823,-1820,0,-180000

395648,-1696,-1534,0,-180000

399936,-1558,-1664,0,-180000

404160,-1431,-1560,0,-180000

408448,-1303,-1430,0,-180000

412672,-1147,-1404,0,-180000

416960,-980,-1274,0,-180000

421120,-833,-1248,0,-180000

425280,-666,-1118,0,-180000

429440,-509,-1144,0,-180000

433600,-362,-780,0,-180000

437696,-176,-936,0,-180000

441728,-29,-780,0,-180000

445760,147,-702,0,-180000

449728,303,-572,0,-180000

453760,450,-390,0,-180000

457728,598,-364,0,-180000

461696,774,-182,0,-180000

465728,921,-208,0,-180000

469696,1088,-52,0,-180000

473664,1225,-26,0,-180000

477696,1382,182,0,-180000

481664,1509,390,0,-180000

485696,1627,312,0,-180000

489664,1764,416,0,-180000

493632,1892,442,0,-180000

497664,1980,494,0,-180000

501632,2078,494,0,-180000

505664,2166,780,0,-180000

509632,2254,858,0,-180000

513600,2313,728,0,-180000

517632,2382,832,0,-180000

521600,2421,780,0,-180000

525632,2460,858,0,-180000

529600,2480,1040,0,-180000

533696,2490,988,0,-180000

537664,2490,1024,0,-180000

541760,2480,754,0,-180000

545728,2460,858,0,-180000

549760,2431,832,0,-180000

553728,2382,728,0,-180000

557696,2313,650,0,-180000

561728,2254,702,0,-180000

565696,2166,754,0,-180000

569728,2078,754,0,-180000

573696,1970,702,0,-180000

577664,1872,624,0,-180000

581696,1745,494,0,-180000

585664,1607,546,0,-180000

589632,1480,494,0,-180000

593664,1333,390,0,-180000

597632,1176,260,0,-180000

601664,1009,208,0,-180000

605632,862,52,0,-180000

609472,696,-78,0,-180000

613376,509,-182,0,-180000

617344,333,-260,0,-180000

621376,147,-364,0,-180000

625344,-29,-494,0,-180000

629312,-205,-546,0,-180000

633408,-392,-728,0,-180000

637504,-539,-858,0,-180000

641600,-725,-884,0,-180000

645632,-892,-1040,0,-180000

649856,-1068,-1118,0,-180000

654080,-1284,-1280,0,-180000

658304,-1431,-1352,0,-180000

662592,-1558,-1534,0,-180000

666816,-1696,-1482,0,-180000

671104,-1872,-1482,0,-180000

675328,-1980,-1794,0,-180000

679552,-2088,-1690,0,-180000

683840,-2186,-2048,0,-180000

688064,-2294,-1976,0,-180000

692352,-2362,-1768,0,-180000

696576,-2411,-2054,0,-180000

700864,-2450,-1950,0,-180000

705088,-2480,-1924,0,-180000

709312,-2490,-2106,0,-180000

713600,-2490,-1976,0,-180000

717824,-2470,-2132,0,-180000

722112,-2431,-2054,0,-180000

726336,-2382,-2080,0,-180000

730560,-2313,-1950,0,-180000

734848,-2245,-2002,0,-180000

739072,-2127,-1690,0,-180000

743360,-2019,-1898,0,-180000

747584,-1911,-1742,0,-180000

751872,-1784,-1768,0,-180000

756096,-1607,-1586,0,-180000

760320,-1460,-1404,0,-180000

764608,-1303,-1534,0,-180000

768832,-1117,-1404,0,-180000

773120,-892,-1248,0,-180000

777280,-725,-1040,0,-180000

781440,-539,-1040,0,-180000

785600,-333,-832,0,-180000

789696,-147,-832,0,-180000

793728,58,-572,0,-180000

797696,235,-468,0,-180000

801664,421,-416,0,-180000

805632,598,-512,0,-180000

809664,803,-286,0,-180000

813632,980,-78,0,-180000

817536,1176,-26,0,-180000

821504,1333,52,0,-180000

825472,1480,130,0,-180000

829440,1647,156,0,-180000

833408,1803,442,0,-180000

837440,1931,546,0,-180000

841408,2039,494,0,-180000

845376,2156,624,0,-180000

849408,2245,806,0,-180000

853376,2323,832,0,-180000

857408,2392,780,0,-180000

861376,2441,884,0,-180000

865344,2470,728,0,-180000

869376,2490,936,0,-180000

873344,2490,754,0,-180000

877376,2480,936,0,-180000

881344,2450,1014,0,-180000

885440,2392,910,0,-180000

889408,2343,1092,0,-180000

893504,2254,806,0,-180000

897472,2156,728,0,-180000

901504,2058,728,0,-180000

905472,1950,572,0,-180000

909440,1803,520,0,-180000

913472,1647,364,0,-180000

917440,1480,442,0,-180000

921472,1333,208,0,-180000

925440,1147,130,0,-180000

929408,950,104,0,-180000

933312,754,-104,0,-180000

937344,539,-130,0,-180000

941312,362,-260,0,-180000

945344,147,-364,0,-180000

949312,-58,-512,0,-180000

953280,-274,-676,0,-180000

957376,-450,-702,0,-180000

961472,-666,-884,0,-180000

