time(us),reference current(mA),current(mA),cart position(um),pendulum angle(mdeg)
7744,1000,-390,-3816,-179865
11840,1000,2560,-5346,-179460
16000,1000,3198,-6588,-179055
20224,1000,2560,-7398,-178965
24384,1000,2444,-7506,-178470
28608,1000,1690,-7380,-178020
32768,1000,1280,-6786,-177615
36992,1000,1482,-6012,-177030
41152,1000,1024,-5094,-176490
45376,1000,1300,-3978,-175950
49536,1000,1118,-2736,-175230
53760,1000,768,-1314,-174465
57856,1000,633,108,-174105
61760,1000,884,1494,-173385
65792,1000,624,3168,-172710
69824,1000,494,4752,-172125
73856,1000,728,6372,-171630
77824,1000,512,8154,-170775
81856,1000,0,9918,-170145
85696,1000,512,11646,-169650
89856,1000,624,13536,-168795
93952,1000,512,15426,-167940
98048,1000,676,17370,-167490
102144,1000,442,19314,-166770
106368,1000,520,21384,-165915
110528,1000,256,23400,-165195
114752,1000,512,25398,-164655
118976,1000,208,27522,-163800
123136,1000,256,29574,-163080
127360,1000,512,31608,-162360
131520,1000,512,33678,-161685
135744,1000,728,35748,-160965
139968,1000,256,37818,-160200
144128,1000,338,39870,-159435
148352,1000,256,41940,-158805
152512,1000,546,43974,-158175
156736,1000,512,46044,-157500
160960,1000,256,48150,-156735
165120,1000,512,50184,-156060
169344,1000,364,52254,-155385
173568,1000,512,54342,-154665
177728,1000,512,56412,-153900
181952,1000,256,58482,-153360
186112,1000,0,60570,-152730
190144,1000,256,62586,-152010
194368,1000,512,64638,-151335
198592,1000,0,66708,-150795
202624,1000,256,68706,-150165
206784,1000,256,70794,-149490
211008,1000,494,72828,-148815
215232,1000,512,74880,-148320
219392,1000,442,76932,-147690
223616,1000,256,78930,-147150
227776,1000,256,80982,-146430
232000,1000,256,82980,-145890
236224,1000,624,84978,-145395
240384,1000,512,87012,-144855
244608,1000,512,89028,-144315
248768,1000,234,91044,-143730
252992,1000,598,93078,-143145
257216,1000,512,95094,-142740
261376,-1000,78,97146,-142155
265600,-1000,-2314,98766,-141885
270080,-1000,-2560,99954,-141480
274496,-1000,-2560,100926,-141120
279040,-1000,-2002,101286,-140760
283584,-1000,-1792,101124,-140535
288128,-1000,-1280,100584,-140355
292672,-1000,-1280,99738,-140220
297088,-1000,-1280,98694,-140175
301568,-1000,-1014,97452,-140175
306048,-1000,-1024,96048,-140085
310464,-1000,-1024,94482,-140085
314944,-1000,-768,92772,-140265
319296,-1000,-468,91098,-140220
323648,-1000,-768,89280,-140310
328064,-1000,-768,87336,-140535
332416,-1000,-256,85410,-140535
336768,-1000,-512,83394,-140715
341120,-1000,-512,81414,-140940
345536,-1000,-256,79326,-141120
349888,-1000,-256,77202,-141255
354240,-1000,-256,75132,-141390
358656,-1000,-512,72972,-141750
363008,-1000,-512,70866,-141885
367360,-1000,-260,68706,-142155
371712,-1000,-256,66492,-142515
376128,-1000,-468,64368,-142650
380480,-1000,-26,62136,-142965
384768,-1000,-512,59994,-143280
389120,-1000,-256,57762,-143595
393472,-1000,-364,55566,-143865
