time(s),reference current(A),current(A),cart position(m),pendulum angle(rad)
0.007744,1.0,-0.39,-0.003816,-3.13923645551
0.01184,1.0,2.56,-0.005346,-3.13216787205
0.016,1.0,3.198,-0.006588,-3.12509928859
0.020224,1.0,2.56,-0.007398,-3.12352849226
0.024384,1.0,2.444,-0.007506,-3.11488911248
0.028608,1.0,1.69,-0.00738,-3.10703513085
0.032768,1.0,1.28,-0.006786,-3.09996654739
0.036992,1.0,1.482,-0.006012,-3.08975637128
0.041152,1.0,1.024,-0.005094,-3.08033159332
0.045376,1.0,1.3,-0.003978,-3.07090681538
0.049536,1.0,1.118,-0.002736,-3.05834044478
0.05376,1.0,0.768,-0.001314,-3.04498867601
0.057856,1.0,0.633,0.000108,-3.03870549071
0.06176,1.0,0.884,0.001494,-3.02613912011
0.065792,1.0,0.624,0.003168,-3.01435814768
0.069824,1.0,0.494,0.004752,-3.00414797156
0.073856,1.0,0.728,0.006372,-2.99550859178
0.077824,1.0,0.512,0.008154,-2.98058602669
0.081856,1.0,0.0,0.009918,-2.96959045241
0.085696,1.0,0.512,0.011646,-2.96095107262
0.089856,1.0,0.624,0.013536,-2.94602850754
0.093952,1.0,0.512,0.015426,-2.93110594245
0.098048,1.0,0.676,0.01737,-2.92325196083
0.102144,1.0,0.442,0.019314,-2.91068559022
0.106368,1.0,0.52,0.021384,-2.89576302514
0.110528,1.0,0.256,0.0234,-2.88319665454
0.114752,1.0,0.512,0.025398,-2.87377187659
0.118976,1.0,0.208,0.027522,-2.8588493115
0.123136,1.0,0.256,0.029574,-2.8462829409
0.12736,1.0,0.512,0.031608,-2.8337165703
0.13152,1.0,0.512,0.033678,-2.82193559786
0.135744,1.0,0.728,0.035748,-2.80936922726
0.139968,1.0,0.256,0.037818,-2.7960174585
0.144128,1.0,0.338,0.03987,-2.78266568974
0.148352,1.0,0.256,0.04194,-2.77167011546
0.152512,1.0,0.546,0.043974,-2.76067454119
0.156736,1.0,0.512,0.046044,-2.74889356875
0.16096,1.0,0.256,0.04815,-2.73554179999
0.16512,1.0,0.512,0.050184,-2.72376082755
0.169344,1.0,0.364,0.052254,-2.71197985511
0.173568,1.0,0.512,0.054342,-2.69941348451
0.177728,1.0,0.512,0.056412,-2.68606171575
0.181952,1.0,0.256,0.058482,-2.6766369378
0.186112,1.0,0.0,0.06057,-2.66564136353
0.190144,1.0,0.256,0.062586,-2.65307499293
0.194368,1.0,0.512,0.064638,-2.64129402049
0.198592,1.0,0.0,0.066708,-2.63186924254
0.202624,1.0,0.256,0.068706,-2.62087366826
0.206784,1.0,0.256,0.070794,-2.60909269583
0.211008,1.0,0.494,0.072828,-2.59731172339
0.215232,1.0,0.512,0.07488,-2.5886723436
0.219392,1.0,0.442,0.076932,-2.57767676933
0.223616,1.0,0.256,0.07893,-2.56825199137
0.227776,1.0,0.256,0.080982,-2.55568562078
0.232,1.0,0.256,0.08298,-2.54626084283
0.236224,1.0,0.624,0.084978,-2.53762146304
0.240384,1.0,0.512,0.087012,-2.52819668509
0.244608,1.0,0.512,0.089028,-2.51877190714
0.248768,1.0,0.234,0.091044,-2.50856173102
0.252992,1.0,0.598,0.093078,-2.49835155491
0.257216,1.0,0.512,0.095094,-2.49128297145
0.261376,-1.0,0.078,0.097146,-2.48107279534
0.2656,-1.0,-2.314,0.098766,-2.47636040636
0.27008,-1.0,-2.56,0.099954,-2.4692918229
0.274496,-1.0,-2.56,0.100926,-2.4630086376
0.27904,-1.0,-2.002,0.101286,-2.4567254523
0.283584,-1.0,-1.792,0.101124,-2.45279846149
0.288128,-1.0,-1.28,0.100584,-2.44965686884
0.292672,-1.0,-1.28,0.099738,-2.44730067435
0.297088,-1.0,-1.28,0.098694,-2.44651527619
0.301568,-1.0,-1.014,0.097452,-2.44651527619
0.306048,-1.0,-1.024,0.096048,-2.44494447986
0.310464,-1.0,-1.024,0.094482,-2.44494447986
0.314944,-1.0,-0.768,0.092772,-2.44808607251
0.319296,-1.0,-0.468,0.091098,-2.44730067435
0.323648,-1.0,-0.768,0.08928,-2.44887147067
0.328064,-1.0,-0.768,0.087336,-2.45279846149
0.332416,-1.0,-0.256,0.08541,-2.45279846149
0.336768,-1.0,-0.512,0.083394,-2.45594005414
0.34112,-1.0,-0.512,0.081414,-2.45986704495
0.345536,-1.0,-0.256,0.079326,-2.4630086376
0.349888,-1.0,-0.256,0.077202,-2.46536483209
0.35424,-1.0,-0.256,0.075132,-2.46772102658
0.358656,-1.0,-0.512,0.072972,-2.47400421188
0.363008,-1.0,-0.512,0.070866,-2.47636040636
0.36736,-1.0,-0.26,0.068706,-2.48107279534
0.371712,-1.0,-0.256,0.066492,-2.48735598064
0.376128,-1.0,-0.468,0.064368,-2.48971217513
0.38048,-1.0,-0.026,0.062136,-2.49520996226
0.384768,-1.0,-0.512,0.059994,-2.5007077494
0.38912,-1.0,-0.256,0.057762,-2.50620553654
0.393472,-1.0,-0.364,0.055566,-2.51091792551
0.397888,-1.0,-0.182,0.053316,-2.5195573053
0.40224,-1.0,-0.256,0.051084,-2.52348429611
0.406592,-1.0,-0.256,0.048852,-2.52819668509
0.411008,-1.0,-0.182,0.046584,-2.53683606488
0.41536,-1.0,-0.256,0.044352,-2.54390464834
0.419712,-1.0,-0.312,0.042084,-2.54861703731
0.424064,-1.0,-0.256,0.039816,-2.55804181526
0.42848,-1.0,-0.182,0.037512,-2.5635396024
0.432832,-1.0,-0.256,0.03528,-2.56903738954
0.437184,-1.0,-0.286,0.032976,-2.57767676933
0.441536,-1.0,-0.256,0.030672,-2.58710154728
0.445952,-1.0,-0.13,0.028386,-2.59259933441
0.450304,-1.0,-0.512,0.026118,-2.60045331604
0.454656,-1.0,-0.256,0.023796,-2.60987809399
0.459072,-1.0,-0.338,0.02151,-2.61694667745
0.463424,-1.0,-0.104,0.019242,-2.62480065907
0.467776,-1.0,-0.256,0.016956,-2.63422543703
0.472128,-1.0,-0.512,0.014688,-2.64207941865
0.476544,-1.0,-0.312,0.012438,-2.64993340028
0.480896,-1.0,0.0,0.010152,-2.66171437271
0.484992,-1.0,-0.13,0.008028,-2.66799755801
0.48928,-1.0,-0.052,0.005832,-2.6766369378
0.493504,-1.0,-0.156,0.003654,-2.68606171575
0.497792,-1.0,-0.256,0.00144,-2.69470109554
0.50208,-1.0,-0.13,-0.000756,-2.70412587349
0.506368,-1.0,-0.256,-0.00297,-2.71512144776
0.51072,1.0,-0.256,-0.00522,-2.72376082755
0.515008,1.0,3.187,-0.007002,-2.72768781836
0.519296,1.0,2.816,-0.008352,-2.73554179999
