time(us),reference current(mA),current(mA),cart position(um),pendulum angle(mdeg)
7744,1000,-512,-3816,-179820
11840,1000,2816,-5418,-179415
16000,1000,2990,-6588,-178965
20224,1000,2304,-7416,-178965
24384,1000,2210,-7488,-178425
28608,1000,1536,-7344,-177930
32768,1000,1560,-6804,-177615
36992,1000,1280,-5976,-176985
41152,1000,1404,-5112,-176400
45376,1000,768,-3978,-175905
49472,1000,1024,-2736,-175230
53632,1000,768,-1332,-174465
57728,1000,768,108,-173970
61696,1000,806,1512,-173340
65728,1000,768,3150,-172710
69760,1000,512,4788,-172080
73728,1000,512,6426,-171450
77760,1000,624,8208,-170730
81792,1000,512,9972,-170100
85824,1000,676,11772,-169470
89920,1000,598,13734,-168660
94016,1000,234,15624,-167985
98112,1000,572,17550,-167355
102208,1000,28,19548,-166455
106368,1000,364,21528,-165735
110528,1000,256,23598,-165150
114752,1000,256,25632,-164475
118976,1000,512,27666,-163530
123136,1000,416,29790,-162990
127360,1000,256,31824,-162315
131520,1000,256,33912,-161370
135744,1000,338,35982,-160830
139968,1000,256,38016,-160200
144128,1000,390,40104,-159390
148352,1000,364,42174,-158670
152576,1000,256,44226,-157905
156736,1000,494,46296,-157320
160960,1000,256,48402,-156555
165120,1000,256,50472,-155880
169344,1000,104,52542,-155160
173568,1000,0,54648,-154485
177600,1000,520,56646,-153855
181760,1000,0,58752,-153225
185792,1000,256,60750,-152460
190016,1000,256,62856,-151830
194176,1000,512,64926,-151290
198400,1000,0,67014,-150615
202432,1000,260,69030,-149985
206656,1000,256,71082,-149355
210816,1000,256,73134,-148770
215040,1000,512,75186,-148005
219200,1000,520,77256,-147420
223424,1000,256,79254,-147015
227648,1000,512,81306,-146250
231808,1000,598,83322,-145710
236032,1000,256,85320,-145215
240256,1000,0,87372,-144630
244288,1000,512,89298,-144135
248448,1000,442,91332,-143460
252672,1000,529,93366,-143055
256832,1000,256,95382,-142515
261056,-1000,0,97470,-141975
265152,-1000,-2816,99036,-141705
269632,-1000,-2560,100206,-141255
274176,-1000,-2304,101268,-140805
278720,-1000,-2048,101682,-140535
283264,-1000,-1792,101556,-140355
287808,-1000,-1248,101034,-140175
292352,-1000,-1118,100242,-140040
296832,-1000,-1274,99216,-139950
301312,-1000,-1024,97974,-139905
305792,-1000,-780,96534,-139905
310144,-1000,-1024,95004,-139905
314624,-1000,-858,93330,-139950
318976,-1000,-512,91602,-140040
323328,-1000,-650,89748,-140130
327680,-1000,-512,87840,-140220
