time(s),reference current(A),current(A),cart position(m),pendulum angle(rad)
0.007744,1.0,-0.512,-0.003816,-3.13845105735
0.01184,1.0,2.816,-0.005418,-3.13138247389
0.016,1.0,2.99,-0.006588,-3.12352849226
0.020224,1.0,2.304,-0.007416,-3.12352849226
0.024384,1.0,2.21,-0.007488,-3.11410371431
0.028608,1.0,1.536,-0.007344,-3.10546433453
0.032768,1.0,1.56,-0.006804,-3.09996654739
0.036992,1.0,1.28,-0.005976,-3.08897097311
0.041152,1.0,1.404,-0.005112,-3.078760797
0.045376,1.0,0.768,-0.003978,-3.07012141721
0.049472,1.0,1.024,-0.002736,-3.05834044478
0.053632,1.0,0.768,-0.001332,-3.04498867601
0.057728,1.0,0.768,0.000108,-3.03634929623
0.061696,1.0,0.806,0.001512,-3.02535372195
0.065728,1.0,0.768,0.00315,-3.01435814768
0.06976,1.0,0.512,0.004788,-3.0033625734
0.073728,1.0,0.512,0.006426,-2.99236699913
0.07776,1.0,0.624,0.008208,-2.97980062853
0.081792,1.0,0.512,0.009972,-2.96880505425
0.085824,1.0,0.676,0.011772,-2.95780947997
0.08992,1.0,0.598,0.013734,-2.94367231305
0.094016,1.0,0.234,0.015624,-2.93189134061
0.098112,1.0,0.572,0.01755,-2.92089576634
0.102208,1.0,0.028,0.019548,-2.90518780309
0.106368,1.0,0.364,0.021528,-2.89262143249
0.110528,1.0,0.256,0.023598,-2.88241125638
0.114752,1.0,0.256,0.025632,-2.87063028394
0.118976,1.0,0.512,0.027666,-2.85413692252
0.123136,1.0,0.416,0.02979,-2.84471214457
0.12736,1.0,0.256,0.031824,-2.83293117214
0.13152,1.0,0.256,0.033912,-2.81643781073
0.135744,1.0,0.338,0.035982,-2.80701303278
0.139968,1.0,0.256,0.038016,-2.7960174585
0.144128,1.0,0.39,0.040104,-2.78188029158
0.148352,1.0,0.364,0.042174,-2.76931392098
0.152576,1.0,0.256,0.044226,-2.75596215221
0.156736,1.0,0.494,0.046296,-2.7457519761
0.16096,1.0,0.256,0.048402,-2.73240020734
0.16512,1.0,0.256,0.050472,-2.7206192349
0.169344,1.0,0.104,0.052542,-2.7080528643
0.173568,1.0,0.0,0.054648,-2.69627189186
0.1776,1.0,0.52,0.056646,-2.68527631759
0.18176,1.0,0.0,0.058752,-2.67428074331
0.185792,1.0,0.256,0.06075,-2.66092897455
0.190016,1.0,0.256,0.062856,-2.64993340028
0.194176,1.0,0.512,0.064926,-2.64050862233
0.1984,1.0,0.0,0.067014,-2.62872764989
0.202432,1.0,0.26,0.06903,-2.61773207561
0.206656,1.0,0.256,0.071082,-2.60673650134
0.210816,1.0,0.256,0.073134,-2.59652632523
0.21504,1.0,0.512,0.075186,-2.58317455646
0.2192,1.0,0.52,0.077256,-2.57296438035
0.223424,1.0,0.256,0.079254,-2.56589579689
0.227648,1.0,0.512,0.081306,-2.55254402813
0.231808,1.0,0.598,0.083322,-2.54311925018
0.236032,1.0,0.256,0.08532,-2.53447987039
0.240256,1.0,0.0,0.087372,-2.52426969428
0.244288,1.0,0.512,0.089298,-2.51563031449
0.248448,1.0,0.442,0.091332,-2.50384934205
0.252672,1.0,0.529,0.093366,-2.49678075859
0.256832,1.0,0.256,0.095382,-2.48735598064
0.261056,-1.0,0.0,0.09747,-2.47793120269
0.265152,-1.0,-2.816,0.099036,-2.47321881371
0.269632,-1.0,-2.56,0.100206,-2.46536483209
0.274176,-1.0,-2.304,0.101268,-2.45751085046
0.27872,-1.0,-2.048,0.101682,-2.45279846149
0.283264,-1.0,-1.792,0.101556,-2.44965686884
0.287808,-1.0,-1.248,0.101034,-2.44651527619
0.292352,-1.0,-1.118,0.100242,-2.4441590817
0.296832,-1.0,-1.274,0.099216,-2.44258828538
0.301312,-1.0,-1.024,0.097974,-2.44180288721
0.305792,-1.0,-0.78,0.096534,-2.44180288721
0.310144,-1.0,-1.024,0.095004,-2.44180288721
0.314624,-1.0,-0.858,0.09333,-2.44258828538
0.318976,-1.0,-0.512,0.091602,-2.4441590817
0.323328,-1.0,-0.65,0.089748,-2.44572987802
0.32768,-1.0,-0.512,0.08784,-2.44730067435
0.332096,-1.0,-0.468,0.085914,-2.44887147067
0.336448,-1.0,-0.234,0.08388,-2.45279846149
0.3408,-1.0,-0.256,0.081846,-2.45515465597
0.345152,-1.0,-0.512,0.07974,-2.45829624862
0.349568,-1.0,-0.13,0.077634,-2.46143784127
0.35392,-1.0,-0.512,0.075528,-2.46457943393
0.358272,-1.0,-0.256,0.073368,-2.4692918229
0.362688,-1.0,-0.416,0.071208,-2.47321881371
0.36704,-1.0,-0.312,0.06903,-2.47714580453
0.371392,-1.0,-0.256,0.06687,-2.4818581935
0.375744,-1.0,-0.512,0.064674,-2.48735598064
0.38016,-1.0,-0.078,0.062478,-2.49206836961
0.384448,-1.0,-0.512,0.060318,-2.49599536043
0.3888,-1.0,-0.256,0.058086,-2.50227854573
0.393152,-1.0,-0.234,0.055854,-2.50856173102
0.397504,-1.0,-0.234,0.053622,-2.51327412
0.40192,-1.0,-0.256,0.05139,-2.51877190714
0.406272,-1.0,-0.256,0.049122,-2.52662588876
0.410624,-1.0,-0.078,0.046872,-2.53133827774
0.414912,-1.0,-0.256,0.04464,-2.53762146304
0.419264,-1.0,-0.312,0.042372,-2.54547544466
0.42368,-1.0,-0.256,0.040086,-2.55175862996
0.428032,-1.0,-0.256,0.0378,-2.55882721343
0.432384,-1.0,-0.156,0.035514,-2.56746659321
0.4368,-1.0,-0.156,0.033192,-2.57374977851
0.441152,-1.0,-0.256,0.030906,-2.58003296381
0.445504,-1.0,-0.13,0.028602,-2.5886723436
0.449856,-1.0,-0.256,0.026298,-2.59809712155
0.454272,-1.0,-0.256,0.024012,-2.60595110318
0.458624,-1.0,-0.338,0.02169,-2.61223428848
0.462976,-1.0,-0.256,0.019422,-2.62087366826
0.467328,-1.0,-0.364,0.017136,-2.62872764989
0.471744,-1.0,-0.256,0.01485,-2.63736702968
0.476096,-1.0,-0.512,0.012582,-2.64600640946
0.480448,-1.0,-0.26,0.010296,-2.65464578925
0.484864,-1.0,-0.512,0.008046,-2.66485596536
0.489152,-1.0,-0.104,0.005814,-2.67349534515
0.49344,-1.0,-0.512,0.0036,-2.68134932677
0.497664,-1.0,-0.13,0.001368,-2.69077410473
0.501952,-1.0,-0.512,-0.000846,-2.70019888268
0.50624,-1.0,-0.256,-0.00306,-2.7080528643
0.510656,1.0,-0.256,-0.005328,-2.71826304041
0.514944,1.0,3.12,-0.007128,-2.72454622571
0.519232,1.0,2.816,-0.008442,-2.73004401285
0.523456,1.0,2.304,-0.009396,-2.74025418896
0.527744,1.0,2.048,-0.00963,-2.74418117977
0.532032,1.0,1.792,-0.009594,-2.74810817059
0.53632,1.0,1.508,-0.009126,-2.75360595773
0.540608,1.0,1.352,-0.008424,-2.75674755038
0.544896,1.0,1.222,-0.007542,-2.75910374486
0.549184,1.0,1.3,-0.006444,-2.76224533751
0.553472,1.0,1.014,-0.005238,-2.76617232833
0.55776,1.0,0.858,-0.003834,-2.76617232833
