time(us),reference current(mA),current(mA),cart position(um),pendulum angle(mdeg)
7744,1000,-256,-3852,-179685
11840,1000,2304,-5436,-179280
16000,1000,3146,-6642,-178965
20224,1000,2560,-7524,-178830
24384,1000,2366,-7668,-178470
28608,1000,1792,-7506,-177930
32768,1000,1508,-6912,-177480
36992,1000,1280,-6210,-177075
41152,1000,1024,-5256,-176265
45376,1000,988,-4068,-175815
49472,1000,1024,-2934,-175410
53632,1000,768,-1530,-174690
57728,1000,512,-18,-173835
61696,1000,598,1386,-173475
65728,1000,768,2952,-172845
69760,1000,676,4662,-172080
73728,1000,768,6372,-171405
77760,1000,520,8082,-170775
81792,1000,340,9900,-170010
85824,1000,598,11790,-169380
89920,1000,312,13698,-168795
94016,1000,598,15624,-167985
98112,1000,624,17658,-167265
102208,1000,312,19638,-166635
106432,1000,650,21690,-166005
110656,1000,0,23796,-165060
114688,1000,256,25758,-164430
118848,1000,0,27864,-163800
122880,1000,256,29880,-163125
127104,1000,256,31968,-162315
131264,1000,256,34074,-161550
135488,1000,364,36126,-160875
139712,1000,256,38214,-160200
143872,1000,572,40284,-159435
148096,1000,256,42318,-158850
152320,1000,520,44406,-158085
156480,1000,0,46512,-157365
160512,1000,364,48438,-156690
164736,1000,256,50508,-155925
168896,1000,256,52614,-155295
173120,1000,546,54666,-154665
177344,1000,546,56754,-154035
181504,1000,364,58824,-153180
185728,1000,182,60948,-152640
189888,1000,256,63018,-152055
194112,1000,256,65088,-151335
198336,1000,0,67194,-150660
202368,1000,598,69156,-150030
206528,1000,256,71262,-149490
210752,1000,256,73332,-148815
214912,1000,494,75384,-148140
219136,1000,256,77436,-147555
223360,1000,256,79488,-147015
227520,1000,0,81558,-146340
231552,1000,520,83484,-145935
235776,1000,256,85500,-145260
240000,1000,256,87552,-144765
244160,1000,512,89568,-144225
248384,1000,390,91620,-143640
252544,1000,390,93636,-143145
256768,1000,256,95688,-142605
260992,-1000,256,97704,-142155
265280,-1000,-2548,99396,-141795
269696,-1000,-2560,100620,-141435
274240,-1000,-2560,101592,-141030
278784,-1000,-2048,101934,-140625
283328,-1000,-1536,101772,-140445
287872,-1000,-1280,101214,-140310
292416,-1000,-1280,100368,-140130
296960,-1000,-1280,99360,-140040
301376,-1000,-1024,98100,-140040
305856,-1000,-1024,96678,-140040
310336,-1000,-768,95148,-140040
314688,-1000,-624,93510,-140085
319040,-1000,-702,91782,-140130
323392,-1000,-768,89946,-140220
327808,-1000,-390,88056,-140355
332160,-1000,-256,86094,-140490
336512,-1000,-364,84096,-140625
340864,-1000,-338,82008,-140760
345280,-1000,-256,79938,-140985
349632,-1000,-286,77796,-141165
353984,-1000,-256,75636,-141390
358400,-1000,-208,73476,-141615
362752,-1000,-256,71262,-141840
367104,-1000,-234,69066,-142110
371456,-1000,-256,66834,-142380
375872,-1000,-78,64620,-142650
380160,-1000,-256,62424,-142920
384512,-1000,-364,60192,-143235
388864,-1000,13,57942,-143550
393088,-1000,-182,55800,-143820
397440,-1000,-156,53532,-144180
401792,-1000,-256,51264,-144495
406208,-1000,-390,49032,-144810
410560,-1000,-256,46764,-145215
414912,-1000,-512,44478,-145620
419264,-1000,-156,42210,-145980
423680,-1000,-512,39924,-146385
428032,-1000,-512,37638,-146790
432384,-1000,-52,35352,-147195
436672,-1000,-364,33102,-147600
441024,-1000,0,30816,-148095
445184,-1000,-156,28674,-148500
449536,-1000,-312,26388,-148860
453888,-1000,-256,24084,-149310
458304,-1000,-256,21798,-149805
462656,-1000,-312,19530,-150255
467008,-1000,-512,17262,-150750
471360,-1000,-256,14976,-151290
475776,-1000,-234,12708,-151650
480128,-1000,-256,10440,-152190
484480,-1000,-256,8172,-152730
488768,-1000,-312,5940,-153315
493056,-1000,-156,3708,-153675
497344,-1000,-256,1476,-154350
501632,-1000,-260,-738,-154755
505920,-1000,-512,-2970,-155250
510272,1000,0,-5274,-155835
514304,1000,3072,-6948,-156195
518592,1000,3380,-8262,-156375
522880,1000,2210,-9270,-157005
527168,1000,1792,-9486,-157275
531456,1000,1536,-9468,-157500
535744,1000,1536,-9000,-157770
540032,1000,1534,-8280,-158085
544320,1000,1404,-7434,-158130
548608,1000,1040,-6300,-158265
552896,1000,768,-5094,-158535
557056,1000,768,-3798,-158535
561280,1000,512,-2322,-158580
565504,1000,768,-864,-158850
569600,1000,832,684,-158850
573632,1000,512,2340,-158850
577728,1000,364,3996,-159030
581888,1000,598,5706,-159165
585984,1000,520,7560,-159075
590080,1000,442,9378,-159165
594176,1000,338,11178,-159390
598400,1000,512,13176,-159390
602624,1000,0,15156,-159345
606656,1000,512,17010,-159570
610816,1000,256,19044,-159615
615040,1000,512,21078,-159615
619264,1000,256,23094,-159705
623424,1000,520,25146,-159930
627648,1000,390,27216,-159885
631808,1000,234,29268,-159930
636032,1000,598,31356,-160110
640256,1000,256,33408,-160155
644416,1000,512,35478,-160290
648640,1000,442,37566,-160335
652864,1000,256,39618,-160470
657024,1000,0,41724,-160560
661056,1000,256,43668,-160740
665280,1000,494,45756,-160785
669440,1000,78,47898,-160785
673600,1000,676,49914,-161010
677760,1000,512,51984,-161100
681984,1000,256,54108,-161145
686208,1000,256,56232,-161325
690368,1000,512,58302,-161460
694592,1000,256,60426,-161550
698752,1000,364,62568,-161640
702976,1000,336,64656,-161865
707200,1000,0,66780,-161955
711232,1000,520,68796,-162090
715392,1000,312,70920,-162225
719616,1000,256,73026,-162360
723840,1000,0,75132,-162540
727872,1000,0,77184,-162585
731840,1000,256,79182,-162855
736064,1000,256,81288,-162900
740288,1000,256,83412,-163035
744448,1000,0,85518,-163260
748480,1000,0,87534,-163440
752512,1000,256,89568,-163485
756736,1000,0,91692,-163620
760768,-1000,256,93726,-163890
765056,-1000,-2600,95490,-164115
769472,-1000,-2912,96714,-164565
773952,-1000,-2816,97722,-164880
778432,-1000,-2304,98136,-165150
782848,-1000,-1792,97956,-165780
787328,-1000,-1612,97416,-166275
791808,-1000,-1170,96624,-166680
796224,-1000,-1024,95616,-167445
800704,-1000,-1280,94374,-168030
805120,-1000,-1024,92970,-168660
809600,-1000,-768,91458,-169290
813952,-1000,-728,89856,-170010
818368,-1000,-754,88200,-170640
822720,-1000,-512,86400,-171405
827072,-1000,-624,84546,-172260
831424,-1000,-768,82692,-172800
835840,-1000,-768,80748,-173430
840192,-1000,-338,78714,-174240
844544,-1000,-512,76716,-174915
848896,-1000,-768,74700,-175725
853312,-1000,-104,72612,-176535
857664,-1000,-256,70542,-177120
862016,-1000,-256,68436,-177795
866432,-1000,-260,66348,-178515
870784,-1000,-512,64260,-179190
875136,-1000,-256,62136,-179910
879488,-1000,-442,60066,-180810
883904,-1000,-256,57942,-181485
888256,-1000,-768,55890,-181980
892608,-1000,-286,53766,-182745
897024,-1000,-512,51678,-183330
901376,-1000,-512,49608,-184005
905728,-1000,-312,47502,-184725
910080,-1000,-512,45432,-185355
914496,-1000,-512,43344,-185985
918848,-1000,-768,41238,-186705
923200,-1000,-256,39150,-187290
927616,-1000,-390,37080,-187830
931968,-1000,-364,34956,-188550
936320,-1000,-512,32814,-189315
940672,-1000,-442,30762,-189675
945088,-1000,-256,28674,-190350
949440,-1000,-512,26550,-190935
953792,-1000,-260,24462,-191475
958208,-1000,-512,22374,-192015
962560,-1000,-512,20286,-192645
966912,-1000,-260,18252,-193185
971264,-1000,-512,16164,-193680
975680,-1000,-512,14076,-194265
980032,-1000,-768,12042,-194670
984384,-1000,-512,9954,-195210
988672,-1000,-260,7938,-195705
992960,-1000,-312,5904,-196200
997248,-1000,-512,3870,-196605
1001536,-1000,-520,1854,-197055
1005888,-1000,-256,-234,-197595
1010304,1000,-768,-2322,-197910
1014656,1000,2816,-3924,-198180
1019072,1000,2560,-5130,-198450
1023424,1000,2304,-5958,-198900
1027840,1000,1792,-5994,-198855
1032192,1000,1742,-5922,-199080
1036544,1000,1280,-5256,-199125
1040960,1000,1352,-4392,-199125
1045312,1000,1024,-3492,-199260
1049728,1000,1144,-2250,-199080
1054080,1000,768,-846,-198945
1058304,1000,768,522,-198990
1062400,1000,962,2070,-198765
1066624,1000,512,3708,-198585
1070848,1000,512,5382,-198450
1075072,1000,512,7218,-198270
1079232,1000,416,9072,-198090
1083456,1000,512,10944,-197775
1087744,1000,208,12996,-197595
1092032,1000,494,15048,-197280
1096320,1000,520,17136,-196920
1100672,1000,256,19296,-196740
1104960,1000,260,21402,-196470
1109248,1000,260,23616,-196065
1113536,1000,338,25812,-195705
1117824,1000,286,28026,-195480
1122112,1000,390,30240,-195030
1126400,1000,234,32526,-194580
1130688,1000,494,34722,-194310
1134976,1000,364,36990,-193860
1139264,1000,256,39276,-193365
1143616,1000,546,41454,-193095
1147904,1000,234,43758,-192555
1152192,1000,390,46008,-192105
1156480,1000,182,48276,-191700
1160768,1000,338,50544,-191295
1165056,1000,0,52848,-190575
1169152,1000,286,55026,-190305
1173504,1000,208,57330,-189855
1177792,1000,286,59616,-189270
1182080,1000,260,61920,-188775
1186368,1000,364,64242,-188325
1190656,1000,26,66528,-187740
1194880,1000,256,68814,-187065
1199168,1000,182,71082,-186750
1203456,1000,260,73404,-186165
1207744,1000,390,75726,-185490
1212032,1000,208,77994,-184995
1216320,1000,208,80298,-184500
1220608,1000,130,82602,-183780
1224896,1000,390,84870,-183240
1229248,1000,364,87156,-182745
1233536,1000,416,89442,-182070
1237824,1000,390,91728,-181485
1242112,1000,364,93960,-180945
1246400,1000,286,96282,-180270
1250688,1000,572,98550,-179640
1254976,1000,234,100818,-179055
1259392,-1000,256,103140,-178470
1263808,-1000,-2560,105084,-177840
1268480,-1000,-2816,106452,-177480
1273088,-1000,-2470,107550,-176895
1277760,-1000,-1742,107982,-176310
1282368,-1000,-1456,107784,-176175
1286976,-1000,-1792,107262,-175770
1291648,-1000,-1280,106452,-175320
1296256,-1000,-1280,105354,-175320
1300928,-1000,-1024,104112,-175005
1305536,-1000,-1280,102690,-174690
1310144,-1000,-768,101070,-174735
1314752,-1000,-768,99414,-174375
1319168,-1000,-1024,97740,-174150
1323712,-1000,-512,95832,-174195
1328192,-1000,-512,93960,-173970
1332672,-1000,-512,92052,-173745
1337152,-1000,-512,90036,-173745
1341568,-1000,-512,88002,-173655
1346048,-1000,-512,85968,-173385
1350528,-1000,-512,83844,-173340
1355008,-1000,-768,81720,-173250
1359424,-1000,-312,79632,-172980
1363904,-1000,-256,77436,-172980
1368384,-1000,-512,75294,-172890
1372864,-1000,-512,73152,-172620
1377280,-1000,-256,70956,-172575
1381760,-1000,-256,68760,-172530
1386240,-1000,-256,66618,-172260
1390720,-1000,-512,64422,-172170
1395136,-1000,-512,62190,-172170
1399616,-1000,-768,60066,-171855
1404096,-1000,-256,57834,-171810
1408576,-1000,-512,55638,-171720
1412992,-1000,-256,53442,-171495
1417472,-1000,-416,51228,-171360
