time(s),reference current(A),current(A),cart position(m),pendulum angle(rad)
0.007744,1.0,-0.256,-0.003852,-3.13609486286
0.01184,1.0,2.304,-0.005436,-3.1290262794
0.016,1.0,3.146,-0.006642,-3.12352849226
0.020224,1.0,2.56,-0.007524,-3.12117229778
0.024384,1.0,2.366,-0.007668,-3.11488911248
0.028608,1.0,1.792,-0.007506,-3.10546433453
0.032768,1.0,1.508,-0.006912,-3.0976103529
0.036992,1.0,1.28,-0.00621,-3.09054176944
0.041152,1.0,1.024,-0.005256,-3.07640460251
0.045376,1.0,0.988,-0.004068,-3.06855062089
0.049472,1.0,1.024,-0.002934,-3.06148203743
0.053632,1.0,0.768,-0.00153,-3.04891566683
0.057728,1.0,0.512,-1.8e-05,-3.03399310174
0.061696,1.0,0.598,0.001386,-3.02770991644
0.065728,1.0,0.768,0.002952,-3.01671434216
0.06976,1.0,0.676,0.004662,-3.0033625734
0.073728,1.0,0.768,0.006372,-2.99158160096
0.07776,1.0,0.52,0.008082,-2.98058602669
0.081792,1.0,0.34,0.0099,-2.96723425792
0.085824,1.0,0.598,0.01179,-2.95623868365
0.08992,1.0,0.312,0.013698,-2.94602850754
0.094016,1.0,0.598,0.015624,-2.93189134061
0.098112,1.0,0.624,0.017658,-2.91932497001
0.102208,1.0,0.312,0.019638,-2.90832939574
0.106432,1.0,0.65,0.02169,-2.89733382146
0.110656,1.0,0.0,0.023796,-2.88084046005
0.114688,1.0,0.256,0.025758,-2.86984488578
0.118848,1.0,0.0,0.027864,-2.8588493115
0.12288,1.0,0.256,0.02988,-2.84706833906
0.127104,1.0,0.256,0.031968,-2.83293117214
0.131264,1.0,0.256,0.034074,-2.81957940338
0.135488,1.0,0.364,0.036126,-2.80779843094
0.139712,1.0,0.256,0.038214,-2.7960174585
0.143872,1.0,0.572,0.040284,-2.78266568974
0.148096,1.0,0.256,0.042318,-2.77245551363
0.15232,1.0,0.52,0.044406,-2.75910374486
0.15648,1.0,0.0,0.046512,-2.74653737426
0.160512,1.0,0.364,0.048438,-2.73475640182
0.164736,1.0,0.256,0.050508,-2.72140463306
0.168896,1.0,0.256,0.052614,-2.71040905879
0.17312,1.0,0.546,0.054666,-2.69941348451
0.177344,1.0,0.546,0.056754,-2.68841791024
0.181504,1.0,0.364,0.058824,-2.67349534515
0.185728,1.0,0.182,0.060948,-2.6640705672
0.189888,1.0,0.256,0.063018,-2.65386039109
0.194112,1.0,0.256,0.065088,-2.64129402049
0.198336,1.0,0.0,0.067194,-2.62951304805
0.202368,1.0,0.598,0.069156,-2.61851747377
0.206528,1.0,0.256,0.071262,-2.60909269583
0.210752,1.0,0.256,0.073332,-2.59731172339
0.214912,1.0,0.494,0.075384,-2.58553075095
0.219136,1.0,0.256,0.077436,-2.57532057484
0.22336,1.0,0.256,0.079488,-2.56589579689
0.22752,1.0,0.0,0.081558,-2.55411482445
0.231552,1.0,0.52,0.083484,-2.54704624099
0.235776,1.0,0.256,0.0855,-2.53526526855
0.24,1.0,0.256,0.087552,-2.52662588876
0.24416,1.0,0.512,0.089568,-2.51720111081
0.248384,1.0,0.39,0.09162,-2.5069909347
0.252544,1.0,0.39,0.093636,-2.49835155491
0.256768,1.0,0.256,0.095688,-2.48892677696
0.260992,-1.0,0.256,0.097704,-2.48107279534
0.26528,-1.0,-2.548,0.099396,-2.47478961004
0.269696,-1.0,-2.56,0.10062,-2.46850642474
0.27424,-1.0,-2.56,0.101592,-2.46143784127
0.278784,-1.0,-2.048,0.101934,-2.45436925781
0.283328,-1.0,-1.536,0.101772,-2.45122766516
0.287872,-1.0,-1.28,0.101214,-2.44887147067
0.292416,-1.0,-1.28,0.100368,-2.44572987802
0.29696,-1.0,-1.28,0.09936,-2.4441590817
0.301376,-1.0,-1.024,0.0981,-2.4441590817
0.305856,-1.0,-1.024,0.096678,-2.4441590817
0.310336,-1.0,-0.768,0.095148,-2.4441590817
0.314688,-1.0,-0.624,0.09351,-2.44494447986
0.31904,-1.0,-0.702,0.091782,-2.44572987802
0.323392,-1.0,-0.768,0.089946,-2.44730067435
