time(us),reference current(mA),current(mA),cart position(um),pendulum angle(mdeg)
7680,0,182,0,-180000
11200,75,78,0,-180000
14848,131,0,0,-180000
18496,213,130,0,-180000
22272,288,338,0,-180000
26112,363,130,36,-179955
30016,445,256,90,-179955
33920,514,286,162,-179955
37888,570,494,270,-179955
41856,646,512,432,-179910
45824,715,572,594,-179910
49856,803,806,846,-179865
53824,872,754,1152,-179820
57856,934,1014,1584,-179730
62016,1029,910,2088,-179685
66176,1085,1014,2718,-179640
70400,1141,988,3528,-179460
74560,1210,1144,4410,-179370
78784,1261,1170,5454,-179325
83072,1317,1300,6678,-179055
87296,1361,1430,8046,-178875
91520,1405,1066,9558,-178740
95744,1443,1456,11232,-178470
100096,1487,1638,13176,-178245
104512,1518,1280,15318,-177975
108928,1549,1586,17694,-177615
113344,1568,1300,20250,-177300
117760,1581,1378,23040,-176985
122176,1593,1326,26046,-176580
126592,1593,1170,29250,-176085
131008,1593,1716,32688,-175680
135424,1587,1456,36324,-175185
139840,1574,1638,40212,-174690
144256,1556,1638,44262,-174195
148672,1530,1560,48528,-173700
153088,1505,1024,53028,-173115
157504,1468,1638,57690,-172485
161920,1424,1560,62568,-171900
166336,1380,1482,67626,-171270
170752,1330,1456,72882,-170505
175168,1267,988,78282,-170010
179520,1210,858,83754,-169290
183808,1154,988,89352,-168615
188160,1072,1248,95076,-167940
192576,997,1300,101034,-167175
196992,903,910,107118,-166500
201344,834,768,113148,-165690
205696,752,702,119250,-165015
209984,646,806,125424,-164295
214336,570,702,131634,-163620
218688,483,364,137898,-162765
222976,363,512,144180,-162180
227328,269,338,150426,-161370
231680,194,130,156672,-160785
235968,75,286,162900,-159975
240256,-18,208,168912,-159390
244608,-112,-78,174978,-158805
249024,-232,-234,181080,-158130
253504,-326,-260,187146,-157500
257984,-445,-182,193104,-156870
262528,-533,-512,198918,-156195
267008,-646,-546,204534,-155790
271552,-715,-702,209952,-155295
276032,-834,-806,215154,-154800
280512,-916,-598,220158,-154305
285056,-997,-858,224910,-153945
289536,-1072,-962,229374,-153585
294144,-1167,-910,233658,-153270
298688,-1236,-1248,237654,-152955
303360,-1305,-1144,241380,-152730
308096,-1367,-1352,244746,-152640
312768,-1418,-1300,247788,-152550
317440,-1468,-1170,250452,-152460
322112,-1512,-1326,252756,-152460
326784,-1543,-1300,254700,-152505
331456,-1568,-1404,256248,-152640
336128,-1587,-1792,257364,-152775
340800,-1593,-1536,258138,-153045
345472,-1593,-1664,258480,-153315
350144,-1587,-1222,258480,-153585
354816,-1574,-1534,258102,-154080
359488,-1549,-1456,257418,-154530
364160,-1518,-1430,256392,-155025
368832,-1480,-1638,255006,-155565
373504,-1424,-1430,253368,-156195
378176,-1361,-1248,251460,-156735
382848,-1305,-1196,249210,-157635
387520,-1236,-1222,246744,-158220
392192,-1154,-1014,244044,-158940
396864,-1072,-1170,241092,-159795
401600,-978,-884,237960,-160785
406080,-872,-1092,234738,-161415
410688,-784,-962,231354,-162405
415168,-665,-676,227898,-163395
419648,-570,-572,224352,-164070
424192,-464,-1024,220680,-165105
428800,-345,-546,216900,-166140
433280,-232,-364,213192,-166950
437760,-112,-156,209394,-167985
442304,18,-130,205650,-168975
446592,112,-26,202086,-169830
450944,232,78,198576,-170955
455168,345,468,195156,-171900
459520,445,130,191826,-172530
463872,552,208,188568,-173700
468224,665,442,185472,-174420
472512,765,416,182556,-175320
476864,853,702,179766,-176085
481216,966,884,177192,-176940
485504,1041,910,174852,-177660
489920,1154,780,172728,-178560
494336,1223,1040,170820,-179280
498880,1280,1170,169200,-179865
503360,1361,1274,167868,-180585
507840,1418,1024,166842,-181350
512384,1474,1508,166158,-181845
516864,1512,1560,165798,-182385
521408,1549,1196,165798,-182880
525888,1574,1586,166122,-183330
530368,1593,1482,166716,-183915
534912,1600,1024,167580,-184230
539392,1593,1536,168750,-184500
543872,1581,1280,170100,-184860
548416,1556,1638,171774,-185130
552896,1530,1378,173646,-185400
557376,1480,1664,175806,-185625
561920,1424,1508,178218,-185715
566400,1367,1352,180810,-185895
570880,1317,1196,183654,-186075
575424,1236,1456,186678,-186075
579904,1154,1196,189882,-186165
584384,1054,1092,193248,-186210
588928,947,1040,196776,-186165
593344,853,962,200394,-186165
597632,752,728,204012,-186165
601984,627,572,207738,-186120
606336,514,754,211536,-186075
610688,401,676,215352,-185985
614976,269,286,219186,-185895
619328,150,364,223056,-185850
623680,37,260,226872,-185805
627904,-75,104,230616,-185760
632256,-213,-156,234324,-185670
636736,-326,-442,238104,-185625
641280,-464,-416,241794,-185580
645760,-570,-130,245322,-185580
650240,-715,-468,248706,-185535
654784,-821,-676,251910,-185535
659264,-934,-702,254898,-185625
663808,-1029,-884,257670,-185715
668352,-1141,-936,260208,-185760
672960,-1236,-962,262494,-185940
677568,-1305,-1040,264456,-186075
682240,-1386,-1196,266148,-186300
686912,-1449,-1430,267426,-186615
691584,-1499,-1196,268452,-186840
696256,-1543,-1274,269082,-187110
700928,-1574,-1534,269298,-187605
705600,-1587,-1404,269244,-187965
710272,-1600,-1300,268812,-188415
714944,-1587,-1404,268020,-189000
719616,-1574,-1378,266940,-189450
724288,-1537,-1586,265572,-190035
728960,-1499,-1352,263862,-190710
733632,-1449,-1092,261936,-191340
738368,-1380,-1560,259668,-192015
743040,-1292,-1326,257184,-192690
747712,-1223,-1404,254466,-193365
