time(s),reference current(A),current(A),cart position(m),pendulum angle(rad)
0.00768,0.0,0.182,0.0,-3.14159265
0.0112,0.075,0.078,0.0,-3.14159265
0.014848,0.131,0.0,0.0,-3.14159265
0.018496,0.213,0.13,0.0,-3.14159265
0.022272,0.288,0.338,0.0,-3.14159265
0.026112,0.363,0.13,3.6e-05,-3.14080725184
0.030016,0.445,0.256,9e-05,-3.14080725184
0.03392,0.514,0.286,0.000162,-3.14080725184
0.037888,0.57,0.494,0.00027,-3.14080725184
0.041856,0.646,0.512,0.000432,-3.14002185367
0.045824,0.715,0.572,0.000594,-3.14002185367
0.049856,0.803,0.806,0.000846,-3.13923645551
0.053824,0.872,0.754,0.001152,-3.13845105735
0.057856,0.934,1.014,0.001584,-3.13688026102
0.062016,1.029,0.91,0.002088,-3.13609486286
0.066176,1.085,1.014,0.002718,-3.1353094647
0.0704,1.141,0.988,0.003528,-3.13216787205
0.07456,1.21,1.144,0.00441,-3.13059707572
0.078784,1.261,1.17,0.005454,-3.12981167756
0.083072,1.317,1.3,0.006678,-3.12509928859
0.087296,1.361,1.43,0.008046,-3.12195769594
0.09152,1.405,1.066,0.009558,-3.11960150145
0.095744,1.443,1.456,0.011232,-3.11488911248
0.100096,1.487,1.638,0.013176,-3.11096212166
0.104512,1.518,1.28,0.015318,-3.10624973269
0.108928,1.549,1.586,0.017694,-3.09996654739
0.113344,1.568,1.3,0.02025,-3.09446876025
0.11776,1.581,1.378,0.02304,-3.08897097311
0.122176,1.593,1.326,0.026046,-3.08190238965
0.126592,1.593,1.17,0.02925,-3.07326300986
0.131008,1.593,1.716,0.032688,-3.0661944264
0.135424,1.587,1.456,0.036324,-3.05755504661
0.13984,1.574,1.638,0.040212,-3.04891566683
0.144256,1.556,1.638,0.044262,-3.04027628704
0.148672,1.53,1.56,0.048528,-3.03163690725
0.153088,1.505,1.024,0.053028,-3.02142673114
0.157504,1.468,1.638,0.05769,-3.01043115686
0.16192,1.424,1.56,0.062568,-3.00022098075
0.166336,1.38,1.482,0.067626,-2.98922540648
0.170752,1.33,1.456,0.072882,-2.97587363771
0.175168,1.267,0.988,0.078282,-2.96723425792
0.17952,1.21,0.858,0.083754,-2.95466788733
0.183808,1.154,0.988,0.089352,-2.94288691489
0.18816,1.072,1.248,0.095076,-2.93110594245
0.192576,0.997,1.3,0.101034,-2.91775417369
0.196992,0.903,0.91,0.107118,-2.90597320125
0.201344,0.834,0.768,0.113148,-2.89183603433
0.205696,0.752,0.702,0.11925,-2.88005506189
0.209984,0.646,0.806,0.125424,-2.86748869129
0.214336,0.57,0.702,0.131634,-2.85570771885
0.218688,0.483,0.364,0.137898,-2.84078515376
0.222976,0.363,0.512,0.14418,-2.83057497765
0.227328,0.269,0.338,0.150426,-2.81643781073
0.23168,0.194,0.13,0.156672,-2.80622763461
0.235968,0.075,0.286,0.1629,-2.79209046769
0.240256,-0.018,0.208,0.168912,-2.78188029158
0.244608,-0.112,-0.078,0.174978,-2.77167011546
0.249024,-0.232,-0.234,0.18108,-2.75988914303
0.253504,-0.326,-0.26,0.187146,-2.74889356875
0.257984,-0.445,-0.182,0.193104,-2.73789799447
0.262528,-0.533,-0.512,0.198918,-2.72611702204
0.267008,-0.646,-0.546,0.204534,-2.71904843858
0.271552,-0.715,-0.702,0.209952,-2.71040905879
0.276032,-0.834,-0.806,0.215154,-2.701769679
0.280512,-0.916,-0.598,0.220158,-2.69313029921
0.285056,-0.997,-0.858,0.22491,-2.68684711391
0.289536,-1.072,-0.962,0.229374,-2.68056392861
0.294144,-1.167,-0.91,0.233658,-2.67506614147
0.298688,-1.236,-1.248,0.237654,-2.66956835434
0.30336,-1.305,-1.144,0.24138,-2.66564136353
0.308096,-1.367,-1.352,0.244746,-2.6640705672
0.312768,-1.418,-1.3,0.247788,-2.66249977088
0.31744,-1.468,-1.17,0.250452,-2.66092897455
0.322112,-1.512,-1.326,0.252756,-2.66092897455
0.326784,-1.543,-1.3,0.2547,-2.66171437271
0.331456,-1.568,-1.404,0.256248,-2.6640705672
0.336128,-1.587,-1.792,0.257364,-2.66642676169
0.3408,-1.593,-1.536,0.258138,-2.67113915066
0.345472,-1.593,-1.664,0.25848,-2.67585153964
0.350144,-1.587,-1.222,0.25848,-2.68056392861
0.354816,-1.574,-1.534,0.258102,-2.6892033084
0.359488,-1.549,-1.456,0.257418,-2.69705729003
0.36416,-1.518,-1.43,0.256392,-2.70569666981
0.368832,-1.48,-1.638,0.255006,-2.71512144776
0.373504,-1.424,-1.43,0.253368,-2.72611702204
0.378176,-1.361,-1.248,0.25146,-2.73554179999
0.382848,-1.305,-1.196,0.24921,-2.75124976324
0.38752,-1.236,-1.222,0.246744,-2.76145993935
0.392192,-1.154,-1.014,0.244044,-2.77402630995
0.396864,-1.072,-1.17,0.241092,-2.78894887504
0.4016,-0.978,-0.884,0.23796,-2.80622763461
0.40608,-0.872,-1.092,0.234738,-2.81722320889
0.410688,-0.784,-0.962,0.231354,-2.83450196846
0.415168,-0.665,-0.676,0.227898,-2.85178072804
0.419648,-0.57,-0.572,0.224352,-2.86356170048
0.424192,-0.464,-1.024,0.22068,-2.88162585821
0.4288,-0.345,-0.546,0.2169,-2.89969001595
0.43328,-0.232,-0.364,0.213192,-2.91382718287
0.43776,-0.112,-0.156,0.209394,-2.93189134061
0.442304,0.018,-0.13,0.20565,-2.94917010019
0.446592,0.112,-0.026,0.202086,-2.96409266527
0.450944,0.232,0.078,0.198576,-2.98372761934
0.455168,0.345,0.468,0.195156,-3.00022098075
0.45952,0.445,0.13,0.191826,-3.01121655503
0.463872,0.552,0.208,0.188568,-3.03163690725
0.468224,0.665,0.442,0.185472,-3.04420327785
0.472512,0.765,0.416,0.182556,-3.0599112411
0.476864,0.853,0.702,0.179766,-3.07326300986
0.481216,0.966,0.884,0.177192,-3.08818557495
0.485504,1.041,0.91,0.174852,-3.10075194555
0.48992,1.154,0.78,0.172728,-3.1164599088
0.494336,1.223,1.04,0.17082,-3.1290262794
0.49888,1.28,1.17,0.1692,-3.13923645551
0.50336,1.361,1.274,0.167868,-3.15180282611
0.50784,1.418,1.024,0.166842,-3.16515459488
0.512384,1.474,1.508,0.166158,-3.17379397466
0.516864,1.512,1.56,0.165798,-3.18321875261
0.521408,1.549,1.196,0.165798,-3.1918581324
0.525888,1.574,1.586,0.166122,-3.19971211402
0.530368,1.593,1.482,0.166716,-3.20992229014
0.534912,1.6,1.024,0.16758,-3.21542007728
0.539392,1.593,1.536,0.16875,-3.22013246625
0.543872,1.581,1.28,0.1701,-3.22641565155
0.548416,1.556,1.638,0.171774,-3.23112804053
0.552896,1.53,1.378,0.173646,-3.2358404295
0.557376,1.48,1.664,0.175806,-3.23976742031
0.56192,1.424,1.508,0.178218,-3.24133821664
0.5664,1.367,1.352,0.18081,-3.24447980929
0.57088,1.317,1.196,0.183654,-3.24762140194
0.575424,1.236,1.456,0.186678,-3.24762140194
0.579904,1.154,1.196,0.189882,-3.24919219826
0.584384,1.054,1.092,0.193248,-3.24997759642
0.588928,0.947,1.04,0.196776,-3.24919219826
0.593344,0.853,0.962,0.200394,-3.24919219826
0.597632,0.752,0.728,0.204012,-3.24919219826
0.601984,0.627,0.572,0.207738,-3.2484068001
0.606336,0.514,0.754,0.211536,-3.24762140194
0.610688,0.401,0.676,0.215352,-3.24605060561
0.614976,0.269,0.286,0.219186,-3.24447980929
0.619328,0.15,0.364,0.223056,-3.24369441112
0.62368,0.037,0.26,0.226872,-3.24290901296
0.627904,-0.075,0.104,0.230616,-3.2421236148
0.632256,-0.213,-0.156,0.234324,-3.24055281848
0.636736,-0.326,-0.442,0.238104,-3.23976742031
0.64128,-0.464,-0.416,0.241794,-3.23898202215
0.64576,-0.57,-0.13,0.245322,-3.23898202215
0.65024,-0.715,-0.468,0.248706,-3.23819662399
0.654784,-0.821,-0.676,0.25191,-3.23819662399
0.659264,-0.934,-0.702,0.254898,-3.23976742031
0.663808,-1.029,-0.884,0.25767,-3.24133821664
0.668352,-1.141,-0.936,0.260208,-3.2421236148
0.67296,-1.236,-0.962,0.262494,-3.24526520745
0.677568,-1.305,-1.04,0.264456,-3.24762140194
0.68224,-1.386,-1.196,0.266148,-3.25154839275
0.686912,-1.449,-1.43,0.267426,-3.25704617989
0.691584,-1.499,-1.196,0.268452,-3.2609731707
0.696256,-1.543,-1.274,0.269082,-3.26568555968
0.700928,-1.574,-1.534,0.269298,-3.27432493946
0.7056,-1.587,-1.404,0.269244,-3.28060812476
0.710272,-1.6,-1.3,0.268812,-3.28846210639
0.714944,-1.587,-1.404,0.26802,-3.2986722825
0.719616,-1.574,-1.378,0.26694,-3.30652626412
0.724288,-1.537,-1.586,0.265572,-3.31673644024
0.72896,-1.499,-1.352,0.263862,-3.32851741268
0.733632,-1.449,-1.092,0.261936,-3.33951298695
0.738368,-1.38,-1.56,0.259668,-3.35129395939
0.74304,-1.292,-1.326,0.257184,-3.36307493182
0.747712,-1.223,-1.404,0.254466,-3.37485590426
0.752384,-1.116,-0.988,0.25155,-3.39056386751
0.756928,-0.997,-0.91,0.248472,-3.40155944179
0.761472,-0.903,-0.936,0.245358,-3.41569660871
0.765952,-0.765,-0.728,0.242028,-3.42983377564
0.770496,-0.665,-0.702,0.238626,-3.44004395175
0.774976,-0.514,-0.962,0.235206,-3.45182492419
0.779456,-0.401,-0.416,0.231714,-3.46596209111
0.784,-0.25,-0.494,0.228186,-3.48009925804
0.78848,-0.131,-0.364,0.224676,-3.49423642496
0.793024,0.037,-0.364,0.22122,-3.50366120291
0.797312,0.15,0.104,0.217962,-3.51622757351
0.801664,0.269,0.208,0.214758,-3.52800854595
0.806016,0.426,0.364,0.21168,-3.53821872206
0.810304,0.552,0.52,0.208728,-3.5499996945
0.814656,0.665,0.364,0.205938,-3.55942447245
0.819008,0.803,0.572,0.203328,-3.56963464856
0.823296,0.903,0.884,0.20088,-3.58063022284
0.827648,1.01,0.702,0.198702,-3.58691340814
0.832064,1.129,0.91,0.196704,-3.59555278792
0.83648,1.21,0.858,0.194958,-3.60340676955
0.840896,1.292,0.884,0.193518,-3.60811915853
0.845312,1.38,1.43,0.19233,-3.6128315475
0.849856,1.436,1.378,0.191484,-3.61990013096
0.854336,1.499,1.144,0.190944,-3.62304172361
0.858816,1.537,1.56,0.190746,-3.62461251994
0.86336,1.574,1.352,0.190854,-3.62932490891
0.86784,1.593,1.536,0.191304,-3.63011030708
0.87232,1.593,1.456,0.192006,-3.62932490891
0.876864,1.587,1.378,0.192996,-3.63011030708
