time(us),reference current(mA),current(mA),cart position(um),pendulum angle(mdeg)
7680,0,130,0,-180000
11200,75,156,0,-180000
14912,150,0,0,-180000
18560,213,-26,0,-180000
22400,288,338,18,-180000
26304,363,286,54,-180000
30208,445,312,90,-180000
34048,514,598,180,-179955
38080,589,260,306,-179955
42048,665,572,486,-179910
46016,752,780,720,-179865
49984,821,754,1026,-179820
54080,884,624,1404,-179775
58112,947,962,1890,-179730
62208,1029,1014,2466,-179640
66432,1085,884,3150,-179550
70592,1141,1170,3960,-179415
74816,1210,1196,4896,-179370
79040,1267,1482,5994,-179235
83328,1317,1014,7218,-179010
87552,1361,1222,8622,-178830
91776,1405,1144,10170,-178650
96128,1449,1430,11934,-178380
100416,1487,1196,13896,-178110
104832,1518,1404,16056,-177885
109248,1549,1404,18432,-177480
113664,1568,1482,21078,-177165
118080,1581,1508,23814,-176895
122496,1593,1352,26820,-176400
126912,1600,1560,30060,-175995
131328,1593,1560,33462,-175590
135744,1587,1664,37098,-175185
140160,1574,1586,40950,-174645
144576,1556,1638,45000,-174105
148992,1530,1664,49284,-173475
153408,1505,1144,53766,-173070
157824,1468,1430,58446,-172440
162240,1424,1378,63342,-171855
166656,1380,1300,68382,-171180
171072,1317,1248,73638,-170550
175488,1267,1404,79056,-169785
179904,1210,1024,84600,-169200
184320,1129,1300,90324,-168480
188736,1072,1196,96138,-167805
193152,978,806,102060,-167130
197504,903,1024,108000,-166230
201920,821,1144,114084,-165645
206336,734,468,120240,-164970
210688,646,624,126378,-164205
215040,533,936,132516,-163395
219328,464,364,138672,-162810
223680,363,234,144828,-162000
228032,250,494,150984,-161415
232320,150,442,157122,-160650
236672,75,234,163188,-160110
240896,-18,0,169092,-159435
245120,-131,-78,174798,-158805
249536,-232,78,180756,-158220
253824,-326,104,186480,-157590
258240,-445,-390,192204,-156960
262784,-533,-572,197874,-156510
267264,-646,-364,203346,-155970
271744,-715,-546,208620,-155520
276288,-834,-494,213714,-154935
280768,-916,-546,218574,-154620
285312,-997,-1024,223146,-154170
289856,-1072,-884,227556,-153900
294464,-1167,-962,231696,-153585
299072,-1248,-1280,235530,-153270
303744,-1305,-1248,239094,-153135
308416,-1367,-1280,242298,-153000
313088,-1424,-1274,245178,-152865
317760,-1468,-1170,247662,-152910
322432,-1512,-1456,249804,-152865
327104,-1549,-1040,251514,-152955
331776,-1568,-1352,252936,-153090
336448,-1587,-1352,253890,-153270
341120,-1593,-1534,254466,-153540
345792,-1593,-1638,254628,-153900
350464,-1587,-1534,254412,-154260
355136,-1568,-1560,253890,-154620
359808,-1549,-1792,252936,-155115
364480,-1518,-1560,251712,-155610
369152,-1468,-1280,250182,-156150
373888,-1424,-1536,248346,-156870
378560,-1361,-1248,246222,-157545
383232,-1292,-1560,243846,-158175
387904,-1236,-1280,241146,-159120
392576,-1154,-1300,238266,-159750
397248,-1054,-1196,235098,-160695
401920,-947,-988,231768,-161595
406400,-872,-1092,228330,-162360
411008,-765,-1024,224712,-163170
415616,-665,-494,220950,-164160
420096,-552,-598,217134,-165150
424576,-464,-520,213264,-166050
429120,-326,-650,209304,-167040
433600,-232,-234,205326,-168165
438144,-94,-416,201312,-169200
442560,18,156,197352,-170010
446784,112,-208,193608,-170910
451200,232,78,189756,-171855
455424,345,208,186120,-172845
459776,445,338,182484,-173790
464128,570,256,178974,-174645
468480,665,260,175590,-175725
472768,765,416,172368,-176535
477120,884,650,169326,-177345
481472,966,988,166500,-178155
485760,1041,884,163872,-179010
490176,1154,728,161460,-179820
494592,1223,832,159318,-180540
499008,1305,1196,157428,-181485
503552,1361,1170,155826,-181980
508032,1424,1222,154548,-182790
512512,1474,1326,153558,-183330
517056,1524,1612,152946,-183915
521536,1549,1482,152676,-184500
526016,1574,1196,152676,-184995
530560,1593,1690,153000,-185400
535040,1600,1482,153612,-185715
539584,1593,1664,154512,-186075
544064,1581,1794,155700,-186390
548544,1556,1508,157086,-186705
553088,1524,1352,158796,-186975
557568,1480,1586,160704,-187110
562048,1424,1430,162810,-187380
566592,1367,1326,165222,-187515
571072,1292,1352,167778,-187605
575552,1236,1352,170568,-187740
580096,1129,1248,173520,-187830
584576,1054,1040,176634,-187740
589056,947,1144,179928,-187830
593472,853,780,183240,-187875
597824,752,702,186660,-187740
602176,627,754,190134,-187785
606528,514,512,193644,-187785
610816,401,468,197262,-187605
615168,269,598,200898,-187605
619520,150,416,204480,-187650
623808,37,-52,208098,-187470
628096,-94,0,211608,-187380
632256,-213,26,214974,-187380
636608,-326,-78,218412,-187335
641024,-464,-512,221832,-187200
645504,-570,-442,225162,-187245
649984,-715,-468,228330,-187290
654528,-821,-702,231354,-187200
659008,-934,-702,234162,-187245
663552,-1029,-962,236718,-187290
668096,-1141,-858,239094,-187380
672704,-1223,-1248,241182,-187515
677376,-1305,-1024,242982,-187650
682048,-1386,-1118,244512,-187830
686720,-1443,-1274,245592,-188100
691392,-1499,-1248,246402,-188415
696064,-1543,-1300,246834,-188730
700736,-1568,-1482,246888,-189045
705408,-1587,-1536,246618,-189450
710144,-1600,-1430,246006,-189900
714816,-1593,-1404,245124,-190440
719488,-1574,-1586,243864,-190845
724160,-1537,-1612,242352,-191385
728832,-1505,-1404,240534,-191925
733504,-1449,-1404,238392,-192600
738176,-1380,-1196,236016,-193230
742848,-1317,-1560,233406,-193950
747520,-1223,-1118,230526,-194535
752192,-1116,-1352,227430,-195300
756864,-1029,-910,224154,-195930
761472,-903,-884,220752,-196740
765952,-765,-988,217296,-197460
770496,-665,-676,213714,-198045
774976,-514,-546,210078,-198810
779456,-401,-512,206352,-199620
784000,-250,-512,202608,-200295
788480,-131,-208,198900,-200970
793024,37,-338,195156,-201735
797312,150,26,191646,-202320
801600,269,234,188262,-203085
805888,382,312,184878,-203580
810240,552,442,181656,-204120
814592,665,512,178542,-204660
818880,765,676,175572,-205245
823232,903,728,172836,-205740
827584,1010,624,170298,-206190
832000,1129,728,167922,-206685
836416,1210,768,165816,-207090
840832,1292,1196,164016,-207360
845312,1380,1326,162450,-207675
849856,1436,1170,161190,-208035
854336,1499,1456,160290,-208215
858816,1537,1404,159750,-208350
863360,1574,1560,159516,-208440
867840,1593,1280,159606,-208530
872320,1593,1534,160038,-208575
876864,1587,1664,160758,-208485
881344,1568,1586,161694,-208485
885824,1530,1586,162900,-208395
890368,1480,1612,164412,-208125
894848,1436,1482,166140,-207990
899392,1349,1024,168066,-207810
903872,1280,1456,170280,-207450
908352,1179,1248,172638,-207180
912896,1085,1118,175230,-206820
917376,947,910,178002,-206280
921728,853,1014,180738,-206055
926144,696,884,183690,-205650
930432,570,832,186732,-205110
934784,464,650,189738,-204615
939136,288,468,192834,-204345
943488,150,416,195984,-203670
947776,37,286,199116,-203220
952064,-131,130,202158,-202815
956480,-269,-26,205272,-202320
960896,-382,-312,208314,-201690
965376,-552,-312,211356,-201240
969920,-715,-442,214200,-200610
