time(s),reference current(A),current(A),cart position(m),pendulum angle(rad)
0.00768,0.0,0.13,0.0,-3.14159265
0.0112,0.075,0.156,0.0,-3.14159265
0.014912,0.15,0.0,0.0,-3.14159265
0.01856,0.213,-0.026,0.0,-3.14159265
0.0224,0.288,0.338,1.8e-05,-3.14159265
0.026304,0.363,0.286,5.4e-05,-3.14159265
0.030208,0.445,0.312,9e-05,-3.14159265
0.034048,0.514,0.598,0.00018,-3.14080725184
0.03808,0.589,0.26,0.000306,-3.14080725184
0.042048,0.665,0.572,0.000486,-3.14002185367
0.046016,0.752,0.78,0.00072,-3.13923645551
0.049984,0.821,0.754,0.001026,-3.13845105735
0.05408,0.884,0.624,0.001404,-3.13766565919
0.058112,0.947,0.962,0.00189,-3.13688026102
0.062208,1.029,1.014,0.002466,-3.1353094647
0.066432,1.085,0.884,0.00315,-3.13373866837
0.070592,1.141,1.17,0.00396,-3.13138247389
0.074816,1.21,1.196,0.004896,-3.13059707572
0.07904,1.267,1.482,0.005994,-3.12824088124
0.083328,1.317,1.014,0.007218,-3.12431389043
0.087552,1.361,1.222,0.008622,-3.12117229778
0.091776,1.405,1.144,0.01017,-3.11803070513
0.096128,1.449,1.43,0.011934,-3.11331831615
0.100416,1.487,1.196,0.013896,-3.10860592718
0.104832,1.518,1.404,0.016056,-3.10467893636
0.109248,1.549,1.404,0.018432,-3.0976103529
0.113664,1.568,1.482,0.021078,-3.09211256576
0.11808,1.581,1.508,0.023814,-3.08740017679
0.122496,1.593,1.352,0.02682,-3.078760797
0.126912,1.6,1.56,0.03006,-3.07169221354
0.131328,1.593,1.56,0.033462,-3.06462363008
0.135744,1.587,1.664,0.037098,-3.05755504661
0.14016,1.574,1.586,0.04095,-3.04813026866
0.144576,1.556,1.638,0.045,-3.03870549071
0.148992,1.53,1.664,0.049284,-3.02770991644
0.153408,1.505,1.144,0.053766,-3.02064133297
0.157824,1.468,1.43,0.058446,-3.0096457587
0.16224,1.424,1.378,0.063342,-2.99943558259
0.166656,1.38,1.3,0.068382,-2.98765461015
0.171072,1.317,1.248,0.073638,-2.97665903588
0.175488,1.267,1.404,0.079056,-2.96330726711
0.179904,1.21,1.024,0.0846,-2.953097091
0.18432,1.129,1.3,0.090324,-2.9405307204
0.188736,1.072,1.196,0.096138,-2.92874974796
0.193152,0.978,0.806,0.10206,-2.91696877553
0.197504,0.903,1.024,0.108,-2.90126081227
0.20192,0.821,1.144,0.114084,-2.89105063616
0.206336,0.734,0.468,0.12024,-2.87926966373
0.210688,0.646,0.624,0.126378,-2.86591789496
0.21504,0.533,0.936,0.132516,-2.85178072804
0.219328,0.464,0.364,0.138672,-2.84157055193
0.22368,0.363,0.234,0.144828,-2.827433385
0.228032,0.25,0.494,0.150984,-2.81722320889
0.23232,0.15,0.442,0.157122,-2.80387144013
0.236672,0.075,0.234,0.163188,-2.79444666217
0.240896,-0.018,0.0,0.169092,-2.78266568974
0.24512,-0.131,-0.078,0.174798,-2.77167011546
0.249536,-0.232,0.078,0.180756,-2.76145993935
0.253824,-0.326,0.104,0.18648,-2.75046436508
0.25824,-0.445,-0.39,0.192204,-2.7394687908
0.262784,-0.533,-0.572,0.197874,-2.73161480917
0.267264,-0.646,-0.364,0.203346,-2.72219003123
0.271744,-0.715,-0.546,0.20862,-2.7143360496
0.276288,-0.834,-0.494,0.213714,-2.70412587349
0.280768,-0.916,-0.546,0.218574,-2.69862808635
0.285312,-0.997,-1.024,0.223146,-2.69077410473
0.289856,-1.072,-0.884,0.227556,-2.68606171575
0.294464,-1.167,-0.962,0.231696,-2.68056392861
0.299072,-1.248,-1.28,0.23553,-2.67506614147
0.303744,-1.305,-1.248,0.239094,-2.67270994699
0.308416,-1.367,-1.28,0.242298,-2.6703537525
0.313088,-1.424,-1.274,0.245178,-2.66799755801
0.31776,-1.468,-1.17,0.247662,-2.66878295618
0.322432,-1.512,-1.456,0.249804,-2.66799755801
0.327104,-1.549,-1.04,0.251514,-2.66956835434
0.331776,-1.568,-1.352,0.252936,-2.67192454883
0.336448,-1.587,-1.352,0.25389,-2.67506614147
0.34112,-1.593,-1.534,0.254466,-2.67977853045
0.345792,-1.593,-1.638,0.254628,-2.68606171575
0.350464,-1.587,-1.534,0.254412,-2.69234490105
0.355136,-1.568,-1.56,0.25389,-2.69862808635
0.359808,-1.549,-1.792,0.252936,-2.70726746614
0.36448,-1.518,-1.56,0.251712,-2.71590684593
0.369152,-1.468,-1.28,0.250182,-2.72533162388
0.373888,-1.424,-1.536,0.248346,-2.73789799447
0.37856,-1.361,-1.248,0.246222,-2.74967896691
0.383232,-1.292,-1.56,0.243846,-2.76067454119
0.387904,-1.236,-1.28,0.241146,-2.7771679026
0.392576,-1.154,-1.3,0.238266,-2.78816347687
0.397248,-1.054,-1.196,0.235098,-2.80465683829
0.40192,-0.947,-0.988,0.231768,-2.82036480154
0.4064,-0.872,-1.092,0.22833,-2.8337165703
0.411008,-0.765,-1.024,0.224712,-2.84785373722
0.415616,-0.665,-0.494,0.22095,-2.8651324968
0.420096,-0.552,-0.598,0.217134,-2.88241125638
0.424576,-0.464,-0.52,0.213264,-2.89811921963
0.42912,-0.326,-0.65,0.209304,-2.9153979792
0.4336,-0.232,-0.234,0.205326,-2.93503293326
0.438144,-0.094,-0.416,0.201312,-2.953097091
0.44256,0.018,0.156,0.197352,-2.96723425792
0.446784,0.112,-0.208,0.193608,-2.98294222118
0.4512,0.232,0.078,0.189756,-2.99943558259
0.455424,0.345,0.208,0.18612,-3.01671434216
0.459776,0.445,0.338,0.182484,-3.03320770358
0.464128,0.57,0.256,0.178974,-3.04813026866
0.46848,0.665,0.26,0.17559,-3.06697982456
0.472768,0.765,0.416,0.172368,-3.08111699149
0.47712,0.884,0.65,0.169326,-3.09525415841
0.481472,0.966,0.988,0.1665,-3.10939132534
0.48576,1.041,0.884,0.163872,-3.12431389043
0.490176,1.154,0.728,0.16146,-3.13845105735
0.494592,1.223,0.832,0.159318,-3.15101742795
0.499008,1.305,1.196,0.157428,-3.16751078936
0.503552,1.361,1.17,0.155826,-3.17615016915
0.508032,1.424,1.222,0.154548,-3.19028733607
