time(us),reference current(mA),current(mA),cart position(um),pendulum angle(mdeg)
7680,0,26,0,-180000
11136,75,130,0,-180000
14848,131,-130,0,-180000
18752,213,208,0,-180000
22528,288,130,0,-180000
26368,363,442,36,-179955
30272,445,338,90,-179955
34176,514,416,180,-179955
38144,589,390,306,-179910
42112,665,468,504,-179865
46080,752,364,756,-179865
50112,821,728,1044,-179820
54144,884,728,1422,-179775
58240,947,780,1908,-179685
62272,1029,806,2484,-179640
66432,1085,1040,3222,-179550
70656,1141,936,4104,-179370
74816,1210,1092,5022,-179325
79040,1267,1092,6156,-179235
83328,1317,1144,7470,-178875
87552,1361,1482,8892,-178740
91776,1405,1248,10476,-178650
96128,1449,1326,12312,-178335
100416,1487,1638,14346,-177975
104832,1518,1430,16560,-177840
109248,1549,1534,19026,-177480
113664,1568,1456,21708,-176985
118080,1581,1482,24552,-176715
122496,1593,1508,27666,-176355
126912,1600,1482,30978,-175815
131328,1593,1560,34506,-175500
135744,1587,1742,38286,-174915
140160,1574,1144,42282,-174420
144576,1556,1612,46458,-173925
148992,1530,1456,50868,-173430
153408,1505,1274,55530,-172710
157824,1468,1430,60372,-172170
162240,1424,1248,65376,-171585
166656,1380,1248,70632,-170910
171072,1317,1326,76032,-170190
175488,1267,1430,81576,-169605
179904,1210,1280,87318,-168840
184320,1129,1248,93168,-168030
188736,1072,962,99144,-167490
193088,978,1014,105138,-166545
197504,903,1024,111330,-165960
201920,821,884,117594,-165285
206272,734,728,123822,-164520
210624,646,936,130104,-163755
214912,533,806,136440,-163080
219264,464,256,142776,-162315
223616,363,546,149148,-161550
227904,269,676,155502,-160785
232256,150,208,161784,-160200
236608,75,0,168066,-159345
240640,-18,234,173916,-158850
244992,-131,130,180054,-158265
249408,-232,-234,186228,-157590
253952,-345,0,192384,-156960
258176,-445,-182,198072,-156375
262656,-533,-494,203976,-155745
267200,-646,-546,209682,-155250
271680,-715,-754,215190,-154755
276224,-834,-728,220464,-154260
280704,-916,-598,225558,-153765
285184,-997,-936,230400,-153360
289728,-1072,-728,234954,-153000
294272,-1167,-1144,239346,-152730
298944,-1248,-1040,243504,-152460
303616,-1305,-1430,247320,-152280
308352,-1367,-910,250830,-152055
312896,-1418,-1248,253890,-151920
317568,-1468,-1378,256716,-151920
322240,-1512,-1326,259128,-151830
326912,-1549,-1536,261198,-151875
331584,-1568,-1664,262818,-152010
336256,-1587,-1534,264096,-152145
340992,-1593,-1612,265032,-152325
345664,-1593,-1430,265500,-152640
350336,-1587,-1612,265644,-153000
355008,-1568,-1612,265410,-153360
359680,-1549,-1508,264870,-153810
364352,-1518,-1536,264006,-154305
369024,-1468,-1508,262764,-154845
373696,-1424,-1560,261306,-155520
378368,-1361,-1196,259524,-156150
383040,-1292,-1092,257544,-156780
387712,-1236,-1482,255222,-157455
392384,-1154,-1066,252720,-158220
397056,-1054,-1066,249984,-158940
401728,-978,-1222,247050,-159795
406336,-872,-858,243954,-160830
410816,-784,-1014,240804,-161505
415424,-665,-650,237474,-162450
419904,-570,-546,234072,-163305
424448,-464,-676,230580,-164205
428928,-326,-416,227034,-165195
433472,-232,-256,223434,-166095
437952,-94,-512,219816,-167040
442368,18,-338,216270,-167985
446720,112,-286,212832,-168930
451136,232,130,209376,-169830
455424,345,0,206046,-170775
459584,445,416,202932,-171630
463936,570,546,199818,-172530
468288,665,676,196866,-173385
472640,765,442,194058,-174240
476928,884,676,191430,-175095
481280,966,988,189000,-175905
485632,1041,754,186804,-176670
490048,1154,1092,184806,-177480
494528,1223,1274,183042,-178290
499008,1305,1014,181602,-178875
503552,1361,1248,180396,-179640
508032,1424,1248,179532,-180270
512512,1474,1482,179010,-180765
517056,1524,1508,178794,-181440
521536,1549,1430,178866,-181980
526080,1574,1404,179298,-182385
530560,1593,1638,179946,-182835
535040,1600,1638,180900,-183240
539584,1593,1638,182178,-183600
544064,1581,1118,183636,-183915
548544,1556,1638,185418,-184185
553088,1524,1534,187434,-184455
557568,1480,1144,189702,-184680
562048,1424,1664,192222,-184905
566592,1367,1144,194940,-184995
571072,1292,1352,197928,-185130
575552,1236,1326,201060,-185265
580096,1129,988,204408,-185310
584512,1054,1274,207864,-185310
588992,947,1196,211500,-185355
593408,853,884,215244,-185355
597760,752,702,219006,-185355
602112,627,806,222840,-185310
606400,514,598,226782,-185265
610752,401,598,230742,-185220
615104,269,312,234720,-185175
619392,150,0,238752,-185085
623552,37,-104,242550,-185040
627904,-75,130,246510,-184995
632256,-213,156,250380,-184950
636672,-326,0,254286,-184860
640896,-445,-702,257958,-184905
645440,-570,-546,261666,-184905
649920,-715,-364,265266,-184860
654464,-821,-650,268668,-184815
658944,-934,-1014,271854,-184905
663552,-1029,-780,274914,-184995
668096,-1141,-1014,277686,-185130
672768,-1223,-1040,280224,-185220
677440,-1305,-1404,282474,-185355
682176,-1386,-1040,284382,-185625
686848,-1443,-1144,285984,-185895
691520,-1499,-1536,287172,-186165
696192,-1543,-1508,288054,-186525
700864,-1568,-1534,288486,-186930
705536,-1587,-1482,288666,-187425
710208,-1600,-1482,288450,-187920
714880,-1593,-1456,287928,-188325
719552,-1574,-1456,287100,-188865
724224,-1537,-1690,285912,-189405
728896,-1505,-1792,284508,-190035
733568,-1449,-1326,282744,-190890
738240,-1380,-1536,280728,-191340
742912,-1292,-1144,278460,-192105
747584,-1223,-1482,275958,-193005
752256,-1116,-1040,273222,-193590
756928,-997,-1092,270342,-194265
761536,-903,-650,267282,-195120
766080,-765,-832,264222,-195885
770560,-665,-832,261072,-196605
775040,-514,-468,257778,-197415
779584,-401,-702,254502,-198180
784064,-250,-494,251172,-198990
788608,-131,0,247842,-199710
792832,0,-156,244746,-200385
797056,150,-104,241686,-201015
801472,269,260,238590,-201735
805824,382,364,235638,-202545
810176,552,390,232830,-202995
814464,665,650,230166,-203625
818816,765,338,227682,-204210
823168,903,546,225414,-204750
827520,1010,884,223326,-205245
831936,1129,780,221436,-205830
836352,1210,768,219834,-206100
840768,1292,884,218502,-206505
845184,1380,1274,217458,-206910
849664,1436,1274,216738,-207135
854144,1499,1248,216288,-207405
858688,1537,1508,216180,-207675
863168,1574,1274,216378,-207810
867648,1593,1456,216864,-207900
872192,1593,1664,217620,-208080
876672,1587,1586,218664,-208035
881152,1568,1794,219996,-207945
885696,1530,1430,221598,-207990
890176,1480,1280,223416,-207900
894720,1436,1536,225540,-207630
899200,1349,1326,227844,-207540
903680,1280,1248,230364,-207360
908224,1179,1196,233154,-207000
912704,1085,832,236070,-206730
917120,947,988,239112,-206415
921472,853,806,242244,-206055
925760,734,910,245484,-205740
930112,570,728,248814,-205380
934464,464,156,252234,-204885
938752,326,546,255690,-204480
943104,150,416,259164,-204165
947456,37,0,262674,-203580
951552,-94,-208,265968,-203265
955968,-269,130,269478,-202860
960384,-382,-512,272934,-202320
964864,-514,-442,276354,-201825
969408,-683,-416,279630,-201420
973888,-803,-728,282780,-200880
978368,-934,-676,285750,-200430
982912,-1072,-988,288504,-200025
987456,-1167,-1222,291096,-199620
992192,-1267,-988,293436,-199125
996736,-1349,-1352,295434,-198810
1001408,-1436,-1378,297162,-198540
1006208,-1505,-1274,298656,-198135
1010944,-1549,-1300,299682,-197955
1015744,-1574,-1508,300420,-197685
1020480,-1593,-1638,300762,-197370
1025280,-1593,-1536,300654,-197280
1030080,-1574,-1586,300222,-197190
1034816,-1549,-1508,299412,-197010
1039616,-1487,-1536,298296,-197010
