time(s),reference current(A),current(A),cart position(m),pendulum angle(rad)
0.00768,0.0,0.026,0.0,-3.14159265
0.011136,0.075,0.13,0.0,-3.14159265
0.014848,0.131,-0.13,0.0,-3.14159265
0.018752,0.213,0.208,0.0,-3.14159265
0.022528,0.288,0.13,0.0,-3.14159265
0.026368,0.363,0.442,3.6e-05,-3.14080725184
0.030272,0.445,0.338,9e-05,-3.14080725184
0.034176,0.514,0.416,0.00018,-3.14080725184
0.038144,0.589,0.39,0.000306,-3.14002185367
0.042112,0.665,0.468,0.000504,-3.13923645551
0.04608,0.752,0.364,0.000756,-3.13923645551
0.050112,0.821,0.728,0.001044,-3.13845105735
0.054144,0.884,0.728,0.001422,-3.13766565919
0.05824,0.947,0.78,0.001908,-3.13609486286
0.062272,1.029,0.806,0.002484,-3.1353094647
0.066432,1.085,1.04,0.003222,-3.13373866837
0.070656,1.141,0.936,0.004104,-3.13059707572
0.074816,1.21,1.092,0.005022,-3.12981167756
0.07904,1.267,1.092,0.006156,-3.12824088124
0.083328,1.317,1.144,0.00747,-3.12195769594
0.087552,1.361,1.482,0.008892,-3.11960150145
0.091776,1.405,1.248,0.010476,-3.11803070513
0.096128,1.449,1.326,0.012312,-3.11253291799
0.100416,1.487,1.638,0.014346,-3.10624973269
0.104832,1.518,1.43,0.01656,-3.1038935382
0.109248,1.549,1.534,0.019026,-3.0976103529
0.113664,1.568,1.456,0.021708,-3.08897097311
0.11808,1.581,1.482,0.024552,-3.08425858414
0.122496,1.593,1.508,0.027666,-3.07797539884
0.126912,1.6,1.482,0.030978,-3.06855062089
0.131328,1.593,1.56,0.034506,-3.06305283375
0.135744,1.587,1.742,0.038286,-3.05284265764
0.14016,1.574,1.144,0.042282,-3.04420327785
0.144576,1.556,1.612,0.046458,-3.03556389806
0.148992,1.53,1.456,0.050868,-3.02692451827
0.153408,1.505,1.274,0.05553,-3.01435814768
0.157824,1.468,1.43,0.060372,-3.00493336973
0.16224,1.424,1.248,0.065376,-2.99472319361
0.166656,1.38,1.248,0.070632,-2.98294222118
0.171072,1.317,1.326,0.076032,-2.97037585057
0.175488,1.267,1.43,0.081576,-2.96016567446
0.179904,1.21,1.28,0.087318,-2.9468139057
0.18432,1.129,1.248,0.093168,-2.93267673878
0.188736,1.072,0.962,0.099144,-2.92325196083
0.193088,0.978,1.014,0.105138,-2.90675859941
0.197504,0.903,1.024,0.11133,-2.8965484233
0.20192,0.821,0.884,0.117594,-2.88476745086
0.206272,0.734,0.728,0.123822,-2.8714156821
0.210624,0.646,0.936,0.130104,-2.85806391334
0.214912,0.533,0.806,0.13644,-2.8462829409
0.219264,0.464,0.256,0.142776,-2.83293117214
0.223616,0.363,0.546,0.149148,-2.81957940338
0.227904,0.269,0.676,0.155502,-2.80622763461
0.232256,0.15,0.208,0.161784,-2.7960174585
0.236608,0.075,0.0,0.168066,-2.78109489341
0.24064,-0.018,0.234,0.173916,-2.77245551363
0.244992,-0.131,0.13,0.180054,-2.76224533751
0.249408,-0.232,-0.234,0.186228,-2.75046436508
0.253952,-0.345,0.0,0.192384,-2.7394687908
0.258176,-0.445,-0.182,0.198072,-2.72925861469
0.262656,-0.533,-0.494,0.203976,-2.71826304041
0.2672,-0.646,-0.546,0.209682,-2.70962366063
0.27168,-0.715,-0.754,0.21519,-2.70098428084
0.276224,-0.834,-0.728,0.220464,-2.69234490105
0.280704,-0.916,-0.598,0.225558,-2.68370552126
0.285184,-0.997,-0.936,0.2304,-2.6766369378
0.289728,-1.072,-0.728,0.234954,-2.6703537525
0.294272,-1.167,-1.144,0.239346,-2.66564136353
0.298944,-1.248,-1.04,0.243504,-2.66092897455
