time(s),reference current(A),current(A),cart position(m),pendulum angle(rad)
0.00768,0.0,-0.256,0.0,-3.14159265
0.011264,0.117,-0.256,0.0,-3.14159265
0.015168,0.235,0.0,0.0,-3.14159265
0.018816,0.333,0.0,0.0,-3.14159265
0.022464,0.45,-0.256,0.0,-3.14159265
0.026368,0.568,0.182,0.0,-3.14159265
0.030208,0.696,0.156,0.0,-3.14159265
0.033984,0.803,0.182,0.0,-3.14159265
0.037824,0.892,0.104,0.0,-3.14159265
0.0416,1.009,-0.256,0.0,-3.14159265
0.045568,1.117,0.286,3.6e-05,-3.14159265
0.0496,1.254,0.494,7.2e-05,-3.14159265
0.053568,1.362,0.468,0.000144,-3.14159265
0.0576,1.46,0.494,0.000252,-3.14159265
0.061696,1.558,0.546,0.000414,-3.14080725184
0.065792,1.676,0.364,0.00063,-3.14002185367
0.069824,1.764,0.39,0.000936,-3.13923645551
0.07392,1.892,0.624,0.001278,-3.13923645551
0.07808,1.97,0.65,0.001728,-3.13766565919
0.082176,2.039,0.91,0.002286,-3.1353094647
0.086336,2.107,0.832,0.002916,-3.1353094647
0.090496,2.186,1.014,0.00369,-3.13295327021
0.09472,2.245,0.962,0.00459,-3.13138247389
0.09888,2.294,0.988,0.00558,-3.1290262794
0.10304,2.362,1.014,0.006732,-3.12509928859
0.107392,2.392,1.248,0.008046,-3.1227430941
0.111744,2.431,0.768,0.009504,-3.12038689961
0.115968,2.46,1.274,0.011106,-3.11410371431
0.120384,2.48,1.456,0.012942,-3.11096212166
0.1248,2.49,1.352,0.014886,-3.10860592718
0.129216,2.49,1.024,0.017082,-3.10232274188
0.133632,2.49,1.56,0.019458,-3.09525415841
0.138048,2.47,1.144,0.021942,-3.09211256576
0.142464,2.45,1.508,0.02466,-3.08582938046
0.14688,2.421,1.352,0.027594,-3.07797539884
0.151296,2.372,1.196,0.030672,-3.07169221354
0.155712,2.313,1.482,0.033912,-3.06540902824
0.160128,2.254,1.378,0.037404,-3.05519885213
0.164544,2.186,1.378,0.04104,-3.04891566683
0.16896,2.088,1.352,0.044874,-3.03870549071
0.173376,2.019,1.378,0.04887,-3.03163690725
0.177792,1.931,1.28,0.05301,-3.02299752746
0.182208,1.823,1.456,0.057384,-3.01278735135
0.186624,1.715,1.352,0.061884,-3.00257717524
0.19104,1.578,1.352,0.06651,-2.99315239729
0.195456,1.48,0.832,0.071316,-2.98137142485
0.199808,1.362,1.326,0.07614,-2.9719466469
0.204224,1.196,0.962,0.08118,-2.96016567446
0.208576,1.068,1.092,0.08622,-2.95231169284
0.212992,0.921,1.024,0.091476,-2.9405307204
0.21728,0.774,0.702,0.096732,-2.92717895164
0.221568,0.627,0.936,0.101916,-2.91932497001
0.225856,0.48,0.832,0.10728,-2.90754399757
0.230208,0.333,0.676,0.112734,-2.8965484233
0.23456,0.176,0.256,0.118206,-2.88555284903
0.238848,0.029,0.416,0.123696,-2.87455727475
0.243136,-0.147,0.598,0.129114,-2.86199090415
0.247552,-0.303,0.598,0.134712,-2.85178072804
0.251968,-0.45,0.494,0.140346,-2.84157055193
0.256384,-0.598,0.078,0.145944,-2.83136037581
0.260736,-0.754,0.0,0.15138,-2.82193559786
0.26496,-0.921,0.286,0.156672,-2.81172542175
0.269376,-1.068,-0.026,0.162126,-2.80151524564
0.27392,-1.225,0.26,0.167598,-2.79051967136
0.2784,-1.362,0.104,0.17298,-2.78266568974
0.28288,-1.48,-0.052,0.178254,-2.77324091179
0.287424,-1.627,-0.156,0.183438,-2.764601532
0.291968,-1.764,-0.156,0.188586,-2.75439135589
0.296576,-1.872,-0.182,0.193608,-2.74732277243
0.301184,-1.98,-0.338,0.198468,-2.74103958712
0.305792,-2.078,-0.286,0.203148,-2.73397100366
0.310336,-2.186,-0.338,0.207648,-2.72611702204
0.314944,-2.264,-0.512,0.211932,-2.72140463306
0.319552,-2.323,-0.768,0.216036,-2.71590684593
0.324096,-2.392,-1.024,0.219906,-2.71119445695
0.328832,-2.431,-0.858,0.223578,-2.7080528643
0.333376,-2.46,-0.65,0.226962,-2.70569666981
0.337984,-2.49,-0.988,0.230094,-2.701769679
0.342592,-2.49,-0.832,0.232938,-2.701769679
0.347136,-2.49,-0.884,0.235512,-2.70019888268
0.351744,-2.48,-1.014,0.237834,-2.69941348451
0.356416,-2.45,-0.988,0.23985,-2.70019888268
0.361024,-2.392,-1.28,0.241614,-2.70255507716
0.365696,-2.352,-1.092,0.243054,-2.70412587349
0.370368,-2.284,-0.884,0.244242,-2.7080528643
0.374976,-2.196,-0.768,0.245106,-2.71197985511
0.37952,-2.107,-0.806,0.245718,-2.71669224409
0.384128,-2.0,-1.092,0.246114,-2.72219003123
0.3888,-1.911,-0.91,0.246222,-2.72847321653
0.393408,-1.764,-0.858,0.24615,-2.73475640182
0.398016,-1.627,-1.118,0.245862,-2.74339578161
0.402688,-1.48,-0.936,0.245394,-2.7520351614
0.407232,-1.333,-0.832,0.244746,-2.7583183467
0.41184,-1.196,-0.702,0.2439,-2.76774312465
0.416448,-1.009,-0.598,0.242928,-2.7771679026
0.421056,-0.833,-0.858,0.241848,-2.78659268055
0.425536,-0.666,-0.676,0.24066,-2.79680285666
0.430016,-0.45,-0.702,0.239364,-2.80779843094
0.43456,-0.303,-0.338,0.237978,-2.82036480154
0.43904,-0.117,-0.39,0.236556,-2.82978957949
0.443584,0.058,-0.156,0.235044,-2.84157055193
0.447872,0.205,-0.52,0.233568,-2.85413692252
0.452288,0.421,-0.26,0.232056,-2.86356170048
0.456704,0.568,-0.078,0.230508,-2.87848426556
0.461056,0.774,-0.026,0.229032,-2.88712364535
0.465408,0.921,0.13,0.227574,-2.89811921963
0.469696,1.088,0.0,0.226134,-2.91304178471
0.473984,1.284,0.156,0.224748,-2.92246656266
0.4784,1.411,0.13,0.223416,-2.93267673878
0.482816,1.529,0.026,0.222102,-2.94524310938
0.487104,1.696,0.286,0.220878,-2.9593802763
0.49152,1.823,0.286,0.219798,-2.96723425792
0.496,1.97,0.468,0.218808,-2.9782298322
0.500416,2.058,0.52,0.21798,-2.9907962028
0.504832,2.137,0.624,0.217278,-3.00100637891
0.509248,2.254,0.65,0.216792,-3.01121655503
0.513664,2.313,0.806,0.21645,-3.0222121293
0.51808,2.392,0.728,0.21627,-3.03163690725
0.522496,2.431,0.936,0.216306,-3.0410616852
0.526912,2.47,0.884,0.216522,-3.05205725948
0.531328,2.49,0.806,0.216918,-3.05912584294
0.535744,2.5,1.014,0.21744,-3.06697982456
0.540224,2.49,1.092,0.218142,-3.07561920435
0.544704,2.47,1.28,0.219042,-3.08268778781
0.549248,2.431,1.248,0.220122,-3.09054176944
0.553728,2.382,1.196,0.221382,-3.0976103529
0.558272,2.303,1.196,0.222894,-3.1038935382
0.562752,2.225,1.024,0.22455,-3.10939132534
0.567232,2.127,1.326,0.226404,-3.11567451064
0.571776,2.019,1.17,0.228456,-3.12038689961
0.576256,1.892,1.248,0.230706,-3.12431389043
0.580736,1.764,0.768,0.2331,-3.13059707572
0.585152,1.607,1.17,0.23562,-3.13452406654
0.589696,1.48,0.91,0.238374,-3.13688026102
0.594112,1.303,0.936,0.2412,-3.14159265
0.598528,1.117,1.024,0.244134,-3.14630503898
0.603008,0.921,0.858,0.247284,-3.14709043714
0.60736,0.754,0.91,0.250416,-3.14866123346
0.611712,0.598,0.858,0.253638,-3.15258822428
0.616,0.362,0.806,0.256914,-3.15494441876
0.620352,0.205,0.754,0.26028,-3.15572981693
0.624704,0.029,0.624,0.2637,-3.15730061325
0.628928,-0.205,0.13,0.267066,-3.15965680774
0.633344,-0.392,0.13,0.270612,-3.16122760406
0.63776,-0.539,0.256,0.274158,-3.16201300223
0.642176,-0.774,0.052,0.277686,-3.16436919671
0.646528,-0.95,0.0,0.281142,-3.16593999304
0.650752,-1.117,0.078,0.28449,-3.16751078936
0.655168,-1.303,0.286,0.287892,-3.16986698385
0.659712,-1.46,-0.156,0.291312,-3.17143778018
0.66432,-1.627,0.026,0.294732,-3.17379397466
