time(us),reference current(mA),current(mA),cart position(um),pendulum angle(mdeg)
7680,0,-256,0,-180000
11264,117,-256,0,-180000
15168,235,0,0,-180000
18816,333,0,0,-180000
22464,450,-256,0,-180000
26368,568,182,0,-180000
30208,696,156,0,-180000
33984,803,182,0,-180000
37824,892,104,0,-180000
41600,1009,-256,0,-180000
45568,1117,286,36,-180000
49600,1254,494,72,-180000
53568,1362,468,144,-180000
57600,1460,494,252,-180000
61696,1558,546,414,-179955
65792,1676,364,630,-179910
69824,1764,390,936,-179865
73920,1892,624,1278,-179865
78080,1970,650,1728,-179775
82176,2039,910,2286,-179640
86336,2107,832,2916,-179640
90496,2186,1014,3690,-179505
94720,2245,962,4590,-179415
98880,2294,988,5580,-179280
103040,2362,1014,6732,-179055
107392,2392,1248,8046,-178920
111744,2431,768,9504,-178785
115968,2460,1274,11106,-178425
120384,2480,1456,12942,-178245
124800,2490,1352,14886,-178110
129216,2490,1024,17082,-177750
133632,2490,1560,19458,-177345
138048,2470,1144,21942,-177165
142464,2450,1508,24660,-176805
146880,2421,1352,27594,-176355
151296,2372,1196,30672,-175995
155712,2313,1482,33912,-175635
160128,2254,1378,37404,-175050
164544,2186,1378,41040,-174690
168960,2088,1352,44874,-174105
173376,2019,1378,48870,-173700
177792,1931,1280,53010,-173205
182208,1823,1456,57384,-172620
186624,1715,1352,61884,-172035
191040,1578,1352,66510,-171495
195456,1480,832,71316,-170820
199808,1362,1326,76140,-170280
204224,1196,962,81180,-169605
208576,1068,1092,86220,-169155
212992,921,1024,91476,-168480
217280,774,702,96732,-167715
221568,627,936,101916,-167265
225856,480,832,107280,-166590
230208,333,676,112734,-165960
234560,176,256,118206,-165330
238848,29,416,123696,-164700
243136,-147,598,129114,-163980
247552,-303,598,134712,-163395
251968,-450,494,140346,-162810
256384,-598,78,145944,-162225
260736,-754,0,151380,-161685
264960,-921,286,156672,-161100
269376,-1068,-26,162126,-160515
273920,-1225,260,167598,-159885
278400,-1362,104,172980,-159435
282880,-1480,-52,178254,-158895
287424,-1627,-156,183438,-158400
291968,-1764,-156,188586,-157815
296576,-1872,-182,193608,-157410
301184,-1980,-338,198468,-157050
