time(s),reference current(A),current(A),cart position(m),pendulum angle(rad)
0.00768,0.0,0.182,0.0,-3.14159265
0.0112,0.117,-0.026,0.0,-3.14159265
0.01504,0.235,0.052,0.0,-3.14159265
0.018752,0.333,0.13,0.0,-3.14159265
0.022528,0.45,-0.026,0.0,-3.14159265
0.026368,0.568,0.182,0.0,-3.14159265
0.030208,0.696,0.208,0.0,-3.14159265
0.033984,0.803,0.234,0.0,-3.14159265
0.037824,0.892,0.26,0.0,-3.14159265
0.0416,1.009,0.0,0.0,-3.14159265
0.045312,1.117,0.208,0.0,-3.14159265
0.049216,1.254,0.0,1.8e-05,-3.14159265
0.053056,1.362,0.338,3.6e-05,-3.14159265
0.057024,1.46,0.52,0.000108,-3.14159265
0.06112,1.558,0.546,0.000198,-3.14080725184
0.065152,1.676,0.494,0.00036,-3.14080725184
0.069248,1.764,0.624,0.000576,-3.14080725184
0.07328,1.872,0.754,0.000882,-3.13923645551
0.077376,1.95,1.014,0.001242,-3.13845105735
0.0816,2.019,0.65,0.00171,-3.13766565919
0.08576,2.088,1.066,0.002268,-3.13609486286
0.089984,2.186,0.858,0.002934,-3.13452406654
0.094144,2.245,1.066,0.003708,-3.13295327021
0.098368,2.294,1.196,0.004608,-3.13059707572
0.102592,2.352,1.3,0.005652,-3.12745548308
0.106944,2.392,1.118,0.00684,-3.12667008491
0.111296,2.431,0.884,0.00819,-3.1227430941
0.11552,2.46,1.378,0.009666,-3.11724530696
0.119872,2.48,1.404,0.011322,-3.1164599088
0.124288,2.49,1.196,0.013158,-3.11174751983
0.128704,2.49,1.326,0.01521,-3.10546433453
0.13312,2.49,1.274,0.017406,-3.10075194555
0.137536,2.48,1.586,0.0198,-3.09603955658
0.141952,2.45,1.196,0.022392,-3.08818557495
0.146368,2.421,1.612,0.025128,-3.08425858414
0.150784,2.382,1.17,0.028062,-3.07797539884
0.1552,2.313,1.274,0.031194,-3.07012141721
0.159616,2.264,1.586,0.034488,-3.06383823191
0.164032,2.186,1.378,0.037962,-3.05441345396
0.168448,2.107,1.352,0.041652,-3.0473448705
0.172864,2.039,1.378,0.045468,-3.03949088888
0.17728,1.931,1.378,0.049482,-3.0284953146
0.181696,1.843,0.962,0.053676,-3.02142673114
0.186048,1.715,1.144,0.057906,-3.01200195319
0.190464,1.607,1.248,0.06237,-3.00022098075
0.19488,1.509,1.04,0.067014,-2.99236699913
0.199296,1.362,1.024,0.071748,-2.98058602669
0.203712,1.225,0.768,0.076608,-2.9719466469
0.208064,1.068,1.092,0.081504,-2.9593802763
0.21248,0.95,0.91,0.08658,-2.95074089651
0.216704,0.803,0.858,0.091548,-2.9405307204
0.220928,0.627,0.806,0.09657,-2.93032054429
0.225216,0.48,0.728,0.101682,-2.91932497001
0.229504,0.362,0.806,0.106938,-2.9091147939
0.233856,0.205,0.78,0.11223,-2.89811921963
0.238208,0.029,0.39,0.117576,-2.88476745086
0.242432,-0.117,0.676,0.122796,-2.87691346924
0.246848,-0.235,0.546,0.12825,-2.86434709864
0.251264,-0.421,0.156,0.133704,-2.85570771885
0.25568,-0.568,0.026,0.139122,-2.84471214457
0.260032,-0.754,0.052,0.144396,-2.83450196846
0.264384,-0.892,0.026,0.149616,-2.82507719051
0.268736,-1.039,0.0,0.1548,-2.81408161624
0.273024,-1.196,0.234,0.159894,-2.80701303278
0.277568,-1.333,0.026,0.165114,-2.79837365299
0.281984,-1.48,-0.26,0.170154,-2.78894887504
0.286528,-1.607,0.13,0.175284,-2.77873869893
0.291072,-1.745,0.0,0.180162,-2.77167011546
0.295424,-1.843,0.026,0.184734,-2.764601532
0.29984,-1.95,-0.156,0.18927,-2.75753294854
0.304384,-2.058,-0.234,0.193806,-2.75124976324
0.308992,-2.156,-0.494,0.198162,-2.74496657794
0.3136,-2.225,-0.52,0.20232,-2.73789799447
0.318144,-2.303,-0.988,0.206262,-2.7331856055
0.322752,-2.362,-0.702,0.20997,-2.72925861469
0.32736,-2.421,-0.806,0.213444,-2.72533162388
0.331968,-2.46,-0.806,0.216684,-2.72219003123
0.336512,-2.48,-1.014,0.219654,-2.71983383674
