time(us),reference current(mA),current(mA),cart position(um),pendulum angle(mdeg)
7680,0,182,0,-180000
11200,117,-26,0,-180000
15040,235,52,0,-180000
18752,333,130,0,-180000
22528,450,-26,0,-180000
26368,568,182,0,-180000
30208,696,208,0,-180000
33984,803,234,0,-180000
37824,892,260,0,-180000
41600,1009,0,0,-180000
45312,1117,208,0,-180000
49216,1254,0,18,-180000
53056,1362,338,36,-180000
57024,1460,520,108,-180000
61120,1558,546,198,-179955
65152,1676,494,360,-179955
69248,1764,624,576,-179955
73280,1872,754,882,-179865
77376,1950,1014,1242,-179820
81600,2019,650,1710,-179775
85760,2088,1066,2268,-179685
89984,2186,858,2934,-179595
94144,2245,1066,3708,-179505
98368,2294,1196,4608,-179370
102592,2352,1300,5652,-179190
106944,2392,1118,6840,-179145
111296,2431,884,8190,-178920
115520,2460,1378,9666,-178605
119872,2480,1404,11322,-178560
124288,2490,1196,13158,-178290
128704,2490,1326,15210,-177930
133120,2490,1274,17406,-177660
137536,2480,1586,19800,-177390
141952,2450,1196,22392,-176940
146368,2421,1612,25128,-176715
150784,2382,1170,28062,-176355
155200,2313,1274,31194,-175905
159616,2264,1586,34488,-175545
164032,2186,1378,37962,-175005
168448,2107,1352,41652,-174600
172864,2039,1378,45468,-174150
177280,1931,1378,49482,-173520
181696,1843,962,53676,-173115
186048,1715,1144,57906,-172575
190464,1607,1248,62370,-171900
194880,1509,1040,67014,-171450
199296,1362,1024,71748,-170775
203712,1225,768,76608,-170280
208064,1068,1092,81504,-169560
212480,950,910,86580,-169065
216704,803,858,91548,-168480
220928,627,806,96570,-167895
225216,480,728,101682,-167265
229504,362,806,106938,-166680
233856,205,780,112230,-166050
238208,29,390,117576,-165285
242432,-117,676,122796,-164835
246848,-235,546,128250,-164115
251264,-421,156,133704,-163620
255680,-568,26,139122,-162990
260032,-754,52,144396,-162405
264384,-892,26,149616,-161865
268736,-1039,0,154800,-161235
273024,-1196,234,159894,-160830
277568,-1333,26,165114,-160335
281984,-1480,-260,170154,-159795
286528,-1607,130,175284,-159210
291072,-1745,0,180162,-158805
295424,-1843,26,184734,-158400
299840,-1950,-156,189270,-157995
304384,-2058,-234,193806,-157635
308992,-2156,-494,198162,-157275
313600,-2225,-520,202320,-156870
318144,-2303,-988,206262,-156600
322752,-2362,-702,209970,-156375
327360,-2421,-806,213444,-156150
331968,-2460,-806,216684,-155970
336512,-2480,-1014,219654,-155835
341184,-2490,-988,222408,-155790
345792,-2490,-988,224874,-155745
350400,-2480,-988,226998,-155745
355008,-2450,-1024,228888,-155790
359680,-2421,-936,230454,-155925
364224,-2372,-858,231768,-156015
368832,-2313,-676,232812,-156195
373440,-2225,-988,233532,-156465
377984,-2127,-936,234054,-156690
382592,-2039,-832,234270,-157005
387200,-1931,-702,234252,-157365
391808,-1823,-702,234054,-157725
396352,-1676,-650,233586,-158265
400960,-1529,-806,232956,-158625
405568,-1411,-1066,232146,-159120
410240,-1225,-650,231120,-159660
414848,-1088,-780,229986,-160200
419392,-892,-598,228690,-160785
423936,-725,-598,227268,-161370
428416,-539,-468,225792,-162000
432896,-392,-650,224208,-162585
437440,-176,-520,222534,-163260
441920,29,-416,220788,-163935
446272,176,-312,219096,-164655
450688,333,-234,217332,-165330
455104,539,26,215532,-165915
