time(s),reference current(A),current(A),cart position(m),pendulum angle(rad)
0.00768,0.0,-0.26,0.0,-3.14159265
0.011264,0.047,0.078,0.0,-3.14159265
0.014912,0.094,0.156,0.0,-3.14159265
0.018688,0.117,0.182,0.0,-3.14159265
0.022464,0.164,0.0,0.0,-3.14159265
0.026112,0.219,-0.256,0.0,-3.14159265
0.030016,0.266,-0.026,0.0,-3.14159265
0.033792,0.313,-0.078,0.0,-3.14159265
0.037632,0.36,0.13,0.0,-3.14159265
0.041408,0.407,-0.256,0.0,-3.14159265
0.045312,0.454,-0.078,0.0,-3.14159265
0.049152,0.501,-0.208,0.0,-3.14159265
0.053056,0.556,-0.39,0.0,-3.14159265
0.05696,0.619,0.052,0.0,-3.14159265
0.060672,0.643,0.338,0.0,-3.14159265
0.064512,0.69,0.0,1.8e-05,-3.14080725184
0.068224,0.737,0.0,1.8e-05,-3.14080725184
0.071936,0.784,0.364,5.4e-05,-3.14080725184
0.07584,0.831,0.416,9e-05,-3.14080725184
0.079744,0.87,0.416,0.000162,-3.14080725184
0.083712,0.917,0.364,0.000252,-3.14080725184
0.08768,0.956,0.598,0.000378,-3.14002185367
0.091648,1.027,0.364,0.00054,-3.14002185367
0.095744,1.066,0.468,0.000774,-3.13923645551
0.09984,1.105,0.468,0.001062,-3.13845105735
0.103936,1.168,0.572,0.001404,-3.13766565919
0.108224,1.207,0.832,0.0018,-3.13688026102
0.112448,1.247,0.806,0.002268,-3.13609486286
0.116672,1.286,0.832,0.002808,-3.13373866837
0.12096,1.341,0.676,0.00342,-3.13295327021
0.125184,1.372,0.728,0.004086,-3.13138247389
0.129472,1.427,0.65,0.004806,-3.13059707572
0.133696,1.458,0.598,0.005616,-3.12824088124
0.13792,1.513,0.65,0.006516,-3.12509928859
0.142208,1.545,0.988,0.007506,-3.12431389043
0.146432,1.576,0.806,0.008532,-3.12195769594
0.150656,1.615,0.858,0.00972,-3.11724530696
0.154944,1.647,0.884,0.010944,-3.11567451064
0.159232,1.686,0.91,0.012294,-3.11331831615
0.163584,1.709,0.858,0.01377,-3.10939132534
0.167936,1.749,0.936,0.015336,-3.10546433453
0.172224,1.772,0.832,0.01701,-3.10232274188
0.176576,1.803,0.91,0.018792,-3.09682495474
0.180928,1.835,1.066,0.020718,-3.09368336209
0.185344,1.85,1.17,0.022752,-3.08975637128
0.18976,1.874,0.91,0.024948,-3.08347318597
0.194112,1.898,1.118,0.027216,-3.07954619516
0.198528,1.913,1.024,0.029628,-3.07326300986
0.202944,1.937,1.222,0.032202,-3.06855062089
0.20736,1.945,1.17,0.034938,-3.06069663926
0.211776,1.96,1.3,0.037764,-3.05676964845
0.216192,1.968,1.248,0.040752,-3.04970106499
0.220608,1.984,1.222,0.043902,-3.04263248153
0.225024,1.984,0.962,0.047178,-3.03556389806
0.229312,1.992,1.3,0.050508,-3.0284953146
0.233728,1.992,1.04,0.054072,-3.01985593481
0.238144,1.992,1.3,0.057762,-3.01357274951
0.24256,1.992,1.3,0.061578,-3.00493336973
0.246976,1.992,1.248,0.065556,-2.9970793881
0.251392,1.984,1.326,0.069678,-2.98844000831
0.255808,1.976,1.092,0.073944,-2.97744443404
0.260288,1.968,1.17,0.078354,-2.97037585057
0.264704,1.96,1.024,0.082908,-2.95859487814
0.26912,1.945,1.092,0.087588,-2.95074089651
0.273536,1.921,1.196,0.092412,-2.9405307204
0.277952,1.905,0.91,0.09738,-2.92953514613
0.28224,1.882,1.066,0.102366,-2.92089576634
0.286784,1.858,1.092,0.107694,-2.90990019206
0.291264,1.835,0.988,0.113166,-2.89890461779
0.29568,1.803,1.118,0.118656,-2.88712364535
0.30016,1.772,1.326,0.124362,-2.87534267291
0.304704,1.749,1.274,0.13023,-2.86434709864
0.309184,1.701,1.014,0.136224,-2.8525661262
0.313664,1.67,1.222,0.14229,-2.84235595009
0.318208,1.631,1.144,0.1485,-2.83057497765
0.322688,1.584,0.858,0.1548,-2.81957940338
0.327104,1.545,1.04,0.161064,-2.80779843094
0.331584,1.513,1.04,0.167544,-2.79523206034
0.336128,1.443,0.936,0.174096,-2.7834510879
0.340544,1.396,0.768,0.18054,-2.77009931914
0.34496,1.341,0.858,0.187074,-2.75988914303
0.349376,1.301,0.494,0.193644,-2.74889356875
0.353792,1.247,0.65,0.200232,-2.73554179999
0.358208,1.184,0.728,0.206856,-2.72611702204
0.362624,1.129,0.546,0.213534,-2.7143360496
0.36704,1.066,0.884,0.220194,-2.701769679
0.371456,1.027,0.598,0.22689,-2.69234490105
0.375872,0.941,0.338,0.233604,-2.67977853045
0.380224,0.87,0.572,0.240192,-2.6703537525
0.384512,0.831,0.416,0.246816,-2.66092897455
0.388864,0.76,0.728,0.253422,-2.65071879844
0.393216,0.69,0.598,0.260046,-2.64050862233
0.397504,0.619,0.512,0.266688,-2.63108384437
0.401856,0.58,0.858,0.273312,-2.62165906642
0.406208,0.478,0.728,0.279954,-2.61223428848
0.41056,0.407,0.598,0.286578,-2.60202411236
0.414848,0.36,0.52,0.293238,-2.59417013074
0.4192,0.266,0.546,0.29988,-2.58553075095
0.423552,0.188,0.65,0.306468,-2.57689137116
0.42784,0.141,0.208,0.313074,-2.56903738954
0.432192,0.047,0.494,0.31968,-2.55961261159
0.436416,-0.023,0.65,0.326142,-2.55254402813
0.440768,-0.07,0.416,0.332712,-2.5446900465
0.44512,-0.164,0.442,0.339228,-2.53762146304
0.449536,-0.219,0.312,0.345852,-2.53133827774
0.453952,-0.313,0.286,0.35244,-2.5258404906
0.458368,-0.384,0.312,0.358992,-2.5195573053
0.462784,-0.431,0.26,0.365472,-2.51327412
0.4672,-0.533,0.182,0.37188,-2.50777633286
0.471616,-0.603,0.208,0.378234,-2.50306394389
0.476032,-0.666,0.338,0.384552,-2.49835155491
0.480448,-0.737,-0.104,0.390762,-2.49363916594
0.484992,-0.831,-0.104,0.397026,-2.48971217513
0.489472,-0.87,0.312,0.4032,-2.48578518431
