time(us),reference current(mA),current(mA),cart position(um),pendulum angle(mdeg)
7680,0,-260,0,-180000
11264,47,78,0,-180000
14912,94,156,0,-180000
18688,117,182,0,-180000
22464,164,0,0,-180000
26112,219,-256,0,-180000
30016,266,-26,0,-180000
33792,313,-78,0,-180000
37632,360,130,0,-180000
41408,407,-256,0,-180000
45312,454,-78,0,-180000
49152,501,-208,0,-180000
53056,556,-390,0,-180000
56960,619,52,0,-180000
60672,643,338,0,-180000
64512,690,0,18,-179955
68224,737,0,18,-179955
71936,784,364,54,-179955
75840,831,416,90,-179955
79744,870,416,162,-179955
83712,917,364,252,-179955
87680,956,598,378,-179910
91648,1027,364,540,-179910
95744,1066,468,774,-179865
99840,1105,468,1062,-179820
103936,1168,572,1404,-179775
108224,1207,832,1800,-179730
112448,1247,806,2268,-179685
116672,1286,832,2808,-179550
120960,1341,676,3420,-179505
125184,1372,728,4086,-179415
129472,1427,650,4806,-179370
133696,1458,598,5616,-179235
137920,1513,650,6516,-179055
142208,1545,988,7506,-179010
146432,1576,806,8532,-178875
150656,1615,858,9720,-178605
154944,1647,884,10944,-178515
159232,1686,910,12294,-178380
163584,1709,858,13770,-178155
167936,1749,936,15336,-177930
172224,1772,832,17010,-177750
176576,1803,910,18792,-177435
180928,1835,1066,20718,-177255
185344,1850,1170,22752,-177030
189760,1874,910,24948,-176670
194112,1898,1118,27216,-176445
198528,1913,1024,29628,-176085
202944,1937,1222,32202,-175815
207360,1945,1170,34938,-175365
211776,1960,1300,37764,-175140
216192,1968,1248,40752,-174735
220608,1984,1222,43902,-174330
225024,1984,962,47178,-173925
229312,1992,1300,50508,-173520
233728,1992,1040,54072,-173025
238144,1992,1300,57762,-172665
242560,1992,1300,61578,-172170
246976,1992,1248,65556,-171720
251392,1984,1326,69678,-171225
255808,1976,1092,73944,-170595
260288,1968,1170,78354,-170190
264704,1960,1024,82908,-169515
269120,1945,1092,87588,-169065
273536,1921,1196,92412,-168480
277952,1905,910,97380,-167850
282240,1882,1066,102366,-167355
286784,1858,1092,107694,-166725
291264,1835,988,113166,-166095
295680,1803,1118,118656,-165420
300160,1772,1326,124362,-164745
304704,1749,1274,130230,-164115
309184,1701,1014,136224,-163440
313664,1670,1222,142290,-162855
318208,1631,1144,148500,-162180
322688,1584,858,154800,-161550
327104,1545,1040,161064,-160875
331584,1513,1040,167544,-160155
336128,1443,936,174096,-159480
340544,1396,768,180540,-158715
344960,1341,858,187074,-158130
349376,1301,494,193644,-157500
353792,1247,650,200232,-156735
358208,1184,728,206856,-156195
362624,1129,546,213534,-155520
367040,1066,884,220194,-154800
371456,1027,598,226890,-154260
375872,941,338,233604,-153540
380224,870,572,240192,-153000
384512,831,416,246816,-152460
388864,760,728,253422,-151875
393216,690,598,260046,-151290
397504,619,512,266688,-150750
401856,580,858,273312,-150210
406208,478,728,279954,-149670
410560,407,598,286578,-149085
414848,360,520,293238,-148635
419200,266,546,299880,-148140
423552,188,650,306468,-147645
427840,141,208,313074,-147195
432192,47,494,319680,-146655
436416,-23,650,326142,-146250
440768,-70,416,332712,-145800
445120,-164,442,339228,-145395
449536,-219,312,345852,-145035
453952,-313,286,352440,-144720
458368,-384,312,358992,-144360
462784,-431,260,365472,-144000
467200,-533,182,371880,-143685
471616,-603,208,378234,-143415
476032,-666,338,384552,-143145
480448,-737,-104,390762,-142875
484992,-831,-104,397026,-142650
489472,-870,312,403200,-142425
493888,-941,-52,409176,-142245
498304,-1027,-130,415062,-142110
502912,-1105,130,421056,-141930
507392,-1168,-52,426834,-141840
511936,-1223,-156,432522,-141795
516480,-1286,-208,438192,-141750
521088,-1341,-598,443718,-141705
525696,-1411,-312,449100,-141750
530304,-1458,-312,454356,-141795
534848,-1513,-512,459450,-141885
539456,-1560,-286,464364,-141975
544064,-1615,-494,469134,-142110
548608,-1662,-624,473742,-142290
553216,-1709,-754,478152,-142470
557824,-1749,-676,482400,-142785
562432,-1796,-598,486432,-143010
566976,-1827,-676,490302,-143370
571584,-1850,-364,493956,-143775
576192,-1890,-624,497412,-144135
580736,-1913,-910,500652,-144630
585344,-1937,-598,503658,-145035
589952,-1952,-728,506502,-145530
594560,-1968,-624,509058,-146115
599104,-1984,-702,511416,-146745
603712,-1992,-650,513522,-147420
608320,-1992,-768,515412,-148140
612864,-2000,-1024,517014,-148770
617600,-1992,-780,518418,-149490
622144,-1984,-624,519570,-150300
626752,-1984,-650,520434,-151200
631360,-1968,-832,521100,-152055
635904,-1952,-910,521514,-152955
640512,-1921,-676,521712,-154125
645120,-1905,-624,521694,-155115
649728,-1882,-780,521478,-155970
654272,-1843,-780,521046,-157095
658880,-1811,-768,520488,-158310
663488,-1772,-910,519750,-159435
668032,-1725,-702,518796,-160470
672640,-1686,-858,517734,-161595
677248,-1631,-650,516456,-162810
681856,-1584,-1024,515034,-164115
686528,-1529,-858,513432,-165375
691072,-1458,-936,511686,-166680
695680,-1396,-520,509796,-168075
700288,-1341,-728,507762,-169335
704896,-1286,-1024,505602,-171000
709568,-1207,-910,503244,-172395
714112,-1129,-416,500778,-173610
718720,-1066,-962,498258,-175005
723328,-956,-598,495558,-176535
727808,-894,-598,492858,-177930
732352,-807,-702,490032,-179640
736832,-737,-546,487134,-180900
741312,-643,-598,484182,-182340
745856,-580,-442,481158,-184050
750336,-454,-702,478062,-185310
754880,-384,-572,474930,-186750
759360,-290,-234,471780,-188505
763840,-219,-416,468558,-189810
768384,-117,-260,465354,-191250
772864,-23,-208,462114,-192735
777280,70,-286,458946,-194490
781632,141,-156,455850,-195615
786048,243,0,452682,-197100
790208,337,-338,449748,-198630
794624,407,26,446652,-199845
798848,478,-234,443718,-201195
803264,603,-156,440730,-202500
807680,666,-78,437760,-203895
812032,760,-256,434970,-205200
816448,831,156,432144,-206550
820800,917,-52,429462,-207810
825088,1003,-182,426888,-209340
829632,1066,208,424278,-210375
834048,1145,104,421830,-211635
838464,1223,130,419472,-212895
842880,1286,182,417222,-214245
847296,1372,130,415134,-215190
851712,1427,390,413118,-216540
856128,1498,312,411228,-217485
860544,1560,286,409518,-218520
864960,1615,312,407916,-219600
869376,1662,364,406458,-220770
873792,1709,390,405162,-221760
878208,1772,598,404064,-222570
882624,1803,512,403128,-223605
887040,1843,572,402390,-224280
891456,1882,416,401742,-225225
895872,1905,338,401346,-226035
900288,1937,650,401202,-226710
904704,1952,728,401094,-227565
909120,1968,728,401166,-228285
913536,1984,650,401436,-229005
917952,1992,988,401796,-229725
922368,1992,858,402372,-230310
926784,1992,520,402984,-230895
931264,1992,832,403758,-231435
935680,1976,780,404730,-231885
940096,1960,832,405828,-232425
944512,1945,1092,406998,-232830
948992,1913,988,408420,-233280
953408,1890,1024,409932,-233730
957888,1850,988,411678,-234045
962304,1811,754,413496,-234360
966720,1780,1144,415368,-234810
971264,1725,1144,417546,-234990
975744,1670,1092,419868,-235125
980288,1615,988,422244,-235485
984704,1560,1170,424728,-235665
989184,1498,962,427428,-235755
993600,1427,768,430200,-235890
998016,1341,936,433062,-236025
1002432,1262,910,436032,-236070
1006976,1184,858,439182,-236025
1011456,1129,910,442458,-236115
1016000,1027,754,445806,-236115
1020480,941,858,449262,-235980
1024896,870,572,452736,-235980
1029376,760,676,456300,-235800
1033792,666,702,459918,-235620
1038208,580,832,463590,-235530
1042624,454,338,467334,-235395
1047040,360,520,471150,-235125
1051456,266,572,474984,-234855
1055936,164,520,478872,-234675
1060352,70,312,482778,-234315
1064704,-23,286,486648,-234045
1069120,-141,182,490590,-233730
1073600,-243,442,494604,-233415
1078144,-337,260,498618,-232920
1082624,-431,0,502632,-232650
1086976,-556,260,506466,-232155
1091520,-643,52,510462,-231705
1095936,-737,-52,514296,-231390
1100480,-831,52,518166,-230940
1104896,-917,-26,521946,-230400
1109376,-1027,-130,525726,-229950
1114048,-1129,-260,529596,-229455
1118784,-1207,-208,533376,-228870
1123456,-1286,-104,537066,-228195
1128128,-1372,-442,540684,-227745
1132800,-1458,-676,544176,-227025
1137472,-1529,-338,547560,-226530
1142208,-1600,-624,550800,-225990
1146880,-1662,-494,553914,-225315
1151552,-1709,-676,556884,-224730
1156224,-1780,-494,559656,-224145
1160960,-1827,-702,562320,-223380
1165632,-1874,-728,564768,-222840
1170304,-1905,-572,567054,-222210
1174976,-1945,-962,569124,-221490
1179648,-1960,-780,571032,-220950
1184384,-1976,-832,572742,-220320
1189056,-1992,-1040,574164,-219600
1193792,-1992,-858,575460,-219060
1198528,-1992,-728,576522,-218475
1203200,-1984,-988,577350,-217845
1207872,-1968,-910,577980,-217215
1212544,-1952,-728,578394,-216630
1217216,-1913,-676,578610,-215910
1221952,-1882,-1024,578628,-215325
1226688,-1850,-832,578430,-214830
1231360,-1803,-858,578070,-214245
1236032,-1749,-832,577602,-213525
1240768,-1686,-884,576954,-213075
1245440,-1615,-832,576126,-212490
1250112,-1545,-754,575172,-211815
1254784,-1474,-1280,574074,-211320
1259584,-1396,-624,572778,-210735
1264256,-1301,-832,571392,-210060
1268928,-1207,-936,569826,-209610
1273600,-1129,-728,568224,-208935
1278336,-1027,-832,566442,-208305
1283008,-894,-884,564552,-207855
1287616,-807,-650,562662,-207090
1292224,-690,-832,560628,-206640
1296832,-603,-598,558558,-206145
1301376,-478,-494,556416,-205515
1305984,-337,-702,554202,-204840
1310592,-243,-780,551988,-204345
1315200,-117,-676,549684,-203715
1319808,-23,-338,547416,-203085
1324288,94,-546,545112,-202590
1328768,219,-390,542916,-201870
1333248,337,-182,540648,-201240
1337792,431,-130,538380,-200700
1342272,580,-78,536184,-199980
1346688,666,-78,534024,-199260
1351104,784,0,531936,-198675
1355392,870,-78,529974,-198000
1359808,956,104,527994,-197280
1364224,1090,156,526032,-196605
1368768,1168,0,524142,-195840
1373120,1262,234,522432,-195075
1377600,1356,130,520686,-194220
1382144,1458,364,519066,-193590
1386624,1513,416,517572,-192690
1391168,1600,234,516222,-191835
1395648,1662,546,514962,-191070
1400192,1733,520,513900,-190125
1404672,1780,520,513036,-189135
1409216,1835,512,512280,-188280
1413696,1882,624,511740,-187155
1418240,1913,512,511416,-186255
1422720,1945,520,511218,-185085
1427264,1968,728,511164,-184230
1431744,1984,572,511308,-183105
1436288,1992,988,511542,-182070
1440768,1992,728,511938,-180765
1445312,1992,910,512496,-179820
1449792,1976,1066,513144,-178740
1454400,1960,962,514026,-177480
1458944,1921,1118,514980,-176310
1463488,1890,910,516096,-175140
1468032,1843,1196,517374,-173880
1472640,1796,768,518796,-172395
1477120,1725,1144,520326,-171450
1481728,1670,1170,522036,-170100
1486336,1600,1066,523872,-168750
1490944,1513,1092,525798,-167400
1495552,1443,1196,527904,-166140
1500096,1341,1144,530118,-164790
1504704,1262,1170,532350,-163440
1509312,1145,884,534762,-162135
1513856,1066,884,537228,-160650
1518336,941,1066,539676,-159705
1522880,831,936,542322,-158220
1527296,690,910,544932,-156915
1531712,603,702,547542,-155790
1536128,454,806,550278,-154170
1540544,360,598,552996,-153090
1545024,219,754,555732,-151920
1549440,117,130,558486,-150615
1553856,0,728,561240,-149355
1558080,-141,256,563904,-148230
1562624,-266,364,566658,-147015
1567104,-384,520,569448,-145530
1571648,-478,78,572166,-144585
1576064,-619,364,574740,-143280
1580608,-737,-26,577368,-142245
1585088,-870,208,579888,-141165
1589632,-956,182,582336,-140085
1594112,-1090,260,584694,-138960
1598720,-1184,-104,587016,-137880
1603392,-1301,-130,589248,-136890
1608128,-1411,0,591390,-135765
1612544,-1498,-78,593262,-134865
1617152,-1576,-286,595134,-133920
1621824,-1647,-338,596844,-132975
1626496,-1709,-182,598428,-132030
1631168,-1780,-416,599868,-131085
1635840,-1835,-624,601074,-130410
1640576,-1890,-884,602100,-129600
1645248,-1929,-390,602946,-128700
1649920,-1960,-806,603558,-128115
1654592,-1976,-728,604008,-127395
1659328,-1992,-572,604242,-126810
1664000,-1992,-572,604296,-126180
1668672,-1992,-702,604188,-125550
1673344,-1976,-910,603846,-125145
1678016,-1945,-1014,603342,-124605
1682816,-1913,-962,602622,-124155
1687488,-1874,-936,601758,-123660
1692160,-1811,-598,600696,-123390
1696896,-1756,-936,599454,-122985
1701568,-1686,-1014,598068,-122715
1706304,-1600,-1014,596484,-122490
1711104,-1513,-1066,594720,-122220
1715840,-1427,-884,592776,-121995
1720576,-1317,-988,590724,-121860
1725248,-1207,-728,588546,-121680
1729920,-1090,-728,586242,-121590
1734592,-980,-728,583758,-121590
1739200,-854,-624,581274,-121545
1743808,-737,-546,578664,-121455
1748416,-603,-520,575928,-121545
1753024,-454,-676,573138,-121590
1757632,-313,-494,570276,-121680
1762240,-164,-130,567342,-121770
1766784,-70,-512,564336,-121905
1771328,70,-416,561366,-122085
1775744,188,-494,558432,-122265
1780288,360,-312,555444,-122490
1784768,454,0,552420,-122670
1789056,603,-78,549576,-122940
1793472,737,0,546660,-123210
1797696,854,156,543852,-123525
1802176,980,-26,540954,-123795
1806592,1090,52,538110,-124110
1811008,1207,0,535302,-124470
1815360,1301,234,532638,-124785
1819840,1372,364,529866,-125190
1824384,1498,286,527220,-125550
1828864,1576,364,524664,-126090
1833408,1662,256,522234,-126360
1837888,1733,416,519894,-126945
1842432,1803,624,517698,-127260
1846912,1874,624,515664,-127710
1851456,1905,702,513774,-128205
1855936,1945,832,512046,-128655
1860480,1968,780,510462,-129240
1864960,1992,884,509112,-129600
1869504,1992,1118,507924,-130140
1874112,1992,910,506880,-130590
1878592,1984,780,506088,-131130
1883136,1960,676,505458,-131580
1887616,1921,832,504972,-132075
1892160,1882,858,504666,-132615
1896640,1835,884,504558,-133155
1901184,1772,858,504630,-133650
1905664,1701,728,504792,-134280
1910208,1615,768,505116,-134730
1914752,1545,858,505584,-135225
1919232,1443,1144,506160,-135810
1923840,1341,858,506880,-136305
1928320,1223,1144,507654,-136890
1932928,1090,754,508554,-137520
1937472,980,754,509580,-138015
1941888,870,832,510660,-138555
1946304,737,1040,511740,-139230
1950848,603,806,512964,-139815
1955264,431,442,514224,-140355
1959680,337,728,515502,-141030
1964096,164,624,516816,-141705
1968512,47,598,518166,-142290
1972864,-94,416,519480,-142920
1977280,-266,572,520848,-143640
1981824,-360,390,522180,-144315
1986368,-533,390,523530,-144990
1990848,-666,156,524844,-145935
1995392,-807,26,526068,-146610
1999808,-917,156,527256,-147285
2004288,-1066,-156,528354,-148140
2009024,-1184,208,529434,-148950
2013632,-1301,-78,530388,-149805
2018176,-1427,52,531252,-150705
2022720,-1529,-286,531990,-151650
2027392,-1615,-416,532656,-152685
2032064,-1709,-286,533160,-153540
2036800,-1772,-208,533502,-154575
2041472,-1835,-468,533682,-155610
2046144,-1898,-650,533736,-156735
2050816,-1937,-676,533592,-157860
2055552,-1968,-768,533322,-158940
2060224,-1992,-768,532872,-160155
2064896,-1992,-702,532224,-161505
2069568,-1992,-884,531414,-162540
2074240,-1976,-728,530406,-163890
2078976,-1945,-754,529236,-165330
2083648,-1905,-1066,527886,-166410
2088384,-1850,-1024,526302,-167895
2093184,-1780,-806,524556,-169200
2097856,-1709,-910,522684,-170640
2102528,-1615,-676,520560,-172395
2107200,-1513,-768,518382,-173520
2111936,-1396,-748,515952,-175320
2116608,-1317,-1040,513450,-176625
2121344,-1184,-572,510714,-178020
2126080,-1043,-962,507888,-179640
2130752,-917,-512,504936,-181305
2135360,-760,-1024,501966,-182745
2140032,-603,-468,498780,-184410
2144640,-478,-676,495576,-185985
2149248,-313,-520,492372,-187695
2153856,-164,-468,489060,-189135
2158400,0,-286,485730,-190665
2162752,141,-312,482562,-192060
2167296,313,-494,479250,-193725
2171776,407,-208,475992,-195255
2176320,603,-416,472752,-196965
2180800,737,-256,469512,-198315
2185344,894,-286,466362,-199755
2189824,1003,78,463284,-201150
2194304,1145,-104,460296,-202995
2198848,1262,26,457326,-204165
2203328,1396,0,454554,-205470
2207616,1498,78,451908,-206865
2212096,1600,78,449334,-208215
2216512,1670,260,446868,-209475
2220992,1756,312,444510,-211095
2225536,1827,442,442314,-212130
2230016,1890,598,440262,-213345
2234560,1929,442,438408,-214785
2239040,1960,390,436752,-215730
2243584,1984,572,435294,-216900
2248064,1992,598,434070,-218160
2252608,1992,858,433008,-219285
2257088,1976,624,432216,-220095
2261632,1952,650,431658,-221040
2266112,1913,754,431226,-221985
2270656,1850,858,431028,-223110
2275136,1780,572,431046,-223785
2279680,1725,702,431244,-224775
2284160,1631,754,431586,-225495
2288704,1545,494,432072,-226260
2293184,1411,702,432684,-227070
2297728,1301,676,433404,-227745
2302208,1168,962,434268,-228510
2306752,1066,962,435258,-229005
2311232,917,768,436338,-229770
2315712,760,546,437544,-230355
2320128,603,806,438768,-230850
2324544,478,650,440100,-231345
2328960,313,468,441522,-231840
2333376,141,234,442998,-232470
2337792,0,520,444528,-232785
2342080,-164,234,446004,-233280
2346560,-290,156,447570,-233775
2351104,-478,52,449208,-234135
2355520,-619,78,450810,-234360
2359936,-807,26,452322,-234810
2364416,-917,-234,453852,-235125
2369024,-1066,-256,455436,-235440
2373696,-1207,-416,456948,-235800
2378368,-1341,-286,458460,-236070
2383040,-1474,-256,459864,-236295
2387712,-1576,-468,461214,-236610
2392448,-1670,-768,462402,-236880
2397120,-1772,-728,463500,-237060
2401792,-1827,-728,464454,-237285
2406464,-1890,-442,465228,-237510
2411136,-1945,-520,465894,-237645
2415872,-1968,-1040,466380,-237825
2420608,-1992,-494,466722,-238050
2425280,-1992,-728,466848,-238140
2430016,-1984,-650,466812,-238275
2434688,-1960,-768,466596,-238500
2439360,-1913,-884,466200,-238545
2444032,-1858,-936,465642,-238635
2448704,-1796,-1040,464940,-238770
2453504,-1701,-884,464058,-238815
2458176,-1600,-754,463050,-238860
2462848,-1513,-832,461862,-238950
2467584,-1372,-1024,460548,-238950
2472320,-1223,-1066,459090,-238950
2477120,-1090,-1014,457488,-238995
2481856,-956,-1024,455778,-238950
2486528,-807,-910,453924,-238905
2491136,-619,-624,452088,-238860
2495744,-454,-624,450126,-238815
2500352,-290,-468,448146,-238680
2504960,-94,-624,446058,-238590
2509504,47,-390,443952,-238500
2513920,219,-512,441936,-238320
2518400,384,-260,439848,-238140
2522944,580,-312,437724,-238005
2527424,713,-208,435654,-237690
2531968,894,-26,433602,-237510
2536384,1003,-156,431658,-237285
2540992,1168,-130,429678,-236970
2545600,1301,-156,427770,-236610
2550208,1443,78,425952,-236340
2554624,1529,0,424278,-235980
2558976,1647,208,422748,-235395
2563456,1733,390,421254,-235125
2568000,1811,156,419904,-234585
2572480,1882,650,418716,-234000
2577024,1937,780,417654,-233640
2581504,1960,676,416844,-233055
2586048,1992,702,416160,-232470
2590528,2000,546,415710,-231795
2595072,1984,512,415440,-231120
2599552,1968,884,415296,-230265
2604096,1929,624,415386,-229635
2608576,1882,780,415602,-228915
2613120,1803,806,415980,-227925
2617600,1725,910,416520,-227250
2622144,1615,962,417186,-226395
2626624,1545,728,418032,-225495
2631168,1411,832,418968,-224550
2635648,1286,768,420084,-223605
2640192,1129,702,421398,-222525
2644672,1027,806,422766,-221400
2649216,854,512,424260,-220545
2653632,690,676,425880,-219330
2658048,478,702,427590,-218340
2662464,337,468,429390,-217260
2666880,188,442,431262,-216045
2671360,0,52,433188,-214875
2675520,-164,288,435060,-213795
2680000,-360,156,437112,-212535
2684544,-478,156,439182,-211320
2689024,-690,104,441288,-210105
2693568,-831,-52,443376,-208800
2698048,-1027,234,445464,-207270
2702656,-1168,-130,447552,-206235
2707392,-1317,-182,449640,-204615
2712064,-1458,-260,451728,-203490
2716736,-1545,-364,453654,-202140
2721408,-1662,-286,455508,-200790
2726080,-1772,-512,457254,-199440
2730816,-1843,-512,458820,-198135
2735488,-1913,-768,460260,-196785
2740160,-1960,-572,461466,-195435
2744832,-1984,-442,462510,-194220
2749504,-1992,-520,463338,-192915
2754240,-1992,-806,463986,-191610
2758912,-1968,-754,464418,-190440
2763584,-1921,-768,464634,-189225
2768256,-1858,-780,464742,-187920
2772928,-1780,-702,464598,-186840
2777664,-1701,-910,464274,-185670
2782336,-1584,-728,463806,-184500
2787008,-1458,-806,463140,-183465
2791680,-1356,-988,462366,-182295
2796416,-1207,-676,461412,-181215
2801088,-1043,-728,460278,-180225
2805760,-870,-624,459090,-179145
2810368,-690,-624,457758,-177930
2814976,-478,-832,456318,-177165
2819584,-360,-468,454770,-175995
2824192,-164,-286,453204,-175185
2828736,23,-260,451548,-174060
2833216,219,-364,449892,-173160
2837696,384,-256,448182,-172440
2842240,603,-156,446472,-171450
2846720,737,-78,444798,-170505
2851136,917,-78,443124,-169695
2855552,1066,104,441504,-168570
2860096,1247,26,439884,-167805
2864512,1341,208,438354,-166950
2869056,1498,260,436860,-165960
2873536,1600,234,435456,-164880
2878080,1709,256,434124,-164205
2882560,1803,572,432936,-163215
2887104,1882,572,431910,-162180
2891584,1929,728,430992,-161325
2896128,1968,598,430254,-160155
2900608,1992,780,429732,-159300
2905152,1992,806,429300,-158220
2909632,1984,676,429066,-157320
2914176,1952,676,428976,-156330
2918656,1905,416,429030,-155340
2923200,1835,1118,429246,-154125
2927808,1756,1144,429588,-153225
2932352,1647,988,430056,-152235
2936896,1560,780,430686,-151155
2941440,1411,702,431406,-150120
2945920,1262,1040,432198,-149130
2950528,1129,768,433170,-148005
2955008,941,832,434178,-147015
2959488,807,988,435276,-145980
2963904,643,858,436428,-144990
2968320,431,780,437616,-143865
2972736,243,256,438912,-143010
2977152,47,468,440208,-142065
2981504,-117,520,441468,-141165
2986048,-313,156,442854,-140220
2990528,-478,390,444204,-139230
2995072,-690,26,445536,-138195
2999488,-831,208,446814,-137250
3004032,-1027,78,448038,-136575
3008512,-1184,-208,449226,-135720
3013184,-1341,-130,450396,-134730
3017920,-1498,0,451458,-134010
3022336,-1615,-208,452376,-133155
3027008,-1733,-338,453222,-132525
3031680,-1803,-650,453942,-131760
3036416,-1882,-390,454518,-131040
3041088,-1945,-390,454896,-130275
3045760,-1976,-390,455148,-129600
3050432,-1992,-546,455238,-129015
3055104,-1992,-650,455148,-128565
3059840,-1976,-702,454878,-128025
3064512,-1929,-884,454428,-127530
3069184,-1858,-1024,453816,-127080
3073984,-1772,-832,453006,-126675
3078656,-1670,-858,452070,-126270
3083328,-1560,-884,450936,-125955
3088000,-1411,-832,449640,-125595
3092672,-1262,-768,448236,-125325
3097408,-1090,-702,446634,-125100
3102080,-894,-598,444888,-124875
3106688,-760,-546,443088,-124695
3111296,-556,-754,441180,-124560
3115904,-360,-754,439146,-124470
3120448,-164,-572,437058,-124335
3125056,70,-234,434880,-124290
3129472,219,-364,432756,-124290
3134016,407,-572,430578,-124245
3138560,619,-182,428346,-124290
3143040,807,-26,426150,-124290
3147456,980,0,423990,-124335
3151744,1129,0,421938,-124470
3156096,1286,0,419868,-124515
3160384,1427,-78,417852,-124605
3164928,1576,130,415800,-124740
3169408,1662,338,413838,-124875
3173952,1780,494,411984,-125010
3178496,1850,390,410220,-125145
3182976,1929,468,408600,-125370
3187520,1968,754,407124,-125550
3192000,1992,936,405828,-125730
