time(s),reference current(A),current(A),cart position(m),pendulum angle(rad)
0.00768,0.0,0.234,0.0,-3.14159265
0.0112,0.047,0.104,0.0,-3.14159265
0.014912,0.094,-0.026,0.0,-3.14159265
0.018688,0.117,0.104,0.0,-3.14159265
0.022464,0.164,0.0,0.0,-3.14159265
0.026112,0.219,0.0,0.0,-3.14159265
0.02976,0.266,0.0,0.0,-3.14159265
0.033408,0.313,0.0,0.0,-3.14159265
0.037056,0.36,-0.512,0.0,-3.14159265
0.04096,0.407,0.026,0.0,-3.14159265
0.044672,0.431,0.052,0.0,-3.14159265
0.048384,0.478,-0.156,0.0,-3.14159265
0.052288,0.556,-0.13,0.0,-3.14159265
0.056192,0.603,0.0,1.8e-05,-3.14159265
0.059904,0.643,0.078,5.4e-05,-3.14159265
0.063744,0.69,-0.026,9e-05,-3.14159265
0.067584,0.737,0.26,0.000144,-3.14080725184
0.071616,0.784,0.256,0.000234,-3.14080725184
0.075584,0.831,0.338,0.00036,-3.14080725184
0.079552,0.87,0.39,0.000504,-3.14080725184
0.08352,0.917,0.256,0.000684,-3.14002185367
0.087552,0.956,0.494,0.0009,-3.14002185367
0.09152,1.027,0.468,0.00117,-3.13923645551
0.09568,1.066,0.39,0.001494,-3.13845105735
0.099776,1.105,0.572,0.001854,-3.13688026102
0.103936,1.168,0.728,0.002286,-3.13609486286
0.108224,1.207,0.442,0.002772,-3.1353094647
0.112448,1.247,0.754,0.003312,-3.13373866837
0.116672,1.286,0.598,0.003924,-3.13216787205
0.12096,1.341,0.676,0.004626,-3.13138247389
0.125184,1.372,0.768,0.005346,-3.12981167756
0.129472,1.427,0.65,0.006174,-3.12745548308
0.133696,1.458,0.754,0.007074,-3.12431389043
0.13792,1.513,0.91,0.008046,-3.1227430941
0.142208,1.545,0.754,0.00909,-3.12195769594
0.146432,1.576,0.832,0.010242,-3.11803070513
0.150784,1.615,0.806,0.01152,-3.11567451064
0.155072,1.647,0.754,0.012834,-3.11253291799
0.159424,1.686,0.832,0.014328,-3.10860592718
0.163776,1.709,0.988,0.015894,-3.10624973269
0.168064,1.749,0.768,0.017514,-3.10153734371
0.172416,1.772,0.962,0.019332,-3.09839575106
0.176768,1.803,1.014,0.021168,-3.09446876025
0.181184,1.835,1.144,0.023238,-3.08897097311
0.1856,1.85,0.884,0.025416,-3.08347318597
0.189888,1.874,1.17,0.027612,-3.08033159332
0.194368,1.898,0.884,0.030042,-3.07326300986
0.198656,1.913,1.17,0.032562,-3.06855062089
0.203072,1.937,0.832,0.035226,-3.06226743559
0.207424,1.945,1.17,0.037962,-3.05676964845
0.21184,1.96,0.988,0.04095,-3.05048646315
0.216192,1.968,1.066,0.043992,-3.04420327785
0.220608,1.984,1.456,0.047232,-3.03713469439
0.225024,1.984,1.066,0.050634,-3.03006611093
0.22944,1.992,1.222,0.054162,-3.02299752746
0.233856,1.992,1.17,0.05787,-3.01435814768
0.238272,1.992,1.43,0.061704,-3.00414797156
0.242688,1.992,1.196,0.065646,-2.99786478626
0.247104,1.992,1.024,0.069768,-2.98844000831
0.25152,1.984,1.144,0.074034,-2.97980062853
0.255936,1.976,1.118,0.078444,-2.97116124874
0.260352,1.968,0.962,0.082962,-2.96016567446
0.264704,1.96,1.024,0.08757,-2.95231169284
0.26912,1.945,1.196,0.092412,-2.93974532224
0.273536,1.921,1.326,0.097344,-2.93267673878
0.277952,1.905,1.092,0.102474,-2.92246656266
0.282432,1.882,1.144,0.10782,-2.91068559022
0.286912,1.85,1.118,0.11331,-2.89969001595
0.291456,1.835,1.144,0.118944,-2.88947983984
0.295936,1.803,1.144,0.124704,-2.87534267291
0.300416,1.772,1.014,0.130644,-2.86356170048
0.30496,1.733,1.066,0.136674,-2.8525661262
0.30944,1.701,1.014,0.142812,-2.84078515376
0.31392,1.662,1.014,0.149094,-2.82900418133
0.318464,1.631,0.78,0.155466,-2.81879400521
0.32288,1.584,0.676,0.16182,-2.80465683829
0.327296,1.545,0.884,0.16821,-2.79523206034
0.331712,1.513,0.806,0.17469,-2.78188029158
0.336128,1.443,0.65,0.181242,-2.7708847173
0.340544,1.396,0.832,0.18783,-2.7583183467
0.34496,1.341,0.572,0.194436,-2.74889356875
0.349376,1.301,0.858,0.201096,-2.73711259631
0.353792,1.247,0.65,0.207792,-2.72454622571
0.358208,1.184,0.676,0.214524,-2.71355065144
0.362624,1.129,0.832,0.221274,-2.70019888268
0.36704,1.066,0.468,0.228024,-2.69155950289
0.371456,1.027,0.78,0.234828,-2.67899313229
0.375872,0.941,0.26,0.24165,-2.66956835434
0.380224,0.87,0.572,0.248328,-2.65700198374
0.384512,0.831,0.65,0.255024,-2.64914800211
0.388864,0.76,0.494,0.261738,-2.63658163151
0.393216,0.69,0.468,0.268434,-2.62872764989
0.397504,0.619,0.728,0.275166,-2.61930287194
0.401856,0.58,0.364,0.28188,-2.60987809399
0.406208,0.478,0.676,0.288594,-2.60045331604
0.410496,0.407,0.416,0.295326,-2.59102853809
0.414848,0.36,0.442,0.30204,-2.58081836198
0.4192,0.266,0.624,0.308754,-2.57374977851
0.423552,0.188,0.598,0.315486,-2.56589579689
0.42784,0.141,0.546,0.322182,-2.55647101894
0.432192,0.047,0.078,0.32886,-2.54940243548
0.436352,-0.023,0.364,0.335268,-2.54154845385
0.440704,-0.07,0.208,0.34191,-2.53526526855
0.444992,-0.164,0.286,0.348534,-2.52819668509
0.449472,-0.219,0.546,0.355248,-2.52191349979
0.453888,-0.29,0.234,0.361908,-2.51563031449
0.458304,-0.384,0.26,0.36855,-2.50856173102
0.46272,-0.431,0.286,0.37512,-2.50306394389
0.467136,-0.533,-0.078,0.381654,-2.49756615675
0.471552,-0.603,0.052,0.388116,-2.49285376778
0.47584,-0.666,0.364,0.394398,-2.4881413788
0.48032,-0.737,0.182,0.400734,-2.48342898983
0.484736,-0.807,0.156,0.406962,-2.47950199901
0.489152,-0.87,0.052,0.413154,-2.47636040636
0.49344,-0.941,0.156,0.41913,-2.47321881371
0.497856,-1.027,-0.156,0.425124,-2.47086261923
0.502464,-1.09,-0.182,0.431244,-2.46850642474
0.507072,-1.168,-0.13,0.437274,-2.46693562841
0.51168,-1.207,-0.104,0.443178,-2.46536483209
0.516224,-1.286,-0.338,0.448956,-2.46379403576
0.520832,-1.341,-0.338,0.454608,-2.46379403576
0.52544,-1.411,-0.182,0.46008,-2.46457943393
0.529984,-1.458,-0.13,0.465462,-2.46536483209
0.534592,-1.513,-0.104,0.470664,-2.46693562841
0.5392,-1.56,-0.182,0.47574,-2.46850642474
0.543808,-1.6,-0.572,0.480618,-2.47164801739
0.548352,-1.662,-0.442,0.485352,-2.47478961004
0.55296,-1.709,-0.156,0.489888,-2.47871660085
0.557568,-1.749,-0.39,0.494244,-2.48342898983
0.562112,-1.796,-0.676,0.498402,-2.4881413788
0.56672,-1.811,-0.702,0.502362,-2.49363916594
0.571328,-1.85,-0.65,0.506142,-2.49992235124
0.575936,-1.89,-0.546,0.509688,-2.50777633286
0.58048,-1.913,-0.546,0.513054,-2.51563031449
0.585088,-1.937,-0.858,0.516168,-2.52426969428
0.589696,-1.952,-0.65,0.519084,-2.53290907406
0.594304,-1.968,-0.806,0.521766,-2.54311925018
0.598848,-1.976,-0.598,0.524196,-2.55332942629
0.603456,-1.992,-0.702,0.526446,-2.56432500056
0.608064,-1.992,-0.494,0.528426,-2.576105973
0.612608,-2.0,-0.728,0.530172,-2.5886723436
0.617216,-1.992,-0.832,0.531666,-2.60202411236
0.621824,-1.992,-0.988,0.532908,-2.61616127929
0.626432,-1.984,-0.702,0.533952,-2.63108384437
0.630976,-1.968,-0.768,0.534708,-2.64914800211
0.635584,-1.952,-0.832,0.535248,-2.66249977088
0.640192,-1.921,-0.754,0.535554,-2.67977853045
0.644736,-1.913,-0.754,0.535626,-2.70019888268
0.649344,-1.882,-0.624,0.535536,-2.71512144776
0.653952,-1.843,-0.78,0.535212,-2.73711259631
0.65856,-1.811,-0.754,0.534726,-2.75674755038
0.663104,-1.772,-0.832,0.534096,-2.77402630995
0.667712,-1.725,-0.676,0.53325,-2.79366126401
0.67232,-1.686,-0.728,0.532242,-2.8148670144
0.676928,-1.631,-0.676,0.531072,-2.83685816295
0.681472,-1.584,-0.806,0.52974,-2.86120550599
0.68608,-1.529,-0.91,0.528264,-2.88084046005
0.690688,-1.474,-0.832,0.52659,-2.90832939574
0.695232,-1.396,-0.806,0.524844,-2.92639355348
0.69984,-1.356,-0.91,0.5229,-2.95074089651
0.704448,-1.286,-0.52,0.52083,-2.97665903588
0.709056,-1.207,-0.98,0.518688,-2.99865018443
0.7136,-1.129,-0.936,0.516348,-3.02928071276
0.718208,-1.066,-0.988,0.513954,-3.05048646315
0.722816,-0.98,-0.768,0.511434,-3.07797539884
0.727296,-0.894,-0.572,0.508896,-3.10075194555
0.73184,-0.831,-0.768,0.506214,-3.12667008491
0.73632,-0.737,-0.884,0.503514,-3.15023202979
0.7408,-0.666,-0.52,0.500706,-3.18164795629
0.745344,-0.58,-0.546,0.497826,-3.20363910484
0.749824,-0.478,-0.416,0.494946,-3.22798644788
0.754368,-0.384,-0.39,0.491958,-3.25547538356
0.758848,-0.313,-0.442,0.48897,-3.28139352293
0.763328,-0.219,-0.182,0.485946,-3.30731166229
0.767872,-0.117,-0.416,0.482904,-3.33401519981
0.772352,-0.023,-0.468,0.479844,-3.35993333917
0.776768,0.047,-0.234,0.476874,-3.38349528405
0.78112,0.141,-0.312,0.473958,-3.41412581239
0.785536,0.219,-0.052,0.470988,-3.43925855359
0.789888,0.29,-0.104,0.468144,-3.4620351003
0.794304,0.407,-0.208,0.465282,-3.48402624885
0.79872,0.478,-0.078,0.462438,-3.50837359189
0.803008,0.603,-0.364,0.459702,-3.5311501386
0.807424,0.666,-0.156,0.456984,-3.55863907429
0.81184,0.737,-0.052,0.454338,-3.57984482468
0.816192,0.831,-0.026,0.451818,-3.60497756588
0.820544,0.917,-0.338,0.449352,-3.62304172361
0.82496,1.003,0.026,0.446922,-3.64660366849
0.829248,1.066,0.104,0.444654,-3.66780941888
0.833664,1.145,0.156,0.44244,-3.6882297711
0.83808,1.223,0.052,0.440298,-3.71100631781
0.842432,1.286,0.156,0.438318,-3.73064127188
0.846848,1.356,0.208,0.436428,-3.75027622594
0.851264,1.427,0.156,0.434664,-3.77069657816
0.85568,1.498,0.416,0.433026,-3.79268772671
0.860096,1.56,0.39,0.431532,-3.80839568996
0.864512,1.6,0.208,0.4302,-3.82724524586
0.868928,1.662,0.494,0.428994,-3.8453094036
0.873344,1.709,0.26,0.427986,-3.86101736685
0.87776,1.756,0.702,0.427122,-3.88143771908
0.882176,1.803,0.572,0.426456,-3.89636028416
0.886592,1.835,0.256,0.425952,-3.90892665476
0.891072,1.882,0.598,0.425628,-3.9269908125
0.895488,1.905,0.676,0.425448,-3.94191337759
0.899904,1.929,0.512,0.425412,-3.95369435003
0.90432,1.952,0.494,0.425556,-3.96390452614
0.908736,1.968,0.858,0.425826,-3.97882709123
