time(s),reference current(A),current(A),cart position(m),pendulum angle(rad)
0.006912,0.4,-0.182,0.0,-3.14159265
0.010816,0.425,0.13,0.0,-3.14159265
0.01472,0.4,-0.078,0.0,-3.14159265
0.018624,0.4,0.0,0.0,-3.14159265
0.022336,0.4,-0.364,0.0,-3.14159265
0.026304,0.4,-0.338,0.0,-3.14159265
0.030272,0.4,0.156,0.0,-3.14159265
0.034176,0.4,-0.234,0.0,-3.14159265
0.038144,0.4,0.156,0.0,-3.14159265
0.042048,0.4,0.442,1.8e-05,-3.14159265
0.04608,0.4,0.104,3.6e-05,-3.14159265
0.050048,0.426,0.234,5.4e-05,-3.14159265
0.054016,0.4,0.156,9e-05,-3.14159265
0.057984,0.4,0.13,0.000144,-3.14159265
0.06208,0.4,0.182,0.000198,-3.14159265
0.066176,0.42,0.182,0.000252,-3.14080725184
0.070208,0.4,0.182,0.000306,-3.14080725184
0.074304,0.4,0.39,0.000378,-3.14080725184
0.078336,0.4,0.182,0.00045,-3.14080725184
0.082432,0.4,0.494,0.00054,-3.14080725184
0.086464,0.4,0.208,0.000648,-3.14002185367
0.09056,0.483,0.256,0.000756,-3.14002185367
0.094656,0.588,0.13,0.000882,-3.13923645551
0.098688,0.488,0.182,0.001026,-3.13923645551
0.102848,0.4,0.312,0.00117,-3.13923645551
0.107136,0.449,0.002,0.001332,-3.13845105735
0.111168,0.4,0.442,0.001494,-3.13766565919
0.115456,0.4,0.286,0.001692,-3.13766565919
0.11968,0.4,0.078,0.00189,-3.13766565919
0.12384,0.4,0.0,0.002124,-3.13688026102
0.127936,0.4,0.468,0.002358,-3.13609486286
0.13216,0.4,0.338,0.00261,-3.13609486286
0.136448,0.4,0.468,0.002898,-3.1353094647
0.140672,0.444,0.26,0.003204,-3.13452406654
0.14496,0.4,0.0,0.003528,-3.13373866837
0.148992,0.4,0.312,0.003852,-3.13295327021
0.15328,0.4,0.13,0.004212,-3.13295327021
0.157504,0.4,0.546,0.004554,-3.13216787205
0.161792,0.4,0.338,0.00495,-3.13059707572
0.166016,0.4,0.494,0.005364,-3.12981167756
0.17024,0.4,0.312,0.005742,-3.12981167756
0.174528,0.4,0.468,0.006174,-3.12824088124
0.178752,0.4,0.364,0.006588,-3.12667008491
0.182976,0.592,0.364,0.007002,-3.12667008491
0.187264,0.719,0.286,0.007434,-3.12588468675
0.191488,0.681,0.364,0.007884,-3.12431389043
0.195776,0.792,0.546,0.008352,-3.1227430941
