time(us),reference current(mA),current(mA),cart position(um),pendulum angle(mdeg)
6912,400,-182,0,-180000
10816,425,130,0,-180000
14720,400,-78,0,-180000
18624,400,0,0,-180000
22336,400,-364,0,-180000
26304,400,-338,0,-180000
30272,400,156,0,-180000
34176,400,-234,0,-180000
38144,400,156,0,-180000
42048,400,442,18,-180000
46080,400,104,36,-180000
50048,426,234,54,-180000
54016,400,156,90,-180000
57984,400,130,144,-180000
62080,400,182,198,-180000
66176,420,182,252,-179955
70208,400,182,306,-179955
74304,400,390,378,-179955
78336,400,182,450,-179955
82432,400,494,540,-179955
86464,400,208,648,-179910
90560,483,256,756,-179910
94656,588,130,882,-179865
98688,488,182,1026,-179865
102848,400,312,1170,-179865
107136,449,2,1332,-179820
111168,400,442,1494,-179775
115456,400,286,1692,-179775
119680,400,78,1890,-179775
123840,400,0,2124,-179730
127936,400,468,2358,-179685
132160,400,338,2610,-179685
136448,400,468,2898,-179640
140672,444,260,3204,-179595
144960,400,0,3528,-179550
148992,400,312,3852,-179505
153280,400,130,4212,-179505
157504,400,546,4554,-179460
161792,400,338,4950,-179370
166016,400,494,5364,-179325
170240,400,312,5742,-179325
174528,400,468,6174,-179235
178752,400,364,6588,-179145
182976,592,364,7002,-179145
187264,719,286,7434,-179100
191488,681,364,7884,-179010
195776,792,546,8352,-178920
200000,668,546,8838,-178875
204224,550,338,9342,-178830
208512,400,312,9882,-178785
212736,600,312,10476,-178650
217088,673,546,11088,-178605
221440,734,442,11718,-178560
225728,741,494,12384,-178470
230080,663,390,13068,-178335
234432,739,520,13806,-178290
238784,801,572,14544,-178200
243072,856,624,15336,-178155
247424,758,598,16164,-178020
251776,608,546,17010,-177885
256064,499,624,17910,-177840
260416,579,416,18810,-177660
264768,572,676,19782,-177570
269120,681,256,20772,-177525
273408,620,286,21744,-177345
277760,586,676,22824,-177255
282112,392,624,23886,-177165
286464,450,390,24948,-177030
290752,395,520,26064,-176895
295104,387,256,27198,-176760
299456,377,130,28350,-176625
303744,187,520,29502,-176535
308096,100,256,30672,-176400
312448,-31,260,31860,-176265
316800,8,130,33048,-176175
320960,50,494,34182,-176040
325184,126,338,35316,-175905
329536,124,260,36468,-175860
333888,110,52,37620,-175680
338112,114,260,38718,-175590
342464,321,286,39816,-175500
346752,510,104,40914,-175365
351104,565,260,41994,-175320
355456,391,338,43056,-175230
359808,372,208,44154,-175095
364096,230,416,45216,-175050
368448,300,208,46278,-174960
372800,312,260,47358,-174825
377152,246,468,48438,-174780
381440,354,234,49482,-174690
385792,344,364,50580,-174600
390144,248,364,51642,-174555
394496,270,416,52704,-174510
398784,198,182,53784,-174375
403136,238,312,54882,-174330
407488,81,0,55908,-174285
411584,81,182,56934,-174195
415808,37,468,57978,-174195
420032,-33,106,58986,-174105
424384,150,-52,60048,-174015
428736,57,156,61056,-173970
432960,31,286,62046,-173970
437248,-57,130,63036,-173880
441536,17,208,64008,-173835
445824,88,-52,64944,-173880
450048,65,234,65880,-173835
454336,105,312,66798,-173790
458624,192,260,67716,-173835
462976,114,156,68580,-173835
467328,256,-52,69480,-173745
471680,235,312,70344,-173835
475968,441,156,71190,-173790
480320,439,338,72054,-173745
484672,378,442,72882,-173835
488960,438,182,73710,-173880
493312,269,260,74538,-173790
497664,344,416,75366,-173880
502016,503,364,76212,-173925
506304,634,468,77058,-173835
510656,648,364,77922,-173970
515008,582,156,78768,-174015
519360,578,390,79686,-173925
523648,622,520,80586,-174015
528000,597,572,81486,-174060
532352,683,364,82458,-174015
536640,638,312,83466,-174060
540992,542,494,84438,-174105
545344,453,338,85482,-174105
549696,424,390,86544,-174150
553984,447,364,87624,-174150
558336,578,234,88740,-174195
562688,755,182,89856,-174240
566976,805,156,91008,-174150
571328,723,546,92178,-174195
575680,721,598,93348,-174240
580032,783,572,94590,-174240
584320,769,650,95850,-174240
588672,706,598,97128,-174285
593024,590,312,98460,-174285
597376,550,442,99828,-174330
601664,460,468,101214,-174285
606080,440,546,102690,-174285
610560,444,416,104148,-174330
614976,365,650,105660,-174330
619392,228,364,107226,-174240
623808,242,390,108756,-174330
628224,235,572,110304,-174375
632640,207,338,111906,-174285
637056,212,390,113472,-174330
641472,289,546,115002,-174375
645888,295,416,116586,-174330
650304,169,338,118170,-174330
654720,223,286,119718,-174420
659136,188,364,121266,-174420
663552,164,104,122832,-174375
667968,273,156,124362,-174465
672384,309,338,125910,-174510
676800,324,390,127458,-174465
