time(s),reference current(A),current(A),cart position(m),pendulum angle(rad)
0.006912,0.4,0.0,0.0,-3.14159265
0.01056,0.425,0.0,0.0,-3.14159265
0.014272,0.4,-0.026,0.0,-3.14159265
0.018176,0.4,0.13,0.0,-3.14159265
0.02208,0.4,-0.13,0.0,-3.14159265
0.026048,0.4,0.026,0.0,-3.14159265
0.029888,0.4,0.208,0.0,-3.14159265
0.033792,0.4,0.0,0.0,-3.14159265
0.037504,0.4,-0.052,0.0,-3.14159265
0.041408,0.4,0.234,0.0,-3.14159265
0.045312,0.4,0.026,0.0,-3.14159265
0.049088,0.426,0.078,0.0,-3.14159265
0.052928,0.4,0.26,0.0,-3.14159265
0.056832,0.4,0.338,0.0,-3.14159265
0.060736,0.4,0.026,1.8e-05,-3.14159265
0.06464,0.42,0.26,3.6e-05,-3.14159265
0.068608,0.4,0.156,7.2e-05,-3.14080725184
0.072576,0.4,0.312,0.000126,-3.14080725184
0.076672,0.4,0.208,0.00018,-3.14080725184
0.080704,0.4,0.208,0.00027,-3.14080725184
0.0848,0.4,0.468,0.000342,-3.14080725184
0.088832,0.483,0.286,0.000414,-3.14002185367
0.092928,0.588,0.234,0.000504,-3.14002185367
0.097024,0.488,0.286,0.000612,-3.14002185367
0.101056,0.4,0.26,0.000702,-3.14002185367
0.105216,0.449,0.52,0.000828,-3.14002185367
0.109376,0.4,0.286,0.000954,-3.13923645551
0.113536,0.4,0.0,0.001098,-3.13923645551
0.117632,0.4,0.286,0.00126,-3.13845105735
0.12192,0.4,0.39,0.00144,-3.13845105735
0.126144,0.4,0.13,0.00162,-3.13766565919
0.130368,0.4,0.468,0.001836,-3.13766565919
0.134656,0.4,0.52,0.002052,-3.13688026102
0.13888,0.444,0.364,0.002304,-3.13609486286
0.143168,0.4,0.26,0.002574,-3.13609486286
0.147392,0.4,0.26,0.002826,-3.13452406654
0.151616,0.4,0.364,0.003096,-3.13452406654
0.155904,0.4,0.52,0.003366,-3.13452406654
0.160128,0.4,0.39,0.003654,-3.13295327021
0.164416,0.4,0.442,0.00396,-3.13295327021
0.16864,0.4,0.286,0.004248,-3.13216787205
0.172864,0.4,0.286,0.00459,-3.13138247389
0.177152,0.4,0.338,0.004932,-3.13059707572
0.181376,0.592,0.312,0.005274,-3.12981167756
0.185664,0.719,0.312,0.005616,-3.12981167756
0.189888,0.681,0.26,0.005976,-3.12824088124
0.194112,0.792,0.208,0.006372,-3.12745548308
0.1984,0.668,0.338,0.006768,-3.12745548308
0.202624,0.55,0.234,0.007182,-3.12588468675
0.206912,0.4,0.416,0.00765,-3.12431389043
0.211136,0.6,0.338,0.008118,-3.12431389043
0.21536,0.673,0.338,0.008604,-3.1227430941
0.219648,0.734,0.676,0.009144,-3.12038689961
0.223872,0.741,0.624,0.009702,-3.12038689961
0.22816,0.663,0.52,0.010242,-3.11960150145
0.232448,0.739,0.39,0.010872,-3.1164599088
0.2368,0.801,0.624,0.01152,-3.1164599088
0.241152,0.856,0.442,0.01215,-3.11567451064
0.24544,0.758,0.494,0.012888,-3.11253291799
0.249792,0.608,0.39,0.013626,-3.11253291799
