time(us),reference current(mA),current(mA),cart position(um),pendulum angle(mdeg)
6912,400,0,0,-180000
10560,425,0,0,-180000
14272,400,-26,0,-180000
18176,400,130,0,-180000
22080,400,-130,0,-180000
26048,400,26,0,-180000
29888,400,208,0,-180000
33792,400,0,0,-180000
37504,400,-52,0,-180000
41408,400,234,0,-180000
45312,400,26,0,-180000
49088,426,78,0,-180000
52928,400,260,0,-180000
56832,400,338,0,-180000
60736,400,26,18,-180000
64640,420,260,36,-180000
68608,400,156,72,-179955
72576,400,312,126,-179955
76672,400,208,180,-179955
80704,400,208,270,-179955
84800,400,468,342,-179955
88832,483,286,414,-179910
92928,588,234,504,-179910
97024,488,286,612,-179910
101056,400,260,702,-179910
105216,449,520,828,-179910
109376,400,286,954,-179865
113536,400,0,1098,-179865
117632,400,286,1260,-179820
121920,400,390,1440,-179820
126144,400,130,1620,-179775
130368,400,468,1836,-179775
134656,400,520,2052,-179730
138880,444,364,2304,-179685
143168,400,260,2574,-179685
147392,400,260,2826,-179595
151616,400,364,3096,-179595
155904,400,520,3366,-179595
160128,400,390,3654,-179505
164416,400,442,3960,-179505
168640,400,286,4248,-179460
172864,400,286,4590,-179415
177152,400,338,4932,-179370
181376,592,312,5274,-179325
185664,719,312,5616,-179325
189888,681,260,5976,-179235
194112,792,208,6372,-179190
198400,668,338,6768,-179190
202624,550,234,7182,-179100
206912,400,416,7650,-179010
211136,600,338,8118,-179010
215360,673,338,8604,-178920
219648,734,676,9144,-178785
223872,741,624,9702,-178785
228160,663,520,10242,-178740
232448,739,390,10872,-178560
236800,801,624,11520,-178560
241152,856,442,12150,-178515
245440,758,494,12888,-178335
249792,608,390,13626,-178335
254144,499,546,14382,-178245
258496,579,338,15228,-178065
262784,572,364,16074,-178065
267136,681,416,16938,-177975
271488,620,650,17856,-177750
275840,586,256,18810,-177750
280128,392,624,19746,-177660
284480,450,442,20754,-177435
288832,395,520,21798,-177390
293184,387,520,22788,-177300
297472,377,390,23832,-177120
301824,187,416,24912,-177030
306176,100,286,25938,-176940
310528,-31,468,27018,-176805
314816,8,494,28080,-176670
318976,50,468,29088,-176625
323264,126,312,30114,-176445
327552,124,78,31158,-176355
331840,110,312,32148,-176310
336192,114,130,33138,-176175
340480,321,182,34146,-176040
344832,510,-26,35100,-175995
349184,565,130,36072,-175905
353472,391,416,37026,-175815
357824,372,338,37944,-175725
362176,230,364,38934,-175635
366528,300,260,39870,-175590
370816,312,104,40806,-175500
375168,246,208,41796,-175455
379520,354,494,42732,-175365
383872,344,338,43686,-175230
388160,248,256,44658,-175185
392512,270,156,45594,-175140
396864,198,256,46566,-175095
401216,238,390,47502,-175005
405504,81,442,48456,-174915
409792,81,234,49356,-174915
414016,37,0,50292,-174825
418112,-33,364,51138,-174735
422464,150,256,52020,-174780
426752,57,156,52920,-174735
431040,31,260,53766,-174645
435264,-57,156,54630,-174645
439616,17,156,55422,-174645
443840,88,26,56232,-174555
448000,65,156,56988,-174555
452288,105,286,57708,-174555
456640,192,390,58464,-174555
460928,114,286,59166,-174555
465280,256,234,59868,-174555
469632,235,78,60552,-174555
473856,441,338,61182,-174600
478208,439,208,61830,-174555
482560,378,364,62478,-174600
486848,438,286,63126,-174645
491200,269,442,63738,-174645
