time(s),reference current(A),current(A),cart position(m),pendulum angle(rad)
0.006912,0.4,0.078,0.0,-3.14159265
0.010624,0.425,0.0,0.0,-3.14159265
0.014336,0.4,0.0,0.0,-3.14159265
0.018112,0.4,0.0,0.0,-3.14159265
0.021824,0.4,-0.104,0.0,-3.14159265
0.025792,0.4,0.052,0.0,-3.14159265
0.029632,0.4,0.0,0.0,-3.14159265
0.033344,0.4,0.0,0.0,-3.14159265
0.037056,0.4,0.104,0.0,-3.14159265
0.04096,0.4,0.0,0.0,-3.14159265
0.044672,0.4,0.0,0.0,-3.14159265
0.048448,0.426,-0.156,0.0,-3.14159265
0.052416,0.4,-0.026,0.0,-3.14159265
0.05632,0.4,0.026,0.0,-3.14159265
0.060096,0.4,0.26,1.8e-05,-3.14159265
0.064128,0.42,0.234,1.8e-05,-3.14159265
0.068096,0.4,0.286,5.4e-05,-3.14159265
0.072064,0.4,0.312,9e-05,-3.14159265
0.076032,0.4,0.208,0.000126,-3.14159265
0.080128,0.4,0.338,0.00018,-3.14159265
0.084224,0.4,0.234,0.000252,-3.14159265
0.088256,0.483,0.104,0.000306,-3.14159265
0.092352,0.588,0.208,0.000396,-3.14080725184
0.096384,0.488,0.0,0.000486,-3.14080725184
0.100288,0.4,0.234,0.000576,-3.14080725184
0.104448,0.449,0.39,0.000702,-3.14002185367
0.108608,0.4,0.312,0.000846,-3.14002185367
0.112768,0.4,0.208,0.001026,-3.13923645551
0.117056,0.4,0.234,0.001224,-3.13923645551
0.12128,0.4,0.256,0.00144,-3.13845105735
0.125568,0.4,0.364,0.001656,-3.13845105735
0.129792,0.4,0.256,0.001908,-3.13766565919
0.13408,0.4,0.286,0.002142,-3.13688026102
0.138304,0.444,0.286,0.002376,-3.13688026102
0.142528,0.4,0.182,0.002646,-3.13609486286
0.146816,0.4,0.286,0.002898,-3.1353094647
0.15104,0.4,0.468,0.003168,-3.13452406654
0.155328,0.4,0.364,0.003438,-3.13452406654
0.159552,0.4,0.312,0.003726,-3.13373866837
0.163776,0.4,0.416,0.004014,-3.13295327021
0.168064,0.4,0.546,0.004302,-3.13295327021
0.172288,0.4,0.26,0.004608,-3.13138247389
0.176576,0.4,0.442,0.00495,-3.13059707572
0.1808,0.592,0.416,0.005274,-3.13059707572
0.185024,0.719,0.256,0.005598,-3.12981167756
0.189312,0.681,0.52,0.00594,-3.1290262794
0.193536,0.792,0.13,0.006318,-3.12824088124
0.197824,0.668,0.572,0.006696,-3.12745548308
0.202048,0.55,0.338,0.00711,-3.12588468675
0.206272,0.4,0.572,0.00756,-3.12509928859
0.21056,0.6,0.182,0.00801,-3.12431389043
0.214784,0.673,0.208,0.008496,-3.12352849226
0.219072,0.734,0.26,0.009,-3.1227430941
0.223296,0.741,0.624,0.009522,-3.12117229778
0.22752,0.663,0.572,0.01008,-3.12038689961
0.231872,0.739,0.468,0.010656,-3.11881610329
0.236224,0.801,0.546,0.011304,-3.1164599088
0.240512,0.856,0.676,0.011952,-3.11567451064
0.244864,0.758,0.572,0.0126,-3.11488911248
0.249216,0.608,0.494,0.013374,-3.11253291799
0.253568,0.499,0.26,0.014112,-3.11096212166
0.257856,0.579,0.598,0.014868,-3.1101767235
0.262208,0.572,0.65,0.015696,-3.10860592718
0.26656,0.681,0.338,0.016524,-3.10703513085
0.270912,0.62,0.598,0.017406,-3.1038935382
0.2752,0.586,0.39,0.018306,-3.10310814004
0.279552,0.392,0.468,0.019188,-3.10153734371
0.283904,0.45,0.598,0.02016,-3.09918114923
0.288256,0.395,0.494,0.021096,-3.0976103529
0.292544,0.387,0.286,0.022068,-3.09603955658
0.296896,0.377,0.442,0.02304,-3.09368336209
0.301248,0.187,0.182,0.024048,-3.09211256576
0.305536,0.1,0.494,0.025056,-3.09054176944
0.309888,-0.031,0.52,0.026046,-3.08818557495
0.31424,0.008,0.312,0.027072,-3.08661477862
0.3184,0.05,0.39,0.028044,-3.08425858414
0.322624,0.126,0.286,0.029016,-3.08268778781
0.326976,0.124,0.364,0.030006,-3.08111699149
0.331328,0.11,0.338,0.03096,-3.07954619516
0.33568,0.114,0.312,0.03195,-3.07719000067
0.339968,0.321,0.234,0.032868,-3.07640460251
0.34432,0.51,0.026,0.033804,-3.07483380619
0.348544,0.565,0.208,0.034722,-3.07326300986
0.352896,0.391,0.442,0.035622,-3.07169221354
0.357248,0.372,0.416,0.036522,-3.07012141721
0.3616,0.23,0.442,0.03744,-3.06933601905
0.365888,0.3,0.256,0.03834,-3.06776522273
0.37024,0.312,0.416,0.039258,-3.0661944264
0.374592,0.246,0.52,0.040158,-3.06540902824
0.378944,0.354,0.338,0.041058,-3.06383823191
0.383232,0.344,0.442,0.041994,-3.06226743559
0.387584,0.248,0.39,0.042894,-3.06226743559
0.391936,0.27,0.208,0.043812,-3.0599112411
0.396288,0.198,0.512,0.044748,-3.05912584294
0.400576,0.238,0.312,0.045612,-3.05912584294
0.404928,0.081,0.364,0.04653,-3.05755504661
0.409216,0.081,0.364,0.04743,-3.05676964845
0.41344,0.037,0.234,0.048294,-3.05519885213
0.417664,-0.033,0.182,0.04914,-3.05519885213
0.422016,0.15,0.312,0.05004,-3.0536280558
0.426368,0.057,0.364,0.05085,-3.0536280558
0.430592,0.031,0.208,0.05166,-3.0536280558
0.43488,-0.057,0.234,0.05247,-3.05205725948
0.439168,0.017,0.156,0.053244,-3.05205725948
0.443456,0.088,0.234,0.054018,-3.05127186131
0.44768,0.065,0.104,0.05472,-3.05127186131
0.451904,0.105,0.364,0.055422,-3.05127186131
0.456256,0.192,0.13,0.056142,-3.05127186131
0.460608,0.114,0.156,0.05679,-3.05048646315
0.46496,0.256,0.026,0.057456,-3.05127186131
0.469184,0.235,0.26,0.058068,-3.05205725948
0.473536,0.441,0.364,0.058662,-3.05127186131
0.477824,0.439,0.026,0.059292,-3.05205725948
0.482112,0.378,0.546,0.059832,-3.05284265764
