time(us),reference current(mA),current(mA),cart position(um),pendulum angle(mdeg)
6912,400,78,0,-180000
10624,425,0,0,-180000
14336,400,0,0,-180000
18112,400,0,0,-180000
21824,400,-104,0,-180000
25792,400,52,0,-180000
29632,400,0,0,-180000
33344,400,0,0,-180000
37056,400,104,0,-180000
40960,400,0,0,-180000
44672,400,0,0,-180000
48448,426,-156,0,-180000
52416,400,-26,0,-180000
56320,400,26,0,-180000
60096,400,260,18,-180000
64128,420,234,18,-180000
68096,400,286,54,-180000
72064,400,312,90,-180000
76032,400,208,126,-180000
80128,400,338,180,-180000
84224,400,234,252,-180000
88256,483,104,306,-180000
92352,588,208,396,-179955
96384,488,0,486,-179955
100288,400,234,576,-179955
104448,449,390,702,-179910
108608,400,312,846,-179910
112768,400,208,1026,-179865
117056,400,234,1224,-179865
121280,400,256,1440,-179820
125568,400,364,1656,-179820
129792,400,256,1908,-179775
134080,400,286,2142,-179730
138304,444,286,2376,-179730
142528,400,182,2646,-179685
146816,400,286,2898,-179640
151040,400,468,3168,-179595
155328,400,364,3438,-179595
159552,400,312,3726,-179550
163776,400,416,4014,-179505
168064,400,546,4302,-179505
172288,400,260,4608,-179415
176576,400,442,4950,-179370
180800,592,416,5274,-179370
185024,719,256,5598,-179325
189312,681,520,5940,-179280
193536,792,130,6318,-179235
197824,668,572,6696,-179190
202048,550,338,7110,-179100
206272,400,572,7560,-179055
210560,600,182,8010,-179010
214784,673,208,8496,-178965
219072,734,260,9000,-178920
223296,741,624,9522,-178830
227520,663,572,10080,-178785
231872,739,468,10656,-178695
236224,801,546,11304,-178560
240512,856,676,11952,-178515
244864,758,572,12600,-178470
249216,608,494,13374,-178335
253568,499,260,14112,-178245
257856,579,598,14868,-178200
262208,572,650,15696,-178110
266560,681,338,16524,-178020
270912,620,598,17406,-177840
275200,586,390,18306,-177795
279552,392,468,19188,-177705
283904,450,598,20160,-177570
288256,395,494,21096,-177480
292544,387,286,22068,-177390
