time(s),reference current(A),current(A),cart position(m),pendulum angle(rad)
0.006912,0.4,-0.156,0.0,-3.14159265
0.010816,0.425,-0.256,0.0,-3.14159265
0.014784,0.4,0.0,0.0,-3.14159265
0.018496,0.4,0.13,0.0,-3.14159265
0.0224,0.4,0.156,0.0,-3.14159265
0.026304,0.4,0.104,0.0,-3.14159265
0.030208,0.4,0.13,0.0,-3.14159265
0.034112,0.4,-0.182,0.0,-3.14159265
0.03808,0.4,0.234,0.0,-3.14159265
0.041984,0.4,0.156,0.0,-3.14159265
0.045888,0.4,0.026,1.8e-05,-3.14159265
0.049792,0.426,0.234,5.4e-05,-3.14159265
0.05376,0.4,0.182,7.2e-05,-3.14159265
0.057728,0.4,0.442,0.000126,-3.14159265
0.061824,0.4,0.416,0.00018,-3.14159265
0.06592,0.42,0.364,0.000252,-3.14159265
0.069952,0.4,0.286,0.000342,-3.14159265
0.074048,0.4,0.416,0.000432,-3.14080725184
0.07808,0.4,0.078,0.000522,-3.14080725184
0.082112,0.4,0.338,0.000648,-3.14002185367
0.086144,0.4,0.442,0.000774,-3.14002185367
0.09024,0.483,0.13,0.000918,-3.14002185367
0.094272,0.588,0.286,0.001098,-3.13923645551
0.098432,0.488,0.182,0.00126,-3.13845105735
0.102592,0.4,0.512,0.001458,-3.13845105735
0.10688,0.449,-0.026,0.001692,-3.13766565919
0.111104,0.4,0.39,0.001926,-3.13766565919
0.115328,0.4,0.312,0.002196,-3.13609486286
0.119616,0.4,0.442,0.002484,-3.13609486286
0.12384,0.4,0.468,0.002754,-3.13609486286
0.128128,0.4,0.39,0.00306,-3.1353094647
0.132352,0.4,0.546,0.003384,-3.13373866837
0.136576,0.4,0.494,0.003708,-3.13373866837
0.140864,0.444,0.104,0.00405,-3.13295327021
0.145088,0.4,0.39,0.004392,-3.13138247389
0.149376,0.4,0.338,0.004734,-3.13138247389
0.1536,0.4,0.13,0.005094,-3.13138247389
0.157824,0.4,0.286,0.005454,-3.12981167756
0.162112,0.4,0.39,0.00585,-3.1290262794
0.166336,0.4,0.26,0.006228,-3.1290262794
0.170624,0.4,0.572,0.006624,-3.12745548308
0.174848,0.4,0.256,0.007038,-3.12588468675
0.179072,0.4,0.442,0.007452,-3.12588468675
0.18336,0.592,0.286,0.007866,-3.12431389043
0.187584,0.719,0.208,0.008334,-3.1227430941
0.191872,0.681,0.208,0.008748,-3.1227430941
0.196096,0.792,0.286,0.009216,-3.1227430941
0.20032,0.668,0.26,0.009702,-3.11960150145
0.204608,0.55,0.26,0.010206,-3.12038689961
