time(us),reference current(mA),current(mA),cart position(um),pendulum angle(mdeg)
6912,400,-156,0,-180000
10816,425,-256,0,-180000
14784,400,0,0,-180000
18496,400,130,0,-180000
22400,400,156,0,-180000
26304,400,104,0,-180000
30208,400,130,0,-180000
34112,400,-182,0,-180000
38080,400,234,0,-180000
41984,400,156,0,-180000
45888,400,26,18,-180000
49792,426,234,54,-180000
53760,400,182,72,-180000
57728,400,442,126,-180000
61824,400,416,180,-180000
65920,420,364,252,-180000
69952,400,286,342,-180000
74048,400,416,432,-179955
78080,400,78,522,-179955
82112,400,338,648,-179910
86144,400,442,774,-179910
90240,483,130,918,-179910
94272,588,286,1098,-179865
98432,488,182,1260,-179820
102592,400,512,1458,-179820
106880,449,-26,1692,-179775
111104,400,390,1926,-179775
115328,400,312,2196,-179685
119616,400,442,2484,-179685
123840,400,468,2754,-179685
128128,400,390,3060,-179640
132352,400,546,3384,-179550
136576,400,494,3708,-179550
140864,444,104,4050,-179505
145088,400,390,4392,-179415
149376,400,338,4734,-179415
153600,400,130,5094,-179415
157824,400,286,5454,-179325
162112,400,390,5850,-179280
166336,400,260,6228,-179280
170624,400,572,6624,-179190
174848,400,256,7038,-179100
179072,400,442,7452,-179100
183360,592,286,7866,-179010
187584,719,208,8334,-178920
191872,681,208,8748,-178920
196096,792,286,9216,-178920
200320,668,260,9702,-178740
204608,550,260,10206,-178785
208896,400,494,10710,-178740
213248,600,546,11304,-178560
217600,673,546,11916,-178560
221952,734,494,12492,-178515
226240,741,416,13176,-178380
230592,663,650,13860,-178335
234944,739,390,14526,-178245
239232,801,468,15300,-178110
243584,856,512,16056,-178110
247936,758,754,16830,-177975
252288,608,624,17694,-177840
256576,499,260,18576,-177795
260928,579,338,19440,-177705
265280,572,364,20412,-177525
269632,681,676,21402,-177480
273920,620,650,22356,-177390
278272,586,390,23400,-177210
282624,400,182,24462,-177120
286976,450,520,25524,-177030
291264,400,598,26640,-176895
295616,400,494,27756,-176760
299968,400,182,28890,-176670
304256,400,416,30042,-176535
308608,400,338,31194,-176400
312960,400,364,32382,-176265
317312,400,130,33570,-176175
321600,400,156,34740,-176040
325952,400,520,35982,-175950
330304,400,338,37188,-175770
334656,400,442,38412,-175635
338944,400,494,39654,-175590
343296,400,520,40878,-175410
347648,510,234,42138,-175320
352000,565,312,43398,-175185
356288,400,494,44658,-175095
360640,400,494,45918,-174960
364992,400,0,47232,-174870
369152,300,416,48474,-174735
373504,400,520,49788,-174645
377792,400,416,51084,-174555
382144,400,286,52434,-174420
386496,344,234,53784,-174285
390848,248,598,55116,-174195
395136,270,208,56466,-174150
399488,198,286,57816,-174015
403840,238,312,59184,-173880
408192,81,520,60534,-173835
412416,81,234,61830,-173745
416704,37,156,63144,-173565
420928,-33,338,64476,-173520
425280,150,286,65772,-173475
429568,57,0,67068,-173385
433664,31,260,68274,-173340
437952,400,312,69552,-173250
442240,400,312,70794,-173160
446592,400,364,72018,-173160
450944,400,260,73242,-173115
455296,400,338,74484,-172980
459584,400,234,75726,-172935
463936,400,130,76914,-172980
468288,400,208,78138,-172890
472640,400,286,79398,-172755
476928,441,338,80622,-172800
481280,439,442,81828,-172800
485632,400,416,83088,-172710
489920,438,442,84348,-172710
494272,400,468,85590,-172665
498624,400,442,86850,-172665
502976,503,286,88110,-172665
