time(s),reference current(A),current(A),cart position(m),pendulum angle(rad)
0.007744,1.0,-0.026,0.0,-3.14159265
0.011392,1.0,0.208,0.0,-3.14159265
0.015168,1.0,0.104,0.0,-3.14159265
0.018944,1.0,-0.078,0.0,-3.14159265
0.02272,1.0,0.104,0.0,-3.14159265
0.026496,1.0,-0.208,0.0,-3.14159265
0.030336,1.0,0.156,0.0,-3.14159265
0.034112,1.0,0.468,1.8e-05,-3.14159265
0.037952,1.0,0.208,5.4e-05,-3.14080725184
0.041792,1.0,0.39,9e-05,-3.14080725184
0.045632,1.0,0.494,0.000144,-3.14080725184
0.0496,1.0,0.52,0.000234,-3.14080725184
0.053504,1.0,0.468,0.000342,-3.14002185367
0.057408,1.0,0.624,0.000486,-3.14002185367
0.061376,1.0,0.338,0.000684,-3.13923645551
0.06528,1.0,0.468,0.000936,-3.13923645551
0.069248,1.0,0.546,0.001224,-3.13845105735
0.07328,1.0,0.728,0.001584,-3.13766565919
0.077312,1.0,0.65,0.001962,-3.13688026102
0.08128,1.0,0.442,0.002394,-3.13609486286
0.085312,1.0,0.65,0.002862,-3.1353094647
0.089344,1.0,0.572,0.003384,-3.13373866837
0.093376,1.0,0.702,0.003942,-3.13216787205
0.097408,1.0,0.768,0.004554,-3.13138247389
0.101376,1.0,0.468,0.005202,-3.12981167756
0.105536,1.0,0.832,0.00594,-3.12745548308
0.109632,1.0,0.598,0.006714,-3.12667008491
0.113728,1.0,0.676,0.007506,-3.12509928859
0.117888,1.0,0.65,0.008406,-3.12195769594
0.121984,1.0,0.468,0.009306,-3.12038689961
0.12608,1.0,0.78,0.010278,-3.11881610329
0.130304,1.0,0.546,0.011322,-3.11488911248
0.134464,1.0,0.52,0.01242,-3.11331831615
0.138688,1.0,0.702,0.013554,-3.11174751983
0.142912,1.0,0.338,0.014724,-3.10782052901
0.147072,1.0,0.858,0.015984,-3.10546433453
0.151296,1.0,0.598,0.017244,-3.10310814004
0.15552,1.0,0.546,0.018576,-3.10075194555
0.15968,1.0,0.676,0.019962,-3.09525415841
0.163904,1.0,0.806,0.021402,-3.09368336209
0.168064,1.0,0.546,0.02286,-3.0913271676
0.172288,1.0,0.598,0.02439,-3.08740017679
0.176512,1.0,0.676,0.025974,-3.08268778781
0.180672,1.0,0.364,0.027612,-3.08033159332
0.184896,1.0,0.256,0.029286,-3.07797539884
