time(us),reference current(mA),current(mA),cart position(um),pendulum angle(mdeg)
7744,1000,-26,0,-180000
11392,1000,208,0,-180000
15168,1000,104,0,-180000
18944,1000,-78,0,-180000
22720,1000,104,0,-180000
26496,1000,-208,0,-180000
30336,1000,156,0,-180000
34112,1000,468,18,-180000
37952,1000,208,54,-179955
41792,1000,390,90,-179955
45632,1000,494,144,-179955
49600,1000,520,234,-179955
53504,1000,468,342,-179910
57408,1000,624,486,-179910
61376,1000,338,684,-179865
65280,1000,468,936,-179865
69248,1000,546,1224,-179820
73280,1000,728,1584,-179775
77312,1000,650,1962,-179730
81280,1000,442,2394,-179685
85312,1000,650,2862,-179640
89344,1000,572,3384,-179550
93376,1000,702,3942,-179460
97408,1000,768,4554,-179415
101376,1000,468,5202,-179325
105536,1000,832,5940,-179190
109632,1000,598,6714,-179145
113728,1000,676,7506,-179055
117888,1000,650,8406,-178875
121984,1000,468,9306,-178785
126080,1000,780,10278,-178695
130304,1000,546,11322,-178470
134464,1000,520,12420,-178380
138688,1000,702,13554,-178290
142912,1000,338,14724,-178065
147072,1000,858,15984,-177930
151296,1000,598,17244,-177795
155520,1000,546,18576,-177660
159680,1000,676,19962,-177345
163904,1000,806,21402,-177255
168064,1000,546,22860,-177120
172288,1000,598,24390,-176895
176512,1000,676,25974,-176625
180672,1000,364,27612,-176490
184896,1000,256,29286,-176355
189056,1000,858,31014,-176085
193280,1000,728,32832,-175770
197504,1000,520,34650,-175635
201664,1000,520,36522,-175455
205888,1000,728,38502,-175095
210112,1000,858,40500,-174915
214272,1000,754,42534,-174735
218496,1000,780,44658,-174420
222656,1000,728,46818,-174195
226880,1000,884,49032,-173970
231104,1000,780,51282,-173655
235264,1000,650,53604,-173385
239488,1000,768,55980,-173205
243712,1000,676,58392,-172890
247872,1000,806,60858,-172575
252096,1000,624,63360,-172305
256256,1000,780,65916,-172035
260480,-1000,858,68526,-171765
264768,-1000,520,71226,-171495
269056,-1000,286,73908,-171225
273344,-1000,0,76608,-170910
277440,-1000,364,79182,-170685
281728,-1000,-104,81792,-170325
286080,-1000,156,84402,-170190
290368,-1000,-130,86922,-169920
294784,-1000,-130,89370,-169650
299136,-1000,-78,91764,-169425
303424,-1000,-52,94032,-169290
307712,-1000,-338,96192,-169020
312064,-1000,-156,98280,-168885
316416,-1000,-182,100314,-168750
320896,-1000,-260,102222,-168660
325376,-1000,-104,104058,-168480
329792,-1000,-494,105732,-168435
334272,-1000,-156,107316,-168345
338688,-1000,-52,108810,-168255
343104,-1000,-234,110088,-168255
347520,-1000,-286,111294,-168255
352000,-1000,-208,112392,-168255
356416,-1000,-338,113364,-168210
360896,-1000,-572,114174,-168390
365376,-1000,-286,114840,-168435
369792,-1000,-468,115398,-168435
374272,-1000,-234,115794,-168660
378688,-1000,-156,116064,-168795
383168,-1000,-234,116262,-168885
387648,-1000,-156,116334,-169110
392064,-1000,-208,116334,-169335
396544,-1000,-442,116244,-169470
400960,-1000,-312,116064,-169785
405440,-1000,-512,115812,-170010
409920,-1000,-260,115524,-170235
414336,-1000,-234,115146,-170550
418816,-1000,-624,114678,-170865
423232,-1000,-572,114174,-171090
427712,-1000,-598,113580,-171360
432192,-1000,-390,112896,-171720
436608,-1000,-728,112158,-172035
441088,-1000,-312,111348,-172350
445504,-1000,-494,110466,-172845
449984,-1000,-520,109512,-173160
454464,-1000,-650,108486,-173520
458880,-1000,-442,107370,-173970
463360,-1000,-754,106218,-174375
467840,-1000,-768,104940,-174825
472256,-1000,-520,103608,-175275
476736,-1000,-780,102240,-175590
481152,-1000,-312,100782,-176130
485632,-1000,-468,99234,-176670
489984,-1000,-572,97668,-176985
494336,-1000,-650,96030,-177525
498752,-1000,-494,94302,-178020
503104,-1000,-754,92538,-178470
507456,1000,-546,90720,-179055
511744,1000,-442,88830,-179550
516032,1000,-416,86976,-180000
520320,1000,-104,85104,-180405
524608,1000,0,83232,-181125
528640,1000,182,81540,-181485
532864,1000,78,79794,-181890
536960,1000,286,78138,-182385
541184,1000,-52,76518,-182880
545344,1000,0,74970,-183285
549376,1000,234,73530,-183780
553600,1000,234,72108,-184275
557760,1000,0,70812,-184545
561792,1000,208,69606,-185040
566016,1000,208,68436,-185445
570240,1000,390,67428,-185760
574400,1000,256,66474,-186120
578624,1000,312,65574,-186570
582848,1000,256,64872,-186795
587008,1000,364,64260,-187065
591232,1000,260,63702,-187470
595392,1000,364,63324,-187740
599616,1000,0,63054,-187965
603648,1000,-156,62856,-188190
607936,1000,156,62730,-188460
612160,1000,416,62712,-188595
616320,1000,208,62730,-188910
620544,1000,26,62820,-189090
624640,1000,468,63000,-189225
628864,1000,312,63234,-189405
633024,1000,442,63468,-189630
637248,1000,572,63792,-189720
641472,1000,520,64188,-189855
645632,1000,520,64602,-190035
649856,1000,256,65106,-190125
654080,1000,312,65646,-190170
658240,1000,512,66222,-190260
662464,1000,546,66870,-190395
666624,1000,676,67572,-190440
670848,1000,494,68382,-190485
675072,1000,832,69192,-190575
679232,1000,598,70074,-190620
683456,1000,702,71028,-190665
687680,1000,390,72018,-190665
691840,1000,598,73116,-190620
696064,1000,650,74232,-190620
700224,1000,702,75402,-190620
704448,1000,650,76644,-190575
708672,1000,702,77958,-190530
712832,1000,780,79308,-190485
717056,1000,512,80712,-190485
721280,1000,598,82206,-190350
725440,1000,572,83754,-190170
729664,1000,512,85320,-190215
733824,1000,512,86976,-190035
738048,1000,624,88722,-189810
742272,1000,260,90468,-189765
746432,1000,676,92286,-189630
750656,1000,676,94176,-189360
754880,1000,598,96156,-189225
759040,-1000,728,98118,-189090
763328,-1000,364,100206,-188865
767680,-1000,468,102348,-188640
772096,-1000,182,104472,-188460
776448,-1000,208,106614,-188280
780800,-1000,182,108684,-188055
785152,-1000,0,110682,-187875
789376,-1000,-26,112554,-187695
793728,-1000,104,114462,-187425
798144,-1000,-312,116244,-187290
802560,-1000,-78,117990,-187110
806976,-1000,-208,119646,-186930
811392,-1000,-286,121230,-186750
815872,-1000,-104,122688,-186660
820288,-1000,-512,124020,-186435
824768,-1000,-512,125298,-186255
829248,-1000,-338,126396,-186255
833664,-1000,-468,127404,-186120
838144,-1000,-598,128322,-185985
842560,-1000,-260,129006,-185985
847040,-1000,-416,129636,-185895
851520,-1000,-390,130140,-185760
855936,-1000,-130,130464,-185805
860416,-1000,-312,130734,-185805
864832,-1000,-260,130914,-185715
869312,-1000,-512,130950,-185760
873792,-1000,-182,130914,-185805
878208,-1000,-208,130842,-185715
882688,-1000,-338,130644,-185760
887104,-1000,-364,130356,-185895
891584,-1000,-416,130068,-185760
896064,-1000,-520,129726,-185805
900480,-1000,-624,129276,-185985
904960,-1000,-416,128808,-185940
909440,-1000,-768,128268,-185940
913856,-1000,-546,127602,-186120
918336,-1000,-416,126900,-186165
922752,-1000,-520,126144,-186165
927232,-1000,-494,125280,-186300
931712,-1000,-598,124380,-186390
936128,-1000,-780,123408,-186435
940608,-1000,-520,122346,-186615
945024,-1000,-546,121248,-186705
949504,-1000,-806,120060,-186750
953984,-1000,-442,118818,-186930
958400,-1000,-520,117468,-187110
962880,-1000,-806,116136,-187155
967296,-1000,-520,114660,-187290
971776,-1000,-598,113112,-187470
976256,-1000,-546,111546,-187560
980672,-1000,-728,109890,-187695
985152,-1000,-598,108180,-187875
989632,-1000,-546,106344,-188055
994048,-1000,-780,104508,-188235
998528,-1000,-884,102564,-188370
1002944,-1000,-768,100620,-188505
1007488,1000,-624,98478,-188730
1011904,1000,-156,96390,-188910
1016256,1000,-286,94356,-189090
1020672,1000,-156,92232,-189225
1025024,1000,0,90198,-189405
1029184,1000,-78,88290,-189585
1033472,1000,234,86364,-189675
1037760,1000,52,84564,-189765
1041984,1000,234,82764,-189990
1046272,1000,0,81036,-190080
1050368,1000,286,79470,-190125
