time(s),reference current(A),current(A),cart position(m),pendulum angle(rad)
0.007744,1.0,-0.13,0.0,-3.14159265
0.01152,1.0,0.0,0.0,-3.14159265
0.015104,1.0,0.156,0.0,-3.14159265
0.01888,1.0,0.052,0.0,-3.14159265
0.022528,1.0,0.208,0.0,-3.14159265
0.026304,1.0,0.364,1.8e-05,-3.14159265
0.030144,1.0,0.416,5.4e-05,-3.14159265
0.033984,1.0,0.338,0.000144,-3.14080725184
0.037952,1.0,0.442,0.000252,-3.14080725184
0.041856,1.0,0.598,0.000396,-3.14002185367
0.045824,1.0,0.52,0.000594,-3.14002185367
0.049728,1.0,0.442,0.00081,-3.13923645551
0.053696,1.0,0.52,0.00108,-3.13845105735
0.057728,1.0,0.546,0.001404,-3.13845105735
0.061696,1.0,0.598,0.001764,-3.13766565919
0.065728,1.0,0.65,0.00216,-3.13609486286
0.06976,1.0,0.624,0.002664,-3.1353094647
0.073792,1.0,0.832,0.00315,-3.13452406654
0.077824,1.0,0.754,0.003744,-3.13373866837
0.081792,1.0,0.754,0.004338,-3.13138247389
0.085824,1.0,0.754,0.005022,-3.13059707572
0.089856,1.0,0.468,0.005724,-3.1290262794
0.093888,1.0,0.624,0.006462,-3.12667008491
0.09792,1.0,0.624,0.007272,-3.12509928859
0.101952,1.0,0.858,0.008118,-3.12352849226
0.106048,1.0,0.768,0.009036,-3.12117229778
0.110144,1.0,0.624,0.010008,-3.11881610329
0.114368,1.0,0.754,0.011052,-3.1164599088
0.118528,1.0,0.702,0.012132,-3.11410371431
0.122752,1.0,0.624,0.013284,-3.11174751983
0.126976,1.0,0.858,0.014472,-3.10860592718
0.131136,1.0,0.728,0.015714,-3.10624973269
0.13536,1.0,0.624,0.01701,-3.10310814004
0.13952,1.0,0.806,0.018342,-3.10075194555
0.143744,1.0,0.416,0.019764,-3.09682495474
0.147968,1.0,0.728,0.021204,-3.09368336209
0.152128,1.0,0.936,0.022698,-3.0913271676
0.156352,1.0,0.598,0.024264,-3.08740017679
0.160576,1.0,0.572,0.025866,-3.08425858414
0.164736,1.0,0.78,0.027504,-3.08111699149
0.16896,1.0,0.546,0.029232,-3.07719000067
0.17312,1.0,0.676,0.030996,-3.07326300986
0.177344,1.0,0.624,0.032778,-3.06933601905
0.181568,1.0,0.702,0.034668,-3.06540902824
0.185728,1.0,0.572,0.036576,-3.06148203743
0.189952,1.0,0.65,0.03852,-3.05834044478
0.194112,1.0,0.598,0.04059,-3.05284265764
0.198336,1.0,0.78,0.042624,-3.04970106499
0.20256,1.0,0.806,0.044748,-3.04498867601
0.20672,1.0,0.512,0.046944,-3.04027628704
0.210944,1.0,0.702,0.049176,-3.0347784999
0.215168,1.0,0.676,0.05148,-3.03163690725
0.219328,1.0,0.728,0.053802,-3.02613912011
0.223552,1.0,0.702,0.056196,-3.0222121293
0.227712,1.0,0.754,0.058644,-3.015928944
0.231936,1.0,0.442,0.061128,-3.01200195319
0.23616,1.0,0.884,0.063666,-3.00728956421
0.24032,1.0,0.728,0.066258,-3.00257717524
0.244544,1.0,0.754,0.068922,-2.9970793881
0.248768,1.0,0.702,0.071622,-2.99236699913
0.252928,1.0,0.256,0.074376,-2.98608381383
0.257152,1.0,0.512,0.077166,-2.98215682301
0.261312,-1.0,0.702,0.08001,-2.97587363771
0.2656,-1.0,0.624,0.08298,-2.97116124874
0.269888,-1.0,0.52,0.085896,-2.96644885976
0.274176,-1.0,0.156,0.088848,-2.96095107262
0.278464,-1.0,0.0,0.091764,-2.95545328549
0.282624,-1.0,0.026,0.094482,-2.95074089651
0.286784,-1.0,0.052,0.097236,-2.9468139057
0.291008,-1.0,-0.26,0.099882,-2.94288691489
0.29536,-1.0,0.078,0.1026,-2.93660372959
0.299648,-1.0,0.0,0.105192,-2.9342475351
0.303872,-1.0,-0.026,0.107622,-2.93032054429
0.308224,-1.0,-0.026,0.110052,-2.9279643498
0.312576,-1.0,-0.104,0.112428,-2.92325196083
0.317056,-1.0,-0.234,0.114714,-2.9216811645
0.321472,-1.0,-0.13,0.116928,-2.91853957185
0.325952,-1.0,-0.052,0.11898,-2.91618337736
0.330304,-1.0,0.0,0.120942,-2.91461258104
0.334528,-1.0,-0.286,0.122652,-2.91304178471
0.338944,-1.0,-0.442,0.124398,-2.91225638655
0.343424,-1.0,-0.208,0.126018,-2.91068559022
0.347904,-1.0,-0.312,0.127458,-2.91068559022
0.35232,-1.0,-0.338,0.128826,-2.91147098839
0.3568,-1.0,-0.26,0.130068,-2.91068559022
0.361216,-1.0,-0.312,0.131166,-2.91147098839
0.365696,-1.0,-0.364,0.132138,-2.91461258104
0.370176,-1.0,-0.312,0.133002,-2.9153979792
0.374592,-1.0,-0.494,0.133704,-2.91618337736
0.379072,-1.0,-0.182,0.13428,-2.91932497001
0.383488,-1.0,-0.256,0.134676,-2.9216811645
0.387968,-1.0,-0.104,0.135054,-2.92403735899
0.392448,-1.0,-0.052,0.13527,-2.92953514613
0.3968,-1.0,-0.208,0.135378,-2.93189134061
0.401216,-1.0,-0.182,0.135432,-2.93503293326
0.405696,-1.0,-0.39,0.135378,-2.93974532224
0.410176,-1.0,-0.286,0.135234,-2.94524310938
0.414592,-1.0,-0.234,0.135036,-2.94917010019
0.419072,-1.0,-0.286,0.134748,-2.95388248916
0.423488,-1.0,-0.52,0.134352,-2.96173647079
0.427968,-1.0,-0.468,0.133938,-2.9656634616
0.432448,-1.0,-0.442,0.133434,-2.97116124874
0.436864,-1.0,-0.468,0.132804,-2.9782298322
0.441344,-1.0,-0.546,0.132174,-2.9845130175
0.44576,-1.0,-0.726,0.131454,-2.9907962028
0.45024,-1.0,-0.676,0.130626,-2.99786478626
0.45472,-1.0,-0.52,0.129762,-3.00493336973
0.459136,-1.0,-0.806,0.128826,-3.01121655503
0.463616,-1.0,-0.468,0.1278,-3.01985593481
0.468032,-1.0,-0.512,0.126702,-3.02770991644
0.472512,-1.0,-1.024,0.125568,-3.0347784999
0.477056,-1.0,-0.494,0.12429,-3.04341787969
0.481536,-1.0,-0.494,0.122994,-3.05205725948
0.485952,-1.0,-0.39,0.121644,-3.06148203743
0.490432,-1.0,-0.624,0.120186,-3.07090681538
0.494848,-1.0,-0.416,0.118656,-3.08033159332
0.499328,-1.0,-0.768,0.117072,-3.08818557495
0.503808,-1.0,-0.572,0.115416,-3.0976103529
0.508224,1.0,-0.52,0.113688,-3.10860592718
0.51264,1.0,-0.572,0.111942,-3.11724530696
0.516992,1.0,-0.208,0.110178,-3.12431389043
0.521344,1.0,-0.208,0.108396,-3.13373866837
0.525696,1.0,-0.026,0.10665,-3.14473424265
0.529984,1.0,-0.256,0.104994,-3.15337362244
0.5344,1.0,0.256,0.103356,-3.16201300223
0.538688,1.0,0.234,0.101826,-3.17143778018
0.542976,1.0,0.234,0.10035,-3.18007715996
0.547264,1.0,0.078,0.098964,-3.18793114159
0.55136,1.0,0.286,0.097722,-3.19578512321
0.55552,1.0,0.104,0.096516,-3.204424503
0.559744,1.0,0.234,0.095418,-3.21149308646
0.563968,1.0,0.26,0.094392,-3.21856166993
0.568128,1.0,0.182,0.093492,-3.22641565155
0.572352,1.0,0.208,0.092646,-3.23505503134
0.576576,1.0,0.286,0.09198,-3.23898202215
0.580736,1.0,0.442,0.091422,-3.24526520745
0.58496,1.0,0.104,0.090918,-3.25390458724
0.58912,1.0,0.234,0.090594,-3.25861697621
0.593344,1.0,0.312,0.09036,-3.26175856886
0.597568,1.0,-0.026,0.090162,-3.267256356
0.601728,1.0,0.338,0.090072,-3.2735395413
0.605952,1.0,0.234,0.090072,-3.27746653211
0.610176,1.0,0.442,0.090162,-3.28139352293
0.614336,1.0,0.416,0.090288,-3.28767670823
0.61856,1.0,0.468,0.090504,-3.29160369904
0.62272,1.0,0.416,0.090774,-3.29474529169
0.626944,1.0,0.598,0.091044,-3.29945768066
0.631168,1.0,0.39,0.091422,-3.30181387515
0.635328,1.0,0.65,0.0918,-3.30574086596
0.639552,1.0,0.702,0.09225,-3.31045325494
0.643776,1.0,0.624,0.092772,-3.3112386531
0.647936,1.0,0.702,0.093348,-3.31359484759
0.65216,1.0,0.468,0.093942,-3.3175218384
0.65632,1.0,0.338,0.094626,-3.31909263473
0.660544,1.0,0.702,0.0954,-3.32144882921
0.664768,1.0,0.416,0.096174,-3.3238050237
0.668928,1.0,0.364,0.097038,-3.32616121819
0.673152,1.0,0.546,0.097956,-3.32694661635
0.677376,1.0,0.598,0.098946,-3.32851741268
0.681536,1.0,0.416,0.099972,-3.330088209
0.68576,1.0,0.702,0.101088,-3.33087360716
0.690048,1.0,0.624,0.102276,-3.33087360716
0.694336,1.0,0.364,0.103518,-3.33244440349
