time(us),reference current(mA),current(mA),cart position(um),pendulum angle(mdeg)
7744,1000,-130,0,-180000
11520,1000,0,0,-180000
15104,1000,156,0,-180000
18880,1000,52,0,-180000
22528,1000,208,0,-180000
26304,1000,364,18,-180000
30144,1000,416,54,-180000
33984,1000,338,144,-179955
37952,1000,442,252,-179955
41856,1000,598,396,-179910
45824,1000,520,594,-179910
49728,1000,442,810,-179865
53696,1000,520,1080,-179820
57728,1000,546,1404,-179820
61696,1000,598,1764,-179775
65728,1000,650,2160,-179685
69760,1000,624,2664,-179640
73792,1000,832,3150,-179595
77824,1000,754,3744,-179550
81792,1000,754,4338,-179415
85824,1000,754,5022,-179370
89856,1000,468,5724,-179280
93888,1000,624,6462,-179145
97920,1000,624,7272,-179055
101952,1000,858,8118,-178965
106048,1000,768,9036,-178830
110144,1000,624,10008,-178695
114368,1000,754,11052,-178560
118528,1000,702,12132,-178425
122752,1000,624,13284,-178290
126976,1000,858,14472,-178110
131136,1000,728,15714,-177975
135360,1000,624,17010,-177795
139520,1000,806,18342,-177660
143744,1000,416,19764,-177435
147968,1000,728,21204,-177255
152128,1000,936,22698,-177120
156352,1000,598,24264,-176895
160576,1000,572,25866,-176715
164736,1000,780,27504,-176535
168960,1000,546,29232,-176310
173120,1000,676,30996,-176085
177344,1000,624,32778,-175860
181568,1000,702,34668,-175635
185728,1000,572,36576,-175410
189952,1000,650,38520,-175230
194112,1000,598,40590,-174915
198336,1000,780,42624,-174735
202560,1000,806,44748,-174465
206720,1000,512,46944,-174195
210944,1000,702,49176,-173880
215168,1000,676,51480,-173700
219328,1000,728,53802,-173385
223552,1000,702,56196,-173160
227712,1000,754,58644,-172800
231936,1000,442,61128,-172575
236160,1000,884,63666,-172305
240320,1000,728,66258,-172035
244544,1000,754,68922,-171720
248768,1000,702,71622,-171450
252928,1000,256,74376,-171090
257152,1000,512,77166,-170865
261312,-1000,702,80010,-170505
265600,-1000,624,82980,-170235
269888,-1000,520,85896,-169965
274176,-1000,156,88848,-169650
278464,-1000,0,91764,-169335
282624,-1000,26,94482,-169065
