time(s),reference current(A),current(A),cart position(m),pendulum angle(rad)
0.004416,-0.512,0.026,0.00027,0.086393797875
0.008192,-0.598,0.104,0.00027,0.086393797875
0.011968,-1.289,0.0,0.00027,0.0856083997125
0.015808,-1.084,-0.052,0.00027,0.08482300155
0.01984,0.879,-0.052,0.00027,0.08482300155
0.023616,0.136,0.026,0.000234,0.0840376033875
0.027392,0.86,-0.104,0.000234,0.0840376033875
0.031296,0.145,-0.026,0.000216,0.083252205225
0.035136,0.851,0.078,0.000216,0.0824668070625
0.038848,0.845,0.104,0.000216,0.0824668070625
0.042688,0.845,-0.104,0.000216,0.0816814089
0.046592,0.781,-0.208,0.000216,0.0808960107375
0.050496,0.841,-0.052,0.000216,0.0808960107375
0.054336,0.832,0.286,0.000216,0.080110612575
0.058176,0.839,0.416,0.000234,0.080110612575
0.062016,0.833,0.416,0.000252,0.0793252144125
0.065856,0.845,0.208,0.000306,0.07853981625
0.069632,0.851,0.312,0.000378,0.07853981625
0.073472,0.855,0.468,0.000468,0.0777544180875
0.077312,0.797,0.512,0.000576,0.076969019925
0.081152,0.807,0.546,0.00072,0.0761836217625
0.084992,0.817,0.39,0.0009,0.0753982236
0.088768,0.826,0.468,0.001098,0.0753982236
0.092672,0.766,0.52,0.001314,0.073827427275
0.09664,0.781,0.468,0.001566,0.0730420291125
0.100544,0.73,0.624,0.001872,0.0714712327875
0.104512,0.682,0.256,0.002214,0.0699004364625
0.108544,0.58,0.546,0.00261,0.0683296401375
0.112576,0.651,0.26,0.003042,0.067544241975
0.116544,0.582,0.494,0.003492,0.06597344565
0.120576,0.527,0.65,0.003978,0.0636172511625
0.124544,0.544,0.52,0.004536,0.0620464548375
0.128576,0.458,0.416,0.005058,0.05969026035
0.132608,0.476,0.468,0.005634,0.0589048621875
0.136576,0.403,0.546,0.006228,0.0565486677
0.140608,0.407,0.39,0.006858,0.0541924732125
0.144576,0.39,0.364,0.007488,0.0526216768875
0.148608,0.307,0.442,0.0081,0.0494800842375
0.15264,0.269,0.234,0.008784,0.0479092879125
0.156608,0.253,0.494,0.009486,0.045553093425
0.16064,0.212,0.39,0.010116,0.0431968989375
0.164736,0.24,0.256,0.010818,0.0416261026125
0.168832,0.353,0.234,0.011538,0.0400553062875
0.172928,0.12,0.104,0.012186,0.036128315475
0.177024,0.205,0.156,0.012924,0.03455751915
0.181056,0.229,0.208,0.013626,0.032986722825
0.185152,0.024,0.416,0.01431,0.0290597320125
0.189184,0.002,0.338,0.014994,0.0274889356875
0.193088,0.078,0.208,0.01566,0.0251327412
0.19712,0.076,0.312,0.016308,0.023561944875
0.201152,0.0,0.0,0.016956,0.0212057503875
0.204864,0.104,0.182,0.01755,0.0196349540625
0.20896,0.034,0.234,0.018198,0.0164933614125
0.212864,0.031,0.312,0.018792,0.0149225650875
0.216832,0.02,0.234,0.019368,0.0133517687625
0.220736,-0.015,0.286,0.019926,0.010995574275
0.224704,-0.155,0.0,0.020466,0.007853981625
0.228672,0.018,0.078,0.021006,0.0070685834625
0.232512,-0.036,0.286,0.021492,0.0054977871375
0.23648,-0.041,0.104,0.02196,0.0039269908125
0.240512,-0.049,0.13,0.022428,0.001570796325
0.244416,0.041,-0.256,0.022896,0.0
0.248256,-0.068,0.052,0.023292,-0.001570796325
0.252224,-0.083,0.0,0.023652,-0.00314159265
0.256128,0.049,0.052,0.024048,-0.00314159265
0.260032,0.014,0.0,0.024408,-0.0054977871375
0.263872,-0.106,0.0,0.024696,-0.007853981625
0.267904,0.041,0.338,0.025002,-0.007853981625
0.271936,0.077,0.208,0.025272,-0.0086393797875
0.275904,-0.066,0.0,0.025524,-0.0102101761125
0.279872,0.046,0.078,0.025776,-0.010995574275
0.283776,0.138,0.312,0.025992,-0.0117809724375
0.287872,0.07,-0.13,0.026172,-0.0125663706
0.291968,0.136,0.26,0.02637,-0.0125663706
0.296064,0.037,0.338,0.026514,-0.0149225650875
0.300096,0.089,0.182,0.026658,-0.0149225650875
0.304064,0.202,0.13,0.026784,-0.014137166925
0.30816,0.128,0.182,0.026892,-0.01570796325
0.312256,0.083,0.052,0.027036,-0.0164933614125
0.31616,0.228,0.312,0.027126,-0.0164933614125
0.320256,0.223,0.312,0.027198,-0.0164933614125
0.324352,0.173,0.364,0.027288,-0.0164933614125
0.328448,0.217,0.416,0.02736,-0.017278759575
0.332544,0.266,0.208,0.027414,-0.017278759575
0.33664,0.257,0.286,0.02745,-0.017278759575
0.340736,0.257,0.13,0.027486,-0.017278759575
0.344832,0.194,0.104,0.027522,-0.0180641577375
0.348992,0.245,0.0,0.02754,-0.0180641577375
0.353024,0.186,0.208,0.027576,-0.0188495559
0.357184,0.182,0.312,0.027594,-0.0188495559
0.361408,0.183,0.256,0.027612,-0.0188495559
0.365568,0.239,0.338,0.02763,-0.0188495559
0.369728,0.175,0.182,0.027648,-0.0196349540625
0.373952,-0.482,0.0,0.027648,-0.0196349540625
0.378048,-0.484,0.052,0.027648,-0.0196349540625
0.382208,-0.546,0.104,0.027648,-0.020420352225
0.386496,-0.543,0.156,0.027648,-0.020420352225
0.39072,-0.503,0.0,0.027612,-0.020420352225
0.394816,-0.505,0.026,0.027576,-0.020420352225
0.39904,-0.565,0.078,0.02754,-0.0212057503875
0.4032,-0.502,-0.026,0.027522,-0.0212057503875
0.407488,-0.508,0.0,0.027486,-0.0212057503875
0.411584,-0.496,-0.182,0.027486,-0.0212057503875
0.415936,-0.561,-0.104,0.027468,-0.02199114855
0.420288,-0.567,-0.26,0.02745,-0.0227765467125
0.42464,-0.567,-0.26,0.027432,-0.0227765467125
0.428992,-0.582,-0.182,0.027378,-0.0227765467125
0.433344,-0.657,-0.256,0.027288,-0.023561944875
0.437696,-0.618,-0.13,0.027162,-0.023561944875
0.442048,-0.58,-0.338,0.027,-0.023561944875
0.4464,-0.597,-0.312,0.026802,-0.023561944875
0.450752,-0.612,-0.286,0.026568,-0.023561944875
0.455104,-0.565,-0.13,0.026316,-0.023561944875
0.459456,-0.529,-0.182,0.02601,-0.0227765467125
0.463808,-0.546,-0.364,0.025668,-0.0227765467125
0.46816,-0.5,-0.364,0.02529,-0.02199114855
0.472512,-0.459,-0.512,0.024876,-0.0212057503875
0.476864,-0.481,-0.364,0.024408,-0.0212057503875
0.481216,-0.416,-0.286,0.02394,-0.0196349540625
0.485568,-0.455,-0.156,0.023382,-0.0196349540625
0.48992,-0.451,-0.468,0.022824,-0.0188495559
0.494208,-0.374,-0.234,0.022284,-0.017278759575
0.498496,-0.408,-0.234,0.021672,-0.017278759575
0.502784,-0.45,-0.078,0.021078,-0.0164933614125
0.506944,-0.399,-0.286,0.020466,-0.01570796325
0.511232,-0.417,-0.494,0.0198,-0.0149225650875
0.515456,-0.398,-0.416,0.019152,-0.0133517687625
0.519744,-0.369,-0.234,0.018432,-0.0125663706
0.524032,-0.296,-0.208,0.01773,-0.010995574275
0.528256,-0.252,-0.26,0.016974,-0.00942477795
0.532544,-0.302,-0.39,0.016236,-0.00942477795
0.536768,-0.359,-0.39,0.01548,-0.0086393797875
0.541056,-0.25,-0.494,0.014688,-0.0062831853
0.545344,-0.292,-0.286,0.013914,-0.0054977871375
0.549568,-0.294,-0.104,0.013104,-0.0039269908125
0.553856,-0.168,-0.156,0.012312,-0.0023561944875
0.558144,-0.126,-0.156,0.011466,-0.0007853981625
0.562304,-0.199,-0.39,0.010692,0.0
0.566336,-0.125,-0.442,0.009918,0.001570796325
0.570304,-0.193,-0.182,0.009108,0.0023561944875
0.5744,-0.161,-0.104,0.008352,0.0039269908125
0.578496,-0.112,-0.026,0.007542,0.0062831853
0.582528,-0.097,-0.104,0.00675,0.0070685834625
0.586496,-0.188,-0.286,0.006012,0.0070685834625
0.590592,-0.154,-0.416,0.005202,0.0086393797875
0.594688,-0.064,-0.156,0.004428,0.010995574275
0.59872,-0.174,-0.39,0.003654,0.0117809724375
0.602816,-0.107,-0.052,0.00288,0.0133517687625
0.606784,-0.02,-0.104,0.002142,0.014137166925
0.610816,-0.088,-0.39,0.001386,0.0149225650875
0.614784,-0.06,-0.104,0.000648,0.017278759575
0.618752,-0.037,0.0,-5.4e-05,0.0180641577375
0.622464,-0.137,-0.416,-0.00072,0.0180641577375
0.626688,-0.107,-0.156,-0.001458,0.0196349540625
0.630912,-0.042,-0.156,-0.002196,0.0212057503875
0.635136,-0.07,-0.156,-0.002898,0.0227765467125
0.639296,-0.056,-0.13,-0.003582,0.023561944875
0.643456,0.066,-0.286,-0.004266,0.0251327412
0.647552,-0.02,-0.364,-0.004896,0.0251327412
0.651712,-0.012,0.026,-0.005526,0.026703537525
0.655744,-0.071,-0.156,-0.006174,0.0274889356875
0.659904,-0.035,-0.104,-0.00675,0.02827433385
0.664128,-0.025,-0.104,-0.007326,0.029845130175
