time(us),reference current(mA),current(mA),cart position(um),pendulum angle(mdeg)
7680,0,0,0,-180000
11008,94,0,0,-180000
14592,164,0,0,-180000
18240,266,130,0,-180000
22016,360,234,18,-179955
25920,454,338,54,-179955
29824,533,416,126,-179955
33792,619,520,252,-179955
37824,713,572,432,-179910
41792,807,650,702,-179865
45760,894,754,1080,-179820
49856,1003,858,1566,-179775
54016,1105,1014,2160,-179685
58240,1184,1040,2952,-179550
62464,1286,1118,3816,-179415
66688,1356,1196,4878,-179280
70912,1443,1404,6102,-179145
75200,1529,1430,7506,-178965
79424,1584,1378,9144,-178695
83648,1647,1664,10944,-178470
87936,1709,1534,13014,-178155
92288,1772,1638,15372,-177885
96640,1811,1664,17892,-177615
100928,1874,1768,20664,-177255
105344,1905,1664,23850,-176805
109760,1937,1924,27216,-176355
114176,1960,1924,30906,-175950
118592,1976,1846,34884,-175320
123008,1992,1742,39150,-174825
127424,2000,1820,43740,-174285
131840,1992,1716,48564,-173700
136256,1984,1560,53730,-172980
140672,1968,1586,59148,-172350
145088,1945,1586,64800,-171630
149504,1913,1508,70704,-170730
153920,1874,1274,76734,-170145
158336,1827,1170,82998,-169155
162752,1780,1274,89406,-168435
167168,1709,1118,95922,-167760
171584,1647,936,102600,-166905
176000,1576,1092,109350,-165960
180544,1498,806,116316,-165150
184960,1396,936,123246,-164475
189376,1301,512,130248,-163620
193792,1223,858,137304,-162720
198208,1105,598,144396,-161955
202624,1027,702,151524,-161100
207040,870,520,158670,-160290
211392,784,572,165672,-159525
215680,666,546,172674,-158580
220032,556,390,179676,-157950
224384,431,520,186624,-157185
228672,313,234,193590,-156420
233024,164,442,200484,-155655
237376,47,26,207324,-154980
241536,-70,182,213858,-154170
245824,-164,26,220536,-153585
250176,-313,-234,227124,-152910
254720,-431,-182,233802,-152280
259200,-580,-390,240300,-151650
263680,-690,-598,246636,-150930
268224,-831,-494,252702,-150525
272704,-941,-624,258552,-149895
277184,-1066,-910,264132,-149535
281792,-1168,-1118,269514,-149085
286464,-1286,-1170,274662,-148680
291136,-1396,-1300,279450,-148365
295808,-1474,-1352,283860,-148050
300480,-1576,-1378,287892,-147915
305152,-1662,-1326,291510,-147735
309824,-1725,-1664,294678,-147690
314496,-1796,-1664,297414,-147600
319232,-1858,-1612,299700,-147645
323904,-1898,-1742,301536,-147780
328576,-1945,-1792,302904,-147960
333248,-1968,-1872,303732,-148185
337920,-1992,-1768,304164,-148500
342592,-1992,-1742,304092,-148905
347264,-1992,-1872,303588,-149310
351936,-1976,-1872,302652,-149895
356608,-1960,-1950,301320,-150435
361280,-1913,-1846,299556,-150975
365952,-1874,-1820,297450,-151695
370624,-1827,-1664,294966,-152370
375296,-1756,-1820,292140,-153180
379968,-1670,-1430,288936,-154080
384640,-1600,-1690,285462,-154890
389312,-1513,-1690,281682,-156015
393984,-1396,-1456,277614,-156870
398656,-1301,-1248,273312,-157860
403328,-1168,-1144,268758,-158895
408000,-1043,-1014,264006,-160065
412736,-917,-936,259056,-161145
417216,-784,-780,254142,-162495
421696,-666,-676,249084,-163440
