time(s),reference current(A),current(A),cart position(m),pendulum angle(rad)
0.00768,0.0,0.0,0.0,-3.14159265
0.011008,0.094,0.0,0.0,-3.14159265
0.014592,0.164,0.0,0.0,-3.14159265
0.01824,0.266,0.13,0.0,-3.14159265
0.022016,0.36,0.234,1.8e-05,-3.14080725184
0.02592,0.454,0.338,5.4e-05,-3.14080725184
0.029824,0.533,0.416,0.000126,-3.14080725184
0.033792,0.619,0.52,0.000252,-3.14080725184
0.037824,0.713,0.572,0.000432,-3.14002185367
0.041792,0.807,0.65,0.000702,-3.13923645551
0.04576,0.894,0.754,0.00108,-3.13845105735
0.049856,1.003,0.858,0.001566,-3.13766565919
0.054016,1.105,1.014,0.00216,-3.13609486286
0.05824,1.184,1.04,0.002952,-3.13373866837
0.062464,1.286,1.118,0.003816,-3.13138247389
0.066688,1.356,1.196,0.004878,-3.1290262794
0.070912,1.443,1.404,0.006102,-3.12667008491
0.0752,1.529,1.43,0.007506,-3.12352849226
0.079424,1.584,1.378,0.009144,-3.11881610329
0.083648,1.647,1.664,0.010944,-3.11488911248
0.087936,1.709,1.534,0.013014,-3.10939132534
0.092288,1.772,1.638,0.015372,-3.10467893636
0.09664,1.811,1.664,0.017892,-3.09996654739
0.100928,1.874,1.768,0.020664,-3.09368336209
0.105344,1.905,1.664,0.02385,-3.08582938046
0.10976,1.937,1.924,0.027216,-3.07797539884
0.114176,1.96,1.924,0.030906,-3.07090681538
0.118592,1.976,1.846,0.034884,-3.0599112411
0.123008,1.992,1.742,0.03915,-3.05127186131
0.127424,2.0,1.82,0.04374,-3.04184708336
0.13184,1.992,1.716,0.048564,-3.03163690725
0.136256,1.984,1.56,0.05373,-3.01907053665
0.140672,1.968,1.586,0.059148,-3.00807496238
0.145088,1.945,1.586,0.0648,-2.99550859178
0.149504,1.913,1.508,0.070704,-2.97980062853
0.15392,1.874,1.274,0.076734,-2.96959045241
0.158336,1.827,1.17,0.082998,-2.95231169284
0.162752,1.78,1.274,0.089406,-2.93974532224
0.167168,1.709,1.118,0.095922,-2.9279643498
0.171584,1.647,0.936,0.1026,-2.91304178471
0.176,1.576,1.092,0.10935,-2.8965484233
0.180544,1.498,0.806,0.116316,-2.88241125638
0.18496,1.396,0.936,0.123246,-2.87063028394
0.189376,1.301,0.512,0.130248,-2.85570771885
0.193792,1.223,0.858,0.137304,-2.8399997556
0.198208,1.105,0.598,0.144396,-2.82664798684
0.202624,1.027,0.702,0.151524,-2.81172542175
0.20704,0.87,0.52,0.15867,-2.79758825482
0.211392,0.784,0.572,0.165672,-2.78423648606
0.21568,0.666,0.546,0.172674,-2.76774312465
0.220032,0.556,0.39,0.179676,-2.75674755038
0.224384,0.431,0.52,0.186624,-2.74339578161
0.228672,0.313,0.234,0.19359,-2.73004401285
0.233024,0.164,0.442,0.200484,-2.71669224409
0.237376,0.047,0.026,0.207324,-2.70491127165
0.241536,-0.07,0.182,0.213858,-2.69077410473
