time(us),reference current(mA),current(mA),cart position(um),pendulum angle(mdeg)
7680,0,-26,0,-180000
11200,94,0,0,-180000
14784,164,26,0,-180000
18496,266,78,0,-180000
22208,360,260,18,-180000
26112,454,312,54,-180000
30016,556,442,126,-180000
33984,643,520,252,-180000
37952,737,598,450,-179955
41984,831,728,720,-179910
45952,941,780,1062,-179865
49984,1027,884,1512,-179820
54144,1105,962,2106,-179685
58304,1184,1014,2826,-179595
62528,1286,1196,3726,-179505
66752,1356,1222,4770,-179370
71040,1443,1222,5994,-179190
75264,1529,1300,7434,-179010
79488,1584,1560,9036,-178830
83712,1647,1430,10836,-178605
88064,1709,1534,12960,-178335
92352,1772,1536,15300,-177930
96704,1811,1612,17838,-177705
100992,1874,1638,20718,-177300
105408,1905,1898,23886,-176850
109824,1937,1536,27324,-176355
114304,1960,1742,31050,-175950
118720,1976,1872,35118,-175365
123136,1992,2002,39456,-174870
127552,2000,2028,44064,-174285
131968,1992,1872,48996,-173655
136384,1984,1742,54198,-173025
140800,1968,1560,59634,-172350
145216,1945,1430,65340,-171450
149632,1913,1352,71208,-170865
154048,1874,1430,77310,-170145
158464,1827,1326,83592,-169335
162880,1780,1040,90000,-168525
167296,1709,1170,96552,-167760
171712,1647,1014,103248,-166770
176192,1576,910,110178,-165915
180608,1498,988,117036,-165240
185024,1396,754,123984,-164385
189440,1301,910,130986,-163575
193856,1223,598,138042,-162765
198272,1105,806,145152,-161910
202688,1027,546,152280,-161100
207104,870,702,159408,-160290
211456,784,442,166446,-159480
215808,666,520,173466,-158625
220096,556,442,180450,-157950
224448,431,416,187434,-157140
228800,313,468,194382,-156330
233088,164,260,201276,-155655
237440,47,286,208116,-154935
241664,-70,0,214794,-154170
245888,-164,52,221238,-153585
250176,-313,-26,227808,-152955
254592,-431,-512,234414,-152280
259136,-580,-286,240948,-151560
263616,-690,-442,247266,-151110
268096,-831,-754,253404,-150390
272640,-941,-806,259254,-149985
277120,-1066,-754,264834,-149535
281728,-1168,-806,270234,-148995
286336,-1286,-858,275328,-148680
290880,-1372,-1024,280062,-148455
295552,-1474,-1280,284508,-148050
300224,-1576,-1536,288576,-147915
304896,-1647,-1586,292230,-147780
309568,-1725,-1638,295452,-147645
314304,-1796,-1638,298224,-147600
318976,-1858,-1664,300582,-147645
323648,-1898,-1664,302364,-147735
328320,-1945,-1742,303822,-147870
332992,-1968,-1794,304704,-148230
337664,-1984,-1846,305136,-148500
342336,-1992,-1820,305118,-148815
347008,-1992,-2002,304596,-149265
351680,-1984,-1924,303786,-149715
356352,-1960,-2048,302472,-150300
361024,-1913,-1846,300834,-150930
365696,-1882,-2002,298782,-151605
370368,-1827,-1638,296424,-152325
375040,-1756,-1924,293688,-153045
379712,-1686,-1638,290610,-153945
384384,-1600,-1456,287208,-154845
389056,-1513,-1664,283536,-155835
393728,-1411,-1612,279576,-156870
398400,-1301,-1404,275328,-157860
