time(s),reference current(A),current(A),cart position(m),pendulum angle(rad)
0.00768,0.0,-0.026,0.0,-3.14159265
0.0112,0.094,0.0,0.0,-3.14159265
0.014784,0.164,0.026,0.0,-3.14159265
0.018496,0.266,0.078,0.0,-3.14159265
0.022208,0.36,0.26,1.8e-05,-3.14159265
0.026112,0.454,0.312,5.4e-05,-3.14159265
0.030016,0.556,0.442,0.000126,-3.14159265
0.033984,0.643,0.52,0.000252,-3.14159265
0.037952,0.737,0.598,0.00045,-3.14080725184
0.041984,0.831,0.728,0.00072,-3.14002185367
0.045952,0.941,0.78,0.001062,-3.13923645551
0.049984,1.027,0.884,0.001512,-3.13845105735
0.054144,1.105,0.962,0.002106,-3.13609486286
0.058304,1.184,1.014,0.002826,-3.13452406654
0.062528,1.286,1.196,0.003726,-3.13295327021
0.066752,1.356,1.222,0.00477,-3.13059707572
0.07104,1.443,1.222,0.005994,-3.12745548308
0.075264,1.529,1.3,0.007434,-3.12431389043
0.079488,1.584,1.56,0.009036,-3.12117229778
0.083712,1.647,1.43,0.010836,-3.11724530696
0.088064,1.709,1.534,0.01296,-3.11253291799
0.092352,1.772,1.536,0.0153,-3.10546433453
0.096704,1.811,1.612,0.017838,-3.10153734371
0.100992,1.874,1.638,0.020718,-3.09446876025
0.105408,1.905,1.898,0.023886,-3.08661477862
0.109824,1.937,1.536,0.027324,-3.07797539884
0.114304,1.96,1.742,0.03105,-3.07090681538
0.11872,1.976,1.872,0.035118,-3.06069663926
0.123136,1.992,2.002,0.039456,-3.05205725948
0.127552,2.0,2.028,0.044064,-3.04184708336
0.131968,1.992,1.872,0.048996,-3.03085150909
0.136384,1.984,1.742,0.054198,-3.01985593481
0.1408,1.968,1.56,0.059634,-3.00807496238
0.145216,1.945,1.43,0.06534,-2.99236699913
0.149632,1.913,1.352,0.071208,-2.98215682301
0.154048,1.874,1.43,0.07731,-2.96959045241
0.158464,1.827,1.326,0.083592,-2.95545328549
0.16288,1.78,1.04,0.09,-2.94131611856
0.167296,1.709,1.17,0.096552,-2.9279643498
0.171712,1.647,1.014,0.103248,-2.91068559022
0.176192,1.576,0.91,0.110178,-2.89576302514
0.180608,1.498,0.988,0.117036,-2.8839820527
0.185024,1.396,0.754,0.123984,-2.86905948761
0.18944,1.301,0.91,0.130986,-2.85492232069
0.193856,1.223,0.598,0.138042,-2.84078515376
0.198272,1.105,0.806,0.145152,-2.82586258868
0.202688,1.027,0.546,0.15228,-2.81172542175
0.207104,0.87,0.702,0.159408,-2.79758825482
0.211456,0.784,0.442,0.166446,-2.7834510879
0.215808,0.666,0.52,0.173466,-2.76852852281
0.220096,0.556,0.442,0.18045,-2.75674755038
0.224448,0.431,0.416,0.187434,-2.74261038345
0.2288,0.313,0.468,0.194382,-2.72847321653
0.233088,0.164,0.26,0.201276,-2.71669224409
0.23744,0.047,0.286,0.208116,-2.70412587349
0.241664,-0.07,0.0,0.214794,-2.69077410473
0.245888,-0.164,0.052,0.221238,-2.68056392861
0.250176,-0.313,-0.026,0.227808,-2.66956835434
0.254592,-0.431,-0.512,0.234414,-2.6577873819
0.259136,-0.58,-0.286,0.240948,-2.6452210113
0.263616,-0.69,-0.442,0.247266,-2.63736702968
0.268096,-0.831,-0.754,0.253404,-2.62480065907
0.27264,-0.941,-0.806,0.259254,-2.61773207561
0.27712,-1.066,-0.754,0.264834,-2.60987809399
0.281728,-1.168,-0.806,0.270234,-2.60045331604
0.286336,-1.286,-0.858,0.275328,-2.5949555289
0.29088,-1.372,-1.024,0.280062,-2.59102853809
0.295552,-1.474,-1.28,0.284508,-2.58395995463
0.300224,-1.576,-1.536,0.288576,-2.58160376014
0.304896,-1.647,-1.586,0.29223,-2.57924756565
0.309568,-1.725,-1.638,0.295452,-2.57689137116
0.314304,-1.796,-1.638,0.298224,-2.576105973
0.318976,-1.858,-1.664,0.300582,-2.57689137116
0.323648,-1.898,-1.664,0.302364,-2.57846216749
0.32832,-1.945,-1.742,0.303822,-2.58081836198
0.332992,-1.968,-1.794,0.304704,-2.58710154728
0.337664,-1.984,-1.846,0.305136,-2.59181393625
0.342336,-1.992,-1.82,0.305118,-2.59731172339
0.347008,-1.992,-2.002,0.304596,-2.60516570501
0.35168,-1.984,-1.924,0.303786,-2.61301968664
0.356352,-1.96,-2.048,0.302472,-2.62322986275
0.361024,-1.913,-1.846,0.300834,-2.63422543703
0.365696,-1.882,-2.002,0.298782,-2.64600640946
0.370368,-1.827,-1.638,0.296424,-2.65857278006
0.37504,-1.756,-1.924,0.293688,-2.67113915066
0.379712,-1.686,-1.638,0.29061,-2.68684711391
0.384384,-1.6,-1.456,0.287208,-2.70255507716
0.389056,-1.513,-1.664,0.283536,-2.71983383674
0.393728,-1.411,-1.612,0.279576,-2.73789799447
0.3984,-1.301,-1.404,0.275328,-2.75517675405
0.403072,-1.168,-1.196,0.270864,-2.7708847173
0.407808,-1.066,-1.092,0.266184,-2.79051967136
0.41248,-0.917,-1.014,0.261324,-2.80936922726
0.417024,-0.784,-0.936,0.256356,-2.82900418133
0.421568,-0.666,-0.78,0.251352,-2.85335152436
0.426048,-0.501,-0.676,0.246258,-2.86905948761
0.430528,-0.36,-0.572,0.24111,-2.88869444168
0.435072,-0.219,-0.416,0.235854,-2.91382718287
0.439552,-0.094,-0.39,0.230634,-2.93032054429
0.443968,0.07,-0.156,0.22554,-2.95074089651
0.44832,0.188,0.026,0.220554,-2.97116124874
0.452544,0.337,0.104,0.215766,-2.99393779545
0.456896,0.454,0.26,0.210996,-3.0096457587
0.461248,0.619,0.364,0.206316,-3.03006611093
0.465536,0.737,0.52,0.201816,-3.04970106499
0.469888,0.87,0.624,0.197514,-3.06855062089
0.47424,1.027,0.78,0.193392,-3.08661477862
0.478656,1.129,0.962,0.18945,-3.1038935382
0.483072,1.262,1.04,0.18576,-3.12431389043
0.487552,1.356,1.118,0.182322,-3.14237804816
0.492096,1.474,1.326,0.179208,-3.15572981693
0.496576,1.576,1.3,0.176454,-3.1730085765
0.501056,1.662,1.534,0.174096,-3.18871653975
0.5056,1.733,1.352,0.172098,-3.20285370668
0.51008,1.811,1.56,0.170514,-3.21306388279
0.51456,1.858,1.664,0.16938,-3.2232740589
0.519104,1.913,1.768,0.168678,-3.2358404295
0.523584,1.952,1.768,0.168372,-3.24683600377
0.528064,1.984,1.716,0.168534,-3.25311918907
0.532608,1.992,1.82,0.169056,-3.26254396703
0.537088,1.992,1.872,0.169902,-3.27039794865
0.541568,1.984,1.846,0.171216,-3.27432493946
0.546112,1.96,1.924,0.172818,-3.28139352293
0.550592,1.929,1.768,0.17478,-3.28689131006
0.555136,1.882,1.976,0.177138,-3.28767670823
0.559616,1.827,1.716,0.179748,-3.29160369904
0.564096,1.756,1.82,0.182682,-3.29553068985
0.56864,1.686,1.536,0.185958,-3.29395989353
0.57312,1.576,1.534,0.189468,-3.29553068985
0.5776,1.498,1.534,0.19323,-3.29710148618
0.582144,1.356,1.534,0.197298,-3.29317449536
0.586624,1.262,1.456,0.201564,-3.29317449536
0.591104,1.129,1.248,0.205992,-3.29317449536
0.595648,1.003,1.118,0.210672,-3.28924750455
0.600128,0.831,0.962,0.215478,-3.2861059119
0.60448,0.713,0.78,0.220176,-3.28532051374
0.608832,0.58,0.512,0.225036,-3.28060812476
0.61312,0.407,0.512,0.229932,-3.27746653211
0.617472,0.266,0.256,0.234792,-3.27511033763
0.621824,0.117,0.256,0.239742,-3.27118334681
0.626112,-0.07,0.0,0.24462,-3.267256356
0.630272,-0.188,-0.026,0.249246,-3.26490016151
0.634752,-0.337,-0.193,0.254106,-3.25940237438
0.639232,-0.533,-0.442,0.258912,-3.25704617989
0.643712,-0.666,-0.546,0.263538,-3.2546899854
0.648256,-0.831,-0.676,0.267984,-3.25233379091
0.652736,-0.941,-0.858,0.272214,-3.24997759642
0.657216,-1.105,-0.91,0.276192,-3.2484068001
0.661824,-1.223,-0.832,0.279954,-3.24762140194
0.666432,-1.356,-1.092,0.283392,-3.24605060561
0.671104,-1.498,-1.352,0.286596,-3.24762140194
0.675776,-1.584,-1.3,0.289368,-3.2484068001
0.680448,-1.686,-1.482,0.291744,-3.24997759642
