time(us),reference current(mA),current(mA),cart position(um),pendulum angle(mdeg)
7680,0,26,0,-180000
11136,94,0,0,-180000
14656,164,0,0,-180000
18304,266,104,0,-180000
22144,360,234,36,-180000
26048,454,364,72,-180000
29952,556,442,144,-180000
33920,643,512,270,-179955
37888,713,624,468,-179910
41856,807,624,756,-179910
45824,894,780,1134,-179820
49920,1027,768,1620,-179775
54080,1105,1040,2232,-179730
58304,1184,988,3006,-179595
62464,1286,1144,3906,-179460
66688,1356,1222,4968,-179325
70912,1443,1222,6210,-179100
75200,1529,1456,7650,-178965
79424,1584,1404,9252,-178785
83648,1647,1404,11106,-178515
88000,1709,1638,13230,-178200
92288,1772,1586,15516,-178020
96640,1811,1742,18090,-177615
100928,1874,1638,20952,-177165
105344,1905,1716,24048,-176850
109760,1937,1924,27504,-176310
114176,1960,1846,31248,-175860
118592,1976,1716,35226,-175410
123008,1992,1820,39546,-174870
127424,2000,1846,44154,-174195
131840,1992,1742,49050,-173655
136256,1984,1638,54216,-172980
140672,1968,1430,59670,-172260
145088,1945,1534,65358,-171495
149504,1913,1534,71208,-170865
153920,1874,1352,77328,-170055
158336,1827,1196,83574,-169335
162752,1780,1170,89964,-168570
167168,1709,1118,96552,-167625
171584,1647,936,103212,-166770
176000,1576,1014,109980,-166095
180544,1498,884,116982,-165195
184960,1396,936,123912,-164385
189376,1301,728,130914,-163575
193792,1223,754,137970,-162765
198208,1105,650,145062,-161910
202624,1027,650,152190,-161100
207040,870,512,159336,-160290
211392,784,494,166338,-159480
215680,666,598,173376,-158670
220032,556,364,180360,-157905
224384,431,546,187344,-157095
228672,313,234,194274,-156375
233024,164,256,201186,-155655
237376,47,130,208044,-154890
241600,-70,130,214668,-154260
245952,-188,78,221364,-153450
250304,-313,-208,227970,-152730
254784,-431,-156,234666,-152235
259264,-580,-338,241182,-151650
263808,-690,-624,247500,-151020
268288,-831,-546,253602,-150435
272768,-941,-572,259452,-149940
277312,-1066,-780,265032,-149490
281920,-1184,-1066,270432,-149040
286592,-1286,-1222,275562,-148680
291264,-1396,-1326,280386,-148365
295936,-1498,-1404,284796,-148095
300608,-1576,-1430,288810,-147915
305280,-1662,-1536,292428,-147690
309952,-1749,-1792,295632,-147600
314624,-1796,-1612,298332,-147600
319296,-1858,-1742,300636,-147645
323968,-1913,-1638,302472,-147735
328640,-1945,-1768,303840,-147915
333312,-1968,-1924,304686,-148185
337984,-1992,-1872,305100,-148455
342656,-1992,-1742,305028,-148860
347328,-1992,-1846,304524,-149265
352000,-1976,-1872,303588,-149760
356672,-1960,-1924,302256,-150345
361344,-1913,-1846,300510,-150975
366016,-1874,-1872,298440,-151740
370752,-1827,-1742,295938,-152370
375424,-1756,-1872,293148,-153270
380096,-1670,-1404,289962,-153990
384768,-1600,-1560,286524,-155070
389440,-1513,-1690,282762,-155835
394112,-1396,-1508,278730,-156780
398784,-1301,-1274,274410,-157860
403456,-1168,-1144,269874,-158895
408128,-1043,-1014,265140,-159975
412800,-917,-884,260208,-161145
417280,-784,-780,255294,-162270
421824,-666,-676,250254,-163395
426304,-501,-650,245106,-164745
430848,-360,-520,239886,-165690
435328,-219,-468,234612,-166905
439808,-94,-390,229338,-168120
444224,70,-208,224208,-169245
448576,188,-26,219204,-170595
452928,360,130,214272,-171585
457216,478,260,209448,-172665
461568,619,256,204768,-173790
465920,784,494,200214,-174915
470272,894,650,195894,-175995
474560,1027,858,191772,-177030
478976,1145,936,187812,-178065
483392,1262,1040,184140,-179280
487936,1372,1144,180720,-180000
492416,1474,1352,177588,-181125
496896,1576,1326,174852,-182025
501440,1662,1534,172476,-182790
505920,1756,1352,170496,-183510
510400,1811,1586,168894,-184275
514944,1882,1690,167778,-184905
519424,1913,1742,167022,-185625
523904,1952,1768,166770,-186120
528448,1984,1872,166878,-186570
532928,1992,1898,167346,-187200
537472,1992,1846,168210,-187515
541952,1984,1872,169470,-187740
546432,1960,1792,171036,-188235
550976,1921,1664,172980,-188505
555456,1882,1924,175302,-188550
559936,1811,1690,177876,-188820
564480,1756,1820,180792,-188955
568960,1662,1586,184068,-188910
