time(s),reference current(A),current(A),cart position(m),pendulum angle(rad)
0.00768,0.0,0.026,0.0,-3.14159265
0.011136,0.094,0.0,0.0,-3.14159265
0.014656,0.164,0.0,0.0,-3.14159265
0.018304,0.266,0.104,0.0,-3.14159265
0.022144,0.36,0.234,3.6e-05,-3.14159265
0.026048,0.454,0.364,7.2e-05,-3.14159265
0.029952,0.556,0.442,0.000144,-3.14159265
0.03392,0.643,0.512,0.00027,-3.14080725184
0.037888,0.713,0.624,0.000468,-3.14002185367
0.041856,0.807,0.624,0.000756,-3.14002185367
0.045824,0.894,0.78,0.001134,-3.13845105735
0.04992,1.027,0.768,0.00162,-3.13766565919
0.05408,1.105,1.04,0.002232,-3.13688026102
0.058304,1.184,0.988,0.003006,-3.13452406654
0.062464,1.286,1.144,0.003906,-3.13216787205
0.066688,1.356,1.222,0.004968,-3.12981167756
0.070912,1.443,1.222,0.00621,-3.12588468675
0.0752,1.529,1.456,0.00765,-3.12352849226
0.079424,1.584,1.404,0.009252,-3.12038689961
0.083648,1.647,1.404,0.011106,-3.11567451064
0.088,1.709,1.638,0.01323,-3.1101767235
0.092288,1.772,1.586,0.015516,-3.10703513085
0.09664,1.811,1.742,0.01809,-3.09996654739
0.100928,1.874,1.638,0.020952,-3.09211256576
0.105344,1.905,1.716,0.024048,-3.08661477862
0.10976,1.937,1.924,0.027504,-3.07719000067
0.114176,1.96,1.846,0.031248,-3.06933601905
0.118592,1.976,1.716,0.035226,-3.06148203743
0.123008,1.992,1.82,0.039546,-3.05205725948
0.127424,2.0,1.846,0.044154,-3.04027628704
0.13184,1.992,1.742,0.04905,-3.03085150909
0.136256,1.984,1.638,0.054216,-3.01907053665
0.140672,1.968,1.43,0.05967,-3.00650416605
0.145088,1.945,1.534,0.065358,-2.99315239729
0.149504,1.913,1.534,0.071208,-2.98215682301
0.15392,1.874,1.352,0.077328,-2.96801965609
0.158336,1.827,1.196,0.083574,-2.95545328549
0.162752,1.78,1.17,0.089964,-2.94210151673
0.167168,1.709,1.118,0.096552,-2.92560815531
0.171584,1.647,0.936,0.103212,-2.91068559022
0.176,1.576,1.014,0.10998,-2.89890461779
0.180544,1.498,0.884,0.116982,-2.88319665454
0.18496,1.396,0.936,0.123912,-2.86905948761
0.189376,1.301,0.728,0.130914,-2.85492232069
0.193792,1.223,0.754,0.13797,-2.84078515376
0.198208,1.105,0.65,0.145062,-2.82586258868
0.202624,1.027,0.65,0.15219,-2.81172542175
0.20704,0.87,0.512,0.159336,-2.79758825482
0.211392,0.784,0.494,0.166338,-2.7834510879
0.21568,0.666,0.598,0.173376,-2.76931392098
0.220032,0.556,0.364,0.18036,-2.75596215221
0.224384,0.431,0.546,0.187344,-2.74182498529
0.228672,0.313,0.234,0.194274,-2.72925861469
0.233024,0.164,0.256,0.201186,-2.71669224409
0.237376,0.047,0.13,0.208044,-2.70334047533
0.2416,-0.07,0.13,0.214668,-2.69234490105
0.245952,-0.188,0.078,0.221364,-2.67820773412
0.250304,-0.313,-0.208,0.22797,-2.66564136353
0.254784,-0.431,-0.156,0.234666,-2.65700198374
0.259264,-0.58,-0.338,0.241182,-2.64679180763
0.263808,-0.69,-0.624,0.2475,-2.63579623335
0.268288,-0.831,-0.546,0.253602,-2.62558605724
0.272768,-0.941,-0.572,0.259452,-2.61694667745
0.277312,-1.066,-0.78,0.265032,-2.60909269583
0.28192,-1.184,-1.066,0.270432,-2.6012387142
0.286592,-1.286,-1.222,0.275562,-2.5949555289
0.291264,-1.396,-1.326,0.280386,-2.58945774176
0.295936,-1.498,-1.404,0.284796,-2.58474535279
0.300608,-1.576,-1.43,0.28881,-2.58160376014
0.30528,-1.662,-1.536,0.292428,-2.57767676933
0.309952,-1.749,-1.792,0.295632,-2.576105973
0.314624,-1.796,-1.612,0.298332,-2.576105973
0.319296,-1.858,-1.742,0.300636,-2.57689137116
0.323968,-1.913,-1.638,0.302472,-2.57846216749
0.32864,-1.945,-1.768,0.30384,-2.58160376014
0.333312,-1.968,-1.924,0.304686,-2.58631614911
0.337984,-1.992,-1.872,0.3051,-2.59102853809
0.342656,-1.992,-1.742,0.305028,-2.59809712155
