time(us),reference current(mA),current(mA),cart position(um),pendulum angle(mdeg)
7680,0,104,0,-180000
11200,94,130,0,-180000
14912,188,-26,0,-180000
18752,266,208,18,-180000
22656,360,256,54,-179955
26560,454,468,108,-179955
30528,556,546,198,-179955
34496,643,624,342,-179955
38464,737,572,540,-179910
42496,831,806,828,-179865
46464,941,1040,1170,-179820
50624,1027,1118,1620,-179730
54848,1105,1170,2196,-179685
59072,1207,1144,2880,-179595
63296,1301,1248,3708,-179460
67520,1372,1378,4680,-179325
71808,1443,1456,5796,-179190
76032,1545,1508,7110,-178965
80256,1600,1536,8568,-178830
84480,1662,1378,10224,-178605
88832,1709,1768,12150,-178290
93120,1780,1586,14220,-178110
97472,1827,1792,16578,-177750
101760,1874,1612,19188,-177345
106176,1913,1950,22050,-176985
110592,1945,2028,25182,-176670
115008,1968,1742,28620,-176130
119424,1984,1846,32292,-175680
123840,1992,2002,36216,-175230
128256,1992,1872,40464,-174645
132736,1992,2080,44946,-174105
137152,1984,1976,49698,-173520
141568,1960,1792,54756,-172710
145984,1937,1716,60012,-172170
150400,1905,1820,65520,-171360
154816,1874,1560,71262,-170730
159232,1811,1040,77130,-169920
163648,1756,1560,83214,-169335
168064,1686,1456,89442,-168525
172480,1631,1014,95796,-167580
176896,1576,1066,102294,-166950
181376,1474,1118,108972,-166095
185856,1396,858,115776,-165285
190272,1286,1118,122526,-164475
194816,1207,780,129456,-163665
199232,1090,754,136314,-162855
203648,980,676,143190,-162090
207936,854,650,149994,-161235
212288,760,832,156816,-160335
216640,643,520,163620,-159750
220928,501,754,170424,-158805
225280,384,256,177210,-158175
229632,290,338,183942,-157500
233984,141,468,190656,-156735
238272,23,-26,197316,-155880
242560,-94,0,203760,-155340
246720,-188,208,209988,-154710
251136,-337,-260,216504,-154035
255616,-454,-442,223020,-153360
260160,-603,-26,229356,-152775
264576,-713,-416,235386,-152190
269056,-854,-936,241344,-151695
273536,-956,-572,247086,-151155
278080,-1090,-572,252558,-150705
282624,-1184,-780,257868,-150255
287232,-1301,-806,262872,-149895
291840,-1396,-988,267570,-149535
296448,-1498,-1196,271926,-149265
301120,-1584,-1300,275994,-149040
305792,-1662,-1560,279684,-148815
310464,-1749,-1534,282942,-148770
315136,-1811,-1742,285768,-148770
319808,-1858,-1664,288144,-148635
324480,-1913,-1768,290034,-148815
329152,-1945,-1794,291510,-148995
333824,-1968,-1664,292464,-149175
338496,-1992,-1768,292932,-149445
343168,-2000,-1768,292932,-149850
347840,-1992,-2048,292428,-150300
352512,-1976,-1924,291474,-150795
357184,-1952,-1820,290070,-151425
361856,-1913,-1820,288306,-151875
366528,-1874,-1872,286110,-152595
371200,-1811,-1586,283482,-153405
375872,-1756,-1742,280494,-154125
380544,-1670,-1742,277128,-155115
385280,-1584,-1638,273384,-156105
389952,-1474,-1248,269316,-156960
394624,-1396,-1170,264960,-158040
399296,-1262,-1248,260244,-158985
403968,-1145,-1040,255330,-159930
408640,-1043,-1014,250128,-161100
413312,-894,-728,244692,-162405
417792,-784,-754,239274,-163665
422336,-619,-754,233712,-164835
426816,-501,-768,227970,-165960
431296,-337,-676,222192,-167085
435840,-219,-312,216342,-168345
440320,-47,-234,210438,-169875
444736,70,-182,204732,-170820
449088,243,26,199116,-172035
453312,360,-182,193716,-173250
457728,478,494,188208,-174420
462080,643,598,182952,-175545
466432,784,572,177822,-176985
470720,894,572,172908,-177885
475072,1043,702,168210,-179100
479488,1145,1170,163638,-180090
484032,1286,832,159300,-181125
488448,1372,1404,155340,-182115
492928,1513,1170,151632,-183150
497408,1584,1586,148320,-184005
501952,1686,1508,145350,-184905
506432,1756,1638,142812,-185850
510912,1827,1534,140706,-186525
515456,1882,1768,138978,-187425
519936,1929,1924,137682,-187965
524416,1960,1534,136854,-188460
528960,1984,1846,136458,-189090
533440,1992,1924,136440,-189585
537920,1992,1820,136854,-189945
542464,1984,1820,137574,-190440
546944,1952,1792,138654,-190665
551488,1921,2002,140076,-190890
555968,1874,1820,141768,-191205
560448,1811,1742,143856,-191340
564992,1733,1820,146196,-191475
569472,1662,1378,148788,-191655
573952,1560,1482,151740,-191655
578496,1474,1534,154818,-191700
582976,1341,1404,158184,-191745
587456,1223,1456,161784,-191565
592000,1090,1560,165492,-191565
596480,956,1222,169398,-191565
600896,831,676,173340,-191385
605248,690,780,177336,-191205
609536,556,858,181350,-191160
613888,407,598,185454,-190980
618240,243,256,189612,-190755
622592,94,390,193698,-190620
626816,-70,-156,197730,-190485
631232,-243,-26,201888,-190260
635648,-360,-338,205920,-190170
640128,-556,-52,209934,-189990
644608,-690,-494,213750,-189810
649088,-854,-936,217440,-189720
653568,-980,-1014,220932,-189630
658176,-1145,-806,224280,-189495
662784,-1247,-1536,227322,-189495
667456,-1396,-1326,230112,-189540
672128,-1529,-1248,232560,-189495
676800,-1615,-1326,234702,-189540
681472,-1709,-1456,236340,-189720
686144,-1803,-1716,237654,-189855
690816,-1858,-1846,238572,-190080
695488,-1913,-1560,238986,-190350
700160,-1960,-2048,239004,-190755
704832,-1984,-2048,238554,-190980
709504,-1992,-1872,237762,-191385
714176,-1992,-1534,236466,-191970
718912,-1968,-1976,234828,-192375
723584,-1937,-1846,232776,-192915
728256,-1882,-1664,230346,-193590
732928,-1811,-1742,227520,-194130
737600,-1733,-1820,224388,-194940
742272,-1647,-1664,220878,-195525
746944,-1529,-1690,217080,-196200
751616,-1427,-1404,212940,-197235
756288,-1286,-1300,208566,-197775
760960,-1129,-1378,203976,-198630
765632,-1003,-1430,199152,-199665
770304,-831,-1196,194202,-200295
774912,-643,-936,189180,-201150
779392,-501,-702,184158,-201960
783936,-313,-624,179100,-202860
788416,-164,-338,174006,-203535
792960,47,-78,168930,-204390
797184,188,-26,164196,-205065
801536,337,286,159462,-205920
805824,478,338,154800,-206505
810176,690,494,150282,-207135
