time(us),reference current(mA),current(mA),cart position(um),pendulum angle(mdeg)
6912,400,26,0,-180000
10624,400,260,0,-180000
14528,400,338,18,-180000
18496,400,364,90,-180000
22464,400,416,126,-180000
26496,400,364,234,-179955
30592,400,416,378,-179955
34624,400,390,522,-179955
38720,400,390,702,-179910
42752,400,256,918,-179865
46848,400,364,1152,-179865
50944,400,390,1386,-179865
55104,400,364,1656,-179775
59264,400,390,1962,-179730
63424,400,416,2268,-179730
67584,400,390,2592,-179685
71680,624,416,2952,-179595
75840,476,598,3312,-179595
80000,400,468,3690,-179505
84160,497,416,4086,-179505
88256,400,494,4518,-179460
92416,400,442,4950,-179370
96576,400,390,5382,-179280
100736,400,416,5832,-179280
104960,400,364,6282,-179190
109184,400,390,6786,-179100
113472,400,416,7272,-179055
117696,400,442,7704,-179055
121920,400,256,8208,-179010
126144,400,364,8712,-178875
130432,400,390,9162,-178830
134656,433,390,9612,-178830
138880,483,416,10062,-178785
143232,826,468,10530,-178650
147520,837,512,10998,-178605
151872,984,832,11520,-178560
156224,1298,910,12096,-178470
160576,1261,1274,12852,-178380
165120,1281,1170,13770,-178245
169600,1393,1222,14814,-178155
174080,1063,1274,16038,-178020
178560,691,1118,17478,-177750
182976,311,676,18936,-177705
187328,69,286,20430,-177525
191552,14,156,21960,-177255
195840,296,78,23382,-177210
200064,-19,182,24732,-176985
204352,-220,78,26154,-176715
208704,46,-52,27360,-176715
212928,224,-26,28512,-176625
217280,371,0,29718,-176265
221440,273,338,30726,-176220
225728,132,286,31752,-176265
230080,174,182,32814,-176040
234368,213,182,33840,-175950
238720,232,234,34776,-175950
243072,145,260,35730,-175770
247360,10,156,36666,-175680
251648,-136,52,37512,-175635
255936,-214,-78,38340,-175545
260352,-134,-182,39132,-175500
264832,-320,-130,39780,-175500
269376,-204,-312,40374,-175410
273856,-15,-208,40842,-175410
278272,-22,26,41166,-175455
282496,400,0,41418,-175455
286656,400,338,41616,-175455
291008,400,442,41850,-175455
295296,400,442,42030,-175500
299648,400,390,42228,-175545
303936,400,364,42480,-175545
308288,400,256,42714,-175590
312640,400,416,42984,-175635
316928,400,256,43254,-175635
321280,400,442,43542,-175635
325568,400,390,43830,-175725
329920,400,416,44154,-175770
334272,463,390,44514,-175770
338560,727,442,44856,-175815
342912,638,676,45252,-175770
347200,453,624,45720,-175815
351552,400,416,46188,-175905
355904,458,390,46728,-175860
360192,526,416,47304,-175815
364544,409,520,47844,-175905
368832,306,364,48402,-175905
373184,294,338,49014,-175860
377536,282,286,49608,-175905
381824,232,286,50184,-175950
386176,241,260,50778,-175905
390464,15,256,51372,-175905
394752,-37,104,51912,-175995
399040,132,-26,52398,-176040
403392,83,104,52902,-176040
407616,-121,130,53316,-176085
412032,400,-130,53658,-176175
416448,400,256,54018,-176220
420800,567,416,54360,-176220
425088,894,520,54666,-176310
429440,700,832,55062,-176400
433728,480,728,55566,-176400
438080,664,494,56034,-176490
442368,971,624,56628,-176580
446720,741,910,57294,-176490
451072,487,702,58014,-176535
455360,366,494,58788,-176670
459712,88,390,59580,-176625
463936,129,182,60444,-176625
468288,329,104,61200,-176715
472576,259,286,61992,-176670
476928,165,286,62784,-176670
481216,496,182,63468,-176715
485568,796,416,64206,-176760
489920,792,780,64998,-176760
494208,789,806,65808,-176805
498560,639,702,66690,-176805
502848,362,512,67680,-176760
507200,123,416,68688,-176805
511552,69,156,69732,-176895
515776,-75,78,70722,-176805
520000,-180,0,71694,-176850
524224,-59,-130,72576,-176895
528640,175,-52,73422,-176940
532992,376,104,74214,-176940
537280,448,390,74934,-176940
541632,548,468,75618,-177075
545984,451,520,76338,-177075
550272,627,416,77076,-177075
554624,479,572,77850,-177210
558912,195,468,78678,-177210
563264,211,286,79506,-177210
567616,328,0,80334,-177345
571776,224,286,81144,-177390
576064,223,260,81990,-177345
580416,375,208,82782,-177480
584704,362,338,83574,-177525
589056,314,390,84420,-177480
593408,584,338,85212,-177615
597696,257,520,86004,-177705
602048,192,260,86886,-177615
606336,127,208,87678,-177795
610688,192,130,88452,-177885
615040,-31,208,89262,-177795
619328,-160,52,90018,-177930
623680,30,-130,90648,-178155
627968,-194,0,91260,-178110
632256,171,-156,91818,-178200
636672,279,104,92214,-178380
