time(s),reference current(A),current(A),cart position(m),pendulum angle(rad)
0.006912,0.4,0.026,0.0,-3.14159265
0.010624,0.4,0.26,0.0,-3.14159265
0.014528,0.4,0.338,1.8e-05,-3.14159265
0.018496,0.4,0.364,9e-05,-3.14159265
0.022464,0.4,0.416,0.000126,-3.14159265
0.026496,0.4,0.364,0.000234,-3.14080725184
0.030592,0.4,0.416,0.000378,-3.14080725184
0.034624,0.4,0.39,0.000522,-3.14080725184
0.03872,0.4,0.39,0.000702,-3.14002185367
0.042752,0.4,0.256,0.000918,-3.13923645551
0.046848,0.4,0.364,0.001152,-3.13923645551
0.050944,0.4,0.39,0.001386,-3.13923645551
0.055104,0.4,0.364,0.001656,-3.13766565919
0.059264,0.4,0.39,0.001962,-3.13688026102
0.063424,0.4,0.416,0.002268,-3.13688026102
0.067584,0.4,0.39,0.002592,-3.13609486286
0.07168,0.624,0.416,0.002952,-3.13452406654
0.07584,0.476,0.598,0.003312,-3.13452406654
0.08,0.4,0.468,0.00369,-3.13295327021
0.08416,0.497,0.416,0.004086,-3.13295327021
0.088256,0.4,0.494,0.004518,-3.13216787205
0.092416,0.4,0.442,0.00495,-3.13059707572
0.096576,0.4,0.39,0.005382,-3.1290262794
0.100736,0.4,0.416,0.005832,-3.1290262794
0.10496,0.4,0.364,0.006282,-3.12745548308
0.109184,0.4,0.39,0.006786,-3.12588468675
0.113472,0.4,0.416,0.007272,-3.12509928859
0.117696,0.4,0.442,0.007704,-3.12509928859
0.12192,0.4,0.256,0.008208,-3.12431389043
0.126144,0.4,0.364,0.008712,-3.12195769594
0.130432,0.4,0.39,0.009162,-3.12117229778
0.134656,0.433,0.39,0.009612,-3.12117229778
0.13888,0.483,0.416,0.010062,-3.12038689961
0.143232,0.826,0.468,0.01053,-3.11803070513
0.14752,0.837,0.512,0.010998,-3.11724530696
0.151872,0.984,0.832,0.01152,-3.1164599088
0.156224,1.298,0.91,0.012096,-3.11488911248
0.160576,1.261,1.274,0.012852,-3.11331831615
0.16512,1.281,1.17,0.01377,-3.11096212166
0.1696,1.393,1.222,0.014814,-3.10939132534
0.17408,1.063,1.274,0.016038,-3.10703513085
0.17856,0.691,1.118,0.017478,-3.10232274188
0.182976,0.311,0.676,0.018936,-3.10153734371
0.187328,0.069,0.286,0.02043,-3.09839575106
0.191552,0.014,0.156,0.02196,-3.09368336209
0.19584,0.296,0.078,0.023382,-3.09289796393
