time(us),reference current(mA),current(mA),cart position(um),pendulum angle(mdeg)
6912,400,-26,0,-180000
10688,400,260,0,-180000
14592,505,364,54,-180000
18560,400,494,108,-180000
22656,400,364,216,-180000
26688,400,390,396,-179955
30720,400,416,612,-179955
34816,551,416,846,-179910
38848,643,520,1134,-179865
43008,556,624,1494,-179865
47168,400,546,1854,-179775
51328,559,390,2286,-179730
55424,582,520,2736,-179685
59584,997,546,3222,-179595
63744,943,910,3780,-179505
67904,934,936,4446,-179370
72064,964,988,5166,-179325
76160,915,768,5994,-179190
80320,1039,884,6966,-179055
84544,845,988,8046,-178965
88704,884,806,9198,-178785
92864,662,884,10422,-178605
97088,358,650,11790,-178470
101312,247,312,13158,-178290
105664,1,260,14580,-178155
109824,-21,78,15966,-177975
114048,-101,26,17280,-177795
118336,267,-52,18576,-177660
122688,256,208,19782,-177480
127040,410,260,20988,-177255
131328,484,364,22104,-177210
135680,427,442,23220,-177075
139968,461,494,24372,-176850
144320,783,520,25524,-176760
148672,515,702,26694,-176670
152960,424,494,27936,-176445
157312,493,494,29160,-176355
161600,535,442,30438,-176220
165952,812,494,31788,-176040
170240,757,728,33102,-175860
174592,891,728,34524,-175725
178944,595,806,36000,-175545
183232,801,572,37548,-175365
187584,562,806,39150,-175230
191872,655,546,40860,-175050
196224,686,572,42570,-174780
200576,516,754,44370,-174600
204864,698,494,46170,-174465
209216,506,728,48024,-174195
213504,434,520,50022,-173925
217856,190,442,51912,-173880
222144,160,234,53838,-173655
226496,119,208,55854,-173385
230848,-54,0,57726,-173250
235008,103,26,59526,-173025
239232,164,78,61326,-172890
243456,123,182,63018,-172710
247808,283,130,64782,-172530
252096,334,260,66474,-172395
256448,678,390,68112,-172260
260800,522,572,69804,-172080
265088,436,494,71514,-171945
269440,347,520,73224,-171855
273728,334,312,74970,-171630
278080,752,390,76734,-171585
282368,1002,728,78480,-171450
286784,1215,910,80406,-171180
291200,905,1170,82332,-171090
295616,716,806,84402,-170955
299968,868,780,86598,-170685
304256,964,832,88848,-170595
308608,634,988,91152,-170325
312960,538,650,93636,-170145
317248,297,572,96084,-169965
321600,475,208,98586,-169785
325888,682,520,101160,-169560
330304,1068,512,103752,-169380
334848,1092,1118,106470,-169200
339392,1047,1014,109368,-168840
344000,1073,988,112338,-168705
348480,979,1024,115416,-168480
352960,1207,910,118674,-168120
357504,902,1118,121950,-167985
361984,699,988,125442,-167625
366400,474,676,128934,-167355
370816,356,416,132462,-167175
375232,246,416,136062,-166905
379584,176,312,139608,-166590
384000,296,156,143154,-166410
388416,222,234,146664,-166140
392832,435,286,150138,-165825
397248,373,442,153594,-165645
401664,322,286,157032,-165465
406080,163,312,160452,-165195
410496,314,0,163854,-165060
414720,314,234,167094,-164925
419136,225,260,170460,-164655
423552,321,390,173790,-164475
427968,367,312,177066,-164385
432384,423,260,180342,-164115
436800,536,520,183618,-163980
441216,513,546,186858,-163890
445632,307,416,190134,-163710
450048,412,390,193410,-163620
454464,151,442,196650,-163575
458816,99,104,199908,-163350
463168,-247,156,203040,-163350
467648,-110,-156,206208,-163305
472256,11,-104,209358,-163215
476672,393,52,212328,-163170
480960,576,260,215118,-163170
485376,819,546,217962,-163125
489792,1165,858,220842,-163035
494336,981,1014,223830,-163080
498816,1002,1014,226944,-163035
503360,898,1024,230256,-162990
507904,876,806,233586,-162990
512320,722,858,236988,-162945
516672,421,806,240480,-162900
521088,222,256,244008,-162900
525504,109,182,247536,-162900
529920,-20,182,251046,-162855
534336,341,78,254520,-162855
538688,633,182,257814,-162855
543104,670,624,261198,-162855
547520,556,728,264582,-162810
551872,902,520,267948,-162900
556288,1032,780,271404,-162945
560832,827,1014,275022,-162945
565312,1075,858,278694,-162945
569792,793,962,282510,-162990
574208,665,728,286380,-162945
578624,421,650,290232,-163035
583040,288,494,294228,-162990
587456,272,416,298242,-163035
591872,288,338,302184,-163125
596288,660,208,306162,-163125
600704,383,572,310086,-163125
605120,293,442,314028,-163170
609536,423,416,317970,-163305
613888,585,512,321912,-163350
618304,861,572,325854,-163440
622720,602,650,329796,-163440
627136,513,546,333828,-163530
631552,429,520,337824,-163665
635968,698,512,341874,-163710
640384,693,728,345960,-163800
644800,697,728,350100,-163890
649216,750,598,354240,-164025
653632,626,598,358452,-164070
658048,499,546,362736,-164160
662464,671,442,367020,-164250
666880,488,624,371376,-164385
671232,173,624,375768,-164430
675648,550,286,380142,-164610
680064,215,624,384516,-164745
684480,-10,390,388926,-164745
688896,-109,78,393228,-164970
693312,-137,-78,397512,-165195
697792,-383,-156,401796,-165240
702400,-112,-442,406026,-165465
707008,14,-130,410130,-165735
711424,-1,78,414000,-165870
715648,-23,26,417618,-166140
719936,234,-256,421200,-166500
724480,290,0,424908,-166680
728704,559,338,428328,-166905
733120,778,572,431838,-167310
737536,653,522,435438,-167535
741952,640,598,439056,-167760
746368,578,702,442656,-168165
750784,569,598,446382,-168435
755200,266,468,450126,-168660
759616,441,0,453852,-169065
763840,575,494,457398,-169425
768256,595,676,461196,-169560
772672,676,598,464958,-169920
777088,580,520,468720,-170280
781504,647,546,472590,-170550
785856,692,702,476442,-170910
790272,868,728,480366,-171225
794688,657,832,484362,-171450
799104,510,512,488430,-171720
803520,390,416,492498,-172080
807936,373,312,496620,-172350
812352,462,468,500796,-172620
816768,246,520,504918,-172980
821184,195,256,509040,-173295
825600,-4,208,513162,-173610
829952,-46,-256,517140,-173925
834432,-311,-104,521190,-174240
838976,-225,-182,525294,-174555
843584,-558,-130,529200,-175005
848192,-611,-416,533052,-175410
852736,-395,-650,536652,-175860
857344,-231,-416,540072,-176310
861888,96,-130,543348,-176715
866304,478,-26,546354,-177165
870720,771,442,549324,-177705
875136,792,728,552258,-178155
879552,941,650,555264,-178515
883968,1114,962,558342,-179055
888448,902,1144,561582,-179460
892928,1024,806,565002,-179910
897472,864,936,568494,-180450
901888,837,936,572058,-180765
906240,831,832,575748,-181125
910656,696,702,579492,-181575
915072,562,624,583344,-181935
919488,463,572,587250,-182250
923904,683,572,591192,-182700
928320,398,702,595170,-182970
932736,523,390,599238,-183240
937152,165,390,603252,-183735
941568,10,156,607320,-184005
945920,-70,130,611298,-184275
950272,29,52,615294,-184680
954560,303,78,619074,-184995
958848,311,182,622890,-185265
963264,629,234,626742,-185670
967680,590,512,630540,-185985
972096,723,650,634446,-186255
976512,991,754,638352,-186705
980928,819,936,642348,-187020
985344,1090,702,646488,-187245
989824,806,910,650718,-187560
994240,458,806,655074,-187830
998656,258,442,659430,-188055
1003072,59,364,663858,-188370
1007488,150,156,668304,-188595
1011968,41,208,672768,-188775
1016448,196,156,677124,-189090
1020928,-164,182,681426,-189360
1025536,63,-256,685854,-189540
1030016,127,-78,690030,-189900
1034560,16,78,694206,-190080
1038848,-66,52,698130,-190350
1043264,0,0,702072,-190665
1047424,-672,52,705744,-190935
1051968,-568,-624,709614,-191205
1056640,-400,-598,713466,-191565
1061312,-510,-312,717138,-191880
1065984,-621,-390,720684,-192195
1070656,-660,-624,724014,-192600
1075328,-445,-572,727146,-193005
1080000,-607,-512,730134,-193320
1084672,-436,-768,732870,-193815
1089344,-400,-364,735444,-194265
1094016,-450,-416,737874,-194670
1098752,-400,-390,740106,-195165
1103424,-400,-390,742194,-195615
1108096,-400,-338,744138,-196110
1112768,-400,-364,745884,-196650
1117440,-400,-364,747558,-197100
1122112,-400,-512,749016,-197640
1126784,-400,-364,750348,-198225
1131456,-400,-390,751554,-198675
1136128,-400,-390,752616,-199260
1140800,-400,-416,753516,-199845
1145472,-468,-416,754290,-200385
1150144,-600,-364,754920,-200925
1154816,-611,-546,755388,-201600
1159488,-474,-598,755694,-202185
1164224,-581,-442,755856,-202725
1168896,-422,-520,755892,-203400
1173568,-509,-468,755802,-203940
1178240,-550,-520,755658,-204525
1182912,-400,-546,755424,-205200
1187584,-400,-390,755118,-205740
1192256,-400,-390,754776,-206280
1196928,-400,-416,754380,-206955
1201600,-400,-416,753966,-207495
1206272,-400,-416,753534,-208035
1210944,-400,-442,753066,-208620
1215680,-400,-416,752580,-209160
1220352,-400,-390,752076,-209655
1225024,-400,-512,751536,-210240
1229696,-400,-390,750996,-210645
1234368,-400,-364,750438,-211185
1239040,-400,-390,749844,-211725
1243712,-400,-416,749304,-212085
1248384,-206,-416,748692,-212625
1253056,-440,-234,748116,-213030
1257728,-66,-442,747522,-213390
1262336,-319,-78,746982,-213840
1266944,-360,-260,746496,-214200
1271616,-400,-390,745920,-214560
1276288,-400,-364,745416,-214920
1280960,-400,-416,744876,-215280
1285632,-400,-364,744372,-215505
1290368,-400,-442,743778,-215910
1295040,-400,-442,743202,-216225
1299712,-400,-416,742662,-216405
1304384,-400,-512,742086,-216720
1309056,92,-364,741456,-216990
1313536,304,-26,740862,-217125
1318080,131,256,740394,-217305
1322560,-400,104,740016,-217530
1327168,-400,-312,739674,-217665
1331840,-400,-390,739368,-217800
1336512,-400,-416,739080,-217980
1341184,-400,-364,738774,-218025
1345856,-400,-390,738432,-218115
1350592,-400,-416,738054,-218250
1355264,-400,-416,737694,-218250
1359936,-400,-390,737316,-218250
1364608,-400,-390,736866,-218340
1369280,-400,-416,736452,-218295
1373952,-400,-390,736002,-218295
1378624,-400,-416,735570,-218295
1383296,-400,-364,735066,-218205
1387968,-400,-390,734580,-218160
1392640,-536,-390,734040,-218160
1397376,-861,-520,733536,-217980
1402048,-657,-806,732942,-217890
1406720,-981,-650,732240,-217890
1411392,-761,-936,731538,-217665
1416064,-946,-702,730692,-217575
1420736,-868,-936,729756,-217485
1425408,-1102,-884,728676,-217305
1430208,-973,-1040,727542,-217125
1434944,-874,-858,726192,-217080
1439616,-1027,-884,724788,-216855
