time(s),reference current(A),current(A),cart position(m),pendulum angle(rad)
0.006912,0.4,-0.026,0.0,-3.14159265
0.010688,0.4,0.26,0.0,-3.14159265
0.014592,0.505,0.364,5.4e-05,-3.14159265
0.01856,0.4,0.494,0.000108,-3.14159265
0.022656,0.4,0.364,0.000216,-3.14159265
0.026688,0.4,0.39,0.000396,-3.14080725184
0.03072,0.4,0.416,0.000612,-3.14080725184
0.034816,0.551,0.416,0.000846,-3.14002185367
0.038848,0.643,0.52,0.001134,-3.13923645551
0.043008,0.556,0.624,0.001494,-3.13923645551
0.047168,0.4,0.546,0.001854,-3.13766565919
0.051328,0.559,0.39,0.002286,-3.13688026102
0.055424,0.582,0.52,0.002736,-3.13609486286
0.059584,0.997,0.546,0.003222,-3.13452406654
0.063744,0.943,0.91,0.00378,-3.13295327021
0.067904,0.934,0.936,0.004446,-3.13059707572
0.072064,0.964,0.988,0.005166,-3.12981167756
0.07616,0.915,0.768,0.005994,-3.12745548308
0.08032,1.039,0.884,0.006966,-3.12509928859
0.084544,0.845,0.988,0.008046,-3.12352849226
0.088704,0.884,0.806,0.009198,-3.12038689961
0.092864,0.662,0.884,0.010422,-3.11724530696
0.097088,0.358,0.65,0.01179,-3.11488911248
0.101312,0.247,0.312,0.013158,-3.11174751983
0.105664,0.001,0.26,0.01458,-3.10939132534
0.109824,-0.021,0.078,0.015966,-3.10624973269
0.114048,-0.101,0.026,0.01728,-3.10310814004
0.118336,0.267,-0.052,0.018576,-3.10075194555
0.122688,0.256,0.208,0.019782,-3.0976103529
0.12704,0.41,0.26,0.020988,-3.09368336209
0.131328,0.484,0.364,0.022104,-3.09289796393
0.13568,0.427,0.442,0.02322,-3.09054176944
0.139968,0.461,0.494,0.024372,-3.08661477862
0.14432,0.783,0.52,0.025524,-3.0850439823
0.148672,0.515,0.702,0.026694,-3.08347318597
0.15296,0.424,0.494,0.027936,-3.07954619516
0.157312,0.493,0.494,0.02916,-3.07797539884
0.1616,0.535,0.442,0.030438,-3.07561920435
0.165952,0.812,0.494,0.031788,-3.0724776117
0.17024,0.757,0.728,0.033102,-3.06933601905
0.174592,0.891,0.728,0.034524,-3.06697982456
0.178944,0.595,0.806,0.036,-3.06383823191
0.183232,0.801,0.572,0.037548,-3.06069663926
0.187584,0.562,0.806,0.03915,-3.05834044478
0.191872,0.655,0.546,0.04086,-3.05519885213
0.196224,0.686,0.572,0.04257,-3.05048646315
0.200576,0.516,0.754,0.04437,-3.0473448705
0.204864,0.698,0.494,0.04617,-3.04498867601
0.209216,0.506,0.728,0.048024,-3.04027628704
0.213504,0.434,0.52,0.050022,-3.03556389806
0.217856,0.19,0.442,0.051912,-3.0347784999
0.222144,0.16,0.234,0.053838,-3.03085150909
0.226496,0.119,0.208,0.055854,-3.02613912011
0.230848,-0.054,0.0,0.057726,-3.02378292562
0.235008,0.103,0.026,0.059526,-3.01985593481
0.239232,0.164,0.078,0.061326,-3.01749974032
0.243456,0.123,0.182,0.063018,-3.01435814768
0.247808,0.283,0.13,0.064782,-3.01121655503
0.252096,0.334,0.26,0.066474,-3.00886036054
0.256448,0.678,0.39,0.068112,-3.00650416605
0.2608,0.522,0.572,0.069804,-3.0033625734
0.265088,0.436,0.494,0.071514,-3.00100637891
0.26944,0.347,0.52,0.073224,-2.99943558259
0.273728,0.334,0.312,0.07497,-2.99550859178
0.27808,0.752,0.39,0.076734,-2.99472319361
0.282368,1.002,0.728,0.07848,-2.99236699913
0.286784,1.215,0.91,0.080406,-2.98765461015
0.2912,0.905,1.17,0.082332,-2.98608381383
0.295616,0.716,0.806,0.084402,-2.98372761934
0.299968,0.868,0.78,0.086598,-2.97901523036
0.304256,0.964,0.832,0.088848,-2.97744443404
0.308608,0.634,0.988,0.091152,-2.97273204506
0.31296,0.538,0.65,0.093636,-2.96959045241
0.317248,0.297,0.572,0.096084,-2.96644885976
0.3216,0.475,0.208,0.098586,-2.96330726711
0.325888,0.682,0.52,0.10116,-2.9593802763
0.330304,1.068,0.512,0.103752,-2.95623868365
0.334848,1.092,1.118,0.10647,-2.953097091
0.339392,1.047,1.014,0.109368,-2.9468139057
0.344,1.073,0.988,0.112338,-2.94445771121
0.34848,0.979,1.024,0.115416,-2.9405307204
0.35296,1.207,0.91,0.118674,-2.9342475351
0.357504,0.902,1.118,0.12195,-2.93189134061
0.361984,0.699,0.988,0.125442,-2.92560815531
0.3664,0.474,0.676,0.128934,-2.92089576634
0.370816,0.356,0.416,0.132462,-2.91775417369
0.375232,0.246,0.416,0.136062,-2.91304178471
0.379584,0.176,0.312,0.139608,-2.90754399757
0.384,0.296,0.156,0.143154,-2.90440240492
