time(us),reference current(mA),current(mA),cart position(um),pendulum angle(mdeg)
6912,400,-256,0,-180000
10816,400,312,0,-180000
14656,400,364,54,-179955
18624,400,416,108,-179955
22720,400,256,180,-179955
26752,400,416,306,-179955
30848,400,364,432,-179910
34880,400,390,594,-179910
38976,400,416,756,-179910
43008,400,390,936,-179865
47104,400,416,1134,-179820
51264,400,390,1368,-179820
55360,400,364,1602,-179775
59520,400,256,1890,-179730
63680,400,390,2160,-179730
67840,424,390,2484,-179685
71936,400,416,2844,-179595
76096,400,256,3186,-179595
80256,400,390,3564,-179595
84416,400,416,3978,-179460
88576,400,256,4392,-179370
92672,400,442,4788,-179370
96832,400,390,5202,-179325
100992,400,416,5652,-179235
105216,400,390,6102,-179190
109504,400,416,6534,-179100
113728,400,390,7020,-179055
117952,400,416,7506,-179055
122176,400,416,8010,-178965
126464,400,390,8550,-178830
130688,400,442,9054,-178830
134912,155,364,9558,-178830
139200,195,182,10116,-178695
143488,73,0,10620,-178605
147584,62,78,11052,-178605
151744,452,52,11484,-178560
155968,637,416,11880,-178470
160320,400,624,12330,-178425
164608,400,416,12726,-178425
168960,400,364,13194,-178380
173248,400,442,13716,-178290
177600,400,390,14166,-178245
181952,400,416,14652,-178200
186240,400,390,15102,-178155
190592,400,390,15588,-178065
194880,477,416,16092,-178065
199232,662,468,16542,-178020
203584,927,624,17082,-177930
207872,745,910,17676,-177885
212224,660,728,18342,-177795
216512,217,676,19044,-177750
220864,178,234,19800,-177660
225152,-49,156,20538,-177615
229504,-30,0,21276,-177480
233664,26,0,21906,-177480
237760,39,52,22428,-177480
241920,81,52,22914,-177390
246016,335,104,23400,-177345
250368,524,338,23796,-177300
254720,584,494,24174,-177300
259008,577,546,24606,-177255
263360,646,572,25056,-177210
267648,733,624,25560,-177165
272000,530,600,26100,-177165
276352,446,520,26694,-177120
280640,395,262,27378,-177075
284992,309,256,28080,-176985
289280,489,338,28746,-176985
293632,463,442,29430,-176940
297984,252,494,30186,-176805
302272,-100,312,30870,-176760
306688,104,-26,31554,-176805
311040,390,78,32184,-176760
315264,436,390,32796,-176670
319616,714,442,33426,-176670
323904,739,650,33984,-176625
328256,904,702,34686,-176580
332544,776,858,35406,-176535
336896,1079,754,36234,-176400
341312,970,1024,37224,-176400
345728,960,936,38268,-176310
350016,901,768,39456,-176175
354368,686,768,40788,-176040
358720,673,728,42156,-175995
363008,677,598,43578,-175860
367360,622,624,45162,-175680
371648,644,650,46782,-175500
376000,823,598,48348,-175500
380352,504,754,50076,-175230
384640,408,598,51858,-175005
388992,285,416,53604,-174960
393280,157,286,55404,-174825
397632,118,208,57222,-174555
401984,161,0,58968,-174510
406144,-192,208,60606,-174420
410496,-602,-52,62370,-174150
414912,-397,-520,63936,-174150
419456,-239,-468,65376,-174105
423936,-261,-256,66834,-173835
428416,-312,-208,68040,-173835
432896,-326,-338,69102,-173925
437440,-116,-286,70110,-173700
441920,45,-78,70992,-173745
446144,431,0,71694,-173880
450304,357,338,72360,-173790
454656,167,390,73098,-173790
458944,246,182,73728,-173925
463296,125,182,74358,-173880
467584,145,208,75078,-173880
471936,66,182,75636,-174015
476160,20,78,76212,-174060
480320,-19,52,76752,-174015
484608,-121,26,77184,-174150
488896,400,-52,77616,-174240
493248,400,338,77976,-174240
497536,400,390,78390,-174330
501888,400,390,78732,-174510
506240,400,390,79110,-174510
510528,400,416,79596,-174600
514880,400,364,79992,-174735
519168,400,364,80496,-174780
523520,429,442,81036,-174825
527872,400,390,81522,-174960
532160,471,390,82116,-175005
536512,137,256,82728,-175095
540800,-58,156,83286,-175230
545152,-72,0,83880,-175275
549312,-170,-26,84420,-175365
553728,-348,-208,84888,-175500
558208,400,-234,85284,-175590
562624,400,286,85608,-175725
566976,400,442,85914,-175860
571264,400,364,86148,-175995
575616,400,390,86436,-176130
579904,400,416,86724,-176265
584256,405,364,86976,-176355
588608,400,416,87336,-176490
592896,400,390,87642,-176670
597248,400,390,87984,-176760
601600,400,416,88398,-176895
605888,400,256,88794,-177030
610240,400,390,89226,-177165
614528,400,416,89676,-177300
618880,400,390,90144,-177390
623232,400,442,90648,-177570
627520,634,364,91116,-177705
631872,821,572,91638,-177750
636160,757,754,92250,-177840
640512,722,702,92862,-177975
644864,593,676,93618,-178065
649152,539,598,94428,-178155
653504,521,546,95274,-178245
657792,116,494,96192,-178335
662144,10,156,97110,-178425
666368,250,0,97974,-178470
670528,138,234,98838,-178560
674880,332,182,99684,-178605
679168,478,286,100476,-178740
683584,695,468,101358,-178830
688000,819,650,102204,-178830
692416,907,780,103140,-178965
696832,711,884,104148,-179055
701248,407,702,105282,-179010
705664,528,416,106470,-179145
710080,315,256,107658,-179235
714496,91,364,108972,-179190
718784,51,156,110196,-179280
723136,-22,52,111330,-179370
727488,88,0,112518,-179325
731584,261,104,113544,-179415
736000,479,234,114588,-179550
740416,387,256,115668,-179505
744832,417,390,116694,-179595
749248,642,364,117720,-179775
753664,529,598,118836,-179685
758080,351,468,119988,-179730
762496,410,256,121122,-179910
766912,414,364,122292,-179910
771328,140,416,123570,-179865
775744,119,208,124776,-180045
780160,153,78,125928,-180090
784448,17,156,127152,-180090
788800,77,26,128250,-180135
793024,362,78,129294,-180225
797376,177,338,130374,-180270
801792,313,156,131400,-180360
806208,378,312,132444,-180405
810624,458,416,133524,-180450
815040,451,416,134532,-180585
819456,627,416,135558,-180630
823808,611,572,136692,-180675
828224,491,624,137844,-180675
832640,814,520,139014,-180810
837056,518,754,140238,-180810
841472,592,546,141642,-180765
845888,424,572,142974,-180855
850304,337,256,144378,-180900
854720,195,312,145836,-180810
859136,73,234,147294,-180855
863424,-196,104,148698,-180945
867968,-343,-256,150102,-180900
872512,-210,-234,151470,-180945
877120,13,-182,152658,-181080
881536,199,-26,153810,-181035
885952,204,182,154818,-181035
890368,90,182,155772,-181260
894656,180,130,156690,-181305
899072,486,182,157644,-181260
903488,476,468,158544,-181440
907904,325,468,159426,-181485
912320,-25,338,160380,-181530
916736,3,0,161298,-181620
920768,129,26,162126,-181710
925120,271,130,162972,-181800
929536,247,234,163782,-181890
