time(s),reference current(A),current(A),cart position(m),pendulum angle(rad)
0.006912,0.4,-0.256,0.0,-3.14159265
0.010816,0.4,0.312,0.0,-3.14159265
0.014656,0.4,0.364,5.4e-05,-3.14080725184
0.018624,0.4,0.416,0.000108,-3.14080725184
0.02272,0.4,0.256,0.00018,-3.14080725184
0.026752,0.4,0.416,0.000306,-3.14080725184
0.030848,0.4,0.364,0.000432,-3.14002185367
0.03488,0.4,0.39,0.000594,-3.14002185367
0.038976,0.4,0.416,0.000756,-3.14002185367
0.043008,0.4,0.39,0.000936,-3.13923645551
0.047104,0.4,0.416,0.001134,-3.13845105735
0.051264,0.4,0.39,0.001368,-3.13845105735
0.05536,0.4,0.364,0.001602,-3.13766565919
0.05952,0.4,0.256,0.00189,-3.13688026102
0.06368,0.4,0.39,0.00216,-3.13688026102
0.06784,0.424,0.39,0.002484,-3.13609486286
0.071936,0.4,0.416,0.002844,-3.13452406654
0.076096,0.4,0.256,0.003186,-3.13452406654
0.080256,0.4,0.39,0.003564,-3.13452406654
0.084416,0.4,0.416,0.003978,-3.13216787205
0.088576,0.4,0.256,0.004392,-3.13059707572
0.092672,0.4,0.442,0.004788,-3.13059707572
0.096832,0.4,0.39,0.005202,-3.12981167756
0.100992,0.4,0.416,0.005652,-3.12824088124
0.105216,0.4,0.39,0.006102,-3.12745548308
0.109504,0.4,0.416,0.006534,-3.12588468675
0.113728,0.4,0.39,0.00702,-3.12509928859
0.117952,0.4,0.416,0.007506,-3.12509928859
0.122176,0.4,0.416,0.00801,-3.12352849226
0.126464,0.4,0.39,0.00855,-3.12117229778
0.130688,0.4,0.442,0.009054,-3.12117229778
0.134912,0.155,0.364,0.009558,-3.12117229778
0.1392,0.195,0.182,0.010116,-3.11881610329
0.143488,0.073,0.0,0.01062,-3.11724530696
0.147584,0.062,0.078,0.011052,-3.11724530696
0.151744,0.452,0.052,0.011484,-3.1164599088
0.155968,0.637,0.416,0.01188,-3.11488911248
0.16032,0.4,0.624,0.01233,-3.11410371431
0.164608,0.4,0.416,0.012726,-3.11410371431
0.16896,0.4,0.364,0.013194,-3.11331831615
0.173248,0.4,0.442,0.013716,-3.11174751983
0.1776,0.4,0.39,0.014166,-3.11096212166
0.181952,0.4,0.416,0.014652,-3.1101767235
0.18624,0.4,0.39,0.015102,-3.10939132534
0.190592,0.4,0.39,0.015588,-3.10782052901
0.19488,0.477,0.416,0.016092,-3.10782052901
0.199232,0.662,0.468,0.016542,-3.10703513085
0.203584,0.927,0.624,0.017082,-3.10546433453
0.207872,0.745,0.91,0.017676,-3.10467893636
0.212224,0.66,0.728,0.018342,-3.10310814004
0.216512,0.217,0.676,0.019044,-3.10232274188
0.220864,0.178,0.234,0.0198,-3.10075194555
0.225152,-0.049,0.156,0.020538,-3.09996654739
0.229504,-0.03,0.0,0.021276,-3.0976103529
0.233664,0.026,0.0,0.021906,-3.0976103529
0.23776,0.039,0.052,0.022428,-3.0976103529
0.24192,0.081,0.052,0.022914,-3.09603955658
0.246016,0.335,0.104,0.0234,-3.09525415841
0.250368,0.524,0.338,0.023796,-3.09446876025
0.25472,0.584,0.494,0.024174,-3.09446876025
0.259008,0.577,0.546,0.024606,-3.09368336209
0.26336,0.646,0.572,0.025056,-3.09289796393
0.267648,0.733,0.624,0.02556,-3.09211256576
0.272,0.53,0.6,0.0261,-3.09211256576
0.276352,0.446,0.52,0.026694,-3.0913271676
0.28064,0.395,0.262,0.027378,-3.09054176944
0.284992,0.309,0.256,0.02808,-3.08897097311
0.28928,0.489,0.338,0.028746,-3.08897097311
0.293632,0.463,0.442,0.02943,-3.08818557495
0.297984,0.252,0.494,0.030186,-3.08582938046
0.302272,-0.1,0.312,0.03087,-3.0850439823
0.306688,0.104,-0.026,0.031554,-3.08582938046
0.31104,0.39,0.078,0.032184,-3.0850439823
0.315264,0.436,0.39,0.032796,-3.08347318597
