time(us),reference current(mA),current(mA),cart position(um),pendulum angle(mdeg)
7744,400,0,0,-180000
11136,400,312,0,-179955
14848,400,390,54,-179955
18624,400,390,108,-179955
22464,400,338,216,-179955
26304,400,416,324,-179955
30144,400,390,468,-179910
33984,400,364,648,-179910
37824,400,390,846,-179910
41728,400,390,1080,-179865
45632,400,442,1368,-179820
49600,400,390,1674,-179775
53504,400,390,1998,-179730
57472,400,416,2340,-179685
61376,400,390,2700,-179640
65280,400,364,3078,-179640
69248,400,390,3474,-179550
73152,400,390,3906,-179460
77120,400,364,4320,-179460
81024,400,364,4752,-179415
84992,400,364,5256,-179280
88896,400,416,5760,-179190
92864,400,416,6246,-179190
96768,400,364,6786,-179145
100736,400,416,7344,-179010
104768,400,364,7884,-179010
108800,400,390,8442,-178965
112832,400,390,9036,-178785
116864,400,416,9630,-178785
120896,400,390,10188,-178695
124992,400,416,10854,-178605
129088,400,416,11502,-178515
133248,400,416,12132,-178470
137344,400,390,12834,-178380
141440,400,256,13500,-178335
145536,400,442,14166,-178245
149696,400,390,14868,-178110
153792,400,442,15570,-178065
157888,400,364,16254,-177975
162048,400,442,17010,-177885
166144,400,416,17712,-177840
170240,400,364,18432,-177750
174400,400,364,19188,-177660
178496,400,416,19926,-177570
182592,400,416,20682,-177480
186688,400,390,21474,-177390
190848,400,416,22212,-177300
194944,400,256,23040,-177210
199040,400,416,23814,-177165
203200,400,416,24534,-177120
207296,400,416,25380,-176895
211392,400,416,26190,-176850
215488,400,416,26946,-176895
219648,400,364,27792,-176760
223744,400,390,28602,-176625
227840,400,390,29412,-176580
232000,400,442,30240,-176535
236096,400,416,31068,-176355
240192,400,442,31932,-176310
244288,400,390,32760,-176310
248448,400,338,33606,-176175
252544,400,390,34470,-176130
256640,400,390,35334,-176040
260800,400,416,36216,-175950
264896,400,256,37098,-175860
268992,400,390,37980,-175815
273152,400,390,38880,-175725
277248,400,416,39798,-175635
281344,400,416,40716,-175635
285440,400,338,41652,-175545
289600,400,390,42624,-175410
293696,400,416,43578,-175365
297792,400,390,44514,-175320
301952,400,416,45522,-175230
306048,400,390,46530,-175140
310144,400,364,47538,-175050
314240,400,416,48564,-175005
318400,400,442,49590,-174915
322496,400,442,50652,-174870
326592,400,338,51732,-174780
330752,400,364,52812,-174690
334848,400,442,53910,-174645
338944,400,416,55026,-174555
343040,400,364,56142,-174465
347200,400,364,57294,-174420
351296,400,364,58428,-174330
355392,400,416,59598,-174240
359552,400,416,60768,-174240
363648,400,364,61938,-174150
367744,400,364,63162,-174060
371840,400,256,64368,-173970
376000,400,442,65574,-174015
380096,400,364,66816,-173925
384192,400,442,68076,-173790
388352,400,390,69336,-173745
392448,400,390,70578,-173745
396544,400,364,71874,-173610
400704,400,416,73188,-173520
404800,400,520,74484,-173520
408896,400,364,75780,-173475
412992,400,390,77130,-173340
417152,400,442,78462,-173295
421248,400,390,79812,-173295
425344,400,364,81162,-173205
429504,400,390,82548,-173115
433600,400,468,83934,-173115
437696,400,364,85320,-173070
441856,400,364,86724,-172980
445952,400,416,88146,-172935
450048,400,390,89550,-172890
454144,400,390,90990,-172845
458304,400,442,92448,-172800
462400,400,442,93888,-172755
466496,400,390,95346,-172710
470656,400,364,96840,-172665
474752,400,416,98316,-172665
478848,400,390,99774,-172620
482944,400,390,101268,-172575
487168,400,442,102798,-172530
491392,400,364,104346,-172485
495552,400,338,105894,-172485
499776,400,416,107424,-172440
504000,400,416,109008,-172395
508160,-400,256,110574,-172395
512448,-400,-234,112104,-172440
516800,-400,-364,113562,-172440
521216,-400,-364,114948,-172440
525568,-400,-390,116154,-172485
529920,-400,-312,117216,-172575
534336,-400,-390,118152,-172620
538688,-400,-390,118944,-172710
543040,-400,-390,119592,-172890
547392,-400,-338,120114,-172980
551808,-400,-312,120528,-173160
556160,-400,-338,120780,-173385
560512,-400,-390,120942,-173565
564864,-400,-364,120978,-173745
569280,-400,-364,120870,-174060
573632,-400,-364,120708,-174330
577984,-400,-364,120456,-174510
582400,-400,-416,120132,-174825
586752,-400,-364,119754,-175140
591104,-400,-416,119340,-175410
595456,-400,-512,118872,-175680
