time(s),reference current(A),current(A),cart position(m),pendulum angle(rad)
0.007744,0.4,0.0,0.0,-3.14159265
0.011136,0.4,0.312,0.0,-3.14080725184
0.014848,0.4,0.39,5.4e-05,-3.14080725184
0.018624,0.4,0.39,0.000108,-3.14080725184
0.022464,0.4,0.338,0.000216,-3.14080725184
0.026304,0.4,0.416,0.000324,-3.14080725184
0.030144,0.4,0.39,0.000468,-3.14002185367
0.033984,0.4,0.364,0.000648,-3.14002185367
0.037824,0.4,0.39,0.000846,-3.14002185367
0.041728,0.4,0.39,0.00108,-3.13923645551
0.045632,0.4,0.442,0.001368,-3.13845105735
0.0496,0.4,0.39,0.001674,-3.13766565919
0.053504,0.4,0.39,0.001998,-3.13688026102
0.057472,0.4,0.416,0.00234,-3.13609486286
0.061376,0.4,0.39,0.0027,-3.1353094647
0.06528,0.4,0.364,0.003078,-3.1353094647
0.069248,0.4,0.39,0.003474,-3.13373866837
0.073152,0.4,0.39,0.003906,-3.13216787205
0.07712,0.4,0.364,0.00432,-3.13216787205
0.081024,0.4,0.364,0.004752,-3.13138247389
0.084992,0.4,0.364,0.005256,-3.1290262794
0.088896,0.4,0.416,0.00576,-3.12745548308
0.092864,0.4,0.416,0.006246,-3.12745548308
0.096768,0.4,0.364,0.006786,-3.12667008491
0.100736,0.4,0.416,0.007344,-3.12431389043
0.104768,0.4,0.364,0.007884,-3.12431389043
0.1088,0.4,0.39,0.008442,-3.12352849226
0.112832,0.4,0.39,0.009036,-3.12038689961
0.116864,0.4,0.416,0.00963,-3.12038689961
0.120896,0.4,0.39,0.010188,-3.11881610329
0.124992,0.4,0.416,0.010854,-3.11724530696
0.129088,0.4,0.416,0.011502,-3.11567451064
0.133248,0.4,0.416,0.012132,-3.11488911248
0.137344,0.4,0.39,0.012834,-3.11331831615
0.14144,0.4,0.256,0.0135,-3.11253291799
0.145536,0.4,0.442,0.014166,-3.11096212166
0.149696,0.4,0.39,0.014868,-3.10860592718
0.153792,0.4,0.442,0.01557,-3.10782052901
0.157888,0.4,0.364,0.016254,-3.10624973269
0.162048,0.4,0.442,0.01701,-3.10467893636
0.166144,0.4,0.416,0.017712,-3.1038935382
0.17024,0.4,0.364,0.018432,-3.10232274188
0.1744,0.4,0.364,0.019188,-3.10075194555
0.178496,0.4,0.416,0.019926,-3.09918114923
0.182592,0.4,0.416,0.020682,-3.0976103529
0.186688,0.4,0.39,0.021474,-3.09603955658
0.190848,0.4,0.416,0.022212,-3.09446876025
0.194944,0.4,0.256,0.02304,-3.09289796393
0.19904,0.4,0.416,0.023814,-3.09211256576
0.2032,0.4,0.416,0.024534,-3.0913271676
0.207296,0.4,0.416,0.02538,-3.08740017679
0.211392,0.4,0.416,0.02619,-3.08661477862
0.215488,0.4,0.416,0.026946,-3.08740017679
0.219648,0.4,0.364,0.027792,-3.0850439823
0.223744,0.4,0.39,0.028602,-3.08268778781
0.22784,0.4,0.39,0.029412,-3.08190238965
0.232,0.4,0.442,0.03024,-3.08111699149
0.236096,0.4,0.416,0.031068,-3.07797539884
0.240192,0.4,0.442,0.031932,-3.07719000067
0.244288,0.4,0.39,0.03276,-3.07719000067
0.248448,0.4,0.338,0.033606,-3.07483380619
0.252544,0.4,0.39,0.03447,-3.07404840802
0.25664,0.4,0.39,0.035334,-3.0724776117
0.2608,0.4,0.416,0.036216,-3.07090681538
0.264896,0.4,0.256,0.037098,-3.06933601905
0.268992,0.4,0.39,0.03798,-3.06855062089
0.273152,0.4,0.39,0.03888,-3.06697982456
0.277248,0.4,0.416,0.039798,-3.06540902824
0.281344,0.4,0.416,0.040716,-3.06540902824
0.28544,0.4,0.338,0.041652,-3.06383823191
0.2896,0.4,0.39,0.042624,-3.06148203743
0.293696,0.4,0.416,0.043578,-3.06069663926
0.297792,0.4,0.39,0.044514,-3.0599112411
0.301952,0.4,0.416,0.045522,-3.05834044478
0.306048,0.4,0.39,0.04653,-3.05676964845
0.310144,0.4,0.364,0.047538,-3.05519885213
0.31424,0.4,0.416,0.048564,-3.05441345396
0.3184,0.4,0.442,0.04959,-3.05284265764
0.322496,0.4,0.442,0.050652,-3.05205725948
0.326592,0.4,0.338,0.051732,-3.05048646315
0.330752,0.4,0.364,0.052812,-3.04891566683
0.334848,0.4,0.442,0.05391,-3.04813026866
0.338944,0.4,0.416,0.055026,-3.04655947234
0.34304,0.4,0.364,0.056142,-3.04498867601
0.3472,0.4,0.364,0.057294,-3.04420327785
0.351296,0.4,0.364,0.058428,-3.04263248153
0.355392,0.4,0.416,0.059598,-3.0410616852
0.359552,0.4,0.416,0.060768,-3.0410616852
0.363648,0.4,0.364,0.061938,-3.03949088888
0.367744,0.4,0.364,0.063162,-3.03792009255
0.37184,0.4,0.256,0.064368,-3.03634929623
0.376,0.4,0.442,0.065574,-3.03713469439
0.380096,0.4,0.364,0.066816,-3.03556389806
0.384192,0.4,0.442,0.068076,-3.03320770358
0.388352,0.4,0.39,0.069336,-3.03242230541
0.392448,0.4,0.39,0.070578,-3.03242230541
0.396544,0.4,0.364,0.071874,-3.03006611093
0.400704,0.4,0.416,0.073188,-3.0284953146
0.4048,0.4,0.52,0.074484,-3.0284953146
0.408896,0.4,0.364,0.07578,-3.02770991644
0.412992,0.4,0.39,0.07713,-3.02535372195
0.417152,0.4,0.442,0.078462,-3.02456832379
0.421248,0.4,0.39,0.079812,-3.02456832379
0.425344,0.4,0.364,0.081162,-3.02299752746
0.429504,0.4,0.39,0.082548,-3.02142673114
0.4336,0.4,0.468,0.083934,-3.02142673114
0.437696,0.4,0.364,0.08532,-3.02064133297
0.441856,0.4,0.364,0.086724,-3.01907053665
0.445952,0.4,0.416,0.088146,-3.01828513849
0.450048,0.4,0.39,0.08955,-3.01749974032
0.454144,0.4,0.39,0.09099,-3.01671434216
0.458304,0.4,0.442,0.092448,-3.015928944
0.4624,0.4,0.442,0.093888,-3.01514354584
0.466496,0.4,0.39,0.095346,-3.01435814768
0.470656,0.4,0.364,0.09684,-3.01357274951
0.474752,0.4,0.416,0.098316,-3.01357274951
0.478848,0.4,0.39,0.099774,-3.01278735135
0.482944,0.4,0.39,0.101268,-3.01200195319
0.487168,0.4,0.442,0.102798,-3.01121655503
0.491392,0.4,0.364,0.104346,-3.01043115686
0.495552,0.4,0.338,0.105894,-3.01043115686
0.499776,0.4,0.416,0.107424,-3.0096457587
0.504,0.4,0.416,0.109008,-3.00886036054
0.50816,-0.4,0.256,0.110574,-3.00886036054
0.512448,-0.4,-0.234,0.112104,-3.0096457587
0.5168,-0.4,-0.364,0.113562,-3.0096457587
0.521216,-0.4,-0.364,0.114948,-3.0096457587
0.525568,-0.4,-0.39,0.116154,-3.01043115686
0.52992,-0.4,-0.312,0.117216,-3.01200195319
0.534336,-0.4,-0.39,0.118152,-3.01278735135
0.538688,-0.4,-0.39,0.118944,-3.01435814768
0.54304,-0.4,-0.39,0.119592,-3.01749974032
0.547392,-0.4,-0.338,0.120114,-3.01907053665
0.551808,-0.4,-0.312,0.120528,-3.0222121293
0.55616,-0.4,-0.338,0.12078,-3.02613912011
0.560512,-0.4,-0.39,0.120942,-3.02928071276
0.564864,-0.4,-0.364,0.120978,-3.03242230541
0.56928,-0.4,-0.364,0.12087,-3.03792009255
0.573632,-0.4,-0.364,0.120708,-3.04263248153
0.577984,-0.4,-0.364,0.120456,-3.04577407418
0.5824,-0.4,-0.416,0.120132,-3.05127186131
0.586752,-0.4,-0.364,0.119754,-3.05676964845
0.591104,-0.4,-0.416,0.11934,-3.06148203743
0.595456,-0.4,-0.512,0.118872,-3.0661944264
0.599872,-0.4,-0.512,0.118332,-3.0724776117
0.604224,-0.4,-0.512,0.11781,-3.078760797
0.608576,-0.4,-0.512,0.117198,-3.08347318597
0.612928,-0.4,-0.512,0.11655,-3.08975637128
0.617344,-0.4,-0.512,0.115866,-3.09525415841
0.621696,-0.4,-0.39,0.115182,-3.10075194555
0.626048,-0.4,-0.416,0.11439,-3.10939132534
0.630464,-0.4,-0.416,0.113634,-3.11488911248
0.634816,-0.4,-0.39,0.112824,-3.11960150145
0.639168,-0.4,-0.364,0.111978,-3.12667008491
0.64352,-0.4,-0.416,0.111114,-3.13295327021
0.647936,-0.4,-0.39,0.110214,-3.13845105735
0.652288,-0.4,-0.416,0.109296,-3.14551964081
0.65664,-0.4,-0.39,0.108342,-3.15337362244
0.661056,-0.4,-0.338,0.107388,-3.15887140958
0.665408,-0.4,-0.338,0.106398,-3.16751078936
0.66976,-0.4,-0.442,0.105354,-3.17379397466
0.674112,-0.4,-0.416,0.104346,-3.1792917618
0.678528,-0.4,-0.512,0.103284,-3.18636034526
0.68288,-0.4,-0.338,0.102168,-3.19421432689
0.687232,-0.4,-0.416,0.101106,-3.20049751219
0.691584,-0.4,-0.39,0.09999,-3.20678069749
0.695872,-0.4,-0.416,0.098838,-3.21463467911
0.70016,-0.4,-0.338,0.097722,-3.22091786441
0.704448,-0.4,-0.416,0.096588,-3.22720104971
0.708736,-0.4,-0.39,0.095364,-3.23662582766
0.713024,-0.4,-0.416,0.094194,-3.24133821664
0.717312,-0.4,-0.512,0.093006,-3.24762140194
0.7216,-0.4,-0.338,0.091746,-3.25547538356
0.725888,-0.4,-0.512,0.090522,-3.26254396703
0.730176,-0.4,-0.39,0.08928,-3.26804175416
0.734464,-0.4,-0.338,0.087984,-3.27668113395
0.738752,-0.4,-0.39,0.086706,-3.28296431925
0.74304,-0.4,-0.416,0.085392,-3.28924750455
0.747328,-0.4,-0.416,0.084132,-3.29474529169
0.751616,-0.4,-0.39,0.082782,-3.30259927331
0.755904,-0.4,-0.39,0.081414,-3.30966785677
0.760192,-0.4,-0.468,0.0801,-3.31516564391
0.76448,-0.4,-0.364,0.07875,-3.32301962554
0.768768,-0.4,-0.416,0.077382,-3.32851741268
0.772992,-0.4,-0.416,0.075978,-3.33558599614
0.77728,-0.4,-0.364,0.074556,-3.3426545796
0.781568,-0.4,-0.39,0.073206,-3.34736696858
0.785856,-0.4,-0.39,0.071766,-3.35365015388
0.790144,-0.4,-0.512,0.07029,-3.36228953366
0.794432,-0.4,-0.338,0.068868,-3.36621652447
0.79872,-0.4,-0.39,0.067446,-3.37092891345
0.803008,-0.4,-0.442,0.065952,-3.37956829324
0.807296,-0.4,-0.416,0.064476,-3.38585147854
0.811584,-0.4,-0.442,0.063036,-3.38820767303
0.815872,-0.4,-0.468,0.061578,-3.39606165465
0.82016,-0.4,-0.364,0.060048,-3.40313023811
0.824448,-0.4,-0.39,0.05859,-3.4054864326
0.828736,-0.4,-0.416,0.057078,-3.41255501606
0.833024,-0.4,-0.416,0.05553,-3.42040899769
0.837312,-0.4,-0.39,0.05409,-3.42197979401
0.8416,-0.4,-0.39,0.052542,-3.42669218299
0.845888,-0.4,-0.442,0.050958,-3.43533156278
0.850112,-0.4,-0.364,0.049464,-3.43847315543
0.8544,-0.4,-0.364,0.047934,-3.44082934991
0.858688,-0.4,-0.442,0.046314,-3.4494687297
0.862976,-0.4,-0.512,0.044712,-3.45496651684
0.867264,-0.4,-0.416,0.043182,-3.455751915
0.871552,-0.4,-0.512,0.041562,-3.46124970214
0.87584,-0.4,-0.338,0.03987,-3.4683182856
0.880128,-0.4,-0.39,0.038304,-3.46910368376
0.884416,-0.4,-0.416,0.036648,-3.47381607274
0.888704,-0.4,-0.512,0.034956,-3.48009925804
0.892992,-0.4,-0.442,0.033336,-3.48245545252
0.89728,-0.4,-0.416,0.031644,-3.48481164701
0.901568,-0.4,-0.39,0.029934,-3.49188023048
0.905856,-0.4,-0.468,0.028278,-3.49423642496
0.910144,-0.4,-0.338,0.026568,-3.49580722129
0.914432,-0.4,-0.338,0.024822,-3.50209040659
0.91872,-0.4,-0.494,0.023076,-3.50523199924
0.923008,-0.4,-0.364,0.021366,-3.50523199924
0.927296,-0.4,-0.338,0.019584,-3.51072978638
0.931584,-0.4,-0.512,0.017748,-3.51465677719
0.935808,-0.4,-0.364,0.016002,-3.51387137903
0.940096,-0.4,-0.39,0.014184,-3.51936916616
0.944384,-0.4,-0.39,0.01233,-3.52251075881
0.948672,-0.4,-0.338,0.01053,-3.52251075881
0.95296,-0.4,-0.364,0.00864,-3.52722314779
0.957184,-0.4,-0.39,0.006786,-3.52879394411
0.961408,-0.4,-0.364,0.005004,-3.52800854595
0.965568,-0.4,-0.468,0.003114,-3.53350633309
0.969792,-0.4,-0.39,0.001242,-3.53507712941
0.973952,-0.4,-0.442,-0.000594,-3.53272093492
0.978176,-0.4,-0.512,-0.002466,-3.53586252757
0.982464,-0.4,-0.416,-0.004374,-3.53978951839
0.986752,-0.4,-0.494,-0.006264,-3.53900412022
0.99104,-0.4,-0.338,-0.008118,-3.53821872206
0.995328,-0.4,-0.364,-0.010008,-3.54136031471
0.99968,-0.4,-0.416,-0.011934,-3.54136031471
1.004032,-0.4,-0.364,-0.01377,-3.54136031471
1.008512,0.4,-0.494,-0.01575,-3.54293111104
1.012928,0.4,0.156,-0.017514,-3.54136031471
1.017216,0.4,0.256,-0.019134,-3.53900412022
1.021504,0.4,0.364,-0.020736,-3.54136031471
1.025792,0.4,0.312,-0.02205,-3.53821872206
1.03008,0.4,0.364,-0.023274,-3.53507712941
1.034368,0.4,0.364,-0.024372,-3.53507712941
1.038656,0.4,0.39,-0.025254,-3.53350633309
1.042944,0.4,0.312,-0.026028,-3.52565235146
1.047232,0.4,0.364,-0.026658,-3.52408155514
1.051584,0.4,0.338,-0.027162,-3.52172536065
1.055872,0.4,0.208,-0.027504,-3.51308598086
1.06016,0.4,0.364,-0.027756,-3.50994438821
1.064448,0.4,0.364,-0.0279,-3.50680279556
1.068736,0.4,0.364,-0.027864,-3.49816341578
1.073024,0.4,0.39,-0.027774,-3.49188023048
1.077312,0.4,0.416,-0.02763,-3.48795323966
1.0816,0.4,0.338,-0.027342,-3.47931385987
1.085888,0.4,0.256,-0.027,-3.47067448009
1.090176,0.4,0.416,-0.026658,-3.46596209111
1.094464,0.4,0.364,-0.026208,-3.45732271133
1.098816,0.4,0.39,-0.025686,-3.44711253521
1.103104,0.4,0.39,-0.025182,-3.44161474808
1.107392,0.4,0.338,-0.024606,-3.43218997013
1.11168,0.4,0.39,-0.02394,-3.42276519217
1.115968,0.4,0.39,-0.02331,-3.41569660871
1.120256,0.4,0.364,-0.02259,-3.40784262709
1.124544,0.4,0.416,-0.02178,-3.39606165465
1.128832,0.4,0.256,-0.020988,-3.38742227486
1.13312,0.4,0.39,-0.020178,-3.37956829324
1.137408,0.4,0.364,-0.01926,-3.3677873208
1.14176,0.4,0.39,-0.018324,-3.35836254285
1.146048,0.4,0.39,-0.017424,-3.3489377649
1.150336,0.4,0.39,-0.016398,-3.33794219063
1.154624,0.4,0.364,-0.015372,-3.32694661635
1.158912,0.4,0.364,-0.014328,-3.31830723656
1.1632,0.4,0.39,-0.01323,-3.30574086596
1.167488,0.4,0.442,-0.012096,-3.2923890972
1.171776,0.4,0.39,-0.010962,-3.28296431925
1.176064,0.4,0.256,-0.009738,-3.27039794865
1.180288,0.4,0.39,-0.008514,-3.2609731707
1.184512,0.4,0.442,-0.007326,-3.25154839275
1.188736,0.4,0.312,-0.00603,-3.24055281848
1.192896,0.4,0.312,-0.00468,-3.22484485523
1.19712,0.4,0.442,-0.003384,-3.2169908736
1.201344,0.4,0.442,-0.002034,-3.20599529933
1.205568,0.4,0.364,-0.000594,-3.19264353056
1.209664,0.4,0.364,0.000756,-3.18243335445
1.213696,0.4,0.256,0.002142,-3.17143778018
1.217856,0.4,0.364,0.0036,-3.15730061325
1.221952,0.4,0.39,0.005022,-3.14630503898
1.226112,0.4,0.468,0.006426,-3.13766565919
1.230208,0.4,0.39,0.007956,-3.12195769594
1.234368,0.4,0.39,0.00945,-3.1101767235
1.238464,0.4,0.468,0.010854,-3.10153734371
1.242688,0.4,0.416,0.01242,-3.08818557495
1.246912,0.4,0.39,0.014022,-3.07169221354
1.251072,0.4,0.39,0.015516,-3.06462363008
1.255296,0.4,0.416,0.017064,-3.05205725948
1.25952,0.4,0.364,0.018666,-3.03556389806
1.263744,0.4,0.364,0.020232,-3.02770991644
1.267904,0.4,0.442,0.02178,-3.01671434216
1.272128,0.4,0.364,0.0234,-3.00257717524
1.276352,0.4,0.416,0.025002,-2.9907962028
1.280576,0.4,0.442,0.026568,-2.97901523036
1.284736,0.4,0.338,0.028188,-2.96801965609
1.28896,0.4,0.39,0.02979,-2.95545328549
1.293184,0.4,0.468,0.031356,-2.94602850754
1.297408,0.4,0.338,0.03294,-2.9342475351
1.301632,0.4,0.364,0.034578,-2.92089576634
1.305792,0.4,0.442,0.036162,-2.90832939574
1.310016,0.4,0.364,0.037728,-2.90047541411
1.31424,0.4,0.364,0.039312,-2.88790904351
1.318464,0.4,0.468,0.040914,-2.87612807108
1.322624,0.4,0.39,0.04248,-2.8651324968
1.326848,0.4,0.364,0.044046,-2.85570771885
1.331072,0.4,0.442,0.045648,-2.84392674641
1.335296,0.4,0.39,0.047232,-2.83293117214
1.33952,0.4,0.416,0.048798,-2.82350639419
1.34368,0.4,0.442,0.050418,-2.81251081991
1.347904,0.4,0.364,0.052038,-2.8023006438
1.352128,0.4,0.39,0.053604,-2.79130506952
1.356352,0.4,0.442,0.055224,-2.78030949525
1.360512,0.4,0.338,0.056844,-2.7708847173
1.364736,0.4,0.364,0.058446,-2.76303073568
1.36896,0.4,0.442,0.060048,-2.75360595773
1.373184,0.4,0.364,0.061686,-2.74103958712
1.377344,0.4,0.364,0.063306,-2.73397100366
1.381568,0.4,0.256,0.064872,-2.72611702204
1.385792,0.4,0.338,0.06651,-2.71590684593
1.390016,0.4,0.416,0.068148,-2.70648206798
1.39424,0.4,0.468,0.069714,-2.69862808635
1.3984,0.4,0.338,0.071334,-2.69077410473
1.402624,0.4,0.39,0.07299,-2.68056392861
1.406848,0.4,0.468,0.074574,-2.67349534515
1.411072,0.4,0.338,0.076176,-2.66721215985
1.415232,0.4,0.39,0.077796,-2.65700198374
1.419456,0.4,0.256,0.079434,-2.64993340028
1.42368,0.4,0.416,0.081018,-2.64286481681
1.427904,0.4,0.256,0.08262,-2.63422543703
1.432128,0.4,0.494,0.084276,-2.62794225172
1.436288,0.4,0.338,0.085842,-2.62322986275
1.440512,0.4,0.338,0.087444,-2.61616127929
1.444736,0.4,0.468,0.089082,-2.60673650134
1.44896,0.4,0.416,0.090666,-2.60280951053
1.45312,0.4,0.338,0.09225,-2.59809712155
1.457344,0.4,0.468,0.093906,-2.59024313993
1.461568,0.4,0.364,0.095508,-2.58553075095
1.465792,0.4,0.442,0.097074,-2.58081836198
1.470016,0.4,0.416,0.098712,-2.57532057484
1.474176,0.4,0.39,0.100314,-2.56903738954
1.478464,0.4,0.39,0.101898,-2.56668119505
1.482816,0.4,0.442,0.103554,-2.56039800975
1.487104,0.4,0.39,0.105174,-2.55568562078
1.491392,0.4,0.39,0.106758,-2.55254402813
1.49568,0.4,0.416,0.108396,-2.54940243548
1.499968,0.4,0.364,0.109998,-2.54390464834
1.504256,0.4,0.442,0.111564,-2.54233385201
1.508544,-0.4,0.494,0.113184,-2.53919225936
1.51296,-0.4,-0.234,0.11475,-2.53526526855
